,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,lumpSum_change,npsf_change
2019-12-15,6835867.5,12851.375,8,54686940.0,102811.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",6206880.0,12931.0,480.0,7198758.0,12369.0,582.0,7784832.0,13376.0,582.0,6144960.0,12802.0,480.0,6261120.0,13044.0,480.0,7721394.0,13267.0,582.0,7751076.0,13318.0,582.0,5617920.0,11704.0,480.0,0.034061497824605436,0.03404542071490346
2019-11-15,6610697.25,12428.25,8,52885578.0,99426.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",6002880.0,12506.0,480.0,6960720.0,11960.0,582.0,7527006.0,12933.0,582.0,5941920.0,12379.0,480.0,6057120.0,12619.0,480.0,7465896.0,12828.0,582.0,7494996.0,12878.0,582.0,5435040.0,11323.0,480.0,-0.017433842073533934,-0.01778199276865633
2019-10-15,6727992.0,12653.25,8,53823936.0,101226.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",6090720.000000001,12689.0,480.0,7060824.0,12132.0,582.0,7635258.0,13119.0,582.0,6195360.0,12907.0,480.0,6148320.0,12809.0,480.0,7573566.0,13013.0,582.0,7603248.0,13064.0,582.0,5516640.0,11493.0,480.0,-0.009015860110226481,-0.009026118964639562
2019-9-15,6789202.5,12768.5,8,54313620.0,102148.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",6144480.0,12801.0,480.0,7124262.0,12241.0,582.0,7703934.0,13237.0,582.0,6251040.0,13023.0,480.0,6206880.0,12931.0,480.0,7642241.999999999,13131.0,582.0,7671342.0,13181.0,582.0,5569440.0,11603.0,480.0,0.02553473606409873,0.02552055097082495
2019-8-15,6620158.5,12450.75,8,52961268.0,99606.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",5990400.0,12480.0,480.0,6946169.999999999,11935.0,582.0,7510710.0,12905.0,582.0,6095040.0,12698.0,480.0,6054719.999999999,12614.0,480.0,7450764.000000001,12802.0,582.0,7479864.0,12852.0,582.0,5433600.0,11320.0,480.0,-0.0428883463458366,-0.04265503056399211
2019-7-15,6916809.0,13005.5,8,55334472.0,104044.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",6256800.0,13035.0,480.0,7254630.0,12465.0,582.0,7925094.0,13617.0,582.0,6210720.0,12939.0,480.0,6326880.0,13181.0,480.0,7781922.0,13371.0,582.0,7812186.0,13423.0,582.0,5766240.0,12013.0,480.0,0.0907729251077447,0.09075660205269065
2019-6-15,6341199.75,11923.375,8,50729598.0,95387.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",5735040.0,11948.0,480.0,6648768.0,11424.0,582.0,7265106.0,12483.0,582.0,5692800.0,11860.0,480.0,5802720.0,12089.0,480.0,7133573.999999999,12257.0,582.0,7161510.000000001,12305.0,582.0,5290080.0,11021.0,480.0,-0.0877171989383555,-0.08773825805032465
2019-5-15,6950914.5,13070.125,8,55607316.0,104561.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",6285600.0,13095.0,480.0,7284894.0,12517.0,582.0,7962342.0,13681.0,582.0,6239520.0,12999.0,480.0,6363840.0,13258.0,480.0,7818588.0,13434.0,582.0,7848852.0,13486.0,582.0,5803680.000000001,12091.0,480.0,0.002721489706723146,0.002521620740570274
2019-4-15,6932049.0,13037.25,8,55456392.0,104298.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",6280320.0,13084.0,480.0,7279074.0,12507.0,582.0,7842450.0,13475.0,582.0,6234720.0,12989.0,480.0,6362880.0,13256.0,480.0,7811022.0,13421.0,582.0,7841286.0,13473.0,582.0,5804640.0,12093.0,480.0,0.05448345298296964,0.05446310319378034
2019-3-15,6573881.25,12363.875,8,52591050.0,98911.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",5954880.0,12406.0,480.0,6904266.0,11863.0,582.0,7434468.0,12774.0,582.0,5911680.0,12316.0,480.0,6036960.0,12577.0,480.0,7405368.0,12724.0,582.0,7434468.0,12774.0,582.0,5508960.0,11477.0,480.0,-0.06394920116894554,-0.06388355211478214
2019-2-15,7022996.25,13207.625,8,56183970.0,105661.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",6366240.0,13263.0,480.0,7383252.0,12686.0,582.0,7945464.0,13652.0,582.0,6320160.0,13167.0,480.0,6412800.0,13360.0,480.0,7916364.0,13602.0,582.0,7947210.0,13655.0,582.0,5892480.0,12276.0,480.0,0.09338676966272774,0.09306367351161238
2019-1-15,6423158.25,12083.125,8,51385266.0,96665.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",5841600.0,12170.0,480.0,6606282.0,11351.0,582.0,7288386.0,12523.0,582.0,5798880.0,12081.0,480.0,5884800.0,12260.0,480.0,7263360.0,12480.0,582.0,7291878.0,12529.0,582.0,5410080.0,11271.0,480.0,0.08570232205772288,0.08566005525730591
2018-12-15,5916132.0,11129.75,8,47329056.0,89038.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",5378400.000000001,11205.0,480.0,6086556.0,10458.0,582.0,6708132.0,11526.0,582.0,5354400.0,11155.0,480.0,5418240.0,11288.0,480.0,6686598.0,11489.0,582.0,6713370.0,11535.0,582.0,4983360.0,10382.0,480.0,-0.12523207780470091,-0.12523456304956526
2018-11-15,6763087.5,12723.125,8,54104700.0,101785.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",6147840.0,12808.0,480.0,6962466.0,11963.0,582.0,7664940.0,13170.0,582.0,6119520.0,12749.0,480.0,6193920.0,12904.0,480.0,7642824.0,13132.0,582.0,7673670.0,13185.0,582.0,5699520.0,11874.0,480.0,-0.10696433036808528,-0.10697678499359531
2018-10-15,7573143.75,14247.25,8,60585150.0,113978.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",6885600.0,14345.0,480.0,7802874.0,13407.0,582.0,8581590.0,14745.0,582.0,6852960.0,14277.0,480.0,6933600.0,14445.0,480.0,8553654.0,14697.0,582.0,8587992.0,14756.0,582.0,6386880.0,13306.0,480.0,0.10009481655344721,0.10044991986405849
2018-9-15,6884082.75,12946.75,8,55072662.0,103574.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",6277920.0,13079.0,480.0,7119606.0,12233.0,582.0,7822080.0,13440.0,582.0,6152160.0,12817.0,480.0,6270240.0,13063.0,480.0,7797054.0,13397.0,582.0,7828482.0,13451.0,582.0,5805120.0,12094.0,480.0,-0.07341396648118004,-0.07404990300115322
2018-8-15,7429512.75,13982.125,8,59436102.0,111857.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",6861120.0,14294.0,480.0,7734198.0,13289.0,582.0,8489634.0,14587.0,582.0,6680640.0,13918.0,480.0,6807840.0,14183.0,480.0,8274294.0,14217.0,582.0,8280695.999999999,14228.0,582.0,6307680.0,13141.0,480.0,0.09073318813738851,0.09060684060684054
2018-7-15,6811485.0,12820.5,8,54491880.0,102564.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",6283680.0,13091.0,480.0,7088759.999999999,12180.0,582.0,7773192.0,13356.0,582.0,6119520.0,12749.0,480.0,6235680.0,12991.0,480.0,7575894.0,13017.0,582.0,7581714.0,13027.0,582.0,5833440.0,12153.0,480.0,0.02480572430070005,0.024789424777434732
2018-6-15,6646611.0,12510.375,8,53172888.0,100083.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",6130559.999999999,12772.0,480.0,6921144.0,11892.0,582.0,7581714.0,13027.0,582.0,5972160.0,12442.0,480.0,6084960.0,12677.0,480.0,7390236.0,12698.0,582.0,7395474.0,12707.0,582.0,5696640.0,11868.0,480.0,-0.034549310262257826,-0.034562923234233045
2018-5-15,6884464.5,12958.25,8,55075716.0,103666.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",6348960.0,13227.0,480.0,7171986.0,12323.0,582.0,7851180.0,13490.0,582.0,6186720.0,12889.0,480.0,6302880.0,13131.0,480.0,7652136.0,13148.0,582.0,7657374.0,13157.0,582.0,5904480.0,12301.0,480.0,0.11198526250526508,0.11140176896274467
2018-4-15,6191147.25,11659.375,8,49529178.0,93275.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",5742240.0,11963.0,480.0,6488717.999999999,11149.0,582.0,7100400.0,12200.0,582.0,5596799.999999999,11660.0,480.0,5701440.0,11878.0,480.0,6784956.0,11658.0,582.0,6769824.000000001,11632.0,582.0,5344800.0,11135.0,480.0,0.00038125398629151874,0.00047194602653632955
2018-3-15,6188787.75,11653.875,8,49510302.0,93231.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",5697600.0,11870.0,480.0,6492792.0,11156.0,582.0,7102728.0,12204.0,582.0,5600160.0,11667.0,480.0,5704320.0,11884.0,480.0,6787866.0,11663.0,582.0,6773316.0,11638.0,582.0,5351520.000000001,11149.0,480.0,-0.02769812125557558,-0.0277094109794761
2018-2-15,6365088.75,11986.0,8,50920710.0,95888.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",5859840.0,12208.0,480.0,6678450.0,11475.0,582.0,7302936.0,12548.0,582.0,5760000.0,12000.0,480.0,5866560.0,12222.0,480.0,6980508.0,11994.0,582.0,6965376.0,11968.0,582.0,5507040.0,11473.0,480.0,-0.002006972840072896,-0.0020191086780042555
2018-1-15,6377889.0,12010.25,8,51023112.0,96082.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",5871360.0,12232.0,480.0,6692418.000000001,11499.0,582.0,7315740.0,12570.0,582.0,5771520.0,12024.0,480.0,5878080.0,12246.0,480.0,6993312.0,12016.0,582.0,6978762.0,11991.0,582.0,5521920.0,11504.0,480.0,0.03737354502595491,0.03650564197717321
2017-12-15,6148112.25,11587.25,8,49184898.0,92698.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",5616480.0,11701.0,480.0,6402000.0,11000.0,582.0,6995640.0,12020.0,582.0,5520960.0,11502.0,480.0,5622720.0,11714.0,480.0,6688343.999999999,11492.0,582.0,6673794.0,11467.0,582.0,5664959.999999999,11802.0,480.0,0.04258168051415567,0.04317979766151625
2017-11-15,5897007.75,11107.625,8,47176062.0,88861.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",5351520.000000001,11149.0,480.0,6100524.0,10482.0,582.0,6663318.0,11449.0,582.0,5261280.0,10961.0,480.0,5357280.0,11161.0,480.0,6518400.0,11200.0,582.0,6524220.0,11210.0,582.0,5399520.0,11249.0,480.0,-0.033546757461035415,-0.03381500690435024
2017-10-15,6101700.0,11496.375,8,48813600.0,91971.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",5521440.000000001,11503.0,480.0,6294329.999999999,10815.0,582.0,6872838.0,11809.0,582.0,5562720.0,11589.0,480.0,5525760.0,11512.0,480.0,6729666.0,11563.0,582.0,6735486.0,11573.0,582.0,5571360.0,11607.0,480.0,-0.006881734868575684,-0.006932072171293435
2017-9-15,6143981.25,11576.625,8,49151850.0,92613.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",5563200.0,11590.0,480.0,6429354.0,11047.0,582.0,6814056.0,11708.0,582.0,5604000.0,11675.0,480.0,5567519.999999999,11599.0,480.0,6777390.0,11645.0,582.0,6783210.0,11655.0,582.0,5613120.0,11694.0,480.0,0.06937625750324683,0.06936009052490588
2017-8-15,5745387.75,10825.75,8,45963102.0,86606.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",5203200.0,10840.0,480.0,6014970.0,10335.0,582.0,6368826.0,10943.0,582.0,5240640.0,10918.0,480.0,5207520.0,10849.0,480.0,6336234.0,10887.0,582.0,6341472.0,10896.0,582.0,5250240.0,10938.0,480.0,0.07155639216484966,0.07153815698307442
2017-7-15,5361722.25,10103.0,8,42893778.0,80824.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",4857120.0,10119.0,480.0,5615718.0,9649.0,582.0,5941056.0,10208.0,582.0,4891200.0,10190.0,480.0,4860960.0,10127.0,480.0,5911374.0,10157.0,582.0,5916030.0,10165.0,582.0,4900320.0,10209.0,480.0,-0.0836864322597366,-0.08370084006938228
2017-6-15,5851405.5,11025.875,8,46811244.0,88207.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",5301600.0,11045.0,480.0,6130788.0,10534.0,582.0,6480570.0,11135.0,582.0,5338559.999999999,11122.0,480.0,5306400.0,11055.0,480.0,6450306.0,11083.0,582.0,6454380.0,11090.0,582.0,5348640.0,11143.0,480.0,0.010739507416527738,0.010424184107128642
2017-5-15,5789232.0,10912.125,8,46313856.0,87297.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",5246880.0,10931.0,480.0,5995182.0,10301.0,582.0,6409565.999999999,11013.0,582.0,5282880.0,11006.0,480.0,5251680.0,10941.0,480.0,6381048.0,10964.0,582.0,6384540.0,10970.0,582.0,5362080.000000001,11171.0,480.0,0.01781021782313985,0.017340838373597123
2017-4-15,5687928.75,10726.125,8,45503430.0,85809.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",5177760.0,10787.0,480.0,5917776.0,10168.0,582.0,6321684.0,10862.0,582.0,5212320.0,10859.0,480.0,5201280.0,10836.0,480.0,6195390.0,10645.0,582.0,6186660.0,10630.0,582.0,5290560.0,11022.0,480.0,0.011817493268140744,0.011731553752918122
2017-3-15,5621496.75,10601.75,8,44971974.0,84814.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",5104800.0,10635.0,480.0,5891586.0,10123.0,582.0,6213431.999999999,10676.0,582.0,5138400.0,10705.0,480.0,5198880.0,10831.0,480.0,6108672.0,10496.0,582.0,6100523.999999999,10482.0,582.0,5215680.0,10866.0,480.0,0.041459958560188914,0.041454849087649404
2017-2-15,5397708.0,10179.75,8,43181664.0,81438.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",4901760.0,10212.0,480.0,5658786.0,9723.0,582.0,5962008.0,10244.0,582.0,4933440.0,10278.0,480.0,4993440.0,10403.0,480.0,5865978.0,10079.0,582.0,5858412.0,10066.0,582.0,5007840.0,10433.0,480.0,0.02380591322576331,0.02411971830985915
2017-1-15,5272198.5,9940.0,8,42177588.0,79520.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",4771200.0,9940.0,480.0,5657622.0,9721.0,582.0,5798466.0,9963.0,582.0,4801440.0,10003.0,480.0,4861920.0,10129.0,480.0,5710002.0,9811.0,582.0,5703018.0,9799.0,582.0,4873920.0,10154.0,480.0,0.08542421977777637,0.08541945346837387
2016-12-15,4857270.0,9157.75,8,38858160.0,73262.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",4395840.0,9158.0,480.0,5213556.0,8958.0,582.0,5338104.0,9172.0,582.0,4423200.0,9215.0,480.0,4480800.0,9335.0,480.0,5261862.0,9041.0,582.0,5254878.0,9029.0,582.0,4489920.0,9354.0,480.0,-0.0670150231619806,-0.06690441316945805
2016-11-15,5206161.0,9814.375,8,41649288.0,78515.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",4705440.0,9803.0,480.0,5581380.0,9590.0,582.0,5654130.0,9715.0,582.0,4733760.0,9862.0,480.0,4797600.0,9995.0,480.0,5632596.0,9678.0,582.0,5739102.0,9861.0,582.0,4805280.0,10011.0,480.0,-0.001703054193709863,-0.0017037724573738533
2016-10-15,5215042.5,9831.125,8,41720340.0,78649.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",4713600.0,9820.0,480.0,5591856.0,9608.0,582.0,5662860.0,9730.0,582.0,4740960.0,9877.0,480.0,4807200.0,10015.0,480.0,5642490.0,9695.0,582.0,5748414.0,9877.0,582.0,4812960.0,10027.0,480.0,0.009771712613567463,0.009770439605587544
2016-9-15,5164575.75,9736.0,8,41316606.0,77888.0,4248,"SUN KWAI HING GARDEN(Block A),TAI WO HAU RD|新葵興花園A座,大窩口道",4668000.0,9725.0,480.0,5538894.0,9517.0,582.0,5606988.0,9634.0,582.0,4694400.0,9780.0,480.0,4762080.0,9921.0,480.0,5588364.0,9602.0,582.0,5691960.0,9780.0,582.0,4765920.0,9929.0,480.0,0.024888225418522092,0.024208713032729756
