,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_change,npsf_change
2019-12-15,4446264.857142857,13880.57142857143,7,31123854.0,97164.0,2252,"SUN SING CTR(Block C),SUN SING ST|新成中心C座,新成街",4049468.0,14012.0,289.0,4155990.0,14331.0,290.0,4775105.0,13451.0,355.0,5005359.999999999,13172.0,380.0,4731321.0,13253.0,357.0,4206700.0,14260.0,295.0,4199910.0,14685.0,286.0,-0.17553903653162772,-0.17554920112343342
2019-11-15,5392935.571428572,16836.14285714286,7,37750549.0,117853.0,2252,"SUN SING CTR(Block C),SUN SING ST|新成中心C座,新成街",4909243.0,16987.0,289.0,5041940.0,17386.0,290.0,5790405.0,16311.0,355.0,6070880.0,15976.0,380.0,5738061.0,16073.0,357.0,5103500.0,17300.0,295.0,5096520.0,17820.0,286.0,0.039811761276133284,0.03979989765488523
2019-10-15,5186453.714285715,16191.714285714286,7,36305176.0,113342.0,2252,"SUN SING CTR(Block C),SUN SING ST|新成中心C座,新成街",4718792.0,16328.0,289.0,4849670.0,16723.0,290.0,5567465.0,15683.0,355.0,5838320.0,15364.0,380.0,5517792.0,15456.0,357.0,4909095.0,16641.0,295.0,4904042.0,17147.0,286.0,-0.059898458650078146,-0.05990959233608417
2019-9-15,5516908.0,17223.571428571428,7,38618356.0,120565.0,2252,"SUN SING CTR(Block C),SUN SING ST|新成中心C座,新成街",5017040.0,17360.0,289.0,5159390.0,17791.0,290.0,5921045.0,16679.0,355.0,6209960.0,16342.0,380.0,5868723.0,16439.0,357.0,5223270.0,17706.0,295.0,5218928.0,18248.0,286.0,0.09221501215869199,0.09220288620942663
2019-8-15,5051119.0,15769.57142857143,7,35357833.0,110387.0,2252,"SUN SING CTR(Block C),SUN SING ST|新成中心C座,新成街",4591054.0,15886.0,289.0,4724680.0,16292.0,290.0,5420140.0,15268.0,355.0,5685560.0,14962.0,380.0,5372493.0,15049.0,357.0,4783130.0,16214.0,295.0,4780776.0,16716.0,286.0,-0.03735710778651047,-0.037367448025673156
2019-7-15,5247136.857142857,16381.714285714286,7,36729958.0,114672.0,2252,"SUN SING CTR(Block C),SUN SING ST|新成中心C座,新成街",4766766.0,16494.0,289.0,4908830.0,16927.0,290.0,5629235.0,15857.0,355.0,5905960.0,15542.0,380.0,5580624.0,15632.0,357.0,4969865.0,16847.0,295.0,4968678.0,17373.0,286.0,-0.0030494020393131427,-0.003164226850725038
2019-6-15,5263186.428571428,16433.714285714286,7,36842305.0,115036.0,2252,"SUN SING CTR(Block C),SUN SING ST|新成中心C座,新成街",4773413.0,16517.0,289.0,4916950.0,16955.0,290.0,5638465.0,15883.0,355.0,5916600.0,15570.0,380.0,5590263.0,15659.0,357.0,5026210.0,17038.0,295.0,4980404.0,17414.0,286.0,-0.03253196593801255,-0.03267688064445595
2019-5-15,5440165.714285715,16988.85714285714,7,38081160.0,118922.0,2252,"SUN SING CTR(Block C),SUN SING ST|新成中心C座,新成街",4939588.0,17092.0,289.0,5088920.0,17548.0,290.0,5836555.0,16441.0,355.0,6125600.0,16120.0,380.0,5730207.0,16051.0,357.0,5200850.0,17630.0,295.0,5159440.0,18040.0,286.0,0.020801576103934627,0.020815986677768405
2019-4-15,5329307.714285715,16642.428571428572,7,37305154.0,116497.0,2252,"SUN SING CTR(Block C),SUN SING ST|新成中心C座,新成街",4836993.0,16737.0,289.0,4983940.0,17186.0,290.0,5716920.0,16104.0,355.0,6001340.0,15793.0,380.0,5616324.0,15732.0,357.0,5092585.0,17263.0,295.0,5057052.0,17682.0,286.0,0.024704717055762604,0.02390641342274802
2019-3-15,5200822.857142857,16253.857142857143,7,36405760.0,113777.0,2252,"SUN SING CTR(Block C),SUN SING ST|新成中心C座,新成街",4744802.0,16418.0,289.0,4748170.0,16373.0,290.0,5364050.0,15110.0,355.0,5889620.0,15499.0,380.0,5513865.0,15445.0,357.0,5070755.0,17189.0,295.0,5074498.0,17743.0,286.0,0.04885955722311941,0.04916778090276175
2019-2-15,4958550.285714285,15492.142857142857,7,34709852.0,108445.0,2252,"SUN SING CTR(Block C),SUN SING ST|新成中心C座,新成街",4497418.0,15562.0,289.0,4538210.0,15649.0,290.0,5130460.0,14452.0,355.0,5631600.0,14820.0,380.0,5274675.0,14775.0,357.0,4785785.0,16223.0,295.0,4851704.0,16964.0,286.0,0.01120543339223179,0.011227049356123064
2019-1-15,4903603.285714285,15320.142857142857,7,34325223.0,107241.0,2252,"SUN SING CTR(Block C),SUN SING ST|新成中心C座,新成街",4447710.0,15390.0,289.0,4485720.0,15468.0,290.0,5075080.0,14296.0,355.0,5569280.0,14656.0,380.0,5218269.0,14617.0,357.0,4731800.0,16040.0,295.0,4797364.0,16774.0,286.0,-0.010486526128319129,-0.011002084217127561
2018-12-15,4955570.0,15490.57142857143,7,34688990.0,108434.0,2252,"SUN SING CTR(Block C),SUN SING ST|新成中心C座,新成街",4471119.0,15471.0,289.0,4611000.0,15900.0,290.0,5100995.0,14369.0,355.0,5596260.0,14727.0,380.0,5245758.0,14694.0,357.0,4843900.0,16420.0,295.0,4819958.0,16853.0,286.0,-0.00689530745658673,-0.006996465136724139
2018-11-15,4989977.428571428,15599.714285714286,7,34929842.0,109198.0,2252,"SUN SING CTR(Block C),SUN SING ST|新成中心C座,新成街",4590476.0,15884.0,289.0,4616800.0,15920.0,290.0,5110225.0,14395.0,355.0,5604620.0,14749.0,380.0,5331081.0,14933.0,357.0,4850390.0,16442.0,295.0,4826250.0,16875.0,286.0,-0.0759506402503225,-0.0759401550282639
2018-10-15,5400120.0,16881.714285714286,7,37800840.0,118172.0,2252,"SUN SING CTR(Block C),SUN SING ST|新成中心C座,新成街",4968199.0,17191.0,289.0,4995250.0,17225.0,290.0,5531610.0,15582.0,355.0,6065180.0,15961.0,380.0,5770191.0,16163.0,357.0,5248050.0,17790.0,295.0,5222360.0,18260.0,286.0,-0.028319912236103084,-0.027791032496914836
2018-9-15,5557508.142857143,17364.285714285714,7,38902557.0,121550.0,2252,"SUN SING CTR(Block C),SUN SING ST|新成中心C座,新成街",5162696.0,17864.0,289.0,5057310.0,17439.0,290.0,5749225.0,16195.0,355.0,6301920.0,16584.0,380.0,5925486.0,16598.0,357.0,5280500.0,17900.0,295.0,5425420.0,18970.0,286.0,0.09152182062626846,0.09152463226710239
2018-8-15,5091522.714285715,15908.285714285714,7,35640659.0,111358.0,2252,"SUN SING CTR(Block C),SUN SING ST|新成中心C座,新成街",4729774.0,16366.0,289.0,4633910.0,15979.0,290.0,5268200.0,14840.0,355.0,5773340.0,15193.0,380.0,5428185.0,15205.0,357.0,4838000.0,16400.0,295.0,4969250.0,17375.0,286.0,-0.0971986953191859,-0.09693376908791584
