,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_change,npsf_change
2019-12-15,5595020.25,13366.75,12,67140243.0,160401.0,5038,"WETLAND SEASONS PARK(Block 16),WETLAND PARK RD|WETLAND SEASONS PARK16座,濕地公園路",5972144.0,12871.0,464.0,5631760.0,13736.0,410.0,5726295.0,14139.0,405.0,5731650.0,13550.0,423.0,5470030.0,12721.0,430.0,5620968.0,13257.0,424.0,6831475.0,13265.0,515.0,5411200.0,14240.0,380.0,4917640.0,13510.0,364.0,5843816.0,12074.0,484.0,4293492.0,13587.0,316.0,5689773.0,13451.0,423.0,-0.0003423450293550401,-0.00034900315972496987
2019-11-15,5596936.333333333,13371.416666666666,12,67163236.0,160457.0,5038,"WETLAND SEASONS PARK(Block 16),WETLAND PARK RD|WETLAND SEASONS PARK16座,濕地公園路",5973072.0,12873.0,464.0,5634220.0,13742.0,410.0,5728320.0,14144.0,405.0,5733342.0,13554.0,423.0,5470890.0,12723.0,430.0,5622664.0,13261.0,424.0,6833535.0,13269.0,515.0,5413480.0,14246.0,380.0,4919824.0,13516.0,364.0,5846720.0,12080.0,484.0,4295704.0,13594.0,316.0,5691465.0,13455.0,423.0,0.020114098122319568,0.020108840769514247
2019-10-15,5486578.75,13107.833333333334,12,65838945.0,157294.0,5038,"WETLAND SEASONS PARK(Block 16),WETLAND PARK RD|WETLAND SEASONS PARK16座,濕地公園路",5853824.0,12616.0,464.0,5523520.0,13472.0,410.0,5615325.0,13865.0,405.0,5620401.0,13287.0,423.0,5362100.0,12470.0,430.0,5511576.0,12999.0,424.0,6698605.0,13007.0,515.0,5307080.0,13966.0,380.0,4823000.0,13250.0,364.0,5732496.0,11844.0,484.0,4211648.0,13328.0,316.0,5579370.0,13190.0,423.0,0.010723279580640233,0.010718003418451971
2019-9-15,5428368.833333333,12968.833333333334,12,65140426.0,155626.0,5038,"WETLAND SEASONS PARK(Block 16),WETLAND PARK RD|WETLAND SEASONS PARK16座,濕地公園路",5790720.0,12480.0,464.0,5465300.0,13330.0,410.0,5555385.0,13717.0,405.0,5560758.0,13146.0,423.0,5304050.0,12335.0,430.0,5453064.0,12861.0,424.0,6627535.0,12869.0,515.0,5251220.0,13819.0,380.0,4772040.0,13110.0,364.0,5672479.999999999,11720.0,484.0,4167724.0,13189.0,316.0,5520150.0,13050.0,423.0,-0.05396907048058608,-0.053974043342147615
2019-8-15,5738045.833333333,13708.75,12,68856550.0,164505.0,5038,"WETLAND SEASONS PARK(Block 16),WETLAND PARK RD|WETLAND SEASONS PARK16座,濕地公園路",6120160.0,13190.0,464.0,5777310.0,14091.0,410.0,5872500.0,14500.0,405.0,5877585.0,13895.0,423.0,5605480.0,13036.0,430.0,5764280.0,13595.0,424.0,7005545.0,13603.0,515.0,5551040.0,14608.0,380.0,5045040.0,13860.0,364.0,5996760.0,12390.0,484.0,4405988.0,13943.0,316.0,5834862.0,13794.0,423.0,0.04111018811986278,0.04110499335485085
2019-7-15,5511468.333333333,13167.5,12,66137620.0,158010.0,5038,"WETLAND SEASONS PARK(Block 16),WETLAND PARK RD|WETLAND SEASONS PARK16座,濕地公園路",5877024.0,12666.0,464.0,5549760.0,13536.0,410.0,5640435.0,13927.0,405.0,5645358.0,13346.0,423.0,5383170.0,12519.0,430.0,5536592.0,13058.0,424.0,6728990.0,13066.0,515.0,5332160.0,14032.0,380.0,4845932.0,13313.0,364.0,5761052.0,11903.0,484.0,4232820.0,13395.0,316.0,5604327.0,13249.0,423.0,-0.044182138904843016,-0.04418836766173673
2019-6-15,5766232.833333333,13776.25,12,69194794.0,165315.0,5038,"WETLAND SEASONS PARK(Block 16),WETLAND PARK RD|WETLAND SEASONS PARK16座,濕地公園路",6147536.0,13249.0,464.0,5806420.0,14162.0,410.0,5900850.0,14570.0,405.0,5906349.0,13963.0,423.0,5630850.0,13095.0,430.0,5792264.0,13661.0,424.0,7040050.0,13670.0,515.0,5579160.0,14682.0,380.0,5070520.0,13930.0,364.0,6028220.0,12455.0,484.0,4429372.0,14017.0,316.0,5863203.0,13861.0,423.0,0.002418792536285519,0.002413335192854582
2019-5-15,5752319.166666667,13743.083333333334,12,69027830.0,164917.0,5038,"WETLAND SEASONS PARK(Block 16),WETLAND PARK RD|WETLAND SEASONS PARK16座,濕地公園路",6131760.0,13215.0,464.0,5792890.0,14129.0,410.0,5886675.0,14535.0,405.0,5891967.0,13929.0,423.0,5616230.0,13061.0,430.0,5777848.0,13627.0,424.0,7022540.0,13636.0,515.0,5566240.0,14648.0,380.0,5058507.999999999,13897.0,364.0,6014668.0,12427.0,484.0,4419260.0,13985.0,316.0,5849244.0,13828.0,423.0,-0.005313848764881057,-0.005301696060218575
2019-4-15,5783049.416666667,13816.333333333334,12,69396593.0,165796.0,5038,"WETLAND SEASONS PARK(Block 16),WETLAND PARK RD|WETLAND SEASONS PARK16座,濕地公園路",6153104.0,13261.0,464.0,5815030.0,14183.0,410.0,5908140.0,14588.0,405.0,6026481.0,14247.0,423.0,5635580.0,13106.0,430.0,5799472.0,13678.0,424.0,7048804.999999999,13687.0,515.0,5587140.0,14703.0,380.0,5077800.0,13950.0,364.0,6037900.0,12475.0,484.0,4436324.0,14039.0,316.0,5870817.0,13879.0,423.0,0.060543826198714346,0.06053782974694899
2019-3-15,5452909.416666667,13027.666666666666,12,65434913.0,156332.0,5038,"WETLAND SEASONS PARK(Block 16),WETLAND PARK RD|WETLAND SEASONS PARK16座,濕地公園路",5800464.0,12501.0,464.0,5483340.0,13374.0,410.0,5570775.0,13755.0,405.0,5683851.0,13437.0,423.0,5312650.0,12355.0,430.0,5467904.0,12896.0,424.0,6646075.0,12905.0,515.0,5268320.0,13864.0,380.0,4788056.0,13154.0,364.0,5694260.0,11765.0,484.0,4183840.0,13240.0,316.0,5535378.0,13086.0,423.0,0.03849467699154108,0.03848862081334925
2019-2-15,5250782.25,12544.833333333334,12,63009387.0,150538.0,5038,"WETLAND SEASONS PARK(Block 16),WETLAND PARK RD|WETLAND SEASONS PARK16座,濕地公園路",5584240.0,12035.0,464.0,5279980.000000001,12878.0,410.0,5364225.0,13245.0,405.0,5474466.0,12942.0,423.0,5114850.0,11895.0,430.0,5265232.0,12418.0,424.0,6399390.0,12426.0,515.0,5073380.000000001,13351.0,380.0,4610788.0,12667.0,364.0,5483720.0,11330.0,484.0,4029316.0,12751.0,316.0,5329800.0,12600.0,423.0,0.009067490856968341,0.009062512568203562
2019-1-15,5203598.666666667,12432.166666666666,12,62443184.0,149186.0,5038,"WETLAND SEASONS PARK(Block 16),WETLAND PARK RD|WETLAND SEASONS PARK16座,濕地公園路",5532736.0,11924.0,464.0,5232830.0,12763.0,410.0,5315624.999999999,13125.0,405.0,5426667.000000001,12829.0,423.0,5067550.0,11785.0,430.0,5217744.0,12306.0,424.0,6341709.999999999,12314.0,515.0,5028160.0,13232.0,380.0,4569656.0,12554.0,364.0,5435320.0,11230.0,484.0,3993608.0000000005,12638.0,316.0,5281578.0,12486.0,423.0,0.056361971683330125,0.056356079219979094
2018-12-15,4925961.75,11768.916666666666,12,59111541.0,141227.0,5038,"WETLAND SEASONS PARK(Block 16),WETLAND PARK RD|WETLAND SEASONS PARK16座,濕地公園路",5236240.0,11285.0,464.0,4954030.0,12083.0,410.0,5031720.0,12424.0,405.0,5136912.000000001,12144.0,423.0,4796220.0,11154.0,430.0,4939176.0,11649.0,424.0,6003355.0,11657.0,515.0,4760260.0,12527.0,380.0,4326140.0,11885.0,364.0,5146372.0,10633.0,484.0,3781256.0,11966.0,316.0,4999860.0,11820.0,423.0,-0.027656456870524315,-0.027663602877896043
