,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,7575782.428571428,17608.85714285714,7,53030477.0,123262.0,3014,"YUK MING TOWERS(Block 2),THIRD ST|毓明閣2座,第三街",7217910.0,18090.0,399.0,6918120.0,17470.0,396.0,6700632.0,18822.0,356.0,6568737.0,16463.0,399.0,6838062.0,17138.0,399.0,9259616.0,17504.0,529.0,9527400.0,17775.0,536.0,-0.07113671315320236,-0.0711438324679925
2019-11-15,8155971.428571428,18957.571428571428,7,57091800.0,132703.0,3014,"YUK MING TOWERS(Block 2),THIRD ST|毓明閣2座,第三街",7768928.999999999,19471.0,399.0,7447968.0,18808.0,396.0,7215052.0,20267.0,356.0,7071077.999999999,17722.0,399.0,7363944.0,18456.0,399.0,9969005.0,18845.0,529.0,10255824.0,19134.0,536.0,0.054431534062707065,0.0539847187584388
2019-10-15,7734946.428571428,17986.571428571428,7,54144625.0,125906.0,3014,"YUK MING TOWERS(Block 2),THIRD ST|毓明閣2座,第三街",7542696.0,18904.0,399.0,7042464.0,17784.0,396.0,6823096.0,19166.0,356.0,6685245.0,16755.0,399.0,6964545.0,17455.0,399.0,9426251.0,17819.0,529.0,9660328.0,18023.0,536.0,-0.15017493145123373,-0.15032291589340074
2019-9-15,9101810.142857144,21168.714285714286,7,63712671.0,148181.0,3014,"YUK MING TOWERS(Block 2),THIRD ST|毓明閣2座,第三街",8862987.0,22213.0,399.0,8357184.0,21104.0,396.0,8022816.0,22536.0,356.0,7858305.0,19695.0,399.0,8189874.0,20526.0,399.0,11173009.0,21121.0,529.0,11248496.0,20986.0,536.0,0.10202514013346087,0.1021189875865558
2019-8-15,8259167.428571428,19207.285714285714,7,57814172.0,134451.0,3014,"YUK MING TOWERS(Block 2),THIRD ST|毓明閣2座,第三街",8008728.0,20072.0,399.0,7623792.0,19252.0,396.0,7254568.0,20378.0,356.0,7166439.0,17961.0,399.0,7406238.000000001,18562.0,399.0,10181663.0,19247.0,529.0,10172744.0,18979.0,536.0,-0.05419048367688373,-0.05331530808390195
2019-7-15,8732379.285714285,20289.0,7,61126655.0,142023.0,3014,"YUK MING TOWERS(Block 2),THIRD ST|毓明閣2座,第三街",8424087.0,21113.0,399.0,8022167.999999999,20258.0,396.0,7636200.0,21450.0,356.0,7541100.000000001,18900.0,399.0,7796460.000000001,19540.0,399.0,10715424.0,20256.0,529.0,10991216.0,20506.0,536.0,0.08195830407552429,0.0820552673081758
2019-6-15,8070901.857142857,18750.428571428572,7,56496313.0,131253.0,3014,"YUK MING TOWERS(Block 2),THIRD ST|毓明閣2座,第三街",7792470.0,19530.0,399.0,7423020.0,18745.0,396.0,7066600.0,19850.0,356.0,6912276.0,17324.0,399.0,7216314.0,18086.0,399.0,9916105.0,18745.0,529.0,10169528.0,18973.0,536.0,-0.009267756373739444,-0.009882093796911517
2019-5-15,8146400.714285715,18937.571428571428,7,57024805.0,132563.0,3014,"YUK MING TOWERS(Block 2),THIRD ST|毓明閣2座,第三街",7889427.0,19773.0,399.0,7515684.0,18979.0,396.0,7155600.0,20100.0,356.0,6998859.000000001,17541.0,399.0,7307286.000000001,18314.0,399.0,10040949.0,18981.0,529.0,10117000.0,18875.0,536.0,0.04676332239647785,0.04676210705853556
2019-4-15,7782466.714285715,18091.571428571428,7,54477267.0,126641.0,3014,"YUK MING TOWERS(Block 2),THIRD ST|毓明閣2座,第三街",7536312.000000001,18888.0,399.0,7179084.0,18129.0,396.0,6836624.0,19204.0,356.0,6686442.0,16758.0,399.0,6981303.0,17497.0,399.0,9592886.0,18134.0,529.0,9664616.0,18031.0,536.0,0.024883705232271236,0.024885486298819925
2019-3-15,7593512.0,17652.285714285714,7,53154584.0,123566.0,3014,"YUK MING TOWERS(Block 2),THIRD ST|毓明閣2座,第三街",7352772.0,18428.0,399.0,7004448.0,17688.0,396.0,6671084.0,18739.0,356.0,6524049.0,16351.0,399.0,6811728.0,17072.0,399.0,9360655.0,17695.0,529.0,9429848.0,17593.0,536.0,0.024567195277829024,0.024559716095651662
2019-2-15,7411433.857142857,17229.14285714286,7,51880037.0,120604.0,3014,"YUK MING TOWERS(Block 2),THIRD ST|毓明閣2座,第三街",7176015.0,17985.0,399.0,6835752.0,17262.0,396.0,6511952.0,18292.0,356.0,6368040.0,15960.0,399.0,6649335.0,16665.0,399.0,9136359.0,17271.0,529.0,9202584.0,17169.0,536.0,0.023560398247574277,0.023542391581091504
2019-1-15,7240836.857142857,16832.85714285714,7,50685858.0,117830.0,3014,"YUK MING TOWERS(Block 2),THIRD ST|毓明閣2座,第三街",7011627.0,17573.0,399.0,6676560.0,16860.0,396.0,6363144.0,17874.0,356.0,6222804.0,15596.0,399.0,6497715.0,16285.0,399.0,8925288.0,16872.0,529.0,8988720.0,16770.0,536.0,0.04728806263067131,0.04760126604786796
2018-12-15,6913892.285714285,16068.0,7,48397246.0,112476.0,3014,"YUK MING TOWERS(Block 2),THIRD ST|毓明閣2座,第三街",6720357.0,16843.0,399.0,6219180.0,15705.0,396.0,6099348.0,17133.0,356.0,5964651.0,14949.0,399.0,6228390.0,15610.0,399.0,8552872.0,16168.0,529.0,8612448.0,16068.0,536.0,-0.1415623638106086,-0.1420333190944041
2018-11-15,8054041.428571428,18728.0,7,56378290.0,131096.0,3014,"YUK MING TOWERS(Block 2),THIRD ST|毓明閣2座,第三街",7865088.000000001,19712.0,399.0,7276895.999999999,18376.0,396.0,7138868.0,20053.0,356.0,6981303.0,17497.0,399.0,7221102.0,18098.0,399.0,9818769.0,18561.0,529.0,10076264.0,18799.0,536.0,-0.06122481806557967,-0.06124641064382841
2018-10-15,8579308.0,19949.85714285714,7,60055156.0,139649.0,3014,"YUK MING TOWERS(Block 2),THIRD ST|毓明閣2座,第三街",8378202.0,20998.0,399.0,7750511.999999999,19572.0,396.0,7605584.0,21364.0,356.0,7437759.0,18641.0,399.0,7695114.0,19286.0,399.0,10457801.0,19769.0,529.0,10730184.0,20019.0,536.0,0.0676270609788665,0.06721231295948149
2018-9-15,8035866.0,18693.428571428572,7,56251062.0,130854.0,3014,"YUK MING TOWERS(Block 2),THIRD ST|毓明閣2座,第三街",7919352.000000001,19848.0,399.0,7042464.0,17784.0,396.0,7189776.0,20196.0,356.0,7031178.000000001,17622.0,399.0,7276164.0,18236.0,399.0,9818240.0,18560.0,529.0,9973888.0,18608.0,536.0,-0.059440892393658906,-0.059111989933488984
2018-8-15,8543711.857142856,19867.85714285714,7,59805983.0,139075.0,3014,"YUK MING TOWERS(Block 2),THIRD ST|毓明閣2座,第三街",8178303.000000001,20497.0,399.0,7522416.000000001,18996.0,396.0,7680344.0,21574.0,356.0,7511175.0,18825.0,399.0,7774914.0,19486.0,399.0,10486367.0,19823.0,529.0,10652464.0,19874.0,536.0,0.04983719321138547,0.048088082354891704
