,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,12906481.625,16785.75,8,103251853,134286,6087,"YEE TSUI COURT,SOUTH HORIZONS,SOUTH HORIZON DR|怡翠閣(海怡半島),海怡路",10225226.0,16027.0,638.0,9840000.0,15744.0,625.0,9803125.0,15685.0,625.0,9936141.0,15501.0,641.0,16125200.0,18200.0,886.0,15886767.0,17711.0,897.0,15975570.0,17810.0,897.0,15459824.0,17608.0,878.0,0.04362711618638215,0.04324114356743314
2019-11-15,12366947.375,16090.0,8,98935579,128720,6087,"YEE TSUI COURT,SOUTH HORIZONS,SOUTH HORIZON DR|怡翠閣(海怡半島),海怡路",9848806.0,15437.0,638.0,9481875.0,15171.0,625.0,9347500.0,14956.0,625.0,9568848.0,14928.0,641.0,15538668.0,17538.0,886.0,15152124.0,16892.0,897.0,15254382.0,17006.0,897.0,14743376.0,16792.0,878.0,-0.0851051505194581,-0.08416281866110753
2019-10-15,13517342.875,17568.625,8,108138743,140549,6087,"YEE TSUI COURT,SOUTH HORIZONS,SOUTH HORIZON DR|怡翠閣(海怡半島),海怡路",10812824.0,16948.0,638.0,10413750.0,16662.0,625.0,9775625.0,15641.0,625.0,10505349.0,16389.0,641.0,17073220.0,19270.0,886.0,16631277.0,18541.0,897.0,16743402.0,18666.0,897.0,16183296.0,18432.0,878.0,0.08159215376286433,0.08262018286436157
2019-9-15,12497634.0,16227.875,8,99981072,129823,6087,"YEE TSUI COURT,SOUTH HORIZONS,SOUTH HORIZON DR|怡翠閣(海怡半島),海怡路",9929832.0,15564.0,638.0,9566875.0,15307.0,625.0,8975000.0,14360.0,625.0,9648332.0,15052.0,641.0,15691060.0,17710.0,886.0,15938793.0,17769.0,897.0,15372786.0,17138.0,897.0,14858394.0,16923.0,878.0,-0.05567139938534105,-0.05564729074072727
2019-8-15,13234412.25,17184.125,8,105875298,137473,6087,"YEE TSUI COURT,SOUTH HORIZONS,SOUTH HORIZON DR|怡翠閣(海怡半島),海怡路",10512964.0,16478.0,638.0,10132500.0,16212.0,625.0,9499375.0,15199.0,625.0,10214976.0,15936.0,641.0,16626676.0,18766.0,886.0,16888716.0,18828.0,897.0,16272477.0,18141.0,897.0,15727614.0,17913.0,878.0,-0.014405189783694095,-0.014714103464587236
2019-7-15,13427842.875,17440.75,8,107422743,139526,6087,"YEE TSUI COURT,SOUTH HORIZONS,SOUTH HORIZON DR|怡翠閣(海怡半島),海怡路",10690328.0,16756.0,638.0,10307500.0,16492.0,625.0,9658125.0,15453.0,625.0,10388687.0,16207.0,641.0,16796788.0,18958.0,886.0,17061837.0,19021.0,897.0,16544268.0,18444.0,897.0,15975210.0,18195.0,878.0,-0.04685221087108371,-0.046673544825324376
2019-6-15,14087891.75,18294.625,8,112703134,146357,6087,"YEE TSUI COURT,SOUTH HORIZONS,SOUTH HORIZON DR|怡翠閣(海怡半島),海怡路",11224972.0,17594.0,638.0,10734375.0,17175.0,625.0,10138125.0,16221.0,625.0,10908538.0,17018.0,641.0,17640260.0,19910.0,886.0,17919369.0,19977.0,897.0,17366817.0,19361.0,897.0,16770678.0,19101.0,878.0,0.02676323803331382,0.02667040791273534
2019-5-15,13720681.875,17819.375,8,109765455,142555,6087,"YEE TSUI COURT,SOUTH HORIZONS,SOUTH HORIZON DR|怡翠閣(海怡半島),海怡路",10927664.0,17128.0,638.0,10452500.0,16724.0,625.0,9911250.0,15858.0,625.0,10620088.0,16568.0,641.0,17177768.0,19388.0,886.0,17449341.0,19453.0,897.0,16903068.0,18844.0,897.0,16323776.0,18592.0,878.0,0.05339851834040177,0.05497831653419771
2019-4-15,13025157.75,16890.75,8,104201262,135126,6087,"YEE TSUI COURT,SOUTH HORIZONS,SOUTH HORIZON DR|怡翠閣(海怡半島),海怡路",10245004.0,16058.0,638.0,9802500.0,15684.0,625.0,9300625.0,14881.0,625.0,9957294.0,15534.0,641.0,16109252.0,18182.0,886.0,16363971.0,18243.0,897.0,15909192.0,17736.0,897.0,16513424.0,18808.0,878.0,0.09846650451445282,0.09875509225002244
2019-3-15,11857583.0,15372.625,8,94860664,122981,6087,"YEE TSUI COURT,SOUTH HORIZONS,SOUTH HORIZON DR|怡翠閣(海怡半島),海怡路",9336492.0,14634.0,638.0,8821250.0,14114.0,625.0,8483125.0,13573.0,625.0,9074637.0,14157.0,641.0,14684564.0,16574.0,886.0,14916213.0,16629.0,897.0,14492829.0,16157.0,897.0,15051554.0,17143.0,878.0,-0.07183042877455037,-0.07221962370052959
2019-2-15,12775233.5,16569.25,8,102201868,132554,6087,"YEE TSUI COURT,SOUTH HORIZONS,SOUTH HORIZON DR|怡翠閣(海怡半島),海怡路",10087418.0,15811.0,638.0,9535000.0,15256.0,625.0,9173125.0,14677.0,625.0,9805377.0,15297.0,641.0,15644988.0,17658.0,886.0,16037463.0,17879.0,897.0,15653547.0,17451.0,897.0,16264950.0,18525.0,878.0,0.08287035202952531,0.08332039326898721
2019-1-15,11797565.125,15294.875,8,94380521,122359,6087,"YEE TSUI COURT,SOUTH HORIZONS,SOUTH HORIZON DR|怡翠閣(海怡半島),海怡路",9331388.0,14626.0,638.0,8824375.0,14119.0,625.0,8315000.0,13304.0,625.0,9071432.0,14152.0,641.0,14477240.0,16340.0,886.0,14837277.0,16541.0,897.0,14474889.0,16137.0,897.0,15048920.0,17140.0,878.0,0.02822208929805714,0.02742394599178799
2018-12-15,11473751.875,14886.625,8,91790015,119093,6087,"YEE TSUI COURT,SOUTH HORIZONS,SOUTH HORIZON DR|怡翠閣(海怡半島),海怡路",9126590.0,14305.0,638.0,8635000.0,13816.0,625.0,8140000.0,13024.0,625.0,8872722.0,13842.0,641.0,14017406.0,15821.0,886.0,14512563.0,16179.0,897.0,14005758.0,15614.0,897.0,14479976.0,16492.0,878.0,-0.018632235286085264,-0.01906793621507641
