,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,6968742.716078939,11666.0,4,27874970.864315756,46664.0,1996,"HEE WONG TERR(Block 8),HEE WONG TERR|羲皇臺8座,羲皇臺",6550795.997690888,11528.0,475.0,7527326.140682802,11652.0,540.0,6414253.090354526,11264.0,476.0,7382595.635587539,12220.0,505.0,-0.0351252566512682,-0.060840863807434586
2019-11-15,7222432.511698823,12421.75,4,28889730.046795294,49687.0,1996,"HEE WONG TERR(Block 8),HEE WONG TERR|羲皇臺8座,羲皇臺",6787108.995929068,12271.0,475.0,7804530.545365351,12412.0,540.0,6649528.772261627,11997.0,476.0,7648561.733239248,13007.0,505.0,-0.017767461196090295,0.08057500761167424
2019-10-15,7353078.040454421,11495.5,4,29412312.161817685,45982.0,1996,"HEE WONG TERR(Block 8),HEE WONG TERR|羲皇臺8座,羲皇臺",6908016.686935457,11353.0,475.0,7948784.353733663,11491.0,540.0,6771950.147700367,11106.0,476.0,7783560.973448196,12032.0,505.0,0.07111304953383701,0.041660059352558676
2019-9-15,6864894.460631005,11035.75,4,27459577.84252402,44143.0,1996,"HEE WONG TERR(Block 8),HEE WONG TERR|羲皇臺8座,羲皇臺",6502022.345153559,11278.0,475.0,7486807.977206133,11423.0,540.0,6144953.213599324,9490.0,476.0,7325794.306565003,11952.0,505.0,-0.1171016381894725,-0.006392509059805929
2019-8-15,7775407.405393091,11106.75,4,31101629.621572364,44427.0,1996,"HEE WONG TERR(Block 8),HEE WONG TERR|羲皇臺8座,羲皇臺",7202788.019955732,10809.0,475.0,8299793.562904771,10956.0,540.0,7484392.96858232,11208.0,476.0,8114655.070129539,11454.0,505.0,0.053078996825099756,0.024560675245606678
2019-7-15,7383498.70127024,10840.5,4,29533994.80508096,43362.0,1996,"HEE WONG TERR(Block 8),HEE WONG TERR|羲皇臺8座,羲皇臺",6839073.875808302,10549.0,475.0,7885501.8943232205,10699.0,540.0,7105547.678022767,10937.0,476.0,7703871.356926671,11177.0,505.0,0.0060473618128757956,-0.0291944655890386
2019-6-15,7339116.408958456,11166.5,4,29356465.635833822,44666.0,1996,"HEE WONG TERR(Block 8),HEE WONG TERR|羲皇臺8座,羲皇臺",6804232.774168246,10878.0,475.0,7893202.358863272,11100.0,540.0,7036691.139133328,11226.0,476.0,7622339.36366898,11462.0,505.0,-0.0884462048573883,0.01414526712530928
2019-5-15,8051215.899781601,11010.75,4,32204863.599126402,44043.0,1996,"HEE WONG TERR(Block 8),HEE WONG TERR|羲皇臺8座,羲皇臺",7592765.403972803,10907.0,475.0,8588248.529628571,10852.0,540.0,7691764.867533871,11026.0,476.0,8332084.7979911575,11258.0,505.0,0.022922201365615402,-0.07445467154205021
2019-4-15,7870799.840919589,11896.5,4,31483199.363678355,47586.0,1996,"HEE WONG TERR(Block 8),HEE WONG TERR|羲皇臺8座,羲皇臺",7446866.827645807,10574.0,475.0,8320860.0,15409.0,540.0,7543705.082348176,10689.0,476.0,8171767.45368437,10914.0,505.0,0.05180244316429983,-0.01949229374433359
2019-3-15,7483154.172223298,12133.0,4,29932616.68889319,48532.0,1996,"HEE WONG TERR(Block 8),HEE WONG TERR|羲皇臺8座,羲皇臺",7079388.387642682,11133.0,475.0,7912620.000000001,14653.0,540.0,7171397.310285048,11254.0,476.0,7769210.990965464,11492.0,505.0,0.011612124127202028,0.037141513869299425
2019-2-15,7397256.313707794,11698.5,4,29589025.254831176,46794.0,1996,"HEE WONG TERR(Block 8),HEE WONG TERR|羲皇臺8座,羲皇臺",6908186.830596638,10478.0,475.0,7854839.999999999,14546.0,540.0,7116313.126796324,10771.0,476.0,7709685.297438216,10999.0,505.0,0.060441802536295386,-0.04332181628605891
2019-1-15,6975636.282929926,12228.25,4,27902545.131719705,48913.0,1996,"HEE WONG TERR(Block 8),HEE WONG TERR|羲皇臺8座,羲皇臺",6512261.160980947,11432.0,475.0,7409340.0,13721.0,540.0,6710356.129595517,11755.0,476.0,7270587.84114324,12005.0,505.0,0.14258844320924258,0.02805918701921062
2018-12-15,6105117.135035188,11894.5,4,24420468.54014075,47578.0,1996,"HEE WONG TERR(Block 8),HEE WONG TERR|羲皇臺8座,羲皇臺",5698251.678076425,11552.0,475.0,6486480.0,12012.0,540.0,5872381.07765724,11880.0,476.0,6363355.784407086,12134.0,505.0,-0.1533269107860219,-0.04647574002445032
2018-11-15,7210713.571519046,12474.25,4,28842854.286076184,49897.0,1996,"HEE WONG TERR(Block 8),HEE WONG TERR|羲皇臺8座,羲皇臺",6728095.124506776,11595.0,475.0,7663680.0,14192.0,540.0,6935310.864809485,11927.0,476.0,7515768.296759921,12183.0,505.0,0.012419551582264488,-0.008189389572442307
2018-10-15,7122258.3169692345,12577.25,4,28489033.267876938,50309.0,1996,"HEE WONG TERR(Block 8),HEE WONG TERR|羲皇臺8座,羲皇臺",6643712.880812792,11782.0,475.0,7571879.999999999,14022.0,540.0,6849824.740615431,12122.0,476.0,7423615.646448717,12383.0,505.0,-0.0486871108671042,-0.014630993418990879
2018-9-15,7486767.390969591,12764.0,4,29947069.563878365,51056.0,1996,"HEE WONG TERR(Block 8),HEE WONG TERR|羲皇臺8座,羲皇臺",6982285.010191748,11789.0,475.0,7961219.999999999,14743.0,540.0,7199967.738402128,12131.0,476.0,7803596.815284489,12393.0,505.0,0.007836486506264118,0.024973901871035098
2018-8-15,7428553.630681695,12453.0,4,29714214.52272678,49812.0,1996,"HEE WONG TERR(Block 8),HEE WONG TERR|羲皇臺8座,羲皇臺",6954346.863254486,11466.0,475.0,7891560.0,14614.0,540.0,7134915.869528462,11739.0,476.0,7733391.789943831,11993.0,505.0,0.002372953940327438,-0.054513704350466985
2018-7-15,7410967.74556821,13171.0,4,29643870.98227284,52684.0,1996,"HEE WONG TERR(Block 8),HEE WONG TERR|羲皇臺8座,羲皇臺",6938561.324964485,12414.0,475.0,7874280.000000001,14582.0,540.0,7116720.078827707,12706.0,476.0,7714309.578480648,12982.0,505.0,-0.01824760599254749,0.013465681748230152
2018-6-15,7548713.698896214,12996.0,4,30194854.795584857,51984.0,1996,"HEE WONG TERR(Block 8),HEE WONG TERR|羲皇臺8座,羲皇臺",7068370.276331443,12099.0,475.0,8021699.999999999,14855.0,540.0,7247759.986077672,12380.0,476.0,7857024.533175746,12650.0,505.0,-0.014563784478267339,0.06655724251128436
2018-5-15,7660276.312150349,12185.0,4,30641105.248601396,48740.0,1996,"HEE WONG TERR(Block 8),HEE WONG TERR|羲皇臺8座,羲皇臺",7174024.290092955,10972.0,475.0,8141580.000000001,15077.0,540.0,7353588.946653012,11223.0,476.0,7971912.011855428,11468.0,505.0,0.0623927351809237,-0.15613421517365556
