,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E
2018-1-15,7087259.2,17277.0,5,35436296,86385,2050,"MAN KWONG COURT,SMITHFIELD|文光閣,士美非路",5913936.0,17601.0,336.0,8223578.0,17386.0,473.0,8301150.0,17550.0,473.0,6506880.0,16945.0,384.0,6490752.0,16903.0,384.0
2018-2-15,7630923.6,18605.8,5,38154618,93029,2050,"MAN KWONG COURT,SMITHFIELD|文光閣,士美非路",6360816.0,18931.0,336.0,8836113.0,18681.0,473.0,8915577.0,18849.0,473.0,7064832.0,18398.0,384.0,6977280.0,18170.0,384.0
2018-3-15,7490294.4,18265.8,5,37451472,91329,2050,"MAN KWONG COURT,SMITHFIELD|文光閣,士美非路",6238512.0,18567.0,336.0,8658265.0,18305.0,473.0,8732999.0,18463.0,473.0,6925440.0,18035.0,384.0,6896256.0,17959.0,384.0
2018-4-15,7509785.6,18309.6,5,37548928,91548,2050,"MAN KWONG COURT,SMITHFIELD|文光閣,士美非路",6284544.0,18704.0,336.0,8712660.0,18420.0,473.0,8784556.0,18572.0,473.0,6832512.0,17793.0,384.0,6934656.0,18059.0,384.0
2018-5-15,7678050.4,18721.0,5,38390252,93605,2050,"MAN KWONG COURT,SMITHFIELD|文光閣,士美非路",6430368.0,19138.0,336.0,8905644.0,18828.0,473.0,8975648.0,18976.0,473.0,6987264.0,18196.0,384.0,7091328.0,18467.0,384.0
2018-6-15,7551240.4,18413.0,5,37756202,92065,2050,"MAN KWONG COURT,SMITHFIELD|文光閣,士美非路",6329232.0,18837.0,336.0,8756176.0,18512.0,473.0,8821450.0,18650.0,473.0,6873984.0,17901.0,384.0,6975360.0,18165.0,384.0
2018-7-15,7428361.6,18122.6,5,37141808,90613,2050,"MAN KWONG COURT,SMITHFIELD|文光閣,士美非路",6252288.0,18608.0,336.0,8640291.0,18267.0,473.0,8576909.0,18133.0,473.0,6786432.0,17673.0,384.0,6885888.0,17932.0,384.0
2018-8-15,7428001.4,18122.8,5,37140007,90614,2050,"MAN KWONG COURT,SMITHFIELD|文光閣,士美非路",6256992.0,18622.0,336.0,8636507.0,18259.0,473.0,8572652.0,18124.0,473.0,6787584.0,17676.0,384.0,6886272.0,17933.0,384.0
2018-9-15,7534286.4,18383.2,5,37671432,91916,2050,"MAN KWONG COURT,SMITHFIELD|文光閣,士美非路",6351408.0,18903.0,336.0,8757122.0,18514.0,473.0,8690902.0,18374.0,473.0,6886272.0,17933.0,384.0,6985728.0,18192.0,384.0
2018-10-15,7140281.8,17431.0,5,35701409,87155,2050,"MAN KWONG COURT,SMITHFIELD|文光閣,士美非路",6058752.0,18032.0,336.0,8267567.0,17479.0,473.0,8204658.0,17346.0,473.0,6571776.0,17114.0,384.0,6598656.0,17184.0,384.0
