,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_A & B,npsf_A & B,nfa_A & B,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,,,5,,,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",24493080.0,20360.0,1203.0,,,2363.0,24153520.0,20822.0,1160.0,24399760.0,20944.0,1165.0,24641880.0,21243.0,1160.0,,
2019-11-15,,,5,,,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",26712615.0,22205.0,1203.0,,,2363.0,26226440.0,22609.0,1160.0,26061050.0,22370.0,1165.0,26319240.0,22689.0,1160.0,,
2019-10-15,,,5,,,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",25937883.0,21561.0,1203.0,,,2363.0,25206800.0,21730.0,1160.0,25394670.0,21798.0,1165.0,25319320.0,21827.0,1160.0,,
2019-9-15,,,5,,,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",26242242.0,21814.0,1203.0,,,2363.0,25755480.0,22203.0,1160.0,25695240.0,22056.0,1165.0,25820440.0,22259.0,1160.0,,
2019-8-15,,,5,,,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",27318927.0,22709.0,1203.0,,,2363.0,26815720.0,23117.0,1160.0,26753060.0,22964.0,1165.0,26881840.0,23174.0,1160.0,,
2019-7-15,,,5,,,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",27074718.0,22506.0,1203.0,,,2363.0,26577920.0,22912.0,1160.0,26517730.0,22762.0,1165.0,26644040.0,22969.0,1160.0,,
2019-6-15,,,5,,,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",26939982.0,22394.0,1203.0,,,2363.0,26448000.0,22800.0,1160.0,26388415.0,22651.0,1165.0,26514120.0,22857.0,1160.0,,
2019-5-15,,,5,,,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",27166146.0,22582.0,1203.0,,,2363.0,26671880.0,22993.0,1160.0,26613260.0,22844.0,1165.0,26738000.0,23050.0,1160.0,,
2019-4-15,,,5,,,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",26129160.0,21720.0,1203.0,,,2363.0,25655720.0,22117.0,1160.0,25600875.0,21975.0,1165.0,25719520.0,22172.0,1160.0,,
2019-3-15,,,5,,,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",25546908.0,21236.0,1203.0,,,2363.0,25086160.0,21626.0,1160.0,25032355.0,21487.0,1165.0,25147640.0,21679.0,1160.0,,
2019-2-15,32300142.2,22318.0,5,161500711,111590,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",25474728.0,21176.0,1203.0,60967763.0,25801.0,2363.0,25016560.0,21566.0,1160.0,24963620.0,21428.0,1165.0,25078040.0,21619.0,1160.0,0.0244119333683801,0.024409947581496505
2019-1-15,31530423.6,21786.2,5,157652118,108931,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",24866010.0,20670.0,1203.0,59514518.0,25186.0,2363.0,24420320.0,21052.0,1160.0,24369470.0,20918.0,1165.0,24481800.0,21105.0,1160.0,0.034741974654970864,0.03473792199403469
2018-12-15,30471774.0,21054.8,5,152358870,105274,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",24029925.0,19975.0,1203.0,57515420.0,24340.0,2363.0,23601360.0,20346.0,1160.0,23552805.0,20217.0,1165.0,23659360.0,20396.0,1160.0,-0.014162129331901085,-0.014159159440376157
2018-11-15,30909518.6,21357.2,5,154547593,106786,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",24373983.0,20261.0,1203.0,58342470.0,24690.0,2363.0,23940080.0,20638.0,1160.0,23891820.0,20508.0,1165.0,23999240.0,20689.0,1160.0,-0.10076018338912884,-0.10076461870115871
2018-10-15,34372942.6,23750.4,5,171864713,118752,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",27103590.0,22530.0,1203.0,64878528.0,27456.0,2363.0,26623160.0,22951.0,1160.0,26570155.0,22807.0,1165.0,26689280.0,23008.0,1160.0,0.039805218713454105,0.03980526417175989
2018-9-15,33057097.6,22841.2,5,165285488,114206,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",26064198.0,21666.0,1203.0,62395015.0,26405.0,2363.0,25604680.0,22073.0,1160.0,25554275.0,21935.0,1165.0,25667320.0,22127.0,1160.0,-0.04096359441594288,-0.04097073518915062
2018-8-15,34469074.8,23817.0,5,172345374,119085,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",27176973.0,22591.0,1203.0,65058116.0,27532.0,2363.0,26698560.0,23016.0,1160.0,26647045.0,22873.0,1165.0,26764680.0,23073.0,1160.0,0.0026438161139463734,0.0029561877810906356
2018-7-15,34378185.2,23746.8,5,171890926,118734,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",27137274.0,22558.0,1203.0,64968322.0,27494.0,2363.0,26661440.0,22984.0,1160.0,26610930.0,22842.0,1165.0,26512960.0,22856.0,1160.0,0.03782892936450244,0.03783018373162239
2018-6-15,33125098.2,22881.2,5,165625491,114406,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",26147205.0,21735.0,1203.0,62600596.0,26492.0,2363.0,25690520.0,22147.0,1160.0,25641650.0,22010.0,1165.0,25545520.0,22022.0,1160.0,0.020232073727082467,0.020225079812374203
2018-5-15,32468199.2,22427.6,5,162340996,112138,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",25625103.0,21301.0,1203.0,61357658.0,25966.0,2363.0,25182440.0,21709.0,1160.0,25134875.0,21575.0,1165.0,25040920.0,21587.0,1160.0,-0.015251330351865433,-0.015253567508232813
2018-4-15,32971051.6,22775.0,5,164855258,113875,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",26018484.0,21628.0,1203.0,62307584.0,26368.0,2363.0,25574520.0,22047.0,1160.0,25525150.0,21910.0,1165.0,25429520.0,21922.0,1160.0,0.028748449141752896,0.028746171844651558
2018-3-15,32049673.2,22138.6,5,160248366,110693,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",25288263.0,21021.0,1203.0,60566053.0,25631.0,2363.0,24862280.0,21433.0,1160.0,24812170.0,21298.0,1165.0,24719600.0,21310.0,1160.0,0.009172803633436866,0.009171551779153297
2018-2-15,31758360.0,21937.4,5,158791800,109687,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",25054881.0,20827.0,1203.0,60015474.0,25398.0,2363.0,24638400.0,21240.0,1160.0,24587325.0,21105.0,1165.0,24495720.0,21117.0,1160.0,0.02670100344192128,0.02669537136706146
2018-1-15,30932433.0,21367.0,5,154662165,106835,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",24400449.0,20283.0,1203.0,58453531.0,24737.0,2363.0,23999240.0,20689.0,1160.0,23948905.0,20557.0,1165.0,23860040.0,20569.0,1160.0,-0.012732678498158734,-0.012734144696108562
2017-12-15,31331365.2,21642.6,5,156656826,108213,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",24710823.0,20541.0,1203.0,59207328.0,25056.0,2363.0,24311280.0,20958.0,1160.0,24258795.0,20823.0,1165.0,24168600.0,20835.0,1160.0,0.028144385321407617,0.028142250429924465
2017-11-15,30473701.6,21050.2,5,152368508,105251,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",24031128.0,19976.0,1203.0,57586310.0,24370.0,2363.0,23647760.0,20386.0,1160.0,23595910.0,20254.0,1165.0,23507400.0,20265.0,1160.0,0.025768558913012773,0.025768222440964106
2017-10-15,29708165.0,20521.4,5,148540825,102607,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",23418801.0,19467.0,1203.0,56140154.0,23758.0,2363.0,23057320.0,19877.0,1160.0,23008750.0,19750.0,1165.0,22915800.0,19755.0,1160.0,-0.0036491232033537546,-0.0036414130624768948
2017-9-15,29816970.8,20596.4,5,149084854,102982,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",23496996.0,19532.0,1203.0,56348098.0,23846.0,2363.0,23143160.0,19951.0,1160.0,23094960.0,19824.0,1165.0,23001640.0,19829.0,1160.0,0.0024276341984710292,0.0024432741820872295
2017-8-15,29744761.4,20546.2,5,148723807,102731,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",23433237.0,19479.0,1203.0,56215770.0,23790.0,2363.0,23088640.0,19904.0,1160.0,23039040.0,19776.0,1165.0,22947120.0,19782.0,1160.0,0.0019257136372086148,0.001940857488393899
2017-7-15,29687591.6,20506.4,5,148437958,102532,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",23380305.0,19435.0,1203.0,56111798.0,23746.0,2363.0,23045720.0,19867.0,1160.0,22995935.0,19739.0,1165.0,22904200.0,19745.0,1160.0,-0.01207795243457288,-0.010480804493427698
2017-6-15,30050540.6,20723.6,5,150252703,103618,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",23810979.0,19793.0,1203.0,57168059.0,24193.0,2363.0,22858960.0,19706.0,1160.0,23426985.0,20109.0,1165.0,22987720.0,19817.0,1160.0,0.048705575458578565,0.048743952551567604
2017-5-15,28654887.8,19760.4,5,143274439,98802,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",22700610.0,18870.0,1203.0,54521499.0,23073.0,2363.0,21794080.0,18788.0,1160.0,22342370.0,19178.0,1165.0,21915880.0,18893.0,1160.0,0.008723665098348432,0.00876010781671166
2017-4-15,28407074.0,19588.8,5,142035370,97944,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",22499709.0,18703.0,1203.0,54058351.0,22877.0,2363.0,21602680.0,18623.0,1160.0,22151310.0,19014.0,1165.0,21723320.0,18727.0,1160.0,0.02092206614565839,0.020962546777438362
2017-3-15,27824919.2,19186.6,5,139124596,95933,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",22032945.0,18315.0,1203.0,52959556.0,22412.0,2363.0,21156080.0,18238.0,1160.0,21700455.0,18627.0,1165.0,21275560.0,18341.0,1160.0,0.021263138326917064,0.021291771794789804
2017-2-15,27245592.4,18786.6,5,136227962,93933,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",21570993.0,17931.0,1203.0,51863124.0,21948.0,2363.0,20712960.0,17856.0,1160.0,21250765.0,18241.0,1165.0,20830120.0,17957.0,1160.0,-0.015228697129159752,-0.015222519264035284
2017-1-15,27666923.6,19077.0,5,138334618,95385,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",21904224.0,18208.0,1203.0,52666544.0,22288.0,2363.0,21033120.0,18132.0,1160.0,21578130.0,18522.0,1165.0,21152600.0,18235.0,1160.0,0.0010889599841996667,0.0010915082755218464
2016-12-15,27636828.2,19056.2,5,138184141,95281,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",21880164.0,18188.0,1203.0,52609832.0,22264.0,2363.0,21011080.0,18113.0,1160.0,21553665.0,18501.0,1165.0,21129400.0,18215.0,1160.0,0.02555521207305178,0.024537898256970614
2016-11-15,26948162.2,18599.8,5,134740811,92999,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",21455505.0,17835.0,1203.0,51080971.0,21617.0,2363.0,20632920.0,17787.0,1160.0,20926895.0,17963.0,1165.0,20644520.0,17797.0,1160.0,-0.017478574686608628,-0.017484733872842106
2016-10-15,27427556.8,18930.8,5,137137784,94654,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",21836856.0,18152.0,1203.0,51988363.0,22001.0,2363.0,20999480.0,18103.0,1160.0,21297365.0,18281.0,1165.0,21015720.0,18117.0,1160.0,0.023218008020654546,0.02322011545197067
2016-9-15,26805193.6,18501.2,5,134025968,92506,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",21340017.0,17739.0,1203.0,50809226.0,21502.0,2363.0,20521560.0,17691.0,1160.0,20812725.0,17865.0,1165.0,20542440.0,17709.0,1160.0,0.04868772535864552,0.04867818437400806
2016-8-15,25560701.2,17642.4,5,127803506,88212,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",20347542.0,16914.0,1203.0,48448589.0,20503.0,2363.0,19568040.0,16869.0,1160.0,19845775.0,17035.0,1165.0,19593560.0,16891.0,1160.0,0.024666370205732147,0.02466052573499522
2016-7-15,24945389.0,17217.8,5,124726945,86089,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",19856718.0,16506.0,1203.0,47281267.0,20009.0,2363.0,19097080.0,16463.0,1160.0,19366960.0,16624.0,1165.0,19124920.0,16487.0,1160.0,0.003889097068376479,0.003883110219693009
2016-6-15,24848749.8,17151.2,5,124243749,85756,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",19779726.0,16442.0,1203.0,47096953.0,19931.0,2363.0,19021680.0,16398.0,1160.0,19290070.0,16558.0,1165.0,19055320.0,16427.0,1160.0,0.010278977551764656,0.011225885571435334
2016-5-15,24595928.8,16960.8,5,122979644,84804,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",19395969.0,16123.0,1203.0,46811030.0,19810.0,2363.0,18656280.0,16083.0,1160.0,19172405.0,16457.0,1165.0,18943960.0,16331.0,1160.0,0.00734791908209087,0.00652787998195925
2016-4-15,24416518.2,16850.8,5,122082591,84254,7051,"PARIS COURT,REALTY GDN,CONDUIT RD|巴黎閣(聯邦花園),干德道",19207098.0,15966.0,1203.0,46317163.0,19601.0,2363.0,18561160.0,16001.0,1160.0,18968530.0,16282.0,1165.0,19028640.0,16404.0,1160.0,,
