,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_change,npsf_change
2019-12-15,6382924.0,25102.666666666668,12,76595088.0,301232.0,3076,"NOVUM POINT,MARBLE RD|君譽峰,馬寶道",8813290.0,24146.0,365.0,4877045.0,26945.0,181.0,5367310.0,26182.0,205.0,5389040.0,26288.0,205.0,4655501.0,25721.0,181.0,6782112.0,23549.0,288.0,8591735.0,23539.0,365.0,6271722.0,24309.0,258.0,6249212.0,24316.0,257.0,6228750.0,24915.0,250.0,6748317.0,25659.0,263.0,6621053.999999999,25663.0,258.0,-0.05860803789879043,-0.05822620179080584
2019-11-15,6780304.333333333,26654.666666666668,12,81363652.0,319856.0,3076,"NOVUM POINT,MARBLE RD|君譽峰,馬寶道",9379405.0,25697.0,365.0,5189632.0,28672.0,181.0,5575385.0,27197.0,205.0,5734260.0,27972.0,205.0,4953427.0,27367.0,181.0,7216704.0,25058.0,288.0,9141790.0,25046.0,365.0,6673170.0,25865.0,258.0,6649104.0,25872.0,257.0,6627500.0,26510.0,250.0,7178585.0,27295.0,263.0,7044690.0,27305.0,258.0,-0.013692858637352257,-0.013137352906693267
2019-10-15,6874435.0,27009.5,12,82493220.0,324114.0,3076,"NOVUM POINT,MARBLE RD|君譽峰,馬寶道",9533800.0,26120.0,365.0,5274159.0,29139.0,181.0,5475140.0,26708.0,205.0,5827535.0,28427.0,205.0,5033791.0,27811.0,181.0,7333920.0,25465.0,288.0,9290345.0,25453.0,365.0,6781272.0,26284.0,258.0,6756787.0,26291.0,257.0,6734750.0,26939.0,250.0,7293253.0,27731.0,263.0,7158468.0,27746.0,258.0,0.08863140764694855,0.08863914229286185
2019-9-15,6314749.833333333,24810.333333333332,12,75776998.0,297724.0,3076,"NOVUM POINT,MARBLE RD|君譽峰,馬寶道",8759270.0,23998.0,365.0,4845008.0,26768.0,181.0,5029265.0,24533.0,205.0,5353370.0,26114.0,205.0,4623826.0,25546.0,181.0,6737184.0,23393.0,288.0,8534430.0,23382.0,365.0,6228894.0,24143.0,258.0,6206550.0,24150.0,257.0,6186250.0,24745.0,250.0,6697821.0,25467.0,263.0,6575130.0,25485.0,258.0,-0.11056666014726191,-0.11056274702524105
2019-8-15,7099744.916666667,27894.416666666668,12,85196939.0,334733.0,3076,"NOVUM POINT,MARBLE RD|君譽峰,馬寶道",9849890.0,26986.0,365.0,5447557.0,30097.0,181.0,5654720.0,27584.0,205.0,6019005.0,29361.0,205.0,5198501.0,28721.0,181.0,7574976.0,26302.0,288.0,9595485.0,26289.0,365.0,7002894.0,27143.0,258.0,6977807.0,27151.0,257.0,6955250.0,27821.0,250.0,7528638.0,28626.0,263.0,7392216.0,28652.0,258.0,0.02075400439888897,0.020760844705344228
2019-7-15,6955392.666666667,27327.083333333332,12,83464712.0,327925.0,3076,"NOVUM POINT,MARBLE RD|君譽峰,馬寶道",9651695.0,26443.0,365.0,5336966.0,29486.0,181.0,5539920.0,27024.0,205.0,5896825.0,28765.0,205.0,5092616.0,28136.0,181.0,7421184.0,25768.0,288.0,9400575.0,25755.0,365.0,6860220.0,26590.0,258.0,6835686.0,26598.0,257.0,6813750.0,27255.0,250.0,7373731.0,28037.0,263.0,7241544.0,28068.0,258.0,0.030022002426943306,0.03002519113221891
2019-6-15,6752664.166666667,26530.5,12,81031970.0,318366.0,3076,"NOVUM POINT,MARBLE RD|君譽峰,馬寶道",9372105.0,25677.0,365.0,5181668.0,28628.0,181.0,5378585.0,26237.0,205.0,5725240.0,27928.0,205.0,4944196.0,27316.0,181.0,7205184.0,25018.0,288.0,9126460.0,25004.0,365.0,6660012.0,25814.0,258.0,6636254.0,25822.0,257.0,6615000.0,26460.0,250.0,7157282.0,27214.0,263.0,7029984.0,27248.0,258.0,-0.014369242120190417,-0.014419981177869134
2019-5-15,6851109.416666667,26918.666666666668,12,82213313.0,323024.0,3076,"NOVUM POINT,MARBLE RD|君譽峰,馬寶道",9512265.0,26061.0,365.0,5258412.0,29052.0,181.0,5458330.0,26626.0,205.0,5809905.0,28341.0,205.0,5017139.0,27719.0,181.0,7311744.0,25388.0,288.0,9246180.0,25332.0,365.0,6758052.0,26194.0,258.0,6733914.0,26202.0,257.0,6712500.0,26850.0,250.0,7261430.0,27610.0,263.0,7133442.0,27649.0,258.0,0.03167479146320695,0.031676173564224364
2019-4-15,6640764.583333333,26092.166666666668,12,79689175.0,313106.0,3076,"NOVUM POINT,MARBLE RD|君譽峰,馬寶道",9220995.0,25263.0,365.0,5097141.0,28161.0,181.0,5290845.0,25809.0,205.0,5631555.0,27471.0,205.0,4862927.0,26867.0,181.0,7087392.0,24609.0,288.0,8961845.0,24553.0,365.0,6550104.0,25388.0,258.0,6527029.0,25397.0,257.0,6506000.0,26024.0,250.0,7039458.0,26766.0,263.0,6913884.0,26798.0,258.0,0.0003879823198267296,0.00035144219095450957
2019-3-15,6638189.083333333,26083.0,12,79658269.0,312996.0,3076,"NOVUM POINT,MARBLE RD|君譽峰,馬寶道",9206395.0,25223.0,365.0,5089539.0,28119.0,181.0,5282850.0,25770.0,205.0,5643035.0,27527.0,205.0,4855506.0,26826.0,181.0,7076736.0,24572.0,288.0,8947610.0,24514.0,365.0,6539784.0,25348.0,258.0,6517006.0,25358.0,257.0,6495750.0,25983.0,250.0,7101526.0,27002.0,263.0,6902532.0,26754.0,258.0,0.00804883618068386,0.008584354819999307
