,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4576073.183716789,16186.0,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",4529707.435407784,16022.0,330.0,4622438.932025794,16350.0,330.0,,0.017370708375770816,-0.03390235167721145
2022-11-15,4497940.766372639,16754.0,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",4453106.332327979,16587.0,330.0,4542775.200417299,16921.0,330.0,,-0.03599602548857472,-0.02126416637457651
2022-10-15,4665894.420873396,17118.0,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",4620102.256911091,16950.0,330.0,4711686.584835701,17286.0,330.0,,-0.03494423796719481,0.11210004872502832
2022-9-15,4834844.373184301,15392.5,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",4667584.043236557,14860.0,330.0,5002104.7031320445,15925.0,330.0,,-0.009758841577280242,-0.10195449241540255
2022-8-15,4882491.837529112,17140.0,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",4715279.3107712595,16553.0,330.0,5049704.364286965,17727.0,330.0,,0.14095762448702143,0.015643517421189745
2022-7-15,4279292.878843154,16876.0,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",4134249.294658615,16304.0,330.0,4424336.463027693,17448.0,330.0,,-0.15486683083067698,0.05802325945895115
2022-6-15,5063453.9442455545,15950.5,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",4983330.0,15101.0,330.0,5143577.888491109,16800.0,330.0,,0.007672846003114575,-0.0005952380952380931
2022-5-15,5024898.670565054,15960.0,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",4972440.0,15068.0,330.0,5077357.341130109,16852.0,330.0,,-0.04013888847281333,-0.005080572265685923
2022-4-15,5235026.828590014,16041.5,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",5181660.0,15702.0,330.0,5288393.657180028,16381.0,330.0,,0.018768044031507003,0.014642631246046811
2022-3-15,5138585.627277599,15810.0,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",5087280.0,15416.0,330.0,5189891.254555197,16204.0,330.0,,0.017103351561735813,0.009320735444330985
2022-2-15,5052176.476842234,15664.0,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",5002800.0,15160.0,330.0,5101552.953684469,16168.0,330.0,,0.0006004868765201454,0.0407627653566327
2022-1-15,5049144.531813227,15050.5,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",5000820.0,15154.0,330.0,5097469.063626454,14947.0,330.0,,-0.07090111078144468,-0.0411862139262279
2021-12-15,5434453.307828138,15697.0,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",5383950.0,16315.0,330.0,5484956.615656275,15079.0,330.0,,0.08329192084529802,0.04965060684075029
2021-11-15,5016610.207512308,14954.5,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",4971120.0,15064.0,330.0,5062100.415024615,14845.0,330.0,,-0.019036117377189132,-0.07230148883374687
2021-10-15,5113960.153251879,16120.0,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",5106090.0,15473.0,330.0,5121830.306503759,16767.0,330.0,,-0.03027983055862271,-0.011861341833450778
2021-9-15,5273645.2374687195,16313.5,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",5267130.0,15961.0,330.0,5280160.474937438,16666.0,330.0,,-0.05996305046595973,-0.06427096478146155
2021-8-15,5610040.371373458,17434.0,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",5605050.0,16985.0,330.0,5615030.742746916,17883.0,330.0,,0.08049656624503032,0.07226766713820032
2021-7-15,5192094.585612258,16259.0,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",5358210.0,16237.0,330.0,5025979.171224516,16281.0,330.0,,-0.06475539699216659,-0.033525530523687785
2021-6-15,5551590.0,16823.0,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",5463150.0,16555.0,330.0,5640030.0,17091.0,330.0,,0.11758700278182266,0.08633604546041584
2021-5-15,4967479.029535377,15486.0,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",5031954.251344535,15687.0,330.0,4903003.807726219,15285.0,330.0,,-0.09455839060644755,-0.06851127819548875
2021-4-15,5486250.0,16625.0,"PARKER'S COURT,FORT ST|百佳閣,堡壘街",5386920.0,16324.0,330.0,5585580.0,16926.0,330.0,,-0.0046400239485107075,-0.0046400239485107075
