,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,8308298.25,13129.5,4,33233193,52518,2534,"ROCA CTR(Block 2),KING'S RD|樂嘉中心2座,英皇道",9275780.0,12955.0,716.0,7356401.0,13351.0,551.0,7235732.0,13132.0,551.0,9365280.0,13080.0,716.0,-0.062347425671510415,-0.06261378645628812
2019-11-15,8860742.75,14006.5,4,35442971,56026,2534,"ROCA CTR(Block 2),KING'S RD|樂嘉中心2座,英皇道",9873640.0,13790.0,716.0,7829710.0,14210.0,551.0,7770753.0,14103.0,551.0,9968868.0,13923.0,716.0,-0.016313260201355817,-0.01631112281625846
2019-10-15,9007687.5,14238.75,4,36030750,56955,2534,"ROCA CTR(Block 2),KING'S RD|樂嘉中心2座,英皇道",10037604.0,14019.0,716.0,7959746.0,14446.0,551.0,7899136.0,14336.0,551.0,10134264.0,14154.0,716.0,0.08825228177107247,0.0882566493427086
2019-9-15,8277205.25,13084.0,4,33108821,52336,2534,"ROCA CTR(Block 2),KING'S RD|樂嘉中心2座,英皇道",9224228.0,12883.0,716.0,7314525.0,13275.0,551.0,7257772.0,13172.0,551.0,9312296.0,13006.0,716.0,-0.11406205639646694,-0.11452499788511972
2019-8-15,9342872.5,14776.25,4,37371490,59105,2534,"ROCA CTR(Block 2),KING'S RD|樂嘉中心2座,英皇道",10374840.0,14490.0,716.0,8298060.0,15060.0,551.0,8224226.0,14926.0,551.0,10474364.0,14629.0,716.0,0.020354231458988847,0.020353554535096574
2019-7-15,9156499.0,14481.5,4,36625996,57926,2534,"ROCA CTR(Block 2),KING'S RD|樂嘉中心2座,英皇道",10167916.0,14201.0,716.0,8132760.0,14760.0,551.0,8060028.0,14628.0,551.0,10265292.0,14337.0,716.0,0.029581684677039366,0.029575912694180806
2019-6-15,8893416.75,14065.5,4,35573667,56262,2534,"ROCA CTR(Block 2),KING'S RD|樂嘉中心2座,英皇道",9875788.0,13793.0,716.0,7899687.0,14337.0,551.0,7828608.0,14208.0,551.0,9969584.0,13924.0,716.0,-0.01494880546264099,-0.014952027452902916
2019-5-15,9028380.25,14279.0,4,36113521,57116,2534,"ROCA CTR(Block 2),KING'S RD|樂嘉中心2座,英皇道",10025432.0,14002.0,716.0,8019805.0,14555.0,551.0,7947624.0,14424.0,551.0,10120660.0,14135.0,716.0,0.03129738068865606,0.03129119043749884
2019-4-15,8754390.75,13845.75,4,35017563,55383,2534,"ROCA CTR(Block 2),KING'S RD|樂嘉中心2座,英皇道",9721132.0,13577.0,716.0,7776814.0,14114.0,551.0,7706837.0,13987.0,551.0,9812780.0,13705.0,716.0,0.004453780350770931,0.004060987327544119
2019-3-15,8715573.5,13789.75,4,34862294,55159,2534,"ROCA CTR(Block 2),KING'S RD|樂嘉中心2座,英皇道",9710392.0,13562.0,716.0,7768549.0,14099.0,551.0,7698021.0,13971.0,551.0,9685332.0,13527.0,716.0,0.01026780100934932,0.010275101652075236
