,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_BC,npsf_BC,nfa_BC,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,5030386.111111111,16647.555555555555,9,45273475,149828,2740,"SIU WAH BLDG,TSAT TSZ MUI RD|兆華大廈,七姊妹道",4398570.0,16291.0,270.0,4568300.0,16612.0,275.0,8469450.0,15399.0,550.0,4928000.0,17920.0,275.0,4620550.0,16802.0,275.0,4569125.0,16615.0,275.0,4674450.0,16998.0,275.0,4590300.0,16692.0,275.0,4454730.0,16499.0,270.0,-0.060002512281109754,-0.05998531893668957
2019-11-15,5351488.888888889,17709.88888888889,9,48163400,159389,2740,"SIU WAH BLDG,TSAT TSZ MUI RD|兆華大廈,七姊妹道",4681260.0,17338.0,270.0,4860075.0,17673.0,275.0,9011750.0,16385.0,550.0,5248375.0,19085.0,275.0,4916450.0,17878.0,275.0,4859800.0,17672.0,275.0,4973100.0,18084.0,275.0,4873550.0,17722.0,275.0,4739040.0,17552.0,270.0,-0.015202555221746739,-0.015126330814337896
2019-10-15,5434101.111111111,17981.88888888889,9,48906910,161837,2740,"SIU WAH BLDG,TSAT TSZ MUI RD|兆華大廈,七姊妹道",4758480.0,17624.0,270.0,4919200.0,17888.0,275.0,9158050.0,16651.0,550.0,5338300.0,19412.0,275.0,4975025.0,18091.0,275.0,4936800.0,17952.0,275.0,5053675.0,18377.0,275.0,4952200.0,18008.0,275.0,4815180.0,17834.0,270.0,0.08851394992831074,0.0884993845802029
2019-9-15,4992220.0,16519.88888888889,9,44929980,148679,2740,"SIU WAH BLDG,TSAT TSZ MUI RD|兆華大廈,七姊妹道",4371840.0,16192.0,270.0,4517975.0,16429.0,275.0,8412250.0,15295.0,550.0,4907925.0,17847.0,275.0,4570225.0,16619.0,275.0,4533100.0,16484.0,275.0,4643925.0,16887.0,275.0,4549600.0,16544.0,275.0,4423140.0,16382.0,270.0,-0.11672026864454843,-0.11739109786647972
2019-8-15,5651912.777777778,18717.11111111111,9,50867215,168454,2740,"SIU WAH BLDG,TSAT TSZ MUI RD|兆華大廈,七姊妹道",4916700.0,18210.0,270.0,5079250.0,18470.0,275.0,9457800.0,17196.0,550.0,5522825.0,20083.0,275.0,5138925.0,18687.0,275.0,5094650.0,18526.0,275.0,5223625.0,18995.0,275.0,5277250.0,19190.0,275.0,5156190.0,19097.0,270.0,0.010283027805456424,0.00921421553356172
2019-7-15,5594385.555555556,18546.222222222223,9,50349470,166916,2740,"SIU WAH BLDG,TSAT TSZ MUI RD|兆華大廈,七姊妹道",4817610.0,17843.0,270.0,5124625.0,18635.0,275.0,9265300.0,16846.0,550.0,5415300.0,19692.0,275.0,5056150.0,18386.0,275.0,4989050.0,18142.0,275.0,5119400.0,18616.0,275.0,5385325.0,19583.0,275.0,5176710.0,19173.0,270.0,0.029997483792967294,0.02999598901607481
2019-6-15,5431455.555555556,18006.11111111111,9,48883100,162055,2740,"SIU WAH BLDG,TSAT TSZ MUI RD|兆華大廈,七姊妹道",4678290.0,17327.0,270.0,4974750.0,18090.0,275.0,8995250.0,16355.0,550.0,5261850.0,19134.0,275.0,4907650.0,17846.0,275.0,4841925.0,17607.0,275.0,4972275.0,18081.0,275.0,5228300.0,19012.0,275.0,5022810.0,18603.0,270.0,-0.010766940907798395,-0.010405534962964036
2019-5-15,5490572.222222222,18195.444444444445,9,49415150,163759,2740,"SIU WAH BLDG,TSAT TSZ MUI RD|兆華大廈,七姊妹道",4835160.0,17908.0,270.0,5047900.0,18356.0,275.0,9127800.0,16596.0,550.0,5344075.0,19433.0,275.0,4978875.0,18105.0,275.0,4709375.0,17125.0,275.0,5047900.0,18356.0,275.0,5305575.0,19293.0,275.0,5018490.0,18587.0,270.0,0.0316484309815932,0.03164373551053323
2019-4-15,5322135.0,17637.333333333332,9,47899215,158736,2740,"SIU WAH BLDG,TSAT TSZ MUI RD|兆華大廈,七姊妹道",4685310.0,17353.0,270.0,4892525.0,17791.0,275.0,8847300.0,16086.0,550.0,5184025.0,18851.0,275.0,4824600.0,17544.0,275.0,4563625.0,16595.0,275.0,4895000.0,17800.0,275.0,5143050.0,18702.0,275.0,4863780.0,18014.0,270.0,0.004601843967466213,0.0048999126372164525
2019-3-15,5297755.555555556,17551.333333333332,9,47679800,157962,2740,"SIU WAH BLDG,TSAT TSZ MUI RD|兆華大廈,七姊妹道",4676940.0,17322.0,270.0,4737425.0,17227.0,275.0,8833550.0,16061.0,550.0,5180175.0,18837.0,275.0,4816075.0,17513.0,275.0,4555650.0,16566.0,275.0,4889500.0,17780.0,275.0,5135075.0,18673.0,275.0,4855410.0,17983.0,270.0,0.011953431694289529,0.012070887633106375
2019-2-15,5235177.222222222,17342.0,9,47116595,156078,2740,"SIU WAH BLDG,TSAT TSZ MUI RD|兆華大廈,七姊妹道",4625910.0,17133.0,270.0,4687100.0,17044.0,275.0,8739500.0,15890.0,550.0,5126825.0,18643.0,275.0,4764100.0,17324.0,275.0,4506425.0,16387.0,275.0,4839450.0,17598.0,275.0,5024525.0,18271.0,275.0,4802760.0,17788.0,270.0,0.06646525645567047,0.06631049654305476
