,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,5056936.0,15228.5,2,10113872.0,30457.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5269392.0,15318.0,344.0,4844480.0,15139.0,320.0,-0.06045213317409559,-0.060462103217447605
2019-11-15,5382308.0,16208.5,2,10764616.0,32417.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5606856.0,16299.0,344.0,5157760.0,16118.0,320.0,-0.016224961963606455,-0.01623573682932755
2019-10-15,5471076.0,16476.0,2,10942152.0,32952.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5697672.0,16563.0,344.0,5244480.0,16389.0,320.0,0.08836242223817203,0.08835089341744551
2019-9-15,5026888.0,15138.5,2,10053776.0,30277.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5233616.0,15214.0,344.0,4820160.0,15063.0,320.0,-0.1108235369033258,-0.11083374937593604
2019-8-15,5653420.0,17025.5,2,11306840.0,34051.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5884120.0,17105.0,344.0,5422720.0,16946.0,320.0,0.020479555462815213,0.020468712538959544
2019-7-15,5539964.0,16684.0,2,11079928.0,33368.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5764408.0,16757.0,344.0,5315520.0,16611.0,320.0,0.018071062557014184,0.017627325404086625
2019-6-15,5441628.0,16395.0,2,10883256.0,32790.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5596536.0,16269.0,344.0,5286720.0,16521.0,320.0,-0.014517036872839006,-0.014516274456766731
2019-5-15,5521788.0,16636.5,2,11043576.0,33273.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5679096.0,16509.0,344.0,5364480.0,16764.0,320.0,0.031721901968829735,0.031720930232558064
2019-4-15,5352012.0,16125.0,2,10704024.0,32250.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5504344.0,16001.0,344.0,5199680.0,16249.0,320.0,0.005371738748202182,0.005236581260519957
2019-3-15,5323416.0,16041.0,2,10646832.0,32082.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5455151.999999999,15858.0,344.0,5191680.0,16224.0,320.0,0.010774933981029466,0.010775047258979153
2019-2-15,5266668.0,15870.0,2,10533336.0,31740.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5397016.0,15689.0,344.0,5136320.0,16051.0,320.0,0.06760967659543415,0.06760847628657918
2019-1-15,4933140.0,14865.0,2,9866280.0,29730.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5055080.0,14695.0,344.0,4811200.0,15035.0,320.0,-0.0018138023805245318,-0.0018130539887187824
2018-12-15,4942104.0,14892.0,2,9884208.0,29784.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5064368.0,14722.0,344.0,4819840.0,15062.0,320.0,0.034080846597690284,0.03398715500781124
2018-11-15,4779224.0,14402.5,2,9558448.0,28805.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",4885488.0,14202.0,344.0,4672960.0,14603.0,320.0,-0.12358953858115818,-0.12358901025344571
2018-10-15,5453180.0,16433.5,2,10906360.0,32867.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5574520.0,16205.0,344.0,5331840.0,16662.0,320.0,-0.008566805446975634,-0.008566860728183134
2018-9-15,5500300.0,16575.5,2,11000600.0,33151.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5622680.0,16345.0,344.0,5377920.0,16806.0,320.0,-0.04025207538530906,-0.04051981129345028
2018-8-15,5730984.0,17275.5,2,11461968.0,34551.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5814288.0,16902.0,344.0,5647680.0,17649.0,320.0,0.02328182449283922,0.02327854286983566
2018-7-15,5600592.0,16882.5,2,11201184.0,33765.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5681504.0,16516.0,344.0,5519680.0,17249.0,320.0,0.023712525114863103,0.023709183518782373
2018-6-15,5470864.0,16491.5,2,10941728.0,32983.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5549408.0,16132.0,344.0,5392320.0,16851.0,320.0,0.019885939951441056,0.019882498453926978
2018-5-15,5364192.0,16170.0,2,10728384.0,32340.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5440704.0,15816.0,344.0,5287680.0,16524.0,320.0,0.01769017641608306,0.017685191012650314
2018-4-15,5270948.0,15889.0,2,10541896.0,31778.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5345416.0,15539.0,344.0,5196480.0,16239.0,320.0,0.015483433450597106,0.014979718291864952
2018-3-15,5190580.0,15654.5,2,10381160.0,31309.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5192680.000000001,15095.0,344.0,5188479.999999999,16214.0,320.0,-0.008887320598099269,-0.00889522000633114
2018-2-15,5237124.0,15795.0,2,10474248.0,31590.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5238088.0,15227.0,344.0,5236160.0,16363.0,320.0,0.01976787929910473,0.01975595583962808
2018-1-15,5135604.0,15489.0,2,10271208.0,30978.0,664,"WILSON COURT,KING'S RD|維順閣,英皇道",5134888.0,14927.0,344.0,5136320.0,16051.0,320.0,0.01694725961481347,0.016939137285798767
