,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_16,npsf_16,nfa_16,lumpSum_17,npsf_17,nfa_17,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_9,npsf_9,nfa_9,nfa_avg,lumpSum_change,npsf_change
2022-12-15,2543393.0,5578.384615384615,"WAH LAI HSE(Block 1,WAH KWAI EST),WAH KWAI RD|華貴村,1座(華禮樓),華貴道",2284551.0,5157.0,443.0,3552120.0,5940.0,598.0,2107856.0,5606.0,376.0,2454220.0,5540.0,443.0,2273909.0,5587.0,407.0,2170245.0,5637.0,385.0,2084544.0,5544.0,376.0,3582618.0,5991.0,598.0,2238500.0,5500.0,407.0,2170245.0,5637.0,385.0,2922368.0,5372.0,544.0,2949024.0,5421.0,544.0,2273909.0,5587.0,407.0,,-0.11393550236011973,-0.11392544261573989
2022-11-15,2870437.769230769,6295.615384615385,"WAH LAI HSE(Block 1,WAH KWAI EST),WAH KWAI RD|華貴村,1座(華禮樓),華貴道",2578703.0000000005,5821.0,443.0,4009590.0,6705.0,598.0,2378952.0,6327.0,376.0,2769636.0,6252.0,443.0,2565728.0,6304.0,407.0,2449370.0,6362.0,385.0,2352632.0,6257.0,376.0,4043676.0,6762.0,598.0,2525842.0,6206.0,407.0,2449370.0,6362.0,385.0,3298272.0,6063.0,544.0,3328192.0,6118.0,544.0,2565728.0,6304.0,407.0,,0.08791502577434773,0.08791822302569474
2022-10-15,2638476.076923077,5786.846153846154,"WAH LAI HSE(Block 1,WAH KWAI EST),WAH KWAI RD|華貴村,1座(華禮樓),華貴道",2370936.0,5352.0,443.0,3685474.0,6163.0,598.0,2186816.0,5816.0,376.0,2545477.9999999995,5746.0,443.0,2358158.0,5794.0,407.0,2251480.0,5848.0,385.0,2162752.0,5752.0,376.0,3717168.0,6216.0,598.0,2321121.0,5703.0,407.0,2251480.0,5848.0,385.0,3031711.9999999995,5573.0,544.0,3059456.0,5624.0,544.0,2358158.0,5794.0,407.0,,0.09886663263722917,0.09887525562372201
2022-9-15,2401088.5384615385,5266.153846153846,"WAH LAI HSE(Block 1,WAH KWAI EST),WAH KWAI RD|華貴村,1座(華禮樓),華貴道",2157853.0,4871.0,443.0,3354182.0,5609.0,598.0,1990168.0,5293.0,376.0,2316447.0,5229.0,443.0,2145704.0,5272.0,407.0,2048970.0,5322.0,385.0,1967984.0,5234.0,376.0,3382886.0,5657.0,598.0,2111923.0,5189.0,407.0,2048970.0,5322.0,385.0,2759168.0,5072.0,544.0,2784192.0,5118.0,544.0,2145704.0,5272.0,407.0,,-0.12084196085487064,-0.12084242969050984
2022-8-15,2731122.769230769,5990.0,"WAH LAI HSE(Block 1,WAH KWAI EST),WAH KWAI RD|華貴村,1座(華禮樓),華貴道",2454663.0,5541.0,443.0,3815240.0000000005,6380.0,598.0,2263896.0,6021.0,376.0,2634521.0,5947.0,443.0,2440779.0,5997.0,407.0,2330405.0,6053.0,385.0,2238704.0,5954.0,376.0,3848130.0,6435.0,598.0,2402114.0,5902.0,407.0,2330405.0,6053.0,385.0,3138336.0,5769.0,544.0,3166624.0,5821.0,544.0,2440779.0,5997.0,407.0,,-0.09122011633845883,-0.09121676820017277
2022-7-15,3005263.230769231,6591.2307692307695,"WAH LAI HSE(Block 1,WAH KWAI EST),WAH KWAI RD|華貴村,1座(華禮樓),華貴道",2701857.0,6099.0,443.0,4198558.0,7021.0,598.0,2491000.0,6625.0,376.0,2898992.0,6544.0,443.0,2685386.0,6598.0,407.0,2564485.0,6661.0,385.0,2463552.0,6552.0,376.0,4234438.0,7081.0,598.0,2642651.0,6493.0,407.0,2564485.0,6661.0,385.0,3453312.0,6348.0,544.0,3484320.0,6405.0,544.0,2685386.0,6598.0,407.0,,0.005910082733846078,0.005916742973867795
2022-6-15,2987606.230769231,6552.461538461538,"WAH LAI HSE(Block 1,WAH KWAI EST),WAH KWAI RD|華貴村,1座(華禮樓),華貴道",2686352.0,6064.0,443.0,4174637.9999999995,6981.0,598.0,2476336.0,6586.0,376.0,2881715.0,6505.0,443.0,2669513.0,6559.0,407.0,2549470.0,6622.0,385.0,2448888.0,6513.0,376.0,4209920.0,7040.0,598.0,2626778.0,6454.0,407.0,2549470.0,6622.0,385.0,3432640.0,6310.0,544.0,3463648.0,6367.0,544.0,2669513.0,6559.0,407.0,,-0.01453136178105996,-0.01490673173665169
2022-5-15,3031660.3846153845,6651.615384615385,"WAH LAI HSE(Block 1,WAH KWAI EST),WAH KWAI RD|華貴村,1座(華禮樓),華貴道",2730652.0,6164.0,443.0,4242810.0,7095.0,598.0,2516944.0,6694.0,376.0,2928673.0,6611.0,443.0,2713062.0,6666.0,407.0,2591435.0,6731.0,385.0,2489120.0,6620.0,376.0,4215302.0,7049.0,598.0,2669106.0,6558.0,407.0,2591435.0,6731.0,385.0,3489216.0,6414.0,544.0,3520768.0,6472.0,544.0,2713062.0,6666.0,407.0,,0.11404259084056934,0.11404424174493366
2022-4-15,2721314.6153846155,5970.692307692308,"WAH LAI HSE(Block 1,WAH KWAI EST),WAH KWAI RD|華貴村,1座(華禮樓),華貴道",2451562.0,5534.0,443.0,3809260.0,6370.0,598.0,2259384.0,6009.0,376.0,2628762.0,5934.0,443.0,2435081.0,5983.0,407.0,2326170.0,6042.0,385.0,2234568.0,5943.0,376.0,3783546.0,6327.0,598.0,2395602.0,5886.0,407.0,2326170.0,6042.0,385.0,3131808.0,5757.0,544.0,3160096.0,5809.0,544.0,2435081.0,5983.0,407.0,,-0.12366912711801303,-0.1236719993677532
2022-3-15,3105350.6153846155,6813.307692307692,"WAH LAI HSE(Block 1,WAH KWAI EST),WAH KWAI RD|華貴村,1座(華禮樓),華貴道",2797545.0,6315.0,443.0,4346862.0,7269.0,598.0,2578608.0,6858.0,376.0,2999553.0,6771.0,443.0,2778589.0,6827.0,407.0,2654575.0,6895.0,385.0,2550032.0,6782.0,376.0,4316962.0,7219.0,598.0,2733412.0,6716.0,407.0,2654575.0,6895.0,385.0,3574080.0,6570.0,544.0,3606176.0,6629.0,544.0,2778589.0,6827.0,407.0,,0.043772124649733346,0.04470235778398979
