,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,nfa_avg,lumpSum_change,npsf_change
2022-12-15,8096142.75,10534.5,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",9244242.0,10481.0,882.0,9039636.0,10548.0,857.0,7118550.0,10546.0,675.0,6982143.0,10563.0,661.0,,-0.010289730861252844,-0.010287485907553573
2022-11-15,8180316.0,10644.0,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",9340380.0,10590.0,882.0,9133906.0,10658.0,857.0,7192125.0,10655.0,675.0,7054853.0,10673.0,661.0,,-0.1031702474518631,-0.10317226271222146
2022-10-15,9121370.0,11868.5,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",10414656.0,11808.0,882.0,10184588.0,11884.0,857.0,8019675.0,11881.0,675.0,7866561.0,11901.0,661.0,,0.028041393752763266,0.02804304987115347
2022-9-15,8872570.75,11544.75,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",10130652.0,11486.0,882.0,9906920.0,11560.0,857.0,7800975.0,11557.0,675.0,7651736.0,11576.0,661.0,,-0.11715351567985288,-0.11715449175062609
2022-8-15,10049958.75,13076.75,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",11474820.0,13010.0,882.0,11221558.0,13094.0,857.0,8836425.0,13091.0,675.0,8667032.0,13112.0,661.0,,0.005515802083362331,0.0055171088043060035
2022-7-15,9994829.25,13005.0,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",11412198.0,12939.0,882.0,11159854.0,13022.0,857.0,8787825.0,13019.0,675.0,8619440.0,13040.0,661.0,,0.00479156539725234,0.004790234103376312
2022-6-15,9947166.75,12943.0,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",11357514.0,12877.0,882.0,11106720.0,12960.0,857.0,8745975.0,12957.0,675.0,8578458.0,12978.0,661.0,,-0.0011744814349168298,-0.0011768564428067396
2022-5-15,9958863.25,12958.25,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",11370744.0,12892.0,882.0,11119575.0,12975.0,857.0,8756100.0,12972.0,675.0,8589034.0,12994.0,661.0,,-0.00044636268236342147,-0.00044353594569579435
2022-4-15,9963310.5,12964.0,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",11376035.999999998,12898.0,882.0,11124717.0,12981.0,857.0,8760150.0,12978.0,675.0,8592339.0,12999.0,661.0,,0.00989604947880296,0.009893277245462295
2022-3-15,9865679.25,12837.0,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",11264022.000000002,12771.0,882.0,11015878.0,12854.0,857.0,8674425.0,12851.0,675.0,8508392.0,12872.0,661.0,,-0.03210195713855868,-0.03210118565154285
2022-2-15,10192891.0,13262.75,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",11637990.0,13195.0,882.0,11380960.0,13280.0,857.0,8961975.0,13277.0,675.0,8790639.0,13299.0,661.0,,0.03228186406799871,0.0322812889165629
2022-1-15,9874135.5,12848.0,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",11273724.0,12782.0,882.0,11025305.0,12865.0,857.0,8681850.0,12862.0,675.0,8515663.0,12883.0,661.0,,-0.025835429121546793,-0.025836413610084374
2021-12-15,10136003.5,13188.75,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",11572722.0,13121.0,882.0,11317542.0,13206.0,857.0,8912025.0,13203.0,675.0,8741725.0,13225.0,661.0,,-0.05145772232908319,-0.0514590862506068
2021-11-15,10685874.25,13904.25,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",12199824.0,13832.0,882.0,11932011.0,13923.0,857.0,9396000.0,13920.0,675.0,9215662.0,13942.0,661.0,,0.0017974864018406311,0.0018012500675468335
2021-10-15,10666701.0,13879.25,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",12177774.0,13807.0,882.0,11911443.0,13899.0,857.0,9378450.0,13894.0,675.0,9199137.0,13917.0,661.0,,-9.214746143582087e-05,-9.0054392853256e-05
2021-9-15,10667684.0,13880.5,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",12178656.0,13808.0,882.0,11913157.0,13901.0,857.0,9379125.0,13895.0,675.0,9199798.0,13918.0,661.0,,0.004706167835872188,0.004704860482791062
2021-8-15,10617715.25,13815.5,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",12121326.0,13743.0,882.0,11857452.0,13836.0,857.0,9335250.0,13830.0,675.0,9156833.0,13853.0,661.0,,-0.012663525015000343,-0.012667274124099959
2021-7-15,10753897.5,13992.75,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",12276558.0,13919.0,882.0,12009141.0,14013.0,857.0,9455400.0,14008.0,675.0,9274491.0,14031.0,661.0,,0.0002860246274181133,0.0002859440621927334
2021-6-15,10750822.5,13988.75,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",12273030.0,13915.0,882.0,12005713.0,14009.0,857.0,9452700.0,14004.0,675.0,9271847.0,14027.0,661.0,,0.022327493294520107,0.022326567153271304
2021-5-15,10516026.0,13683.25,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",12004902.0,13611.0,882.0,11743471.0,13703.0,857.0,9246150.0,13698.0,675.0,9069581.0,13721.0,661.0,,-0.0004384239606750606,-0.00043830012601131507
2021-4-15,10520638.5,13689.25,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",12010194.0,13617.0,882.0,11748613.000000002,13709.0,857.0,9250200.0,13704.0,675.0,9073547.0,13727.0,661.0,,0.023532074595004504,0.023533590040749175
2021-3-15,10278758.0,13374.5,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",11734128.0,13304.0,882.0,11478658.0,13394.0,857.0,9037575.0,13389.0,675.0,8864671.0,13411.0,661.0,,0.007665456995229469,0.007666082763556847
2021-2-15,10200566.0,13272.75,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",11645046.0,13203.0,882.0,11391244.0,13292.0,857.0,8968725.0,13287.0,675.0,8797249.0,13309.0,661.0,,0.02229855183911078,0.022297960834151587
2021-1-15,9978069.5,12983.25,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",11391030.0,12915.0,882.0,11142714.0,13002.0,857.0,8772975.0,12997.0,675.0,8605559.0,13019.0,661.0,,-0.027871981725133832,-0.027872412114859024
2020-12-15,10264151.75,13355.5,"BO FUNG GARDEN(Block C),KING'S RD|寶峰園C座,英皇道",11717370.0,13285.0,882.0,11462375.0,13375.0,857.0,9024750.0,13370.0,675.0,8852112.0,13392.0,661.0,,0.032843541560495515,0.03284805599056506
