,lumpSum_avg,npsf_avg,final_address,lumpSum_F.P.,npsf_F.P.,nfa_F.P.,lumpSum_R.P.,npsf_R.P.,nfa_R.P.,nfa_avg,lumpSum_change,npsf_change
2022-12-15,3623805.0,12151.5,2 U LAM TERR|2 裕林臺,5103060.0,10006.0,510.0,2144550.0,14297.0,150.0,,-0.005696153038840079,-0.005727611177024139
2022-11-15,3644565.0,12221.5,2 U LAM TERR|2 裕林臺,5132130.0,10063.0,510.0,2157000.0,14380.0,150.0,,0.057568173409649814,0.05754337385886732
2022-10-15,3446175.0,11556.5,2 U LAM TERR|2 裕林臺,4852650.0,9515.0,510.0,2039700.0,13598.0,150.0,,-0.07537237446322131,-0.07551697932082713
2022-9-15,3727095.0,12500.5,2 U LAM TERR|2 裕林臺,5247390.0,10289.0,510.0,2206800.0,14712.0,150.0,,-0.025752722111346826,-0.026023608243406438
2022-8-15,3825615.0,12834.5,2 U LAM TERR|2 裕林臺,5384580.0,10558.0,510.0,2266650.0,15111.0,150.0,,-0.01637567637405657,-0.01662644140520242
2022-7-15,3889305.0,13051.5,2 U LAM TERR|2 裕林臺,5472810.0,10731.0,510.0,2305800.0,15372.0,150.0,,-0.05028990868700489,-0.0505583239370021
2022-6-15,4095255.0,13746.5,2 U LAM TERR|2 裕林臺,5760960.0,11296.0,510.0,2429550.0,16197.0,150.0,,0.003008839153851195,0.0027354292800350066
2022-5-15,4082970.0,13709.0,2 U LAM TERR|2 裕林臺,5742090.0,11259.0,510.0,2423850.0,16159.0,150.0,,0.033213385563754416,0.03292646172392999
2022-4-15,3951720.0,13272.0,2 U LAM TERR|2 裕林臺,5555940.0,10894.0,510.0,2347500.0,15650.0,150.0,,-0.009098534229520783,-0.009367419294644574
2022-3-15,3988005.0,13397.5,2 U LAM TERR|2 裕林臺,5605410.0,10991.0,510.0,2370600.0,15804.0,150.0,,0.004966868642578337,0.004724586598672698
2022-2-15,3968295.0,13334.5,2 U LAM TERR|2 裕林臺,5576340.0,10934.0,510.0,2360250.0,15735.0,150.0,,0.05939428402096736,0.0590921726698701
2022-1-15,3745815.0,12590.5,2 U LAM TERR|2 裕林臺,5262180.0,10318.0,510.0,2229450.0,14863.0,150.0,,-0.11335780832812592,-0.11359476203886232
2021-12-15,4224720.0,14204.0,2 U LAM TERR|2 裕林臺,5933340.0,11634.0,510.0,2516100.0,16774.0,150.0,,0.032926247845380896,0.03264267539076693
2021-11-15,4090050.0,13755.0,2 U LAM TERR|2 裕林臺,5742600.0,11260.0,510.0,2437500.0,16250.0,150.0,,0.018261259242661865,0.017984014209591503
2021-10-15,4016700.0,13512.0,2 U LAM TERR|2 裕林臺,5638050.0,11055.0,510.0,2395350.0,15969.0,150.0,,-0.06993706497728502,-0.07018992568125515
2021-9-15,4318740.0,14532.0,2 U LAM TERR|2 裕林臺,6060330.0,11883.0,510.0,2577150.0,17181.0,150.0,,0.0839435431953286,0.08387096774193559
2021-8-15,3984285.0,13407.5,2 U LAM TERR|2 裕林臺,5590620.0,10962.0,510.0,2377950.0,15853.0,150.0,,-0.08400608319912817,-0.08403074295473956
2021-7-15,4349685.0,14637.5,2 U LAM TERR|2 裕林臺,6103170.0,11967.0,510.0,2596200.0,17308.0,150.0,,0.04732065140838704,0.047293671520051594
2021-6-15,4153155.0,13976.5,2 U LAM TERR|2 裕林臺,5827260.0,11426.0,510.0,2479050.0,16527.0,150.0,,0.0427962367332797,0.042788927851973524
2021-5-15,3982710.0,13403.0,2 U LAM TERR|2 裕林臺,5588070.0,10957.0,510.0,2377350.0,15849.0,150.0,,-0.049566689695412,-0.04960113455061155
2021-4-15,4190415.0,14102.5,2 U LAM TERR|2 裕林臺,5879280.0,11528.0,510.0,2501550.0,16677.0,150.0,,0.042570739753838405,0.04254454054853252
2021-3-15,4019310.0,13527.0,2 U LAM TERR|2 裕林臺,5639070.0,11057.0,510.0,2399550.0,15997.0,150.0,,-0.010385351188849423,-0.010388470261174954
2021-2-15,4061490.0,13669.0,2 U LAM TERR|2 裕林臺,5698230.0,11173.0,510.0,2424750.0,16165.0,150.0,,0.004023271939810336,0.004003084946197166
2021-1-15,4045215.0,13614.5,2 U LAM TERR|2 裕林臺,5675280.0,11128.0,510.0,2415150.0,16101.0,150.0,,-0.009385239277685531,-0.009422293364377166
2020-12-15,4083540.0,13744.0,2 U LAM TERR|2 裕林臺,5728830.0,11233.0,510.0,2438250.0,16255.0,150.0,,-0.008334426133962736,-0.00836940836940836
2020-11-15,4117860.0,13860.0,2 U LAM TERR|2 裕林臺,5776770.0,11327.0,510.0,2458950.0,16393.0,150.0,,0.03945415442401479,0.039448027598619984
2020-10-15,3961560.0,13334.0,2 U LAM TERR|2 裕林臺,5557470.0,10897.0,510.0,2365650.0,15771.0,150.0,,-0.04417502080995983,-0.0442262203426278
2020-9-15,4144650.0,13951.0,2 U LAM TERR|2 裕林臺,5814000.0,11400.0,510.0,2475300.0,16502.0,150.0,,-0.019206945879078896,-0.019227389363422276
2020-8-15,4225815.0,14224.5,2 U LAM TERR|2 裕林臺,5927730.0,11623.0,510.0,2523900.0,16826.0,150.0,,-0.016546755055662055,-0.01659234678004773
2020-7-15,4296915.0,14464.5,2 U LAM TERR|2 裕林臺,6027180.0,11818.0,510.0,2566650.0,17111.0,150.0,,0.056096886578554495,0.05607271930785229
2020-6-15,4068675.0,13696.5,2 U LAM TERR|2 裕林臺,5706900.0,11190.0,510.0,2430450.0,16203.0,150.0,,-0.022561674342176374,-0.02258616998501395
2020-5-15,4162590.0,14013.0,2 U LAM TERR|2 裕林臺,5838480.0,11448.0,510.0,2486700.0,16578.0,150.0,,-0.006376952740370978,-0.006416846881979632
2020-4-15,4189305.0,14103.5,2 U LAM TERR|2 裕林臺,5875710.0,11521.0,510.0,2502900.0,16686.0,150.0,,0.01519777831090563,0.015151515151515138
