,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2022-12-15,3903919.8900789516,11898.0,"HANG CHEONG TAI BLDG,KO SHING ST|恒昌泰大廈,高陞街",3943949.998213901,12020.0,285.0,3863889.781944002,11776.0,285.0,,-0.0056329724135874,-0.06977835111997188
2022-11-15,3926035.1377044152,12790.5,"HANG CHEONG TAI BLDG,KO SHING ST|恒昌泰大廈,高陞街",3966705.921156652,12923.0,285.0,3885364.3542521787,12658.0,285.0,,0.05766358617170364,-0.03351216563397308
2022-10-15,3711988.565206265,13234.0,"HANG CHEONG TAI BLDG,KO SHING ST|恒昌泰大廈,高陞街",3750696.017374805,13372.0,285.0,3673281.1130377245,13096.0,285.0,,-0.07521708516986181,0.043197225287718855
2022-9-15,4013902.6204739884,12686.0,"HANG CHEONG TAI BLDG,KO SHING ST|恒昌泰大廈,高陞街",4055984.3679533387,12819.0,285.0,3971820.8729946376,12553.0,285.0,,-0.022140697178513635,-0.11847682579389895
2022-8-15,4104785.431700033,14391.0,"HANG CHEONG TAI BLDG,KO SHING ST|恒昌泰大廈,高陞街",4134512.3831198057,16806.0,285.0,4075058.480280261,11976.0,285.0,,-0.01600421041354083,-0.05598740529371249
2022-7-15,4171547.759797975,15244.5,"HANG CHEONG TAI BLDG,KO SHING ST|恒昌泰大廈,高陞街",4202122.437552579,17701.0,285.0,4140973.082043371,12788.0,285.0,,-0.04996298953439238,0.054143761020641
2022-6-15,4390931.84143797,14461.5,"HANG CHEONG TAI BLDG,KO SHING ST|恒昌泰大廈,高陞街",4423442.41561196,16407.0,285.0,4358421.267263981,12516.0,285.0,,0.003387332005216459,0.00500364849369328
2022-5-15,4376108.509027043,14389.5,"HANG CHEONG TAI BLDG,KO SHING ST|恒昌泰大廈,高陞街",4408792.887503315,16505.0,285.0,4343424.130550772,12274.0,285.0,,0.0334910529441812,0.02161874334398295
2022-4-15,4234297.429629898,14085.0,"HANG CHEONG TAI BLDG,KO SHING ST|恒昌泰大廈,高陞街",4266206.547378852,15867.0,285.0,4202388.311880944,12303.0,285.0,,-0.008737022269344363,0.051040967092008005
2022-3-15,4271618.656961921,13401.0,"HANG CHEONG TAI BLDG,KO SHING ST|恒昌泰大廈,高陞街",4304142.510232007,15492.0,285.0,4239094.803691834,11310.0,285.0,,0.00533261386305095,-0.016873303499376435
2022-2-15,4248960.5908118,13631.0,"HANG CHEONG TAI BLDG,KO SHING ST|恒昌泰大廈,高陞街",4281569.446660984,15518.0,285.0,4216351.734962616,11744.0,285.0,,0.06139135226070258,-0.04330432341381252
2022-1-15,4003198.802931415,14248.0,"HANG CHEONG TAI BLDG,KO SHING ST|恒昌泰大廈,高陞街",4027997.437335302,15522.0,285.0,3978400.1685275277,12974.0,285.0,,-0.11300158865584353,0.03550274355899563
2021-12-15,4513197.263639933,13759.5,"HANG CHEONG TAI BLDG,KO SHING ST|恒昌泰大廈,高陞街",4541464.437130913,14247.0,285.0,4484930.090148954,13272.0,285.0,,0.03329424872406084,-0.04388159266208047
2021-11-15,4367775.461068276,14391.0,"HANG CHEONG TAI BLDG,KO SHING ST|恒昌泰大廈,高陞街",4395411.885393555,16404.0,285.0,4340139.036742997,12378.0,285.0,,0.018587521907693638,-0.0394152788439075
2021-10-15,4288070.85019847,14981.5,"HANG CHEONG TAI BLDG,KO SHING ST|恒昌泰大廈,高陞街",4315436.9794824915,16852.0,285.0,4260704.720914448,13111.0,285.0,,-0.0695711928606253,0.043861482720178424
2021-9-15,4608703.876422577,14352.0,"HANG CHEONG TAI BLDG,KO SHING ST|恒昌泰大廈,高陞街",4638451.87901306,16362.0,285.0,4578955.873832094,12342.0,285.0,,0.07653413811657117,-0.180588067370825
2021-8-15,4281056.87803421,17515.0,"HANG CHEONG TAI BLDG,KO SHING ST|恒昌泰大廈,高陞街",4279101.499500138,17507.0,285.0,4283012.256568282,17523.0,285.0,,-0.08389948216081855,0.04582773548290797
2021-7-15,4673130.071066869,16747.5,"HANG CHEONG TAI BLDG,KO SHING ST|恒昌泰大廈,高陞街",4671037.312414355,16740.0,285.0,4675222.829719384,16755.0,285.0,,0.047496026373243794,0.06995687589841881
2021-6-15,4461238.948320115,15652.5,"HANG CHEONG TAI BLDG,KO SHING ST|恒昌泰大廈,高陞街",4459386.333519662,15646.0,285.0,4463091.563120567,15659.0,285.0,,0.04304120724088967,-0.017142318922482858
2021-5-15,4277145.444829769,15925.5,"HANG CHEONG TAI BLDG,KO SHING ST|恒昌泰大廈,高陞街",4275399.725989457,15919.0,285.0,4278891.163670083,15932.0,285.0,,-0.04942025286919571,-0.031295620437956195
