,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_A & B,npsf_A & B,nfa_A & B,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",6797250.0,11925.0,570.0,,,1704.0,6878800.0,11860.0,580.0,,,367.0,6779010.0,11893.0,570.0,6794752.0,11776.0,577.0,,
2019-11-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",7320510.0,12843.0,570.0,,,1704.0,7409500.0,12775.0,580.0,,,367.0,7302270.0,12811.0,570.0,7318091.0,12683.0,577.0,,
2019-10-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",6923790.0,12147.0,570.0,,,1704.0,7009300.0,12085.0,580.0,,,367.0,6907830.0,12119.0,570.0,6922269.0,11997.0,577.0,,
2019-9-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",8142450.0,14285.0,570.0,,,1704.0,8244700.0,14215.0,580.0,,,367.0,8125350.0,14255.0,570.0,8141470.0,14110.0,577.0,,
2019-8-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",7363830.0,12919.0,570.0,,,1704.0,8303860.0,14317.0,580.0,,,367.0,7350150.0,12895.0,570.0,7363674.0,12762.0,577.0,,
2019-7-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",7752570.0,13601.0,570.0,,,1704.0,8745820.0,15079.0,580.0,,,367.0,7740030.0,13579.0,570.0,7753149.0,13437.0,577.0,,
2019-6-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",7176870.0,12591.0,570.0,,,1704.0,8099700.0,13965.0,580.0,,,367.0,7166610.0,12573.0,570.0,7177880.0,12440.0,577.0,,
2019-5-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",7269780.0,12754.0,570.0,,,1704.0,8208160.0,14152.0,580.0,,,367.0,7261230.0,12739.0,570.0,7271931.0,12603.0,577.0,,
2019-4-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",6947730.0,12189.0,570.0,,,1704.0,7847400.0,13530.0,580.0,,,367.0,6941460.0,12178.0,570.0,6950542.0,12046.0,577.0,,
2019-3-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",6781860.0,11898.0,570.0,,,1704.0,7663540.0,13213.0,580.0,,,367.0,6777300.0,11890.0,570.0,6785520.0,11760.0,577.0,,
2019-2-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",6621690.0,11617.0,570.0,,,1704.0,7485480.0,12906.0,580.0,,,367.0,6618840.0,11612.0,570.0,6626845.0,11485.0,577.0,,
2019-1-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",6433020.0,11286.0,570.0,,,1704.0,7559140.0,13033.0,580.0,,,367.0,6365760.0,11168.0,570.0,6458361.0,11193.0,577.0,,
2018-12-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",6170250.0,10825.0,570.0,,,1704.0,7246520.0,12494.0,580.0,,,367.0,6106410.0,10713.0,570.0,6192941.0,10733.0,577.0,,
2018-11-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",7225890.0,12677.0,570.0,,,1704.0,8481920.0,14624.0,580.0,,,367.0,7152930.0,12549.0,570.0,7251736.0,12568.0,577.0,,
2018-10-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",7703550.0,13515.0,570.0,,,1704.0,9036980.0,15581.0,580.0,,,367.0,7626600.0,13380.0,570.0,7728915.0,13395.0,577.0,,
2018-9-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",7286880.0,12784.0,570.0,,,1704.0,8543400.0,14730.0,580.0,,,367.0,7214490.0,12657.0,570.0,7308859.0,12667.0,577.0,,
2018-8-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",7789050.0,13665.0,570.0,,,1704.0,9126880.0,15736.0,580.0,,,367.0,7713240.0,13532.0,570.0,7811426.0,13538.0,577.0,,
2018-7-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",7668210.0,13453.0,570.0,,,1704.0,8737700.0,15065.0,580.0,,,367.0,8491860.0,14898.0,570.0,7481382.0,12966.0,577.0,,
2018-6-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",6906120.0,12116.0,570.0,,,1704.0,8726100.0,15045.0,580.0,,,367.0,7648830.0,13419.0,570.0,7449070.0,12910.0,577.0,,
2018-5-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",7303410.0,12813.0,570.0,,,1704.0,8944760.0,15422.0,580.0,,,367.0,7846050.0,13765.0,570.0,7646981.0,13253.0,577.0,,
2018-4-15,,,6,,,4368,"KA ON BLDG,CONNAUGHT RD W|嘉安大廈,干諾道西",7469850.0,13105.0,570.0,,,1704.0,9141380.0,15761.0,580.0,,,367.0,8024460.0,14078.0,570.0,7826428.0,13564.0,577.0,,
