,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_H,npsf_H,nfa_H,lumpSum_I,npsf_I,nfa_I,lumpSum_L,npsf_L,nfa_L,lumpSum_M,npsf_M,nfa_M,lumpSum_N,npsf_N,nfa_N,lumpSum_P,npsf_P,nfa_P,lumpSum_Q,npsf_Q,nfa_Q,lumpSum_change,npsf_change
2019-12-15,5173741.692307692,11549.538461538461,13,67258642.0,150144.0,5851,"SUN ON BLDG,QUEEN'S RD W|新安大樓,皇后大道西",4902752.0,11168.0,439.0,5854436.0,11302.0,518.0,4600436.0,11588.0,397.0,6807500.0,10892.0,625.0,6542192.0,11051.0,592.0,4809504.0,11788.0,408.0,5382588.0,11428.0,471.0,5523892.0,11413.0,484.0,4988522.0,12287.0,406.0,4810260.0,12334.0,390.0,4271880.0,11640.0,367.0,4153452.0,11667.0,356.0,4611228.0,11586.0,398.0,-0.07100605928711523,-0.07100031555695807
2019-11-15,5569187.769230769,12432.23076923077,13,72399441.0,161619.0,5851,"SUN ON BLDG,QUEEN'S RD W|新安大樓,皇后大道西",5277219.0,12021.0,439.0,6302506.0,12167.0,518.0,4952178.0,12474.0,397.0,7328125.0,11725.0,625.0,7042432.0,11896.0,592.0,5176296.0,12687.0,408.0,5794242.0,12302.0,471.0,5946424.0,12286.0,484.0,5369350.0,13225.0,406.0,5178420.0,13278.0,390.0,4598143.0,12529.0,367.0,4470648.0,12558.0,356.0,4963458.0,12471.0,398.0,0.05777336840668057,0.057778272280435417
2019-10-15,5265010.384615385,11753.153846153846,13,68445135.0,152791.0,5851,"SUN ON BLDG,QUEEN'S RD W|新安大樓,皇后大道西",4988796.0,11364.0,439.0,5958554.0,11503.0,518.0,4681424.0,11792.0,397.0,6928125.0,11085.0,625.0,6658224.0,11247.0,592.0,4892328.0,11991.0,408.0,5478201.0,11631.0,471.0,5621660.0,11615.0,484.0,5075406.0,12501.0,406.0,4896450.0,12555.0,390.0,4347115.0,11845.0,367.0,4226432.0,11872.0,356.0,4692420.0,11790.0,398.0,-0.1492518763592272,-0.14924691667362677
2019-9-15,6188682.923076923,13815.0,13,80452878.0,179595.0,5851,"SUN ON BLDG,QUEEN'S RD W|新安大樓,皇后大道西",5863723.0,13357.0,439.0,7004913.999999999,13523.0,518.0,5502817.0,13861.0,397.0,8143750.0,13030.0,625.0,7826240.0,13220.0,592.0,5749536.0,14092.0,408.0,6439512.000000001,13672.0,471.0,6608536.000000001,13654.0,484.0,5965358.0,14693.0,406.0,5756010.0,14759.0,390.0,5109374.0,13922.0,367.0,4967624.0,13954.0,356.0,5515484.0,13858.0,398.0,0.10625768818152048,0.10626201153106973
2019-8-15,5594250.769230769,12488.0,13,72725260.0,162344.0,5851,"SUN ON BLDG,QUEEN'S RD W|新安大樓,皇后大道西",5300486.0,12074.0,439.0,6332550.0,12225.0,518.0,4974410.0,12530.0,397.0,7361875.0,11779.0,625.0,7074400.000000001,11950.0,592.0,5196288.0,12736.0,408.0,5821089.0,12359.0,471.0,5974012.0,12343.0,484.0,5391680.0,13280.0,406.0,5203770.0,13343.0,390.0,4618328.0,12584.0,367.0,4490228.0,12613.0,356.0,4986144.0,12528.0,398.0,-0.05024761774615094,-0.050331094835856516
2019-7-15,5890220.307692308,13149.846153846154,13,76572864.0,170948.0,5851,"SUN ON BLDG,QUEEN'S RD W|新安大樓,皇后大道西",5577495.0,12705.0,439.0,6664070.000000001,12865.0,518.0,5234445.0,13185.0,397.0,7746250.0,12394.0,625.0,7444400.0,12575.0,592.0,5466792.0,13399.0,408.0,6125826.0,13006.0,471.0,6286676.0,12989.0,484.0,5673038.0,13973.0,406.0,5522790.0,14161.0,390.0,4859814.0,13242.0,367.0,4724832.0,13272.0,356.0,5246436.0,13182.0,398.0,0.06942208689781815,0.06877235101407964
2019-6-15,5507853.615384615,12303.692307692309,13,71602097.0,159948.0,5851,"SUN ON BLDG,QUEEN'S RD W|新安大樓,皇后大道西",5160884.0,11756.0,439.0,6166272.0,11904.0,518.0,4954163.0,12479.0,397.0,7251875.0,11603.0,625.0,6888512.0,11636.0,592.0,5057568.0,12396.0,408.0,5778699.0,12269.0,471.0,5928516.0,12249.0,484.0,5248362.0,12927.0,406.0,5110950.0,13105.0,390.0,4609520.0,12560.0,367.0,4481328.0,12588.0,356.0,4965448.0,12476.0,398.0,-0.010614947810638098,-0.010920513993840864
2019-5-15,5566946.461538462,12439.538461538461,13,72370304.0,161714.0,5851,"SUN ON BLDG,QUEEN'S RD W|新安大樓,皇后大道西",5236392.0,11928.0,439.0,6243972.0,12054.0,518.0,5016095.0,12635.0,397.0,7343125.0,11749.0,625.0,6974351.999999999,11781.0,592.0,5206080.0,12760.0,408.0,5739135.0,12185.0,471.0,5890280.0,12170.0,484.0,5313322.0,13087.0,406.0,5175300.0,13270.0,390.0,4667139.0,12717.0,367.0,4537576.0,12746.0,356.0,5027536.0,12632.0,398.0,0.03926617460867865,0.03807885378285025
2019-4-15,5356612.769230769,11983.23076923077,13,69635966.0,155782.0,5851,"SUN ON BLDG,QUEEN'S RD W|新安大樓,皇后大道西",5001966.0,11394.0,439.0,5964770.0,11515.0,518.0,4967264.0,12512.0,397.0,7015625.0,11225.0,625.0,6662368.0,11254.0,592.0,4972704.0,12188.0,408.0,5482911.0,11641.0,471.0,5626984.0,11626.0,484.0,5075406.0,12501.0,406.0,4944030.0,12677.0,390.0,4534652.0,12356.0,367.0,4408704.0,12384.0,356.0,4978582.0,12509.0,398.0,0.026370479627392474,0.025326786631037157
2019-3-15,5218985.615384615,11687.23076923077,13,67846813.0,151934.0,5851,"SUN ON BLDG,QUEEN'S RD W|新安大樓,皇后大道西",4879924.0,11116.0,439.0,5820248.0,11236.0,518.0,4846973.0,12209.0,397.0,6665625.0,10665.0,625.0,6500752.0,10981.0,592.0,4851528.0,11891.0,408.0,5349618.0,11358.0,471.0,5490012.0,11343.0,484.0,4951170.0,12195.0,406.0,4824300.0,12370.0,390.0,4507127.0,12281.0,367.0,4301548.0,12083.0,356.0,4857988.0,12206.0,398.0,0.025308647133949425,0.025244107346500844
