,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,5432685.0,9255.0,1,5432685,9255,587,13 YEN CHOW ST|13 欽州街,5432685.0,9255.0,587.0,-0.01469179175982116,-0.01469179175982116
2019-11-15,5513691.0,9393.0,1,5513691,9393,587,13 YEN CHOW ST|13 欽州街,5513691.0,9393.0,587.0,0.08314114391143912,0.08314114391143912
2019-10-15,5090464.0,8672.0,1,5090464,8672,587,13 YEN CHOW ST|13 欽州街,5090464.0,8672.0,587.0,-0.08897993486710787,-0.08897993486710787
2019-9-15,5587653.0,9519.0,1,5587653,9519,587,13 YEN CHOW ST|13 欽州街,5587653.0,9519.0,587.0,-0.0035590913849052885,-0.0035590913849052885
2019-8-15,5607611.0,9553.0,1,5607611,9553,587,13 YEN CHOW ST|13 欽州街,5607611.0,9553.0,587.0,0.00993762554181199,0.00993762554181199
2019-7-15,5552433.0,9459.0,1,5552433,9459,587,13 YEN CHOW ST|13 欽州街,5552433.0,9459.0,587.0,-0.03656549195355474,-0.03656549195355474
2019-6-15,5763166.0,9818.0,1,5763166,9818,587,13 YEN CHOW ST|13 欽州街,5763166.0,9818.0,587.0,0.011226696879184317,0.011226696879184317
2019-5-15,5699183.0,9709.0,1,5699183,9709,587,13 YEN CHOW ST|13 欽州街,5699183.0,9709.0,587.0,0.02135493372606767,0.02135493372606767
2019-4-15,5580022.0,9506.0,1,5580022,9506,587,13 YEN CHOW ST|13 欽州街,5580022.0,9506.0,587.0,-0.012568816869221955,-0.012568816869221955
2019-3-15,5651049.0,9627.0,1,5651049,9627,587,13 YEN CHOW ST|13 欽州街,5651049.0,9627.0,587.0,0.020349761526232024,0.020349761526232024
2019-2-15,5538345.0,9435.0,1,5538345,9435,587,13 YEN CHOW ST|13 欽州街,5538345.0,9435.0,587.0,0.037269129287598846,0.037269129287598846
2019-1-15,5339352.0,9096.0,1,5339352,9096,587,13 YEN CHOW ST|13 欽州街,5339352.0,9096.0,587.0,0.015178571428571486,0.015178571428571486
2018-12-15,5259520.0,8960.0,1,5259520,8960,587,13 YEN CHOW ST|13 欽州街,5259520.0,8960.0,587.0,-0.022474361771765206,-0.022474361771765206
2018-11-15,5380442.0,9166.0,1,5380442,9166,587,13 YEN CHOW ST|13 欽州街,5380442.0,9166.0,587.0,-0.016734606307659328,-0.016734606307659328
2018-10-15,5472014.0,9322.0,1,5472014,9322,587,13 YEN CHOW ST|13 欽州街,5472014.0,9322.0,587.0,-0.03807656588587349,-0.03807656588587349
2018-9-15,5688617.0,9691.0,1,5688617,9691,587,13 YEN CHOW ST|13 欽州街,5688617.0,9691.0,587.0,-0.05683698296836981,-0.05683698296836981
2018-8-15,6031425.0,10275.0,1,6031425,10275,587,13 YEN CHOW ST|13 欽州街,6031425.0,10275.0,587.0,0.003026161655603321,0.003026161655603321
2018-7-15,6013228.0,10244.0,1,6013228,10244,587,13 YEN CHOW ST|13 欽州街,6013228.0,10244.0,587.0,0.06608387969611829,0.06608387969611829
2018-6-15,5640483.0,9609.0,1,5640483,9609,587,13 YEN CHOW ST|13 欽州街,5640483.0,9609.0,587.0,0.026273630246715696,0.026273630246715696
2018-5-15,5496081.0,9363.0,1,5496081,9363,587,13 YEN CHOW ST|13 欽州街,5496081.0,9363.0,587.0,0.009270238223563654,0.009270238223563654
2018-4-15,5445599.0,9277.0,1,5445599,9277,587,13 YEN CHOW ST|13 欽州街,5445599.0,9277.0,587.0,0.017884573184112407,0.017884573184112407
2018-3-15,5349918.0,9114.0,1,5349918,9114,587,13 YEN CHOW ST|13 欽州街,5349918.0,9114.0,587.0,0.012779197688632005,0.012779197688632005
2018-2-15,5282413.0,8999.0,1,5282413,8999,587,13 YEN CHOW ST|13 欽州街,5282413.0,8999.0,587.0,-0.005855059655324735,-0.005855059655324735
2018-1-15,5313524.0,9052.0,1,5313524,9052,587,13 YEN CHOW ST|13 欽州街,5313524.0,9052.0,587.0,0.08942110964014915,0.08942110964014915
2017-12-15,4877383.0,8309.0,1,4877383,8309,587,13 YEN CHOW ST|13 欽州街,4877383.0,8309.0,587.0,-0.005981576743629646,-0.005981576743629646
2017-11-15,4906733.0,8359.0,1,4906733,8359,587,13 YEN CHOW ST|13 欽州街,4906733.0,8359.0,587.0,-0.0292648937405644,-0.0292648937405644
2017-10-15,5054657.0,8611.0,1,5054657,8611,587,13 YEN CHOW ST|13 欽州街,5054657.0,8611.0,587.0,,
2017-9-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
2017-8-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
2017-7-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
2017-6-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
2017-5-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
2017-4-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
2017-3-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
2017-2-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
2017-1-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
2016-12-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
2016-11-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
2016-10-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
2016-9-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
2016-8-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
2016-7-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
2016-6-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
2016-5-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
2016-4-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
2016-3-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
2016-2-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
2016-1-15,,,1,,,587,13 YEN CHOW ST|13 欽州街,,,587.0,,
