,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2020-12-15,4501984.0,8368.0,278 YU CHAU ST|278 汝州街,4501984.0,8368.0,538.0,,-0.022315691085407208,-0.022315691085407208
2020-11-15,4604742.0,8559.0,278 YU CHAU ST|278 汝州街,4604742.0,8559.0,538.0,,0.008364750235626772,0.008364750235626772
2020-10-15,4566544.0,8488.0,278 YU CHAU ST|278 汝州街,4566544.0,8488.0,538.0,,-0.011413929652923316,-0.011413929652923316
2020-9-15,4619268.0,8586.0,278 YU CHAU ST|278 汝州街,4619268.0,8586.0,538.0,,-0.0060199120166705145,-0.0060199120166705145
2020-8-15,4647244.0,8638.0,278 YU CHAU ST|278 汝州街,4647244.0,8638.0,538.0,,-0.00872159742942391,-0.00872159742942391
2020-7-15,4688132.0,8714.0,278 YU CHAU ST|278 汝州街,4688132.0,8714.0,538.0,,-0.015923207227555025,-0.015923207227555025
2020-6-15,4763990.0,8855.0,278 YU CHAU ST|278 汝州街,4763990.0,8855.0,538.0,,0.030609869646182508,0.030609869646182508
2020-5-15,4622496.0,8592.0,278 YU CHAU ST|278 汝州街,4622496.0,8592.0,538.0,,-0.025739879804966503,-0.025739879804966503
2020-4-15,4744622.0,8819.0,278 YU CHAU ST|278 汝州街,4744622.0,8819.0,538.0,,0.05604119267153629,0.05604119267153629
2020-3-15,4492838.0,8351.0,278 YU CHAU ST|278 汝州街,4492838.0,8351.0,538.0,,-0.021443637215842526,-0.021443637215842526
2020-2-15,4591292.0,8534.0,278 YU CHAU ST|278 汝州街,4591292.0,8534.0,538.0,,-0.07097757456999787,-0.07097757456999787
2020-1-15,4942068.0,9186.0,278 YU CHAU ST|278 汝州街,4942068.0,9186.0,538.0,,0.07325622152120581,0.07325622152120581
2019-12-15,4604742.0,8559.0,278 YU CHAU ST|278 汝州街,4604742.0,8559.0,538.0,,-0.00046712600724041486,-0.00046712600724041486
2019-11-15,4606894.0,8563.0,278 YU CHAU ST|278 汝州街,4606894.0,8563.0,538.0,,0.060433436532507656,0.060433436532507656
2019-10-15,4344350.0,8075.0,278 YU CHAU ST|278 汝州街,4344350.0,8075.0,538.0,,-0.08798283261802575,-0.08798283261802575
2019-9-15,4763452.0,8854.0,278 YU CHAU ST|278 汝州街,4763452.0,8854.0,538.0,,-0.0016912842485060642,-0.0016912842485060642
2019-8-15,4771522.0,8869.0,278 YU CHAU ST|278 汝州街,4771522.0,8869.0,538.0,,0.009446847256999735,0.009446847256999735
2019-7-15,4726868.0,8786.0,278 YU CHAU ST|278 汝州街,4726868.0,8786.0,538.0,,-0.03915135608048992,-0.03915135608048992
2019-6-15,4919472.0,9144.0,278 YU CHAU ST|278 汝州街,4919472.0,9144.0,538.0,,0.012736737180197188,0.012736737180197188
2019-5-15,4857602.0,9029.0,278 YU CHAU ST|278 汝州街,4857602.0,9029.0,538.0,,0.017352112676056297,0.017352112676056297
2019-4-15,4774750.0,8875.0,278 YU CHAU ST|278 汝州街,4774750.0,8875.0,538.0,,-0.01180269457744132,-0.01180269457744132
2019-3-15,4831778.0,8981.0,278 YU CHAU ST|278 汝州街,4831778.0,8981.0,538.0,,0.050040921314158826,0.050040921314158826
2019-2-15,4601514.0,8553.0,278 YU CHAU ST|278 汝州街,4601514.0,8553.0,538.0,,0.01266871892019883,0.01266871892019883
2019-1-15,4543948.0,8446.0,278 YU CHAU ST|278 汝州街,4543948.0,8446.0,538.0,,0.004997620180866358,0.004997620180866358
2018-12-15,4521352.0,8404.0,278 YU CHAU ST|278 汝州街,4521352.0,8404.0,538.0,,-0.010595714622086194,-0.010595714622086194
2018-11-15,4569772.0,8494.0,278 YU CHAU ST|278 汝州街,4569772.0,8494.0,538.0,,-0.007594345133777325,-0.007594345133777325
2018-10-15,4604742.0,8559.0,278 YU CHAU ST|278 汝州街,4604742.0,8559.0,538.0,,-0.04581939799331103,-0.04581939799331103
2018-9-15,4825860.0,8970.0,278 YU CHAU ST|278 汝州街,4825860.0,8970.0,538.0,,-0.04604913325534399,-0.04604913325534399
2018-8-15,5058814.0,9403.0,278 YU CHAU ST|278 汝州街,5058814.0,9403.0,538.0,,-0.001062360565175835,-0.001062360565175835
2018-7-15,5064194.0,9413.0,278 YU CHAU ST|278 汝州街,5064194.0,9413.0,538.0,,0.06711257227071754,0.06711257227071754
