,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4029605.5,11220.5,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4372235.0,11785.0,371.0,3686976.0,10656.0,346.0,,-0.056427528412975825,-0.056426859521506945
2022-11-15,4270584.0,11891.5,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4633790.0,12490.0,371.0,3907378.0,11293.0,346.0,,-0.007016549747422607,-0.007014320905181393
2022-10-15,4300760.5,11975.5,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4666809.0,12579.0,371.0,3934712.0,11372.0,346.0,,-0.03291064010444522,-0.03290801905838647
2022-9-15,4447118.0,12383.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4825968.0,13008.0,371.0,4068268.0,11758.0,346.0,,0.013004242113207054,0.013007198952879495
2022-8-15,4390029.0,12224.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4764382.0,12842.0,371.0,4015676.0,11606.0,346.0,,-0.03925871530480296,-0.03925806578378588
2022-7-15,4569418.5,12723.5,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4959157.0,13367.0,371.0,4179680.0,12080.0,346.0,,0.025095949525658856,0.02509668063164683
2022-6-15,4457552.0,12412.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4837840.0,13040.0,371.0,4077264.0,11784.0,346.0,,-0.05661962235807638,-0.056623850421828714
2022-5-15,4725084.5,13157.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",5127591.0,13821.0,371.0,4322578.0,12493.0,346.0,,0.0036498214756617298,0.0036616065298649136
2022-4-15,4707901.5,13109.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",5110525.0,13775.0,371.0,4305278.0,12443.0,346.0,,0.057411954799859055,0.05743324997983379
2022-3-15,4452287.0,12397.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4835614.0,13034.0,371.0,4068960.0,11760.0,346.0,,-0.15261629981745883,-0.152602617997881
2022-2-15,5254157.0,14629.5,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",5708948.0,15388.0,371.0,4799366.0,13871.0,346.0,,0.09730283337513712,0.09732223222322234
2022-1-15,4788247.0,13332.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",5205130.0,14030.0,371.0,4371364.0,12634.0,346.0,,-0.017051571645864128,-0.01703163017031628
2021-12-15,4871310.5,13563.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",5298251.0,14281.0,371.0,4444370.0,12845.0,346.0,,0.0022737469059008752,0.0022908660951816984
2021-11-15,4860259.5,13532.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",5288605.0,14255.0,371.0,4431914.0,12809.0,346.0,,0.016697741231607166,0.01671738232089859
2021-10-15,4780437.0,13309.5,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",5204388.0,14028.0,371.0,4356486.0,12591.0,346.0,,-0.02033359714963634,-0.02031577785138572
2021-9-15,4879658.0,13585.5,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",5314946.0,14326.0,371.0,4444370.0,12845.0,346.0,,-0.017696689576940816,-0.0176789587852495
2021-8-15,4967567.5,13830.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",5413261.0,14591.0,371.0,4521874.0,13069.0,346.0,,0.012944200838157949,0.012964183695890918
2021-7-15,4904088.0,13653.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",5346852.0,14412.0,371.0,4461324.0,12894.0,346.0,,0.05925684011902166,0.05927535107455961
2021-6-15,4629744.0,12889.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",5050052.0,13612.0,371.0,4209436.0,12166.0,346.0,,-0.04609049063432613,-0.046071864707841415
2021-5-15,4853441.5,13511.5,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",5296767.0,14277.0,371.0,4410116.0,12746.0,346.0,,0.008867896682035026,0.0088855702818742
2021-4-15,4810780.0,13392.5,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",5252618.0,14158.0,371.0,4368942.0,12627.0,346.0,,-0.010036010532249895,-0.010016262566528655
2021-3-15,4859550.5,13528.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",5308639.0,14309.0,371.0,4410462.0,12747.0,346.0,,0.014912659836118225,0.014929852201965632
2021-2-15,4788146.5,13329.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",5232955.0,14105.0,371.0,4343338.0,12553.0,346.0,,0.018713609176141732,0.018725160501375626
2021-1-15,4700189.0,13084.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",5138350.0,13850.0,371.0,4262028.0,12318.0,346.0,,0.004655134443174669,0.12836876374455608
2020-12-15,4678410.370743845,11595.5,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",5081216.0,13696.0,371.0,4275604.741487688,9495.0,346.0,,-0.011800482811426205,0.0009063444108761143
2020-11-15,4734277.126600826,11585.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",5141689.0,13859.0,371.0,4326865.253201653,9311.0,346.0,,0.0716096719201551,0.3122274452058673
2020-10-15,4417911.904544264,8828.5,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4566205.428538637,8817.0,371.0,4269618.380549892,8840.0,346.0,,-0.00903031971557533,-0.0158296638983334
2020-9-15,4458170.610503694,8970.5,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4607907.298186385,8959.0,371.0,4308433.922821003,8982.0,346.0,,0.003189946420577794,0.06804381473984988
2020-8-15,4443994.5061357785,8399.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4593660.613750664,8389.0,371.0,4294328.398520893,8409.0,346.0,,-0.014819849799123874,-0.0073277390379388185
2020-7-15,4510844.5447562635,8461.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4662801.3573738765,8451.0,371.0,4358887.73213865,8471.0,346.0,,-0.00519163696459668,0.008342271481349028
2020-6-15,4534385.4277547235,8391.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4687090.605146352,8381.0,371.0,4381680.250363095,8401.0,346.0,,0.01289322826078032,0.05467571644042235
2020-5-15,4476666.741607731,7956.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4627698.789319399,7947.0,371.0,4325634.693896065,7965.0,346.0,,-0.020001644007324515,-0.036103707293433485
2020-4-15,4568034.9505006615,8254.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4722335.8955329945,8245.0,371.0,4413734.005468328,8263.0,346.0,,0.05765179736550974,0.03065492913779111
2020-3-15,4319034.829685079,8008.5,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4465050.0914178705,8000.0,371.0,4173019.567952287,8017.0,346.0,,-0.038928561267165596,-0.005896226415094352
2020-2-15,4493978.965163812,8056.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4612216.972543669,7987.0,371.0,4375740.957783956,8125.0,346.0,,-0.05459330365851445,0.053003071694660564
2020-1-15,4753487.554673047,7650.5,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4877949.054179965,7584.0,371.0,4629026.055166129,7717.0,346.0,,0.08017109963651725,-0.025351933244155633
2019-12-15,4400680.185086065,7849.5,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4515752.644810235,7781.0,371.0,4285607.725361895,7918.0,346.0,,-0.006204883625194779,-0.22439602786423596
2019-11-15,4428156.3800987415,10120.5,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4563836.760197484,7835.0,371.0,4292476.0,12406.0,346.0,,0.05790935309792511,0.012809607205404028
2019-10-15,4185761.631780233,9992.5,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4313981.263560466,8258.0,371.0,4057542.0,11727.0,346.0,,-0.06728774356652201,-0.017694765298599147
2019-9-15,4487730.919057313,10172.5,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4624857.838114627,7771.0,371.0,4350604.0,12574.0,346.0,,-0.02738276885641966,-0.0252024339993292
2019-8-15,4614077.126497898,10435.5,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4754720.252995797,7942.0,371.0,4473434.0,12929.0,346.0,,-0.00402969906931594,0.33105867346938767
2019-7-15,4632745.697523586,7840.0,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4786014.757163697,7826.0,371.0,4479476.637883477,7854.0,346.0,,-0.0036896415869303034,0.004934948407357531
2019-6-15,4649902.169944973,7801.5,"HANG CHEONG BLDG,TAI NAN ST|恒昌樓,大南街",4803995.587224004,7788.0,371.0,4495808.752665942,7815.0,346.0,,0.03264830930147178,0.01694583849312381
