,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,nfa_avg,lumpSum_change,npsf_change
2022-12-15,3563509.5,12813.625,"HING LUNG BLDG,CASTLE PEAK RD|興隆大廈,青山道",3509721.0,12951.0,271.0,3420291.0000000005,12621.0,271.0,3778360.0,12808.0,295.0,3738210.0,12715.0,294.0,3504734.0,12791.0,274.0,3583372.0,13078.0,274.0,3528112.0,12971.0,272.0,3445276.0,12574.0,274.0,,-0.056574034582750565,-0.05657303784420553
2022-11-15,3777201.0,13582.0,"HING LUNG BLDG,CASTLE PEAK RD|興隆大廈,青山道",3720559.0,13729.0,271.0,3624896.0,13376.0,271.0,4005215.0,13577.0,295.0,3962532.0,13478.0,294.0,3714892.0,13558.0,274.0,3798736.0000000005,13864.0,274.0,3739728.0,13749.0,272.0,3651050.0,13325.0,274.0,,-0.007431712498461973,-0.007435827167260434
2022-10-15,3805482.25,13683.75,"HING LUNG BLDG,CASTLE PEAK RD|興隆大廈,青山道",3754976.0,13856.0,271.0,3650641.0,13471.0,271.0,4034715.0,13677.0,295.0,3991638.0,13577.0,294.0,3741470.0,13655.0,274.0,3826684.0,13966.0,274.0,3766928.0,13849.0,272.0,3676806.0,13419.0,274.0,,-0.032791857546134784,-0.03278818883028067
2022-9-15,3934501.875,14147.625,"HING LUNG BLDG,CASTLE PEAK RD|興隆大廈,青山道",3882075.0,14325.0,271.0,3773404.0,13924.0,271.0,4172480.0000000005,14144.0,295.0,4127466.0,14039.0,294.0,3868332.0,14118.0,274.0,3957382.0,14443.0,274.0,3894496.0,14318.0,272.0,3800380.0,13870.0,274.0,,0.01311897682370744,0.013122678243745245
2022-8-15,3883553.625,13964.375,"HING LUNG BLDG,CASTLE PEAK RD|興隆大廈,青山道",3831940.0,14140.0,271.0,3723540.0,13740.0,271.0,4119085.0,13963.0,295.0,4074840.0,13860.0,294.0,3817916.0,13934.0,274.0,3906966.0,14259.0,274.0,3843904.0,14132.0,272.0,3750238.0,13687.0,274.0,,-0.03796442548832668,-0.03793489493627278
2022-7-15,4036808.75,14515.0,"HING LUNG BLDG,CASTLE PEAK RD|興隆大廈,青山道",3987765.0,14715.0,271.0,3874216.0,14296.0,271.0,4287825.0,14535.0,295.0,4241244.0,14426.0,294.0,3973000.0,14500.0,274.0,4066982.0,14843.0,274.0,3961952.0,14566.0,272.0,3901486.0,14239.0,274.0,,0.02628195667878197,0.0263027646185392
2022-6-15,3933430.5,14143.0,"HING LUNG BLDG,CASTLE PEAK RD|興隆大廈,青山道",3889934.0,14354.0,271.0,3778011.0,13941.0,271.0,4183394.9999999995,14181.0,295.0,4137756.0,14074.0,294.0,3875456.0,14144.0,274.0,3934640.0,14360.0,274.0,3863488.0,14204.0,272.0,3804764.0,13886.0,274.0,,-0.05663512038502483,-0.05663020277481323
2022-5-15,4169574.875,14992.0,"HING LUNG BLDG,CASTLE PEAK RD|興隆大廈,青山道",4123536.0,15216.0,271.0,4004025.0,14775.0,271.0,4435620.0,15036.0,295.0,4387362.0,14923.0,294.0,4108081.9999999995,14993.0,274.0,4171102.0000000005,15223.0,274.0,4094688.0000000005,15054.0,272.0,4032184.0,14716.0,274.0,,0.007803843731574833,0.007907895289718025
2022-4-15,4137288.125,14874.375,"HING LUNG BLDG,CASTLE PEAK RD|興隆大廈,青山道",4008361.0,14791.0,271.0,3989391.0,14721.0,271.0,4421165.0,14987.0,295.0,4372956.0,14874.0,294.0,4073010.0000000005,14865.0,274.0,4156854.0,15171.0,274.0,4079456.0000000005,14998.0,272.0,3997112.0000000005,14588.0,274.0,,0.05975933522086874,0.059834160157467675
2022-3-15,3903988.375,14034.625,"HING LUNG BLDG,CASTLE PEAK RD|興隆大廈,青山道",3792374.0,13994.0,271.0,3694814.0,13634.0,271.0,4183394.9999999995,14181.0,295.0,4137462.0,14073.0,294.0,3852714.0,14061.0,274.0,3932722.0,14353.0,274.0,3858048.0,14184.0,272.0,3780378.0,13797.0,274.0,,-0.15246523392919287,-0.15245370754795318
