,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_change,npsf_change
2019-12-15,2539309.4,9336.4,5,12696547,46682,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2583612.0,10014.0,258.0,2489406.0,9186.0,271.0,2733264.0,8991.0,304.0,2492929.0,9199.0,271.0,2397336.0,9292.0,258.0,-0.014794210970371258,-0.014794335521178592
2019-11-15,2577440.6,9476.6,5,12887203,47383,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2622570.0,10165.0,258.0,2526804.0,9324.0,271.0,2774304.0,9126.0,304.0,2530327.0,9337.0,271.0,2433198.0,9431.0,258.0,0.08318889081086667,0.08318855157278726
2019-10-15,2379493.2,8748.8,5,11897466,43744,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2421072.0,9384.0,258.0,2332768.0,8608.0,271.0,2561200.0,8425.0,304.0,2336020.0,8620.0,271.0,2246406.0,8707.0,258.0,-0.08897062843632686,-0.08897034321892716
2019-9-15,2611873.2,9603.2,5,13059366,48016,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2657658.0,10301.0,258.0,2560408.0,9448.0,271.0,2811392.0,9248.0,304.0,2564202.0,9462.0,271.0,2465706.0,9557.0,258.0,-0.0036289959869324484,-0.0036313834533419076
2019-8-15,2621386.2,9638.2,5,13106931,48191,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2667462.0,10339.0,258.0,2569893.0,9483.0,271.0,2821424.0,9281.0,304.0,2573416.0,9496.0,271.0,2474736.0,9592.0,258.0,0.009932869585211224,0.009933566653394177
2019-7-15,2595604.4,9543.4,5,12978022,47717,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2641146.0,10237.0,258.0,2544419.0,9389.0,271.0,2793760.0,9190.0,304.0,2548213.0,9403.0,271.0,2450484.0,9498.0,258.0,-0.036487641850190045,-0.036487359664001295
2019-6-15,2693898.4,9904.8,5,13469492,49524,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2741250.0,10625.0,258.0,2640895.0,9745.0,271.0,2899552.0,9538.0,304.0,2644689.0,9759.0,271.0,2543106.0,9857.0,258.0,-0.028881098335805766,-0.028617382264676583
2019-5-15,2774015.0,10196.6,5,13870075,50983,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2711064.0,10508.0,258.0,2738184.0,10104.0,271.0,2990752.0,9838.0,304.0,2763387.0,10197.0,271.0,2666688.0,10336.0,258.0,0.02125111199434171,0.021253154921677897
2019-4-15,2716290.8,9984.4,5,13581454,49922,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2654562.0,10289.0,258.0,2681274.0,9894.0,271.0,2928736.0,9634.0,304.0,2705664.0,9984.0,271.0,2611218.0,10121.0,258.0,-0.012599710936432307,-0.012599141596946084
2019-3-15,2750952.0,10111.8,5,13754760,50559,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2688360.0,10420.0,258.0,2715420.0,10020.0,271.0,2966128.0,9757.0,304.0,2740352.0,10112.0,271.0,2644500.0,10250.0,258.0,0.020216890547175126,0.020219141594527423
2019-2-15,2696438.4,9911.4,5,13482192,49557,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2634954.0,10213.0,258.0,2661762.0,9822.0,271.0,2907456.0,9564.0,304.0,2686152.0,9912.0,271.0,2591868.0,10046.0,258.0,0.03725470087337568,0.03725642045335631
2019-1-15,2599591.4,9555.4,5,12997957,47777,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2540268.0,9846.0,258.0,2566099.0,9469.0,271.0,2803184.0,9221.0,304.0,2589676.0,9556.0,271.0,2498730.0,9685.0,258.0,0.01516789884464309,0.015171153560121553
2018-12-15,2560750.2,9412.6,5,12803751,47063,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2502084.0,9698.0,258.0,2527888.0,9328.0,271.0,2761536.0,9084.0,304.0,2550923.0,9413.0,271.0,2461320.0,9540.0,258.0,-0.008888900586078163,-0.008887016952721871
2018-11-15,2583716.6,9497.0,5,12918583,47485,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2524530.0,9785.0,258.0,2550381.0,9411.0,271.0,2786464.0,9166.0,304.0,2573958.0,9498.0,271.0,2483250.0,9625.0,258.0,-0.014424021761951455,-0.014302320753933562
2018-10-15,2621529.6,9634.8,5,13107648,48174,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2537430.0,9835.0,258.0,2593741.0,9571.0,271.0,2833584.0,9321.0,304.0,2617589.0,9659.0,271.0,2525304.0,9788.0,258.0,-0.03802261221303738,-0.03802068772714573
2018-9-15,2725146.8,10015.6,5,13625734,50078,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2637534.0,10223.0,258.0,2696179.0,9949.0,271.0,2945760.0,9690.0,304.0,2721111.0,10041.0,271.0,2625150.0,10175.0,258.0,-0.05686059406206512,-0.05685820291165222
2018-8-15,2889442.2,10619.4,5,14447211,53097,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2796462.0,10839.0,258.0,2858779.0,10549.0,271.0,3123600.0,10275.0,304.0,2885066.0,10646.0,271.0,2783304.0,10788.0,258.0,0.0029826617814412426,0.0029845671433159637
2018-7-15,2880849.6,10587.8,5,14404248,52939,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2787948.0,10806.0,258.0,2850378.0,10518.0,271.0,3114480.0,10245.0,304.0,2876394.0,10614.0,271.0,2775048.0,10756.0,258.0,0.06583252377381976,0.06583583321588926
2018-6-15,2702910.2,9933.8,5,13514551,49669,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2615346.0,10137.0,258.0,2674228.0,9868.0,271.0,2922352.0,9613.0,304.0,2698889.0,9959.0,271.0,2603736.0,10092.0,258.0,0.025940182246128485,0.025943444942474025
2018-5-15,2634569.0,9682.6,5,13172845,48413,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2549040.0,9880.0,258.0,2606207.0,9617.0,271.0,2848784.0,9371.0,304.0,2630868.0,9708.0,271.0,2537946.0,9837.0,258.0,0.006197202764832932,0.006047130210714569
2018-4-15,2618342.6,9624.4,5,13091713,48122,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2561940.0,9930.0,258.0,2582901.0,9531.0,271.0,2823552.0,9288.0,304.0,2607562.0,9622.0,271.0,2515758.0,9751.0,258.0,0.01760703976892697,0.017615090190107763
2018-3-15,2573039.0,9457.8,5,12865195,47289,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2516532.0,9754.0,258.0,2538186.0,9366.0,271.0,2775216.0,9129.0,304.0,2562847.0,9457.0,271.0,2472414.0,9583.0,258.0,0.012199553789231432,0.012200603608810034
2018-2-15,2542027.4,9343.8,5,12710137,46719,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2485572.0,9634.0,258.0,2507563.0,9253.0,271.0,2741776.0,9019.0,304.0,2532224.0,9344.0,271.0,2443002.0,9469.0,258.0,-0.006618460175169316,-0.006612800340208502
2018-1-15,2558963.8,9406.0,5,12794819,47030,1362,"LUEN HONG BLDG,KI LUNG ST|聯康大廈,基隆街",2501052.0,9694.0,258.0,2524636.0,9316.0,271.0,2760320.0,9080.0,304.0,2549297.0,9407.0,271.0,2459514.0,9533.0,258.0,0.08855658587752457,0.08855661512822888
