,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,3538906.25,12527.75,4,14155625,50111,1132,"MAPLE MANS,MAPLE ST|華楓樓,楓樹街",3870395.0,12445.0,311.0,3778650.0,12150.0,311.0,3302505.0,12951.0,255.0,3204075.0,12565.0,255.0,-0.02526030873404639,-0.02638481415997984
2019-11-15,3630616.75,12867.25,4,14522467,51469,1132,"MAPLE MANS,MAPLE ST|華楓樓,楓樹街",3927619.0,12629.0,311.0,3835563.0,12333.0,311.0,3495030.0,13706.0,255.0,3264255.0,12801.0,255.0,0.08320131262890662,0.08319302971630615
2019-10-15,3351747.0,11879.0,4,13406988,47516,1132,"MAPLE MANS,MAPLE ST|華楓樓,楓樹街",3625016.0,11656.0,311.0,3541357.0,11387.0,311.0,3227280.0,12656.0,255.0,3013335.0,11817.0,255.0,-0.08895632232396733,-0.0889638775979753
2019-9-15,3679019.0,13039.0,4,14716076,52156,1132,"MAPLE MANS,MAPLE ST|華楓樓,楓樹街",3978001.0,12791.0,311.0,3887500.0,12500.0,311.0,3543225.0,13895.0,255.0,3307350.0,12970.0,255.0,-0.0038754298371070917,-0.00387707939418247
2019-8-15,3693332.25,13089.75,4,14773329,52359,1132,"MAPLE MANS,MAPLE ST|華楓樓,楓樹街",3993862.0,12842.0,311.0,3902117.0,12547.0,311.0,3556995.0,13949.0,255.0,3320355.0,13021.0,255.0,0.009717899726918056,0.00971940989297071
2019-7-15,3657786.25,12963.75,4,14631145,51855,1132,"MAPLE MANS,MAPLE ST|華楓樓,楓樹街",3956231.0,12721.0,311.0,3863864.0,12424.0,311.0,3522570.0,13814.0,255.0,3288480.0,12896.0,255.0,-0.036710379123888526,-0.03670747338893943
2019-6-15,3797182.25,13457.75,4,15188729,53831,1132,"MAPLE MANS,MAPLE ST|華楓樓,楓樹街",4107688.0,13208.0,311.0,4010656.0,12896.0,311.0,3656700.0,14340.0,255.0,3413685.0,13387.0,255.0,0.011174647870070942,0.011176647381471172
2019-5-15,3755219.0,13309.0,4,15020876,53236,1132,"MAPLE MANS,MAPLE ST|華楓樓,楓樹街",4062282.0,13062.0,311.0,3966494.0,12754.0,311.0,3616920.0,14184.0,255.0,3375180.0,13236.0,255.0,0.02131507112718256,0.02131414868105508
2019-4-15,3676846.75,13031.25,4,14707387,52125,1132,"MAPLE MANS,MAPLE ST|華楓樓,楓樹街",3977379.0,12789.0,311.0,3883768.0,12488.0,311.0,3542205.0,13891.0,255.0,3304035.0,12957.0,255.0,-0.01257840100454266,-0.012578378071189111
2019-3-15,3723684.75,13197.25,4,14894739,52789,1132,"MAPLE MANS,MAPLE ST|華楓樓,楓樹街",4027761.0,12951.0,311.0,3933528.0,12648.0,311.0,3588105.0,14071.0,255.0,3345345.0,13119.0,255.0,0.020188720754762413,0.020195578231292588
2019-2-15,3649996.0,12936.0,4,14599984,51744,1132,"MAPLE MANS,MAPLE ST|華楓樓,楓樹街",3947523.0,12693.0,311.0,3856711.0,12401.0,311.0,3517470.0,13794.0,255.0,3278280.0,12856.0,255.0,0.036998587549553985,0.036995470760351035
2019-1-15,3519769.5,12474.5,4,14079078,49898,1132,"MAPLE MANS,MAPLE ST|華楓樓,楓樹街",3805707.0,12237.0,311.0,3719871.0,11961.0,311.0,3391500.0,13300.0,255.0,3162000.0,12400.0,255.0,0.014896601358695305,0.014888337468982549
2018-12-15,3468106.5,12291.5,4,13872426,49166,1132,"MAPLE MANS,MAPLE ST|華楓樓,楓樹街",3748483.0,12053.0,311.0,3666068.0,11788.0,311.0,3341520.0,13104.0,255.0,3116355.0,12221.0,255.0,-0.009104926080154563,-0.009109597323551988
2018-11-15,3499973.5,12404.5,4,13999894,49618,1132,"MAPLE MANS,MAPLE ST|華楓樓,楓樹街",3781760.0,12160.0,311.0,3700589.0,11899.0,311.0,3371865.0,13223.0,255.0,3145680.0,12336.0,255.0,-0.0169121876846815,-0.016920272626406718
