,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,,,1,,,370,6 WAN LOK ST|6 環樂街,,,370.0,,
2019-11-15,,,1,,,370,6 WAN LOK ST|6 環樂街,,,370.0,,
2019-10-15,,,1,,,370,6 WAN LOK ST|6 環樂街,,,370.0,,
2019-9-15,,,1,,,370,6 WAN LOK ST|6 環樂街,,,370.0,,
2019-8-15,,,1,,,370,6 WAN LOK ST|6 環樂街,,,370.0,,
2019-7-15,,,1,,,370,6 WAN LOK ST|6 環樂街,,,370.0,,
2019-6-15,,,1,,,370,6 WAN LOK ST|6 環樂街,,,370.0,,
2019-5-15,3462090.0,9357.0,1,3462090,9357,370,6 WAN LOK ST|6 環樂街,3462090.0,9357.0,370.0,-0.0014939707608579988,-0.0014939707608579988
2019-4-15,3467270.0,9371.0,1,3467270,9371,370,6 WAN LOK ST|6 環樂街,3467270.0,9371.0,370.0,0.07626048007350406,0.07626048007350406
2019-3-15,3221590.0,8707.0,1,3221590,8707,370,6 WAN LOK ST|6 環樂街,3221590.0,8707.0,370.0,0.02122918132770346,0.02122918132770346
2019-2-15,3154620.0,8526.0,1,3154620,8526,370,6 WAN LOK ST|6 環樂街,3154620.0,8526.0,370.0,-0.08783566919867336,-0.08783566919867336
2019-1-15,3458390.0,9347.0,1,3458390,9347,370,6 WAN LOK ST|6 環樂街,3458390.0,9347.0,370.0,0.16140656063618297,0.16140656063618297
2018-12-15,2977760.0,8048.0,1,2977760,8048,370,6 WAN LOK ST|6 環樂街,2977760.0,8048.0,370.0,-0.15033783783783783,-0.15033783783783783
2018-11-15,3504640.0,9472.0,1,3504640,9472,370,6 WAN LOK ST|6 環樂街,3504640.0,9472.0,370.0,0.09858501507770812,0.09858501507770812
2018-10-15,3190140.0,8622.0,1,3190140,8622,370,6 WAN LOK ST|6 環樂街,3190140.0,8622.0,370.0,-0.06869734283862605,-0.06869734283862605
2018-9-15,3425460.0,9258.0,1,3425460,9258,370,6 WAN LOK ST|6 環樂街,3425460.0,9258.0,370.0,-0.02331469564300037,-0.02331469564300037
2018-8-15,3507230.0,9479.0,1,3507230,9479,370,6 WAN LOK ST|6 環樂街,3507230.0,9479.0,370.0,0.04856194690265481,0.04856194690265481
2018-7-15,3344800.0,9040.0,1,3344800,9040,370,6 WAN LOK ST|6 環樂街,3344800.0,9040.0,370.0,-0.0029778316973640973,-0.0029778316973640973
2018-6-15,3354790.0,9067.0,1,3354790,9067,370,6 WAN LOK ST|6 環樂街,3354790.0,9067.0,370.0,-0.031510361033967094,-0.031510361033967094
2018-5-15,3463940.0,9362.0,1,3463940,9362,370,6 WAN LOK ST|6 環樂街,3463940.0,9362.0,370.0,0.024288840262582045,0.024288840262582045
2018-4-15,3381800.0,9140.0,1,3381800,9140,370,6 WAN LOK ST|6 環樂街,3381800.0,9140.0,370.0,0.03958143767060962,0.03958143767060962
2018-3-15,3253040.0,8792.0,1,3253040,8792,370,6 WAN LOK ST|6 環樂街,3253040.0,8792.0,370.0,-0.020608221009245864,-0.020608221009245864
2018-2-15,3321490.0,8977.0,1,3321490,8977,370,6 WAN LOK ST|6 環樂街,3321490.0,8977.0,370.0,0.06425607587433313,0.06425607587433313
2018-1-15,3120950.0,8435.0,1,3120950,8435,370,6 WAN LOK ST|6 環樂街,3120950.0,8435.0,370.0,-0.0396219970397359,-0.0396219970397359
2017-12-15,3249710.0,8783.0,1,3249710,8783,370,6 WAN LOK ST|6 環樂街,3249710.0,8783.0,370.0,0.07057532910775222,0.07057532910775222
2017-11-15,3035480.0,8204.0,1,3035480,8204,370,6 WAN LOK ST|6 環樂街,3035480.0,8204.0,370.0,-0.015952980688497043,-0.015952980688497043
2017-10-15,3084690.0,8337.0,1,3084690,8337,370,6 WAN LOK ST|6 環樂街,3084690.0,8337.0,370.0,0.05812920421373269,0.05812920421373269
2017-9-15,2915230.0,7879.0,1,2915230,7879,370,6 WAN LOK ST|6 環樂街,2915230.0,7879.0,370.0,0.011165297741273061,0.011165297741273061
2017-8-15,2883040.0,7792.0,1,2883040,7792,370,6 WAN LOK ST|6 環樂街,2883040.0,7792.0,370.0,-0.03540480316910122,-0.03540480316910122
2017-7-15,2988860.0,8078.0,1,2988860,8078,370,6 WAN LOK ST|6 環樂街,2988860.0,8078.0,370.0,0.013678002258752597,0.013678002258752597
2017-6-15,2948530.0,7969.0,1,2948530,7969,370,6 WAN LOK ST|6 環樂街,2948530.0,7969.0,370.0,0.01219357297091328,0.01219357297091328
2017-5-15,2913010.0,7873.0,1,2913010,7873,370,6 WAN LOK ST|6 環樂街,2913010.0,7873.0,370.0,-0.014396594892338466,-0.014396594892338466
2017-4-15,2955560.0,7988.0,1,2955560,7988,370,6 WAN LOK ST|6 環樂街,2955560.0,7988.0,370.0,0.04159603598904682,0.04159603598904682
2017-3-15,2837530.0,7669.0,1,2837530,7669,370,6 WAN LOK ST|6 環樂街,2837530.0,7669.0,370.0,0.0005218525766470528,0.0005218525766470528
2017-2-15,2836050.0,7665.0,1,2836050,7665,370,6 WAN LOK ST|6 環樂街,2836050.0,7665.0,370.0,0.04613074928347216,0.04613074928347216
2017-1-15,2710990.0,7327.0,1,2710990,7327,370,6 WAN LOK ST|6 環樂街,2710990.0,7327.0,370.0,0.014258028792912603,0.014258028792912603
