,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_change,npsf_change
2019-12-15,4379965.5,13842.0,2,8759931,27684,633,"BULKELEY HSE,BULKELEY ST|寶利大廈,寶其利街",4284489.0,13431.0,319.0,4475442.0,14253.0,314.0,0.03627352631516678,0.03627175743964073
2019-11-15,4226650.0,13357.5,2,8453300,26715,633,"BULKELEY HSE,BULKELEY ST|寶利大廈,寶其利街",4133602.0,12958.0,319.0,4319698.0,13757.0,314.0,0.04486247623247808,0.04486076345431789
2019-10-15,4045173.5,12784.0,2,8090347,25568,633,"BULKELEY HSE,BULKELEY ST|寶利大廈,寶其利街",3955281.0,12399.0,319.0,4135066.0,13169.0,314.0,-0.016311147501039014,-0.016312711603570285
2019-9-15,4112249.0,12996.0,2,8224498,25992,633,"BULKELEY HSE,BULKELEY ST|寶利大廈,寶其利街",4020038.0,12602.0,319.0,4204460.0,13390.0,314.0,-0.07028508551299317,-0.07028651142826481
2019-8-15,4423129.0,13978.5,2,8846258,27957,633,"BULKELEY HSE,BULKELEY ST|寶利大廈,寶其利街",4323088.0,13552.0,319.0,4523170.0,14405.0,314.0,0.026850915601375647,0.02684933519429955
2019-7-15,4307469.5,13613.0,2,8614939,27226,633,"BULKELEY HSE,BULKELEY ST|寶利大廈,寶其利街",4209205.0,13195.0,319.0,4405734.0,14031.0,314.0,-0.04443216684831641,-0.04443352520005617
2019-6-15,4507759.0,14246.0,2,9015518,28492,633,"BULKELEY HSE,BULKELEY ST|寶利大廈,寶其利街",4404114.0,13806.0,319.0,4611404.0,14686.0,314.0,0.009782963459269434,0.009781684150836467
2019-5-15,4464087.0,14108.0,2,8928174,28216,633,"BULKELEY HSE,BULKELEY ST|寶利大廈,寶其利街",4360730.0,13670.0,319.0,4567444.0,14546.0,314.0,-0.0017320639804823124,-0.0017335927825933295
2019-4-15,4471832.5,14132.5,2,8943665,28265,633,"BULKELEY HSE,BULKELEY ST|寶利大廈,寶其利街",4367429.0,13691.0,319.0,4576236.0,14574.0,314.0,0.07623103348522742,0.07622891520389907
2019-3-15,4155086.0,13131.5,2,8310172,26263,633,"BULKELEY HSE,BULKELEY ST|寶利大廈,寶其利街",4057042.0,12718.0,319.0,4253130.0,13545.0,314.0,0.021074492170326975,0.021072275572489474
2019-2-15,4069327.0,12860.5,2,8138654,25721,633,"BULKELEY HSE,BULKELEY ST|寶利大廈,寶其利街",3972188.0,12452.0,319.0,4166466.0,13269.0,314.0,-0.08787410491249825,-0.08787545657647433
