,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6465824.4,15573.4,"METRO6,BULKELEY ST|城中匯,寶其利街",6479557.0,15689.0,413.0,6444405.0,15235.0,423.0,6391900.0,15590.0,410.0,6355000.0,15500.0,410.0,6658260.000000001,15853.0,420.0,,-0.0941807757749622,-0.09418005420936915
2022-11-15,7138095.8,17192.6,"METRO6,BULKELEY ST|城中匯,寶其利街",7153572.999999999,17321.0,413.0,7115706.0,16822.0,423.0,7055690.0,17209.0,410.0,7015510.0,17111.0,410.0,7350000.0,17500.0,420.0,,-0.046562164087307845,-0.04656115171748332
2022-10-15,7486692.4,18032.2,"METRO6,BULKELEY ST|城中匯,寶其利街",7502971.0,18167.0,413.0,7464681.0,17647.0,423.0,7399270.0,18047.0,410.0,7357860.0,17946.0,410.0,7708680.0,18354.0,420.0,,-0.0009442512261254032,-0.0009529402639423257
2022-9-15,7493768.4,18049.4,"METRO6,BULKELEY ST|城中匯,寶其利街",7504623.0,18171.0,413.0,7467219.0,17653.0,423.0,7400090.0,18049.0,410.0,7386970.0,18017.0,410.0,7709940.0,18357.0,420.0,,-0.004779834001070515,-0.004786008094308625
2022-8-15,7529759.4,18136.2,"METRO6,BULKELEY ST|城中匯,寶其利街",7536424.0,18248.0,413.0,7500213.0,17731.0,423.0,7451750.0,18175.0,410.0,7418130.0,18093.0,410.0,7742280.0,18434.0,420.0,,0.011081973653181754,0.011082988615964462
2022-7-15,7447229.4,17937.4,"METRO6,BULKELEY ST|城中匯,寶其利街",7454237.0,18049.0,413.0,7419420.0,17540.0,423.0,7369340.0,17974.0,410.0,7336130.0,17893.0,410.0,7657020.0,18231.0,420.0,,0.04507084581839016,0.04507160419021439
2022-6-15,7126052.2,17163.8,"METRO6,BULKELEY ST|城中匯,寶其利街",7132923.0,17271.0,413.0,7100477.999999999,16786.0,423.0,7050770.0,17197.0,410.0,7019610.000000001,17121.0,410.0,7326479.999999999,17444.0,420.0,,-0.05106394447856555,-0.051063171047248446
2022-5-15,7509517.8,18087.4,"METRO6,BULKELEY ST|城中匯,寶其利街",7517013.0,18201.0,413.0,7483716.0,17692.0,423.0,7429200.0,18120.0,410.0,7397220.0,18042.0,410.0,7720440.0,18382.0,420.0,,-0.014644503815670173,-0.014643553676686905
2022-4-15,7621125.4,18356.2,"METRO6,BULKELEY ST|城中匯,寶其利街",7628523.0,18471.0,413.0,7596234.0,17958.0,423.0,7539080.0,18388.0,410.0,7506690.0,18309.0,410.0,7835100.0,18655.0,420.0,,0.0495486794592257,0.049549446528222685
2022-3-15,7261335.8,17489.6,"METRO6,BULKELEY ST|城中匯,寶其利街",7268800.0,17600.0,413.0,7238799.0,17113.0,423.0,7182380.000000001,17518.0,410.0,7152040.0,17444.0,410.0,7464659.999999999,17773.0,420.0,,0.011367968960336539,0.011368761926791038
2022-2-15,7179717.0,17293.0,"METRO6,BULKELEY ST|城中匯,寶其利街",7187026.0,17402.0,413.0,7158429.0,16923.0,423.0,7100790.0,17319.0,410.0,7071680.0,17248.0,410.0,7380660.0,17573.0,420.0,,-0.04477636920939043,-0.0447756247376212
2022-1-15,7516268.2,18103.6,"METRO6,BULKELEY ST|城中匯,寶其利街",7524034.0,18218.0,413.0,7495137.0,17719.0,423.0,7432890.0,18129.0,410.0,7402960.0,18056.0,410.0,7726320.0,18396.0,420.0,,0.02700214206201168,0.027003108761260775
2021-12-15,7318649.0,17627.6,"METRO6,BULKELEY ST|城中匯,寶其利街",7326207.0,17739.0,413.0,7299288.000000001,17256.0,423.0,7236910.0,17651.0,410.0,7207800.0,17580.0,410.0,7523040.0,17912.0,420.0,,-0.016789484089442586,-0.01678881786642572
2021-11-15,7443623.6,17928.6,"METRO6,BULKELEY ST|城中匯,寶其利街",7451758.999999999,18043.0,413.0,7424919.0,17553.0,423.0,7359500.0,17950.0,410.0,7330800.0,17880.0,410.0,7651140.0,18217.0,420.0,,-0.019373826670328387,-0.0193734001356467
2021-10-15,7590684.2,18282.8,"METRO6,BULKELEY ST|城中匯,寶其利街",7600026.0,18402.0,413.0,7573815.0,17905.0,423.0,7503410.0,18301.0,410.0,7476350.0,18235.0,410.0,7799820.0,18571.0,420.0,,-0.024313760432185694,-0.024313708747812135
2021-9-15,7779841.4,18738.4,"METRO6,BULKELEY ST|城中匯,寶其利街",7790832.0,18864.0,413.0,7764165.0,18355.0,423.0,7688730.0,18753.0,410.0,7663720.0,18692.0,410.0,7991760.0,19028.0,420.0,,0.01266805881425248,0.012667531344574323
2021-8-15,7682518.8,18504.0,"METRO6,BULKELEY ST|城中匯,寶其利街",7695016.000000001,18632.0,413.0,7667298.0,18126.0,423.0,7591150.0,18515.0,410.0,7569010.0,18461.0,410.0,7890120.0,18786.0,420.0,,-0.0064537605422984035,-0.006453968492606488
