,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A2,npsf_A2,nfa_A2,lumpSum_A3,npsf_A3,nfa_A3,lumpSum_A5,npsf_A5,nfa_A5,lumpSum_A6,npsf_A6,nfa_A6,lumpSum_A7,npsf_A7,nfa_A7,lumpSum_A8,npsf_A8,nfa_A8,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B3,npsf_B3,nfa_B3,lumpSum_B5,npsf_B5,nfa_B5,lumpSum_B6,npsf_B6,nfa_B6,lumpSum_B7,npsf_B7,nfa_B7,lumpSum_B8,npsf_B8,nfa_B8,lumpSum_B9,npsf_B9,nfa_B9,lumpSum_C1,npsf_C1,nfa_C1,lumpSum_C2,npsf_C2,nfa_C2,lumpSum_C3,npsf_C3,nfa_C3,lumpSum_D1,npsf_D1,nfa_D1,lumpSum_D2,npsf_D2,nfa_D2,lumpSum_D3,npsf_D3,nfa_D3,lumpSum_D5,npsf_D5,nfa_D5,lumpSum_D6,npsf_D6,nfa_D6,lumpSum_D7,npsf_D7,nfa_D7,lumpSum_D8,npsf_D8,nfa_D8,lumpSum_change,npsf_change
2019-12-15,5661126.96,21869.88,25,141528174.0,546747.0,6528,"THE VANTAGE,MA TAU WAI RD|啟岸,馬頭圍道",5665452.0,20527.0,276.0,4286709.0,22681.0,189.0,4391380.0,22405.0,196.0,5590137.0,20181.0,277.0,5478454.0,20366.0,269.0,4546176.0,23678.0,192.0,4822918.0,22537.0,214.0,5943972.0,22179.0,268.0,5972304.0,21957.0,272.0,6322912.0,23246.0,272.0,6015260.0,22445.0,268.0,5978276.0,22307.0,268.0,6225021.0,22473.0,277.0,4872560.0,24860.0,196.0,5099892.000000001,23394.0,218.0,7812571.0,19981.0,391.0,5590365.0,21923.0,255.0,5615730.0,20799.0,270.0,7626846.0,19506.0,391.0,5312312.0,20276.0,262.0,5619424.0,20968.0,268.0,4159316.0,21221.0,196.0,4698316.0,23971.0,196.0,8214741.0,21561.0,381.0,5667130.0,21305.0,266.0,0.03648726104982125,0.0364832739970653
2019-11-15,5461839.4,21100.08,25,136545985.0,527502.0,6528,"THE VANTAGE,MA TAU WAI RD|啟岸,馬頭圍道",5465904.0,19804.0,276.0,4135698.0,21882.0,189.0,4237128.0,21618.0,196.0,5393467.0,19471.0,277.0,5285850.0,19650.0,269.0,4386048.0,22844.0,192.0,4653430.0,21745.0,214.0,5735736.0,21402.0,268.0,5762592.0,21186.0,272.0,6099872.0,22426.0,272.0,5803540.0,21655.0,268.0,5767896.0,21522.0,268.0,6006468.0,21684.0,277.0,4701256.0,23986.0,196.0,4920696.0,22572.0,218.0,7538480.0,19280.0,391.0,5393250.0,21150.0,255.0,5417550.000000001,20065.0,270.0,7358228.999999999,18819.0,391.0,5125244.0,19562.0,262.0,5420568.0,20226.0,268.0,4012904.0,20474.0,196.0,4532892.0,23127.0,196.0,7923656.999999999,20797.0,381.0,5467630.0,20555.0,266.0,0.04503557687346271,0.0450302314708424
2019-10-15,5226462.64,20190.88,25,130661566.0,504772.0,6528,"THE VANTAGE,MA TAU WAI RD|啟岸,馬頭圍道",5230475.999999999,18951.0,276.0,3957660.0,20940.0,189.0,4055044.0,20689.0,196.0,5161063.999999999,18632.0,277.0,5058276.0,18804.0,269.0,4196928.0,21859.0,192.0,4453126.0,20809.0,214.0,5489176.000000001,20482.0,268.0,5514800.0,20275.0,272.0,5836848.0,21459.0,272.0,5553496.0,20722.0,268.0,5519728.0,20596.0,268.0,5748581.0,20753.0,277.0,4498788.0,22953.0,196.0,4709018.0,21601.0,218.0,7214341.0,18451.0,391.0,5160690.0,20238.0,255.0,5181839.999999999,19192.0,270.0,7041519.0,18009.0,391.0,4904640.0,18720.0,262.0,5185800.0,19350.0,268.0,3840032.0,19592.0,196.0,4337480.0,22130.0,196.0,7579994.999999999,19895.0,381.0,5232220.0,19670.0,266.0,-0.015488821460133528,-0.01551507917468753
2019-9-15,5308687.96,20509.08,25,132717199.0,512727.0,6528,"THE VANTAGE,MA TAU WAI RD|啟岸,馬頭圍道",5316312.000000001,19262.0,276.0,4022487.0,21283.0,189.0,4121880.0,21030.0,196.0,5245549.0,18937.0,277.0,5141128.0,19112.0,269.0,4265664.0,22217.0,192.0,4526100.0,21150.0,214.0,5499092.0,20519.0,268.0,5605648.0,20609.0,272.0,5932048.0,21809.0,272.0,5644348.0,21061.0,268.0,5610044.0,20933.0,268.0,5843591.999999999,21096.0,277.0,4572680.0,23330.0,196.0,4786190.0,21955.0,218.0,7333205.0,18755.0,391.0,5244840.0,20568.0,255.0,5264190.0,19497.0,270.0,7156473.0,18303.0,391.0,4985074.0,19027.0,262.0,5269684.000000001,19663.0,268.0,3902752.0,19912.0,196.0,4408432.0,22492.0,196.0,7701915.0,20215.0,381.0,5317871.999999999,19992.0,266.0,-0.07011415759704642,-0.07011746697884791
2019-8-15,5708967.4,22055.56,25,142724185.0,551389.0,6528,"THE VANTAGE,MA TAU WAI RD|啟岸,馬頭圍道",5717064.0,20714.0,276.0,4325832.0,22888.0,189.0,4433128.0,22618.0,196.0,5641382.0,20366.0,277.0,5529026.0,20554.0,269.0,4587264.0,23892.0,192.0,4867644.0,22746.0,214.0,5914224.0,22068.0,268.0,6028880.000000001,22165.0,272.0,6379760.000000001,23455.0,272.0,6069932.0,22649.0,268.0,6033216.0,22512.0,268.0,6284853.0,22689.0,277.0,4917640.0,25090.0,196.0,5147416.0,23612.0,218.0,7887252.0,20172.0,391.0,5640090.0,22118.0,255.0,5658660.0,20958.0,270.0,7696444.0,19684.0,391.0,5361044.0,20462.0,262.0,5665788.0,21141.0,268.0,4197144.0,21414.0,196.0,4740848.0,24188.0,196.0,8280654.0,21734.0,381.0,5719000.0,21500.0,266.0,0.027578573671036777,0.02754524718230078
2019-7-15,5555747.8,21464.32,25,138893695.0,536608.0,6528,"THE VANTAGE,MA TAU WAI RD|啟岸,馬頭圍道",5566644.0,20169.0,276.0,4212054.0,22286.0,189.0,4316900.0,22025.0,196.0,5492910.0,19830.0,277.0,5383766.0,20014.0,269.0,4466688.0,23264.0,192.0,4739672.0,22148.0,214.0,5893856.0,21992.0,268.0,5870576.0,21583.0,272.0,6211936.0,22838.0,272.0,5910204.0,22053.0,268.0,5874560.0,21920.0,268.0,6120315.0,22095.0,277.0,4788280.0,24430.0,196.0,5011602.0,22989.0,218.0,7680413.000000001,19643.0,391.0,5491425.0,21535.0,255.0,5301180.0,19634.0,270.0,7493906.0,19166.0,391.0,5220088.0,19924.0,262.0,5515440.0,20580.0,268.0,4086599.9999999995,20850.0,196.0,4615800.0,23550.0,196.0,8060436.0,21156.0,381.0,5568444.000000001,20934.0,266.0,-0.04331086306734522,-0.04309230294611177
2019-6-15,5807265.48,22430.92,25,145181637.0,560773.0,6528,"THE VANTAGE,MA TAU WAI RD|啟岸,馬頭圍道",5824428.0,21103.0,276.0,4406913.0,23317.0,189.0,4517212.0,23047.0,196.0,5747196.0,20748.0,277.0,5633129.0,20941.0,269.0,4673472.0,24341.0,192.0,4959236.0,23174.0,214.0,6168020.0,23015.0,268.0,6142847.999999999,22584.0,272.0,6499712.0,23896.0,272.0,6183564.0,23073.0,268.0,6146580.0,22935.0,268.0,6404517.0,23121.0,277.0,5010152.0,25562.0,196.0,5156354.0,23653.0,218.0,8036614.0,20554.0,391.0,5745405.0,22531.0,255.0,5545260.0,20538.0,270.0,7840723.000000001,20053.0,391.0,5461914.000000001,20847.0,262.0,5769772.0,21529.0,268.0,4275740.0,21815.0,196.0,4775148.0,24363.0,196.0,8431530.0,22130.0,381.0,5826198.0,21903.0,266.0,0.009608944575416611,0.0095359655502667
2019-5-15,5751994.88,22219.04,25,143799872.0,555476.0,6528,"THE VANTAGE,MA TAU WAI RD|啟岸,馬頭圍道",5767020.0,20895.0,276.0,4363254.0,23086.0,189.0,4473112.0,22822.0,196.0,5690411.0,20543.0,277.0,5577715.0,20735.0,269.0,4627200.0,24100.0,192.0,4910444.0,22946.0,214.0,6108256.0,22792.0,268.0,6082464.0,22362.0,272.0,6435792.0,23661.0,272.0,6122460.0,22845.0,268.0,6086012.0,22709.0,268.0,6341915.0,22895.0,277.0,4960760.0,25310.0,196.0,5157880.0,23660.0,218.0,7958023.000000001,20353.0,391.0,5688285.0,22307.0,255.0,5489370.0,20331.0,270.0,7763305.0,19855.0,391.0,5407942.0,20641.0,262.0,5711616.0,21312.0,268.0,4233600.0,21600.0,196.0,4728108.0,24123.0,196.0,8346186.0,21906.0,381.0,5768742.0,21687.0,266.0,-0.0005679809190881624,-0.0006027228680252072
2019-4-15,5755263.76,22232.44,25,143881594.0,555811.0,6528,"THE VANTAGE,MA TAU WAI RD|啟岸,馬頭圍道",5775852.0,20927.0,276.0,4370058.0,23122.0,189.0,4479972.0,22857.0,196.0,5699275.0,20575.0,277.0,5586592.0,20768.0,269.0,4634496.0,24138.0,192.0,4917934.0,22981.0,214.0,5977204.0,22303.0,268.0,6092528.0,22399.0,272.0,6446128.0,23699.0,272.0,6132108.0,22881.0,268.0,6095660.0,22745.0,268.0,6351056.000000001,22928.0,277.0,4968796.0,25351.0,196.0,5165728.0,23696.0,218.0,7971317.0,20387.0,391.0,5696955.0,22341.0,255.0,5496930.0,20359.0,270.0,7775426.0,19886.0,391.0,5416588.0,20674.0,262.0,5719388.0,21341.0,268.0,4240068.0,21633.0,196.0,4735752.000000001,24162.0,196.0,8357997.0,21937.0,381.0,5777786.0,21721.0,266.0,0.07322073248234018,0.07363465851251028
2019-3-15,5362609.56,20707.64,25,134065239.0,517691.0,6528,"THE VANTAGE,MA TAU WAI RD|啟岸,馬頭圍道",5366268.0,19443.0,276.0,4059909.0,21481.0,189.0,4161668.0,21233.0,196.0,5295132.0,19116.0,277.0,5190355.0,19295.0,269.0,4298112.0,22386.0,192.0,4648294.0,21721.0,214.0,5685619.999999999,21215.0,268.0,5660591.999999999,20811.0,272.0,5988896.0,22018.0,272.0,5696876.0,21257.0,268.0,5663376.0,21132.0,268.0,5899546.0,21298.0,277.0,4616192.0,23552.0,196.0,4799052.0,22014.0,218.0,7406713.0,18943.0,391.0,5292525.000000001,20755.0,255.0,5105970.0,18911.0,270.0,7224116.0,18476.0,391.0,5032234.0,19207.0,262.0,5312564.0,19823.0,268.0,3939208.0,20098.0,196.0,4400004.0,22449.0,196.0,7954137.0,20877.0,381.0,5367880.0,20180.0,266.0,0.02117863509658524,0.021179436398568674
