,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2020-12-15,4823511.0,10241.0,13 HING YIN ST|13 興賢街,4823511.0,10241.0,471.0,,0.017789703836215365,0.017789703836215365
2020-11-15,4739202.0,10062.0,13 HING YIN ST|13 興賢街,4739202.0,10062.0,471.0,,0.10559279200087901,0.10559279200087901
2020-10-15,4286571.0,9101.0,13 HING YIN ST|13 興賢街,4286571.0,9101.0,471.0,,-0.042100831491421964,-0.042100831491421964
2020-9-15,4474971.0,9501.0,13 HING YIN ST|13 興賢街,4474971.0,9501.0,471.0,,-0.0035658101730466907,-0.0035658101730466907
2020-8-15,4490985.0,9535.0,13 HING YIN ST|13 興賢街,4490985.0,9535.0,471.0,,-0.02584797711483444,-0.02584797711483444
2020-7-15,4610148.0,9788.0,13 HING YIN ST|13 興賢街,4610148.0,9788.0,471.0,,0.003485749436128671,0.003485749436128671
2020-6-15,4594134.0,9754.0,13 HING YIN ST|13 興賢街,4594134.0,9754.0,471.0,,0.019333263663914746,0.019333263663914746
2020-5-15,4506999.0,9569.0,13 HING YIN ST|13 興賢街,4506999.0,9569.0,471.0,,0.05711444984533798,0.05711444984533798
2020-4-15,4263492.0,9052.0,13 HING YIN ST|13 興賢街,4263492.0,9052.0,471.0,,-0.018327730181108337,-0.018327730181108337
2020-3-15,4343091.0,9221.0,13 HING YIN ST|13 興賢街,4343091.0,9221.0,471.0,,-0.07697697697697703,-0.07697697697697703
2020-2-15,4705290.0,9990.0,13 HING YIN ST|13 興賢街,4705290.0,9990.0,471.0,,0.002106530243755733,0.002106530243755733
2020-1-15,4695399.0,9969.0,13 HING YIN ST|13 興賢街,4695399.0,9969.0,471.0,,0.026250772081531704,0.026250772081531704
2019-12-15,4575294.0,9714.0,13 HING YIN ST|13 興賢街,4575294.0,9714.0,471.0,,0.023927479709075605,0.023927479709075605
2019-11-15,4468377.0,9487.0,13 HING YIN ST|13 興賢街,4468377.0,9487.0,471.0,,-0.007324474207387244,-0.007324474207387244
2019-10-15,4501347.0,9557.0,13 HING YIN ST|13 興賢街,4501347.0,9557.0,471.0,,-0.037078085642317404,-0.037078085642317404
2019-9-15,4674675.0,9925.0,13 HING YIN ST|13 興賢街,4674675.0,9925.0,471.0,,0.0320266195279193,0.0320266195279193
2019-8-15,4529607.0,9617.0,13 HING YIN ST|13 興賢街,4529607.0,9617.0,471.0,,0.0671327119396361,0.0671327119396361
2019-7-15,4244652.0,9012.0,13 HING YIN ST|13 興賢街,4244652.0,9012.0,471.0,,-0.05997705225826644,-0.05997705225826644
2019-6-15,4515477.0,9587.0,13 HING YIN ST|13 興賢街,4515477.0,9587.0,471.0,,-0.07523873830423455,-0.07523873830423455
2019-5-15,4882857.0,10367.0,13 HING YIN ST|13 興賢街,4882857.0,10367.0,471.0,,0.031747611464968184,0.031747611464968184
2019-4-15,4732608.0,10048.0,13 HING YIN ST|13 興賢街,4732608.0,10048.0,471.0,,0.05280804694048613,0.05280804694048613
2019-3-15,4495224.0,9544.0,13 HING YIN ST|13 興賢街,4495224.0,9544.0,471.0,,,
2019-2-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2019-1-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2018-12-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2018-11-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2018-10-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2018-9-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2018-8-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2018-7-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2018-6-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2018-5-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2018-4-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2018-3-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2018-2-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2018-1-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2017-12-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2017-11-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2017-10-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2017-9-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2017-8-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2017-7-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2017-6-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2017-5-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2017-4-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2017-3-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2017-2-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2017-1-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2016-12-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2016-11-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2016-10-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2016-9-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2016-8-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2016-7-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2016-6-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2016-5-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2016-4-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2016-3-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2016-2-15,,,13 HING YIN ST|13 興賢街,,,471.0,,,
2016-1-15,,,13 HING YIN ST|13 興賢街,,,471.0,471.0,,
