,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_D,npsf_D,nfa_D,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2022-12-15,2579461.630529212,6428.75,28 FUNG YI ST|28 鳳儀街,1670293.8532078157,5982.0,217.0,1703788.6689090305,5885.0,225.0,890784.0,6186.0,144.0,6052980.0,7662.0,790.0,,-0.018544348451706272,-0.003294573643410903
2022-11-15,2628199.8849973367,6450.0,28 FUNG YI ST|28 鳳儀街,1702281.5610560728,5894.0,217.0,1736289.9789332743,5798.0,225.0,907488.0,6302.0,144.0,6166740.0,7806.0,790.0,,-0.02774613353035915,-0.01319563970166382
2022-10-15,2703203.3254242693,6536.25,28 FUNG YI ST|28 鳳儀街,1751291.4661387284,5866.0,217.0,1786137.8355583488,5770.0,225.0,933264.0,6481.0,144.0,6342120.0,8028.0,790.0,,-0.0003774329866373938,-0.020786516853932624
2022-9-15,2704223.988760884,6675.0,28 FUNG YI ST|28 鳳儀街,1752453.829453677,6144.0,217.0,1787190.1255898587,6043.0,225.0,933552.0,6483.0,144.0,6343700.0,8030.0,790.0,,0.0007761825112666543,0.03396197188552841
2022-8-15,2702126.6453155624,6455.75,28 FUNG YI ST|28 鳳儀街,1761596.5932166136,5726.0,217.0,1801339.988045635,5647.0,225.0,929520.0,6455.0,144.0,6316050.0,7995.0,790.0,,-0.00762170005247631,-0.057589139082515284
2022-7-15,2722879.617035609,6850.25,28 FUNG YI ST|28 鳳儀街,1775576.7243119383,6466.0,217.0,1815125.7438304983,6375.0,225.0,936576.0,6504.0,144.0,6364240.0,8056.0,790.0,,-0.08577180945778251,0.011853766617429873
2022-6-15,2978336.9679518444,6770.0,28 FUNG YI ST|28 鳳儀街,1942265.0597900695,5617.0,217.0,1985186.8120173072,5537.0,225.0,1024415.9999999999,7114.0,144.0,6961480.0,8812.0,790.0,,0.025903516477328026,0.012336448598130767
2022-5-15,2903135.54843699,6687.5,28 FUNG YI ST|28 鳳儀街,1893527.8666811483,5654.0,217.0,1935208.327066812,5573.0,225.0,998495.9999999999,6934.0,144.0,6785310.0,8589.0,790.0,,-0.007318792083103265,-0.018096391733656403
2022-4-15,2924539.646045187,6810.75,28 FUNG YI ST|28 鳳儀街,1908000.3827513342,5846.0,217.0,1949238.201429414,5760.0,225.0,1005840.0,6985.0,144.0,6835080.0,8652.0,790.0,,0.07542622777814856,0.020107840934621368
2022-3-15,2719423.7693898752,6676.5,28 FUNG YI ST|28 鳳儀街,1774236.8653864018,6128.0,217.0,1812628.2121730996,6038.0,225.0,935280.0,6495.0,144.0,6355550.0,8045.0,790.0,,0.0012092607864666594,0.014318811956397948
2022-2-15,2716139.2487058323,6582.25,28 FUNG YI ST|28 鳳儀街,1772385.2820871822,5948.0,217.0,1810537.712736148,5860.0,225.0,933984.0,6486.0,144.0,6347650.0,8035.0,790.0,,-0.044522976089088395,-0.012082098232711669
2022-1-15,2842704.9324412476,6662.75,28 FUNG YI ST|28 鳳儀街,1855350.0060659316,5770.0,217.0,1894743.723699059,5683.0,225.0,977616.0,6789.0,144.0,6643110.0,8409.0,790.0,,-0.0438086622077537,0.0023694899954866955
2021-12-15,2972945.7066665962,6647.0,28 FUNG YI ST|28 鳳儀街,1940601.376548332,5388.0,217.0,1981521.4501180523,5306.0,225.0,1022400.0,7100.0,144.0,6947260.0,8794.0,790.0,,0.03476819470143244,-0.010789493265867978
2021-11-15,2873054.7787317694,6719.5,28 FUNG YI ST|28 鳳儀街,1875743.399285274,5804.0,217.0,1915071.7156418038,5715.0,225.0,987983.9999999999,6861.0,144.0,6713420.0,8498.0,790.0,,-0.04617980438747382,-0.042601695518985516
2021-10-15,3012155.5319834105,7018.5,28 FUNG YI ST|28 鳳儀街,1977428.064328723,5523.0,217.0,1953900.0636049188,6363.0,225.0,1041264.0000000001,7231.0,144.0,7076030.0,8957.0,790.0,,0.7659663727067367,0.26947425539611713
2021-9-15,1705669.8125947956,5528.666666666667,28 FUNG YI ST|28 鳳儀街,1940061.1210867993,5173.0,217.0,1915914.8962000364,6346.0,225.0,1261033.4204975506,5067.0,144.0,,,790.0,,0.02307569056370906,0.021431210740239015
2021-8-15,1667198.0659172742,5412.666666666667,28 FUNG YI ST|28 鳳儀街,1896966.4859742469,4955.0,217.0,1872740.5144389165,6434.0,225.0,1231887.1973386595,4849.0,144.0,,,790.0,,0.03557763257942659,-0.01522226939171556
2021-7-15,1609920.8919418252,5496.333333333333,28 FUNG YI ST|28 鳳儀街,1832791.6241915706,4888.0,217.0,1808110.8251639504,6823.0,225.0,1188860.2264699542,4778.0,144.0,,,790.0,,-0.039663541487355625,0.026328893315075375
2021-6-15,1676413.383737662,5355.333333333333,28 FUNG YI ST|28 鳳儀街,1909203.4952768262,4873.0,217.0,1882738.7655581357,6434.0,225.0,1237297.890378024,4759.0,144.0,,,790.0,,0.04522246089521165,-0.008026673252655048
2021-5-15,1603881.8973540317,5398.666666666667,28 FUNG YI ST|28 鳳儀街,1827490.4857624313,4987.0,217.0,1801109.9478851792,6344.0,225.0,1183045.2584144848,4865.0,144.0,,,790.0,,-0.02584532182648247,-0.10484717846681035
2021-4-15,1646434.5275857172,6031.0,28 FUNG YI ST|28 鳳儀街,1858632.4345606347,6847.0,217.0,1859884.6167649538,6608.0,225.0,1220786.5314315634,4638.0,144.0,,,790.0,,0.0034630190761093527,-0.019933914739179937
2021-3-15,1640752.5701361604,6153.666666666667,28 FUNG YI ST|28 鳳儀街,1852572.7510979658,6995.0,217.0,1853591.845215335,6750.0,225.0,1216093.1140951798,4716.0,144.0,,,790.0,,-0.017115317719953005,-0.16894751057891422
2021-2-15,1669323.5734735678,7404.666666666667,28 FUNG YI ST|28 鳳儀街,1836366.6777543994,6588.0,217.0,1836436.042666304,6354.0,225.0,1335168.0,9272.0,144.0,,,790.0,,-0.004618311662390684,0.010692024204922879
2021-1-15,1677068.799870642,7326.333333333333,28 FUNG YI ST|28 鳳儀街,1845468.0923818022,6449.0,217.0,1844666.307230124,6217.0,225.0,1341072.0,9313.0,144.0,,,790.0,,-0.007825141690913084,-0.00682331676457304
2020-12-15,1690295.6024594142,7376.666666666667,28 FUNG YI ST|28 鳳儀街,1860569.459296174,6491.0,217.0,1859021.3480820684,6255.0,225.0,1351296.0,9384.0,144.0,,,790.0,,0.013946939999145425,0.1917070543887991
2020-11-15,1667045.420010675,6190.0,28 FUNG YI ST|28 鳳儀街,1876165.4787888606,6256.0,217.0,1873191.3694285168,6024.0,225.0,1251779.4118146477,6290.0,144.0,,,790.0,,0.07096463328828473,0.04927110407955704
2020-10-15,1556583.0730490014,5899.333333333333,28 FUNG YI ST|28 鳳儀街,1746162.0677891078,5942.0,217.0,1752948.1102252,5753.0,225.0,1170639.041132696,6003.0,144.0,,,790.0,,-0.014633549473488938,-0.03247321233326039
2020-9-15,1579699.6865656143,6097.333333333333,28 FUNG YI ST|28 鳳儀街,1772705.1152853298,6144.0,217.0,1779123.1617339144,5947.0,225.0,1187270.782677599,6201.0,144.0,,,790.0,,0.00034380353221785676,0.013126557740238187
2020-8-15,1579156.7668912315,6018.333333333333,28 FUNG YI ST|28 鳳儀街,1772759.0298155958,6067.0,217.0,1778429.266910398,5870.0,225.0,1186282.0039477004,6118.0,144.0,,,790.0,,-0.022496385816253905,0.023352037635322676
2020-7-15,1615499.6707709255,5881.0,28 FUNG YI ST|28 鳳儀街,1814170.4227380296,5931.0,217.0,1819524.016147926,5737.0,225.0,1212804.5734268206,5975.0,144.0,,,790.0,,-0.0024369225812430617,0.018296202239409087
2020-6-15,1619446.135627944,5775.333333333333,28 FUNG YI ST|28 鳳儀街,1819298.7597036972,5827.0,217.0,1823889.958265465,5634.0,225.0,1215149.6889146697,5865.0,144.0,,,790.0,,0.0252557673867444,0.06516660518873718
2020-5-15,1579553.3047872733,5422.0,28 FUNG YI ST|28 鳳儀街,1775158.808535467,5473.0,217.0,1779058.4628345931,5290.0,225.0,1184442.64299176,5503.0,144.0,,,790.0,,0.016257078090965882,-0.01334465607181845
2020-4-15,1554285.169412504,5495.333333333333,28 FUNG YI ST|28 鳳儀街,1735308.5151371974,5516.0,217.0,1770577.9997669612,5428.0,225.0,1156968.993333353,5542.0,144.0,,,790.0,,0.027824124850853504,-0.03086238316383516
2020-3-15,1512209.2698865624,5670.333333333333,28 FUNG YI ST|28 鳳儀街,1688591.9803113916,5693.0,217.0,1723165.3188603867,5603.0,225.0,1124870.5104879085,5715.0,144.0,,,790.0,,-0.10845006951583436,-0.027609466102663793
2020-2-15,1696157.6891889174,5831.333333333333,28 FUNG YI ST|28 鳳儀街,1894621.803489746,5857.0,217.0,1932941.5013584648,5763.0,225.0,1260909.762718542,5874.0,144.0,,,790.0,,-0.010460007352214307,0.10875903156293565
2020-1-15,1714087.0523589272,5259.333333333333,28 FUNG YI ST|28 鳳儀街,1915064.8550193808,5284.0,217.0,1953724.3035930537,5199.0,225.0,1273471.998464347,5295.0,144.0,,,790.0,,0.05033128413190058,-0.11632595911509391
2019-12-15,1631948.9652977642,5951.666666666667,28 FUNG YI ST|28 鳳儀街,1823873.1224955688,5982.0,217.0,1860447.7012638878,5885.0,225.0,1211526.0721338356,5988.0,144.0,,,790.0,,0.03677057609610901,0.015238528458520584
2019-11-15,1574069.5221528758,5862.333333333333,28 FUNG YI ST|28 鳳儀街,1759598.5442618032,5894.0,217.0,1794752.0488044037,5798.0,225.0,1167857.9733924207,5895.0,144.0,,,790.0,,-0.01767096957053893,0.00514373892667308
2019-10-15,1602385.222662832,5832.333333333333,28 FUNG YI ST|28 鳳儀街,1791758.3288163857,5866.0,217.0,1827409.8887330666,5770.0,225.0,1187987.4504390438,5861.0,144.0,,,790.0,,-0.12378764854675173,-0.14234596343316508
2019-9-15,1828763.5639981385,6800.333333333333,28 FUNG YI ST|28 鳳儀街,1831459.2809993895,6284.0,217.0,2412705.996347467,7984.0,225.0,1242125.4146475585,6133.0,144.0,,,790.0,,0.13217665295654735,0.1978744642123187
2019-8-15,1615263.4478219768,5677.0,28 FUNG YI ST|28 鳳儀街,1809295.385410557,5726.0,217.0,1850114.9130717663,5647.0,225.0,1186380.044983608,5658.0,144.0,,,790.0,,0.051272280902274314,-0.1141222366710013
2019-7-15,1536484.3886453912,6408.333333333333,28 FUNG YI ST|28 鳳儀街,1721581.4512789755,6466.0,217.0,1759927.7854515002,6375.0,225.0,1127943.9292056977,6384.0,144.0,,,790.0,,-0.049321868234775135,0.15147340680402488
2019-6-15,1616198.3086667175,5565.333333333333,28 FUNG YI ST|28 鳳儀街,1811317.8407611097,5617.0,217.0,1851345.8148906173,5537.0,225.0,1185931.2703484257,5542.0,144.0,,,790.0,,-0.06222417629254673,-0.006249627998333396
2019-5-15,1723437.8065721,5600.333333333333,28 FUNG YI ST|28 鳳儀街,1931948.3880736625,5654.0,217.0,1974474.563512205,5573.0,225.0,1263890.4681304323,5574.0,144.0,,,790.0,,0.026320293724543697,-0.03247912467607261
2019-4-15,1679239.723807563,5788.333333333333,28 FUNG YI ST|28 鳳儀街,1882980.8674535367,5846.0,217.0,1924011.9085048982,5761.0,225.0,1230726.3954642543,5758.0,144.0,,,790.0,,0.06259763930413653,-0.04577426090779213
2019-3-15,1580315.6921252403,6066.0,28 FUNG YI ST|28 鳳儀街,1772424.6891942895,6128.0,217.0,1810776.823694293,6038.0,225.0,1157745.5634871388,6032.0,144.0,,,790.0,,-0.008337346921152178,0.03052267965343458
