,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2020-12-15,2888388.8385334257,12959.0,49 SOUTH WALL RD|49 城南道,2898195.8536499836,13003.0,195.0,2878581.823416868,12915.0,195.0,,0.01796528755080895,0.006407020541296049
2020-11-15,2837413.8822383564,12876.5,49 SOUTH WALL RD|49 城南道,2846558.65574924,12918.0,195.0,2828269.108727473,12835.0,195.0,,0.10575365266101078,-0.010717578365089131
2020-10-15,2566045.2266289894,13016.0,49 SOUTH WALL RD|49 城南道,2573733.899327094,13055.0,195.0,2558356.5539308847,12977.0,195.0,,-0.04196217618229248,-0.03610175139778571
2020-9-15,2678438.327626247,13503.5,49 SOUTH WALL RD|49 城南道,2686074.8570899866,13542.0,195.0,2670801.798162507,13465.0,195.0,,-0.003354254930782563,0.02005589968273158
2020-8-15,2687452.7291943925,13238.0,49 SOUTH WALL RD|49 城南道,2694558.0959810526,13273.0,195.0,2680347.3624077323,13203.0,195.0,,-0.02565975283901234,-0.013708836239010536
2020-7-15,2758228.182634389,13422.0,49 SOUTH WALL RD|49 城南道,2765009.7002939726,13455.0,195.0,2751446.664974805,13389.0,195.0,,0.011520721989285887,0.08002414001207003
2020-6-15,2726813.3244072134,12427.5,49 SOUTH WALL RD|49 城南道,2711783.2127418024,12359.0,195.0,2741843.4360726243,12496.0,195.0,,0.019269962908082805,-0.0272015655577299
2020-5-15,2675261.141442187,12775.0,49 SOUTH WALL RD|49 城南道,2660602.1762836,12705.0,195.0,2689920.1066007745,12845.0,195.0,,0.057039240969942506,0.018496372478673306
2020-4-15,2530900.498062266,12543.0,49 SOUTH WALL RD|49 城南道,2516977.8213209524,12474.0,195.0,2544823.1748035797,12612.0,195.0,,-0.018245801044866283,0.01365766930661061
2020-3-15,2577937.0241103787,12374.0,49 SOUTH WALL RD|49 城南道,2563770.2455715467,12306.0,195.0,2592103.802649211,12442.0,195.0,,-0.0769622565216781,0.04404319946000679
