,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5242406.477465191,9122.0,7 LAI WA ST|7 麗華街,5242406.477465191,9122.0,530.0,,-0.018586350235671567,0.029687323625691375
2022-11-15,5341688.979691769,8859.0,7 LAI WA ST|7 麗華街,5341688.979691769,8859.0,530.0,,-0.027690330135814234,0.018510002299379158
2022-10-15,5493814.517383034,8698.0,7 LAI WA ST|7 麗華街,5493814.517383034,8698.0,530.0,,-0.00032578383603187877,0.052899164750030314
2022-9-15,5495604.896627573,8261.0,7 LAI WA ST|7 麗華街,5495604.896627573,8261.0,530.0,,0.004309476090432307,0.0002421600678048641
2022-8-15,5472023.342865208,8259.0,7 LAI WA ST|7 麗華街,5472023.342865208,8259.0,530.0,,-0.007586312320051469,0.045707774120030464
2022-7-15,5513853.154985832,7898.0,7 LAI WA ST|7 麗華街,5513853.154985832,7898.0,530.0,,-0.08574462652778403,-0.04659584741670686
2022-6-15,6030977.027835207,8284.0,7 LAI WA ST|7 麗華街,6030977.027835207,8284.0,530.0,,0.025889611361329834,0.049936628643852954
2022-5-15,5878777.756441311,7890.0,7 LAI WA ST|7 麗華街,5878777.756441311,7890.0,530.0,,-0.007218314092163225,0.046141607000795615
2022-4-15,5921521.1560490625,7542.0,7 LAI WA ST|7 麗華街,5921521.1560490625,7542.0,530.0,,0.07536886415073107,-0.022803835190463806
2022-3-15,5506502.329994056,7718.0,7 LAI WA ST|7 麗華街,5506502.329994056,7718.0,530.0,,0.0012160828016563041,-0.058436013175552026
2022-2-15,5499814.100653945,8197.0,7 LAI WA ST|7 麗華街,5499814.100653945,8197.0,530.0,,-0.04464096728161049,0.019147084421235805
2022-1-15,5756803.371612775,8043.0,7 LAI WA ST|7 麗華街,5756803.371612775,8043.0,530.0,,-0.04368192837861551,0.003493449781659441
2021-12-15,6019758.009855897,8015.0,7 LAI WA ST|7 麗華街,6019758.009855897,8015.0,530.0,,0.03475133022754795,0.005267778753292429
2021-11-15,5817589.051595726,7973.0,7 LAI WA ST|7 麗華街,5817589.051595726,7973.0,530.0,,-0.05121659166834858,-0.05945499587118086
2021-10-15,6131630.254607237,8477.0,7 LAI WA ST|7 麗華街,6131630.254607237,8477.0,530.0,,0.019747968284366646,0.0026020106445889812
2021-9-15,6012887.934381617,8455.0,7 LAI WA ST|7 麗華街,6012887.934381617,8455.0,530.0,,0.013623563668005767,-0.022769301895515515
2021-8-15,5932071.974158476,8652.0,7 LAI WA ST|7 麗華街,5932071.974158476,8652.0,530.0,,0.035529924322352135,-0.05720823798627006
2021-7-15,5728537.471324556,9177.0,7 LAI WA ST|7 麗華街,5728537.471324556,9177.0,530.0,,-0.03955014618294306,0.060557032243152564
2021-6-15,5964431.613538156,8653.0,7 LAI WA ST|7 麗華街,5964431.613538156,8653.0,530.0,,0.045194018641987466,0.014063049337864841
2021-5-15,5706530.5648110155,8533.0,7 LAI WA ST|7 麗華街,5706530.5648110155,8533.0,530.0,,-0.018636366710199748,-0.14874301675977653
2021-4-15,5814899.157900481,10024.0,7 LAI WA ST|7 麗華街,5814899.157900481,10024.0,530.0,,0.00312012157017838,-0.04296352873782705
2021-3-15,5796812.39849765,10474.0,7 LAI WA ST|7 麗華街,5796812.39849765,10474.0,530.0,,0.008939961123891615,-0.031888344578981376
2021-2-15,5745448.313931772,10819.0,7 LAI WA ST|7 麗華街,5745448.313931772,10819.0,530.0,,-0.004657837290126587,0.05222719315308311
2021-1-15,5772334.9107300695,10282.0,7 LAI WA ST|7 麗華街,5772334.9107300695,10282.0,530.0,,-0.007769741828506649,0.05218993041342612
2020-12-15,5817535.6608933415,9772.0,7 LAI WA ST|7 麗華街,5817535.6608933415,9772.0,530.0,,-0.007948611290249818,-0.020056157240272765
2020-11-15,5864147.489838764,9972.0,7 LAI WA ST|7 麗華街,5864147.489838764,9972.0,530.0,,0.06848867797850167,0.06732312961575504
2020-10-15,5488263.5733055025,9343.0,7 LAI WA ST|7 麗華街,5488263.5733055025,9343.0,530.0,,-0.014810373221686879,-0.07759897324513776
2020-9-15,5570768.737438675,10129.0,7 LAI WA ST|7 麗華街,5570768.737438675,10129.0,530.0,,0.00014691348755846434,0.005260023818975723
2020-8-15,5569950.436594507,10076.0,7 LAI WA ST|7 麗華街,5569950.436594507,10076.0,530.0,,-0.022766334783192788,0.01327433628318575
2020-7-15,5699711.987878322,9944.0,7 LAI WA ST|7 麗華街,5699711.987878322,9944.0,530.0,,-0.0027232488679035383,0.0502746092099704
2020-6-15,5715276.107066647,9468.0,7 LAI WA ST|7 麗華街,5715276.107066647,9468.0,530.0,,0.02513795320750223,-0.0050441361916772065
