,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_I,npsf_I,nfa_I,lumpSum_J,npsf_J,nfa_J,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7919932.1,11311.3,"MEI FOO SUN CHUEN(Phase 6),NASSAU ST|美孚新村6期,蘭秀街",6288705.000000001,11331.0,555.0,7007452.0,11266.0,622.0,6005922.0,11846.0,507.0,11284401.0,12279.0,919.0,8023172.0,11036.0,727.0,8811967.0,12121.0,727.0,5841645.0,9785.0,597.0,6288450.0,11130.0,565.0,10419000.0,11500.0,906.0,9228607.0,10819.0,853.0,,-0.00831796713858124,-0.008337424603731325
2022-11-15,7986362.4,11406.4,"MEI FOO SUN CHUEN(Phase 6),NASSAU ST|美孚新村6期,蘭秀街",6343650.0,11430.0,555.0,7065298.0,11359.0,622.0,6056622.0,11946.0,507.0,11376301.0,12379.0,919.0,8092964.0,11132.0,727.0,8881759.0,12217.0,727.0,5891792.999999999,9869.0,597.0,6342125.0,11225.0,565.0,10506882.0,11597.0,906.0,9306230.0,10910.0,853.0,,-0.11186413272146745,-0.11157497916488168
2022-10-15,8992275.5,12838.9,"MEI FOO SUN CHUEN(Phase 6),NASSAU ST|美孚新村6期,蘭秀街",7079025.0,12755.0,555.0,7880118.0,12669.0,622.0,6757803.000000001,13329.0,507.0,12689552.0,13808.0,919.0,9711993.0,13359.0,727.0,10047140.0,13820.0,727.0,6574761.0,11013.0,597.0,7076060.0,12524.0,565.0,11722734.0,12939.0,906.0,10383569.0,12173.0,853.0,,0.009136705509309229,0.009601472068444972
2022-9-15,8910859.6,12716.8,"MEI FOO SUN CHUEN(Phase 6),NASSAU ST|美孚新村6期,蘭秀街",6994110.0,12602.0,555.0,7812320.0,12560.0,622.0,6676176.0,13168.0,507.0,12532403.0,13637.0,919.0,9592765.0,13195.0,727.0,9919188.0,13644.0,727.0,6495360.0,10880.0,597.0,6990745.0,12373.0,565.0,11582304.0,12784.0,906.0,10513225.0,12325.0,853.0,,-0.006129115732862567,-0.006142832580458668
2022-8-15,8965812.1,12795.4,"MEI FOO SUN CHUEN(Phase 6),NASSAU ST|美孚新村6期,蘭秀街",7038510.0,12682.0,555.0,7858970.0,12635.0,622.0,6717243.0,13249.0,507.0,12605923.0,13717.0,919.0,9653106.0,13278.0,727.0,9978075.000000002,13725.0,727.0,6536552.999999999,10949.0,597.0,7035945.0,12453.0,565.0,11656596.0,12866.0,906.0,10577200.0,12400.0,853.0,,0.10941034668463545,0.10972923279734936
2022-7-15,8081601.3,11530.2,"MEI FOO SUN CHUEN(Phase 6),NASSAU ST|美孚新村6期,蘭秀街",6334770.000000001,11414.0,555.0,7070274.0,11367.0,622.0,6044454.0,11922.0,507.0,11340460.0,12340.0,919.0,8688377.0,11951.0,727.0,8979177.0,12351.0,727.0,5882241.0,9853.0,597.0,6333084.999999999,11209.0,565.0,10491480.0,11580.0,906.0,9651695.0,11315.0,853.0,,-0.150575588055461,-0.15059229137199426
2022-6-15,9514208.9,13574.4,"MEI FOO SUN CHUEN(Phase 6),NASSAU ST|美孚新村6期,蘭秀街",7460865.0,13443.0,555.0,8324226.0,13383.0,622.0,7117773.0,14039.0,507.0,13351232.0,14528.0,919.0,10219439.0,14057.0,727.0,10557494.0,14522.0,727.0,6927588.0,11604.0,597.0,7460260.0,13204.0,565.0,12357840.0,13640.0,906.0,11365372.0,13324.0,853.0,,0.0010586114944322045,0.0009216997618328726
2022-5-15,9504147.7,13561.9,"MEI FOO SUN CHUEN(Phase 6),NASSAU ST|美孚新村6期,蘭秀街",7450875.0,13425.0,555.0,8309920.0,13360.0,622.0,7107126.0,14018.0,507.0,13327338.0,14502.0,919.0,10202718.0,14034.0,727.0,10534957.0,14491.0,727.0,6918036.0,11588.0,597.0,7499810.0,13274.0,565.0,12341532.0,13622.0,906.0,11349165.0,13305.0,853.0,,-0.02459113874936436,-0.02458338427900497
2022-4-15,9743757.8,13903.7,"MEI FOO SUN CHUEN(Phase 6),NASSAU ST|美孚新村6期,蘭秀街",7640130.0,13766.0,555.0,8518290.0,13695.0,622.0,7286097.0,14371.0,507.0,13663692.0,14868.0,919.0,10460076.0,14388.0,727.0,10795222.999999998,14849.0,727.0,7092957.0,11881.0,597.0,7688520.0,13608.0,565.0,12656820.0,13970.0,906.0,11635773.0,13641.0,853.0,,-0.006288968356472302,-0.006616034237619806
2022-3-15,9805423.8,13996.3,"MEI FOO SUN CHUEN(Phase 6),NASSAU ST|美孚新村6期,蘭秀街",7665105.0,13811.0,555.0,8542548.0,13734.0,622.0,7477743.0,14749.0,507.0,13707804.0,14916.0,919.0,10494972.0,14436.0,727.0,10830846.0,14898.0,727.0,7116240.0,11920.0,597.0,7711120.0,13648.0,565.0,12837114.0,14169.0,906.0,11670746.0,13682.0,853.0,,0.014399599827602083,0.014408407320166683
2022-2-15,9666233.9,13797.5,"MEI FOO SUN CHUEN(Phase 6),NASSAU ST|美孚新村6期,蘭秀街",7555770.0,13614.0,555.0,8420014.0,13537.0,622.0,7370259.0,14537.0,507.0,13512976.0,14704.0,919.0,10348118.0,14234.0,727.0,10679630.0,14690.0,727.0,7017138.0,11754.0,597.0,7599815.0,13451.0,565.0,12655914.0,13969.0,906.0,11502705.0,13485.0,853.0,,-0.04616304241404856,-0.046159057600309805
