,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2019-11-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2019-10-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2019-9-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2019-8-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2019-7-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2019-6-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2019-5-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2019-4-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2019-3-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2019-2-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2019-1-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2018-12-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2018-11-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2018-10-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2018-9-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2018-8-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2018-7-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2018-6-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2018-5-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2018-4-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2018-3-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2018-2-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2018-1-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2017-12-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2017-11-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2017-10-15,,,1,,,291,11A ASH ST|11A 槐樹街,,,291.0,,
2017-9-15,2618709.0,8999.0,1,2618709,8999,291,11A ASH ST|11A 槐樹街,2618709.0,8999.0,291.0,0.01637677885701372,0.01637677885701372
2017-8-15,2576514.0,8854.0,1,2576514,8854,291,11A ASH ST|11A 槐樹街,2576514.0,8854.0,291.0,0.0442269135511264,0.0442269135511264
2017-7-15,2467389.0,8479.0,1,2467389,8479,291,11A ASH ST|11A 槐樹街,2467389.0,8479.0,291.0,0.008444338725023703,0.008444338725023703
2017-6-15,2446728.0,8408.0,1,2446728,8408,291,11A ASH ST|11A 槐樹街,2446728.0,8408.0,291.0,0.0045400238948625216,0.0045400238948625216
2017-5-15,2435670.0,8370.0,1,2435670,8370,291,11A ASH ST|11A 槐樹街,2435670.0,8370.0,291.0,-0.029902642559109904,-0.029902642559109904
2017-4-15,2510748.0,8628.0,1,2510748,8628,291,11A ASH ST|11A 槐樹街,2510748.0,8628.0,291.0,0.012676056338028152,0.012676056338028152
2017-3-15,2479320.0,8520.0,1,2479320,8520,291,11A ASH ST|11A 槐樹街,2479320.0,8520.0,291.0,0.031102505143410397,0.031102505143410397
2017-2-15,2404533.0,8263.0,1,2404533,8263,291,11A ASH ST|11A 槐樹街,2404533.0,8263.0,291.0,-0.010537660160459872,-0.010537660160459872
2017-1-15,2430141.0,8351.0,1,2430141,8351,291,11A ASH ST|11A 槐樹街,2430141.0,8351.0,291.0,0.01113936311902175,0.01113936311902175
2016-12-15,2403369.0,8259.0,1,2403369,8259,291,11A ASH ST|11A 槐樹街,2403369.0,8259.0,291.0,-0.026979264844486317,-0.026979264844486317
2016-11-15,2470008.0,8488.0,1,2470008,8488,291,11A ASH ST|11A 槐樹街,2470008.0,8488.0,291.0,0.06874842608914622,0.06874842608914622
2016-10-15,2311122.0,7942.0,1,2311122,7942,291,11A ASH ST|11A 槐樹街,2311122.0,7942.0,291.0,0.03223290876007279,0.03223290876007279
2016-9-15,2238954.0,7694.0,1,2238954,7694,291,11A ASH ST|11A 槐樹街,2238954.0,7694.0,291.0,-0.008249548852797162,-0.008249548852797162
2016-8-15,2257578.0,7758.0,1,2257578,7758,291,11A ASH ST|11A 槐樹街,2257578.0,7758.0,291.0,0.012133072407044976,0.012133072407044976
2016-7-15,2230515.0,7665.0,1,2230515,7665,291,11A ASH ST|11A 槐樹街,2230515.0,7665.0,291.0,0.015231788079470121,0.015231788079470121
2016-6-15,2197050.0,7550.0,1,2197050,7550,291,11A ASH ST|11A 槐樹街,2197050.0,7550.0,291.0,0.010980182110337466,0.010980182110337466
2016-5-15,2173188.0,7468.0,1,2173188,7468,291,11A ASH ST|11A 槐樹街,2173188.0,7468.0,291.0,0.02371487320082255,0.02371487320082255
2016-4-15,2122845.0,7295.0,1,2122845,7295,291,11A ASH ST|11A 槐樹街,2122845.0,7295.0,291.0,-0.006130790190735702,-0.006130790190735702
2016-3-15,2135940.0,7340.0,1,2135940,7340,291,11A ASH ST|11A 槐樹街,2135940.0,7340.0,291.0,-0.0031237267418171566,-0.0031237267418171566
2016-2-15,2142633.0,7363.0,1,2142633,7363,291,11A ASH ST|11A 槐樹街,2142633.0,7363.0,291.0,-0.025800476316485854,-0.025800476316485854
2016-1-15,2199378.0,7558.0,1,2199378,7558,291,11A ASH ST|11A 槐樹街,2199378.0,7558.0,291.0,,
