,lumpSum_avg,npsf_avg,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4188930.2079866095,5004.0,57 TUNG CHOI ST|57 通菜街,4188930.2079866095,5004.0,590.0,,0.09367391056564345,-0.028349514563106748
2022-11-15,3830145.5008834517,5150.0,57 TUNG CHOI ST|57 通菜街,3830145.5008834517,5150.0,590.0,,-0.03198833054141004,-0.02775155748536906
2022-10-15,3956714.1819949923,5297.0,57 TUNG CHOI ST|57 通菜街,3956714.1819949923,5297.0,590.0,,-0.08473305093545636,0.05707443624027131
2022-9-15,4323016.564772699,5011.0,57 TUNG CHOI ST|57 通菜街,4323016.564772699,5011.0,590.0,,-0.06295246614445116,-0.1840091190359876
2022-8-15,4613444.258249461,6141.0,57 TUNG CHOI ST|57 通菜街,4613444.258249461,6141.0,590.0,,0.02423560369353117,0.010199045895706638
2022-7-15,4504280.305832721,6079.0,57 TUNG CHOI ST|57 通菜街,4504280.305832721,6079.0,590.0,,-0.02942689574833901,0.021165798756929366
2022-6-15,4640845.9971757075,5953.0,57 TUNG CHOI ST|57 通菜街,4640845.9971757075,5953.0,590.0,,0.014968671472455064,0.01865160848733738
2022-5-15,4572403.195896726,5844.0,57 TUNG CHOI ST|57 通菜街,4572403.195896726,5844.0,590.0,,-0.008681894586064165,0.008803728638011377
2022-4-15,4612447.983069439,5793.0,57 TUNG CHOI ST|57 通菜街,4612447.983069439,5793.0,590.0,,0.024709833877933907,-0.008726899383983522
2022-3-15,4501223.498181912,5844.0,57 TUNG CHOI ST|57 通菜街,4501223.498181912,5844.0,590.0,,-0.05739515916715654,0.017055342847198007
2022-2-15,4775302.760173428,5746.0,57 TUNG CHOI ST|57 通菜街,4775302.760173428,5746.0,590.0,,-0.011263377407428443,-0.04201400466822269
2022-1-15,4829701.511057698,5998.0,57 TUNG CHOI ST|57 通菜街,4829701.511057698,5998.0,590.0,,0.049685815443859305,0.02302575473307189
2021-12-15,4601092.479291492,5863.0,57 TUNG CHOI ST|57 通菜街,4601092.479291492,5863.0,590.0,,-0.043760972060358116,-0.03853722531977699
2021-11-15,4811655.187516478,6098.0,57 TUNG CHOI ST|57 通菜街,4811655.187516478,6098.0,590.0,,0.029323016259242385,0.019221126525154508
2021-10-15,4674582.33373908,5983.0,57 TUNG CHOI ST|57 通菜街,4674582.33373908,5983.0,590.0,,-0.01659901504226091,-0.0530231085786641
