,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,nfa_avg,lumpSum_change,npsf_change
2022-12-15,3857603.75,10710.75,"SHUNG LING BLDG(Block A),SHUNG LING ST|崇齡大廈A座,崇齡街",4339850.0,10585.0,410.0,4111200.0,10278.0,400.0,4082800.0,10207.0,400.0,4345590.0,10599.0,410.0,3959220.0,10419.0,380.0,3274970.0,11293.0,290.0,3234950.0,11155.0,290.0,3512250.0,11150.0,315.0,,-0.009618095453110764,-0.009719509517260527
2022-11-15,3895066.875,10815.875,"SHUNG LING BLDG(Block A),SHUNG LING ST|崇齡大廈A座,崇齡街",4373060.0,10666.0,410.0,4142800.0,10357.0,400.0,4114000.0,10285.0,400.0,4400940.0,10734.0,410.0,3989620.0,10499.0,380.0,3299910.0,11379.0,290.0,3259600.0,11240.0,290.0,3580605.0,11367.0,315.0,,-0.10532519047761923,-0.10532193190160577
2022-10-15,4353611.875,12089.125,"SHUNG LING BLDG(Block A),SHUNG LING ST|崇齡大廈A座,崇齡街",4888020.0,11922.0,410.0,4630400.0,11576.0,400.0,4598400.0,11496.0,400.0,4919590.0,11999.0,410.0,4458920.0,11734.0,380.0,3688220.0,12718.0,290.0,3643270.0,12563.0,290.0,4002075.0,12705.0,315.0,,0.029239089512657745,0.029244931623476855
2022-9-15,4229932.5,11745.625,"SHUNG LING BLDG(Block A),SHUNG LING ST|崇齡大廈A座,崇齡街",4749440.0,11584.0,410.0,4498800.0,11247.0,400.0,4467600.0,11169.0,400.0,4780190.0,11659.0,410.0,4332380.0,11401.0,380.0,3583240.0,12356.0,290.0,3539450.0,12205.0,290.0,3888360.0,12344.0,315.0,,0.0722048324130411,0.0722069445553819
2022-8-15,3945078.75,10954.625,"SHUNG LING BLDG(Block A),SHUNG LING ST|崇齡大廈A座,崇齡街",4429640.0,10804.0,410.0,4196000.0,10490.0,400.0,4166800.0,10417.0,400.0,4458340.0,10874.0,410.0,4040540.0,10633.0,380.0,3341960.0,11524.0,290.0,3301070.0,11383.0,290.0,3626280.0,11512.0,315.0,,-0.0893302714742874,-0.09006240201015459
2022-7-15,4332063.125,12038.875,"SHUNG LING BLDG(Block A),SHUNG LING ST|崇齡大廈A座,崇齡街",4664980.0,11378.0,410.0,4638800.0,11597.0,400.0,4606400.0,11516.0,400.0,4928200.0,12020.0,410.0,4466900.0,11755.0,380.0,3693730.0,12737.0,290.0,3648490.0,12581.0,290.0,4009005.0,12727.0,315.0,,0.05420116892463689,0.05420374566271513
2022-6-15,4109332.5,11419.875,"SHUNG LING BLDG(Block A),SHUNG LING ST|崇齡大廈A座,崇齡街",4424720.0,10792.0,410.0,4400800.0,11002.0,400.0,4369600.0,10924.0,400.0,4674410.0,11401.0,410.0,4237760.0,11152.0,380.0,3503490.0,12081.0,290.0,3460570.0,11933.0,290.0,3803310.0,12074.0,315.0,,-0.008009482169559212,-0.008002519110493433
2022-5-15,4142511.875,11512.0,"SHUNG LING BLDG(Block A),SHUNG LING ST|崇齡大廈A座,崇齡街",4459980.0,10878.0,410.0,4437200.0,11093.0,400.0,4405200.0,11013.0,400.0,4711720.0,11492.0,410.0,4272340.0,11243.0,380.0,3531330.0,12177.0,290.0,3487830.0,12027.0,290.0,3834495.0,12173.0,315.0,,-0.03850843899362233,-0.03849326080828541
2022-4-15,4308422.5,11972.875,"SHUNG LING BLDG(Block A),SHUNG LING ST|崇齡大廈A座,崇齡街",4637920.0,11312.0,410.0,4615600.0,11539.0,400.0,4581999.999999999,11455.0,400.0,4901140.0,11954.0,410.0,4444100.0,11695.0,380.0,3671980.0,12662.0,290.0,3626740.0,12506.0,290.0,3987900.0,12660.0,315.0,,0.0466700940860012,0.04668291243675626
2022-3-15,4116313.75,11438.875,"SHUNG LING BLDG(Block A),SHUNG LING ST|崇齡大廈A座,崇齡街",4429230.0,10803.0,410.0,4410400.0,11026.0,400.0,4378000.0,10945.0,400.0,4684250.0,11425.0,410.0,4246500.0,11175.0,380.0,3507550.0,12095.0,290.0,3464340.0,11946.0,290.0,3810240.0,12096.0,315.0,,-0.05366087903858263,-0.05365102017601009
2022-2-15,4349723.75,12087.375,"SHUNG LING BLDG(Block A),SHUNG LING ST|崇齡大廈A座,崇齡街",4678510.0,11411.0,410.0,4661200.0,11653.0,400.0,4626000.0,11565.0,400.0,4951570.0,12077.0,410.0,4488180.0,11811.0,380.0,3705910.0,12779.0,290.0,3660090.0,12621.0,290.0,4026330.0,12782.0,315.0,,-0.02753630377447469,-0.02731982095257257
2022-1-15,4472890.625,12426.875,"SHUNG LING BLDG(Block A),SHUNG LING ST|崇齡大廈A座,崇齡街",4799460.0,11706.0,410.0,4784800.0,11962.0,400.0,4794000.0,11985.0,400.0,5107370.0,12457.0,410.0,4606740.0,12123.0,380.0,3802770.0,13113.0,290.0,3755500.0,12950.0,290.0,4132485.0000000005,13119.0,315.0,,0.03919089007145349,0.0392210154396162
2021-12-15,4304205.0,11957.875,"SHUNG LING BLDG(Block A),SHUNG LING ST|崇齡大廈A座,崇齡街",4615370.0,11257.0,410.0,4608000.0,11520.0,400.0,4612400.0,11531.0,400.0,4917130.0,11993.0,410.0,4434220.0,11669.0,380.0,3658060.0,12614.0,290.0,3612530.0,12457.0,290.0,3975930.0,12622.0,315.0,,-0.06585994941853013,-0.06545333763176142
2021-11-15,4607665.625,12795.375,"SHUNG LING BLDG(Block A),SHUNG LING ST|崇齡大廈A座,崇齡街",4953210.0,12081.0,410.0,4947600.0,12369.0,400.0,4952400.0,12381.0,400.0,5282030.0,12883.0,410.0,4761400.0,12530.0,380.0,3926600.0,13540.0,290.0,3877880.0,13372.0,290.0,4160205.0,13207.0,315.0,,0.19462151207201694,0.19464316974966445
