,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,nfa_avg,lumpSum_change,npsf_change
2022-12-15,5639707.25,13857.75,"NEW KWAI FONG GARDEN(Block A),KWAI YI RD|新葵芳花園A座,葵義路",5477340.0,14190.0,386.0,5218150.0,12278.0,425.0,5533792.0,13904.0,398.0,5688060.0,14010.0,406.0,5837468.0,14378.0,406.0,5769408.0,14496.0,398.0,5820375.0,13695.0,425.0,5773065.0,13911.0,415.0,,-0.04984813944522448,-0.04984658633161354
2022-11-15,5935585.125,14584.75,"NEW KWAI FONG GARDEN(Block A),KWAI YI RD|新葵芳花園A座,葵義路",5770700.0,14950.0,386.0,5498225.0,12937.0,425.0,5829108.0,14646.0,398.0,5992153.999999999,14759.0,406.0,6102992.0,15032.0,406.0,6079052.0,15274.0,398.0,6130625.0,14425.0,425.0,6081825.0,14655.0,415.0,,0.03799804430542486,0.03800508869633301
2022-10-15,5718300.875,14050.75,"NEW KWAI FONG GARDEN(Block A),KWAI YI RD|新葵芳花園A座,葵義路",5575384.0,14444.0,386.0,5312924.999999999,12501.0,425.0,5630904.0,14148.0,398.0,5656798.0,13933.0,406.0,5897556.0,14526.0,406.0,5874480.0,14760.0,398.0,5922375.0,13935.0,425.0,5875985.0,14159.0,415.0,,-0.025945422427099407,-0.025978302311878254
2022-9-15,5870616.5,14425.5,"NEW KWAI FONG GARDEN(Block A),KWAI YI RD|新葵芳花園A座,葵義路",5782665.999999999,14981.0,386.0,5512675.0,12971.0,425.0,5798064.0,14568.0,398.0,5820822.0,14337.0,406.0,6119638.0,15073.0,406.0,5874082.0,14759.0,398.0,5961050.0,14026.0,425.0,6095935.0,14689.0,415.0,,-0.04295773905962985,-0.04295760631592915
2022-8-15,6134124.625,15073.0,"NEW KWAI FONG GARDEN(Block A),KWAI YI RD|新葵芳花園A座,葵義路",6041286.0,15651.0,386.0,5762150.0,13558.0,425.0,6056764.0,15218.0,398.0,6079850.0,14975.0,406.0,6396936.0,15756.0,406.0,6139946.0,15427.0,398.0,6225400.0,14648.0,425.0,6370665.0,15351.0,415.0,,0.026903371678483223,0.02690227804981893
2022-7-15,5973419.5,14678.125,"NEW KWAI FONG GARDEN(Block A),KWAI YI RD|新葵芳花園A座,葵義路",5883411.999999999,15242.0,386.0,5612124.999999999,13205.0,425.0,5896369.999999999,14815.0,398.0,5917856.0,14576.0,406.0,6230882.0,15347.0,406.0,5980746.0,15027.0,398.0,6059225.0,14257.0,425.0,6206740.000000001,14956.0,415.0,,-0.05922705015000829,-0.05949396490272563
2022-6-15,6349480.5,15606.625,"NEW KWAI FONG GARDEN(Block A),KWAI YI RD|新葵芳花園A座,葵義路",6288326.0,16291.0,386.0,5999300.0,14116.0,425.0,6339344.000000001,15928.0,398.0,6322232.0,15572.0,406.0,6661241.999999999,16407.0,406.0,6393869.999999999,16065.0,398.0,6154850.0,14482.0,425.0,6636680.0,15992.0,415.0,,0.00528037030275974,0.0053871674289762694
2022-5-15,6316129.0,15523.0,"NEW KWAI FONG GARDEN(Block A),KWAI YI RD|新葵芳花園A座,葵義路",6258990.0,16215.0,386.0,5976775.0,14063.0,425.0,6313872.0,15864.0,398.0,6118420.0,15070.0,406.0,6636882.0,16347.0,406.0,6370388.0,16006.0,398.0,6239850.0,14682.0,425.0,6613855.0,15937.0,415.0,,-0.01644518416312102,-0.01630981519767427
2022-4-15,6421735.625,15780.375,"NEW KWAI FONG GARDEN(Block A),KWAI YI RD|新葵芳花園A座,葵義路",6342752.0,16432.0,386.0,6220725.0,14637.0,425.0,6397054.0,16073.0,398.0,6201244.0,15274.0,406.0,6727014.0,16569.0,406.0,6456356.0,16222.0,398.0,6323999.999999999,14880.0,425.0,6704740.0,16156.0,415.0,,-0.0037625722801696293,-0.003323754184298644
2022-3-15,6445989.125,15833.0,"NEW KWAI FONG GARDEN(Block A),KWAI YI RD|新葵芳花園A座,葵義路",6151296.0,15936.0,386.0,6318050.0,14866.0,425.0,6186512.0,15544.0,398.0,6296654.0,15509.0,406.0,6830138.0,16823.0,406.0,6555458.0,16471.0,398.0,6420900.0,15108.0,425.0,6808905.000000001,16407.0,415.0,,-0.044352457818508384,-0.04450680426058362
2022-2-15,6745153.25,16570.5,"NEW KWAI FONG GARDEN(Block A),KWAI YI RD|新葵芳花園A座,葵義路",6526102.0,16907.0,386.0,6587500.0,15500.0,425.0,6564612.0,16494.0,398.0,6536193.999999999,16099.0,406.0,7120428.0,17538.0,406.0,6833660.0,17170.0,398.0,6693325.0,15749.0,425.0,7099405.0,17107.0,415.0,,0.09784672308336706,0.09784760122237035
2022-1-15,6143984.5,15093.625,"NEW KWAI FONG GARDEN(Block A),KWAI YI RD|新葵芳花園A座,葵義路",5945944.0,15404.0,386.0,6002700.0,14124.0,425.0,5980348.0,15026.0,398.0,5951960.0,14660.0,406.0,6484226.0,15971.0,406.0,6223128.0,15636.0,398.0,6096625.0,14345.0,425.0,6466945.0,15583.0,415.0,,-0.025045728370651776,-0.025046224899274105
2021-12-15,6301818.125,15481.375,"NEW KWAI FONG GARDEN(Block A),KWAI YI RD|新葵芳花園A座,葵義路",6100344.0,15804.0,386.0,6159950.0,14494.0,425.0,6133976.0,15412.0,398.0,6102992.0,15032.0,406.0,6650280.0,16380.0,406.0,6382328.0,16036.0,398.0,6250900.0,14708.0,425.0,6633775.0,15985.0,415.0,,-0.013227084637029374,-0.0132259323883962
2021-11-15,6386290.125,15688.875,"NEW KWAI FONG GARDEN(Block A),KWAI YI RD|新葵芳花園A座,葵義路",6183334.0,16019.0,386.0,6247075.0,14699.0,425.0,6215964.0,15618.0,398.0,6182568.0,15228.0,406.0,6738788.0,16598.0,406.0,6467102.0,16249.0,398.0,6332075.0,14899.0,425.0,6723415.0,16201.0,415.0,,-0.006106966457731233,-0.006262767018732851
2021-10-15,6425530.625,15787.75,"NEW KWAI FONG GARDEN(Block A),KWAI YI RD|新葵芳花園A座,葵義路",6245866.0,16181.0,386.0,6311250.0,14850.0,425.0,6277256.0,15772.0,398.0,6241438.0,15373.0,406.0,6804966.0,16761.0,406.0,6530384.0,16408.0,398.0,6202025.0,14593.0,425.0,6791060.0,16364.0,415.0,,-0.04730065573847664,-0.0475034124931184
2021-9-15,6744552.375,16575.125,"NEW KWAI FONG GARDEN(Block A),KWAI YI RD|新葵芳花園A座,葵義路",6668922.0,17277.0,386.0,6584950.0,15494.0,425.0,6709882.0,16859.0,398.0,6508180.0,16030.0,406.0,7097286.0,17481.0,406.0,6810974.0,17113.0,398.0,6469350.0,15222.0,425.0,7106875.0,17125.0,415.0,,0.00871434862023368,0.008963423449472208
2021-8-15,6686285.75,16427.875,"NEW KWAI FONG GARDEN(Block A),KWAI YI RD|新葵芳花園A座,葵義路",6585546.0,17061.0,386.0,6505899.999999999,15308.0,425.0,6625108.0,16646.0,398.0,6413988.0,15798.0,406.0,6922706.0,17051.0,406.0,6726598.0,16901.0,398.0,6688225.0,15737.0,425.0,7022215.0,16921.0,415.0,,-0.014170000267973326,-0.014221528814347573
