,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2022-12-15,11955840.700543825,11610.4,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",12259856.0,12878.0,952.0,13525292.0,12676.0,1067.0,13417525.0,12575.0,1067.0,12324182.0,12811.0,962.0,8252348.502719122,7112.0,561.0,,-0.02567987614202727,-0.024745905081898445
2022-11-15,12270957.365842763,11905.0,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",12498808.0,13129.0,952.0,13753630.0,12890.0,1067.0,13867799.0,12997.0,1067.0,12824422.000000002,13331.0,962.0,8410127.82921382,7178.0,561.0,,-0.04656143529748802,-0.05939890019594207
2022-10-15,12870212.953544099,12656.8,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",13130936.0,13793.0,952.0,14450381.0,13543.0,1067.0,14454649.0,13547.0,1067.0,13480506.0,14013.0,962.0,8834592.7677205,8388.0,561.0,,-0.0009725255943945355,0.020068021728267604
2022-9-15,12882741.749621581,12407.8,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",13142360.000000002,13805.0,952.0,14463185.0,13555.0,1067.0,14468520.0,13560.0,1067.0,13498784.0,14032.0,962.0,8840859.748107914,7087.0,561.0,,-0.020478007657355524,-0.06743329575347623
2022-8-15,13152069.938532934,13305.0,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",13502215.999999998,14183.0,952.0,14857975.0,13925.0,1067.0,14864377.0,13931.0,1067.0,13873964.0,14422.0,962.0,8661817.69266467,10064.0,561.0,,0.023765242898284633,0.023981405944556444
2022-7-15,12846763.483881671,12993.4,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",13212808.000000002,13879.0,952.0,14503730.999999998,13593.0,1067.0,14510133.0,13599.0,1067.0,13549770.0,14085.0,962.0,8457375.419408355,9811.0,561.0,,-0.053389077028313525,-0.047181156869646856
2022-6-15,13571323.943264833,13636.8,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",13957272.0,14661.0,952.0,15318919.0,14357.0,1067.0,15326388.0,14364.0,1067.0,14318408.0,14884.0,962.0,8935632.716324167,9918.0,561.0,,-0.015051084621579558,-0.012040860682460353
2022-5-15,13778708.450123718,13803.0,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",14169568.0,14884.0,952.0,15549391.0,14573.0,1067.0,15558994.000000002,14582.0,1067.0,14541592.0,15116.0,962.0,9073997.250618597,9860.0,561.0,,-0.02038739322764571,-0.019561882032049116
2022-4-15,14065466.649640271,14078.4,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",14404711.999999998,15131.0,952.0,15806538.0,14814.0,1067.0,16101030.0,15090.0,1067.0,14788826.0,15373.0,962.0,9226227.24820136,9984.0,561.0,,0.05294059474988311,0.04504290507437858
2022-3-15,13358271.79593299,13471.6,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",13678336.0,14368.0,952.0,15008422.0,14066.0,1067.0,15292244.0,14332.0,1067.0,14049048.0,14604.0,962.0,8763308.979664948,9988.0,561.0,,-0.032320023732948955,-0.0302480600066225
2022-2-15,13804431.34461067,13891.8,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",14133392.0,14846.0,952.0,15507778.0,14534.0,1067.0,15803337.0,14811.0,1067.0,14521390.0,15095.0,962.0,9056259.723053345,10173.0,561.0,,0.01802370741652548,-0.04793300071275852
2022-1-15,13560029.343169877,14591.2,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",14016296.0,14723.0,952.0,15377604.0,14412.0,1067.0,15674230.0,14690.0,1067.0,14406912.0,14976.0,962.0,8325104.715849381,14155.0,561.0,,-0.03961759163527867,-0.024939189008580276
2021-12-15,14119406.212634653,14964.4,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",14644616.0,15383.0,952.0,15924975.000000002,14925.0,1067.0,16479815.000000002,15445.0,1067.0,14926392.0,15516.0,962.0,8621233.063173262,13553.0,561.0,,0.025449617911911693,0.0170592792964237
2021-11-15,13768990.661272585,14713.4,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",14277144.0,14997.0,952.0,15530185.0,14555.0,1067.0,16067953.0,15059.0,1067.0,14562756.0,15138.0,962.0,8406915.30636293,13818.0,561.0,,-0.025099408901820275,-0.024387979736360532
2021-10-15,14123481.703670386,15081.2,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",14641760.0,15380.0,952.0,15930310.0,14930.0,1067.0,16477681.0,15443.0,1067.0,14944670.0,15535.0,962.0,8622987.518351927,14118.0,561.0,,0.01958260294252323,0.014503282746744173
2021-9-15,13852219.195296105,14865.6,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",14300943.999999998,15022.0,952.0,15833213.0,14839.0,1067.0,16095695.0,15085.0,1067.0,14607008.0,15184.0,962.0,8424235.976480525,14198.0,561.0,,-0.03883621747378996,-0.03436269860860297
2021-8-15,14411923.802297834,15394.6,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",14875952.0,15626.0,952.0,16470212.0,15436.0,1067.0,16743364.0,15692.0,1067.0,15205372.0,15806.0,962.0,8764719.011489168,14413.0,561.0,,0.027568992512156498,0.018067110188210167
2021-7-15,14025261.473747065,15121.4,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",14474208.0,15204.0,952.0,16025273.0,15019.0,1067.0,16292023.0,15269.0,1067.0,14805180.0,15390.0,962.0,8529623.36873533,14725.0,561.0,,0.021819782541765642,0.014968050260430577
2021-6-15,13725768.196481163,14898.4,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",14161952.0,14876.0,952.0,15681698.999999998,14697.0,1067.0,15943113.999999998,14942.0,1067.0,14494453.999999998,15067.0,962.0,8347621.982405818,14910.0,561.0,,-0.006020239532637195,-0.00045621662238692906
2021-5-15,13808901.088717738,14905.2,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",14245728.0,14964.0,952.0,15774528.0,14784.0,1067.0,16039144.0,15032.0,1067.0,14587768.0,15164.0,962.0,8397337.443588693,14582.0,561.0,,-0.008309007457021567,-0.0033433187118862007
2021-4-15,13924600.69976816,14955.2,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",14361872.0,15086.0,952.0,15904702.0,14906.0,1067.0,16173586.0,15158.0,1067.0,14715714.0,15297.0,962.0,8467129.498840788,14329.0,561.0,,0.02570282795496026,0.027439233844927857
2021-3-15,13575667.64979184,14555.8,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",14072464.0,14782.0,952.0,15693436.0,14708.0,1067.0,15660359.0,14677.0,1067.0,14253954.0,14817.0,962.0,8198125.248959203,13795.0,561.0,,0.017745758147873936,0.014157713584995069
2021-2-15,13338957.731936187,14352.6,"VILLA OCEANIA(Block 5),ON CHUN ST|海典居5座,鞍駿街",13823040.0,14520.0,952.0,15422418.0,14454.0,1067.0,15386140.0,14420.0,1067.0,14008643.999999998,14562.0,962.0,8054546.659680932,13807.0,561.0,,-0.012098497195061508,-0.01005628207250453
