,lumpSum_avg,npsf_avg,final_address,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2020-12-15,11086743.4,22376.6,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4753689.0,18939.0,251.0,4724496.0,18748.0,252.0,15410672.0,24776.0,622.0,15621499.999999998,24875.0,628.0,14923360.0,24545.0,608.0,,0.5783658339976612,0.3347529914224019
2020-11-15,7024191.199019852,16764.6,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4060929.0,16179.0,251.0,4035528.0,16014.0,252.0,9139389.858413875,17385.0,622.0,9028509.95071308,17010.0,628.0,8856599.185972309,17235.0,608.0,,-0.3084054006337792,-0.18215080201381584
2020-10-15,10156515.4,20498.4,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4354097.0,17347.0,251.0,4327344.0,17172.0,252.0,14118156.0,22698.0,622.0,14311491.999999998,22789.0,628.0,13671488.0,22486.0,608.0,,-0.005745142690847249,-0.005713953104839797
2020-9-15,10215203.2,20616.2,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4378444.0,17444.0,251.0,4351788.0,17269.0,252.0,14200260.0,22830.0,622.0,14394388.0,22921.0,628.0,13751136.0,22617.0,608.0,,-0.052238146819985065,-0.052215888194188986
2020-8-15,10778238.4,21752.0,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4618902.0,18402.0,251.0,4591440.0,18220.0,252.0,14983357.999999998,24089.0,622.0,15188180.0,24185.0,628.0,14509312.0,23864.0,608.0,,0.06804558362911206,0.06807557842636602
2020-7-15,10091552.8,20365.6,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4323726.0,17226.0,251.0,4298616.0,17058.0,252.0,14029210.0,22555.0,622.0,14221060.000000002,22645.0,628.0,13585152.0,22344.0,608.0,,-0.057117075538640094,-0.0570870334188327
2020-6-15,10702869.4,21598.6,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4584515.0,18265.0,251.0,4558680.0,18090.0,252.0,14879484.0,23922.0,622.0,15082676.0,24017.0,628.0,14408992.0,23699.0,608.0,,0.0037109154251591114,0.003736372001375443
2020-5-15,10663298.8,21518.2,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4566694.0,18194.0,251.0,4541544.0,18022.0,252.0,14824748.0,23834.0,622.0,15027412.0,23929.0,628.0,14356096.0,23612.0,608.0,,-0.01166946251729617,-0.011639015965753452
2020-4-15,10789203.0,21771.6,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4619655.0,18405.0,251.0,4594716.0,18233.0,252.0,15000152.0,24116.0,622.0,15205764.0,24213.0,628.0,14525728.0,23891.0,608.0,,-0.05554300563401893,-0.05466640035431125
2020-3-15,11423710.2,23030.6,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4842041.0,19291.0,251.0,4869144.0,19322.0,252.0,15897697.999999998,25559.0,622.0,16115108.0,25661.0,628.0,15394559.999999998,25320.0,608.0,,0.3513204275646551,0.35132312386316955
2020-2-15,8453739.0,17043.0,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",3583527.0000000005,14277.0,251.0,3602843.9999999995,14297.0,252.0,11764508.0,18914.0,622.0,11925720.0,18990.0,628.0,11392096.0,18737.0,608.0,,-0.236705438785218,-0.23670515312474805
2020-1-15,11075329.8,22328.2,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4694955.0,18705.0,251.0,4719960.0,18730.0,252.0,15412538.0,24779.0,622.0,15624012.0,24879.0,628.0,14925184.000000002,24548.0,608.0,,0.04309234150408381,0.04310087080016456
2019-12-15,10617784.6,21405.6,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4501183.0,17933.0,251.0,4524408.0,17954.0,252.0,14776232.0,23756.0,622.0,14978428.000000002,23851.0,628.0,14308672.0,23534.0,608.0,,-0.05579355945304276,-0.055790810925259504
2019-11-15,11245194.0,22670.4,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4767494.0,18994.0,251.0,4791276.0,19013.0,252.0,15649520.0,25160.0,622.0,15863279.999999998,25260.0,628.0,15154400.0,24925.0,608.0,,0.23544585840098908,0.23544414168937333
2019-10-15,9102134.2,18350.0,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",3859125.0,15375.0,251.0,3878028.0,15389.0,252.0,12667030.0,20365.0,622.0,12840088.0,20446.0,628.0,12266400.0,20175.0,608.0,,-0.10067663057214105,-0.10066653597333852
2019-9-15,10121091.6,20404.0,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4291096.0,17096.0,251.0,4311720.0,17110.0,252.0,14085190.0,22645.0,622.0,14277580.0,22735.0,628.0,13639872.0,22434.0,608.0,,-0.19812122636697427,-0.19811988115636747
2019-8-15,12621722.8,25445.2,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",5351822.0,21322.0,251.0,5376420.0,21335.0,252.0,17565280.0,28240.0,622.0,17805684.0,28353.0,628.0,17009408.0,27976.0,608.0,,0.12537123042511422,0.12537593319888196
2019-7-15,11215608.2,22610.4,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4755697.0,18947.0,251.0,4777164.0,18957.0,252.0,15608468.0,25094.0,622.0,15821831.999999998,25194.0,628.0,15114880.0,24860.0,608.0,,-0.0766549993691299,-0.076651665754633
2019-6-15,12146714.6,24487.4,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",5150770.999999999,20521.0,251.0,5173308.0,20529.0,252.0,16904094.0,27177.0,622.0,17135608.0,27286.0,628.0,16369791.999999998,26924.0,608.0,,0.26507487686190245,0.26508028352379576
2019-5-15,9601577.6,19356.4,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4071722.0,16222.0,251.0,4088952.0,16226.0,252.0,13362426.0,21483.0,622.0,13545332.0,21569.0,628.0,12939456.0,21282.0,608.0,,-0.21710368260231638,-0.21710712581195746
2019-4-15,12264175.2,24724.2,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",5200720.0,20720.0,251.0,5223204.0,20727.0,252.0,17067680.0,27440.0,622.0,17301400.0,27550.0,628.0,16527872.0,27184.0,608.0,,0.5002841985044346,0.18774980784012296
2019-3-15,8174568.0,20816.0,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4731852.0,18852.0,251.0,4752972.0,18861.0,252.0,,,622.0,,,628.0,15038880.0,24735.0,608.0,,0.15572258534172256,0.1557167709220122
2019-2-15,7073123.0,18011.333333333332,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4094061.0,16311.0,251.0,4112892.0000000005,16321.0,252.0,,,622.0,,,628.0,13012416.0,21402.0,608.0,,-0.14744141448577075,-0.14744631502548167
2019-1-15,8296348.333333333,21126.333333333332,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4801881.0,19131.0,251.0,4824540.0,19145.0,252.0,,,622.0,,,628.0,15262624.0,25103.0,608.0,,-0.056854921327730956,-0.05686011904761912
2018-12-15,8796471.0,22400.0,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",5091033.0,20283.0,251.0,5115852.0,20301.0,252.0,,,622.0,,,628.0,16182528.0,26616.0,608.0,,0.2875166120903281,0.28750431084032657
2018-11-15,6832122.333333333,17398.0,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",3954003.0,15753.0,251.0,3973788.0000000005,15769.0,252.0,,,622.0,,,628.0,12568575.999999998,20672.0,608.0,,-0.1624483220743712,-0.16245707500240703
2018-10-15,8157254.666666667,20772.666666666668,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4720808.0,18808.0,251.0,4744908.0,18829.0,252.0,,,622.0,,,628.0,15006048.0,24681.0,608.0,,-0.2909563026456694,-0.29095460234383885
2018-9-15,11504586.666666666,29296.666666666668,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",6657524.0,26524.0,251.0,6692364.0,26557.0,252.0,,,622.0,,,628.0,21163872.0,34809.0,608.0,,0.31710839689727477,0.31709875618162764
2018-8-15,8734730.333333334,22243.333333333332,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",5054387.0,20137.0,251.0,5081580.0,20165.0,252.0,,,622.0,,,628.0,16068224.0,26428.0,608.0,,-0.03218554246280825,-0.03218320787828688
2018-7-15,9025211.666666666,22983.0,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",5222055.0,20805.0,251.0,5250924.0,20837.0,252.0,,,622.0,,,628.0,16602656.0,27307.0,608.0,,0.06665741398353275,0.06664500858588207
2018-6-15,8461209.333333334,21547.0,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4895504.000000001,19504.0,251.0,4923324.0,19537.0,252.0,,,622.0,,,628.0,15564800.0,25600.0,608.0,,-0.03893575037618302,-0.03893844781445144
2018-5-15,8803999.666666666,22420.0,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",5093543.0,20293.0,251.0,5123160.0,20330.0,252.0,,,622.0,,,628.0,16195296.0,26637.0,608.0,,0.15130699197585362,0.1512983345030039
2018-4-15,7646961.0,19473.666666666668,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4423875.0,17625.0,251.0,4450320.0,17660.0,252.0,,,622.0,,,628.0,14066688.0,23136.0,608.0,,-0.002004484281523111,-0.0020157501836381986
2018-3-15,7662320.0,19513.0,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4432660.0,17660.0,251.0,4459644.0,17697.0,252.0,,,622.0,,,628.0,14094656.0,23182.0,608.0,,-0.15649795483331685,-0.15649855907780974
2018-2-15,9083937.666666666,23133.333333333332,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",5254684.999999999,20935.0,251.0,5287464.0,20982.0,252.0,,,622.0,,,628.0,16709663.999999998,27483.0,608.0,,-0.03444198002402221,-0.03444821637264184
2018-1-15,9407966.666666666,23958.666666666668,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",5441680.0,21680.0,251.0,5476716.0,21733.0,252.0,,,622.0,,,628.0,17305504.0,28463.0,608.0,,0.18058511200100535,0.18057882461154362
2017-12-15,7968901.666666667,20294.0,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4609113.0,18363.0,251.0,4639320.0,18410.0,252.0,,,622.0,,,628.0,14658272.0,24109.0,608.0,,-0.039692732266998654,0.1341231697775791
2017-11-15,8298283.2,17894.0,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",4742394.0,18894.0,251.0,4774392.0,18946.0,252.0,10813470.000000002,17385.0,622.0,10682280.0,17010.0,628.0,10478880.0,17235.0,608.0,,,
2017-10-15,,,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",,,251.0,,,252.0,,,622.0,,,628.0,,,608.0,,,
2017-9-15,,,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",,,251.0,,,252.0,,,622.0,,,628.0,,,608.0,,,
2017-8-15,,,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",,,251.0,,,252.0,,,622.0,,,628.0,,,608.0,,,
2017-7-15,,,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",,,251.0,,,252.0,,,622.0,,,628.0,,,608.0,,,
2017-6-15,,,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",,,251.0,,,252.0,,,622.0,,,628.0,,,608.0,,,
2017-5-15,,,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",,,251.0,,,252.0,,,622.0,,,628.0,,,608.0,,,
2017-4-15,,,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",,,251.0,,,252.0,,,622.0,,,628.0,,,608.0,,,
2017-3-15,,,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",,,251.0,,,252.0,,,622.0,,,628.0,,,608.0,,,
2017-2-15,,,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",,,251.0,,,252.0,,,622.0,,,628.0,,,608.0,,,
2017-1-15,,,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",,,251.0,,,252.0,,,622.0,,,628.0,,,608.0,,,
2016-12-15,,,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",,,251.0,,,252.0,,,622.0,,,628.0,,,608.0,,,
2016-11-15,,,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",,,251.0,,,252.0,,,622.0,,,628.0,,,608.0,,,
2016-10-15,,,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",,,251.0,,,252.0,,,622.0,,,628.0,,,608.0,,,
2016-9-15,,,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",,,251.0,,,252.0,,,622.0,,,628.0,,,608.0,,,
2016-8-15,,,"CENTRA HORIZON(Block 13),CHONG SAN RD|海日灣II13座,創新路",,,251.0,,,252.0,,,622.0,,,628.0,,,608.0,,,
