,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_change,npsf_change
2019-12-15,17918209.97850037,10595.0,4,71672839.91400148,42380.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",16162004.100943474,8032.0,1021.0,16963097.434363317,12523.0,1080.0,19023489.096833926,13270.0,1143.0,19524249.28186077,8555.0,1158.0,0.16930479144183797,0.12051187139759922
2019-11-15,15323814.722768657,9455.5,4,61295258.89107463,37822.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",13816896.322782138,7595.0,1021.0,14508160.152372528,10746.0,1080.0,16271794.026097098,11388.0,1143.0,16698408.389822861,8093.0,1158.0,0.04442509821399243,-0.040708144165165994
2019-10-15,14672009.26995433,9856.75,4,58688037.07981732,39427.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",13469721.770317761,9759.0,1021.0,14135670.027148286,9682.0,1080.0,15561318.487152379,10071.0,1143.0,15521326.795198895,9915.0,1158.0,0.04384576517734318,-0.1812820566065162
2019-9-15,14055725.241613299,12039.25,4,56222900.966453195,48157.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",12904103.27228763,11920.0,1021.0,13542145.0974107,11826.0,1080.0,14907763.056748286,12301.0,1143.0,14868889.540006582,12110.0,1158.0,1.1123898989992904,-0.03828334065582939
2019-8-15,6653944.543226591,12518.5,4,26615778.172906365,50074.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",6109016.113004871,12395.0,1021.0,6410421.8112298865,12296.0,1080.0,7057481.148479903,12791.0,1143.0,7038859.100191706,12592.0,1158.0,-0.5240536998387895,0.24478584035597972
2019-7-15,13980452.292564927,10056.75,4,55921809.17025971,40227.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",12834804.474903023,9957.0,1021.0,13468765.298161076,9878.0,1080.0,14828776.98749385,10276.0,1143.0,14789462.409701755,10116.0,1158.0,-0.24116642464968785,-0.15079164027865732
2019-6-15,18423607.95133625,11842.5,4,73694431.805345,47370.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",16913804.795264237,11725.0,1021.0,17749285.271039072,11632.0,1080.0,19542054.128865175,12101.0,1143.0,19489287.610176507,11912.0,1158.0,1.7690239997155417,-0.21224618761744796
2019-5-15,6653466.330818687,15033.25,4,26613865.323274747,60133.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",6108180.706170653,14884.0,1021.0,6409927.139575836,14766.0,1080.0,7057655.645405452,15362.0,1143.0,7038101.832122805,15121.0,1158.0,-0.6270853553548916,0.41769615239532243
2019-4-15,17841794.164856654,10604.0,4,71367176.65942661,42416.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",16378396.609879252,10498.0,1021.0,17187871.68333764,10415.0,1080.0,18927548.89574805,10837.0,1143.0,18873359.470461674,10666.0,1158.0,-0.11489666117045794,-0.4323568379213897
2019-3-15,20157865.621036507,18680.75,4,80631462.48414603,74723.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",18487311.22159963,18479.0,1021.0,19330218.075622596,18266.0,1080.0,21291089.81780054,19010.0,1143.0,21522843.36912327,18968.0,1158.0,0.3151687384790509,0.7479473204051557
2019-2-15,15327208.61685658,10687.25,4,61308834.46742632,42749.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",14055835.547915673,10571.0,1021.0,14696480.307579663,10449.0,1080.0,16190870.953204522,10877.0,1143.0,16365647.658726467,10852.0,1158.0,-0.12968935918060887,-0.09926253687315634
2019-1-15,17611192.944195334,11865.0,4,70444771.77678134,47460.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",16149004.305766288,11735.0,1021.0,16884228.393175762,11599.0,1080.0,18605537.07263322,12077.0,1143.0,18806002.005206067,12049.0,1158.0,-0.09658008160486409,-0.1412597028968462
2018-12-15,19493917.043007445,13816.75,4,77975668.17202978,55267.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",17873559.79305851,13664.0,1021.0,18687790.76528815,13506.0,1080.0,20597964.511375792,14066.0,1143.0,20816353.102307327,14031.0,1158.0,1.9230718799040565,0.10615855733242596
2018-11-15,6668983.125946013,12490.75,4,26675932.503784053,49963.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",6114300.335974405,12352.0,1021.0,6392224.488914592,12208.0,1080.0,7047722.465700091,12718.0,1143.0,7121685.213194967,12685.0,1158.0,-0.6656548704898888,0.3278143935367279
2018-10-15,19946404.291031647,9407.0,4,79785617.16412659,37628.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",18286337.736022286,9302.0,1021.0,19116380.88128585,9193.0,1080.0,21080992.949937742,9579.0,1143.0,21301905.5968807,9554.0,1158.0,-0.14384792192927465,-0.06377049588216266
2018-9-15,23297735.06592354,10047.75,4,93190940.26369417,40191.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",21357391.304720618,9935.0,1021.0,22325509.273167536,9818.0,1080.0,24626562.53974424,10233.0,1143.0,24881477.146061778,10205.0,1158.0,0.16117202148320442,0.04860676268002506
2018-8-15,20063982.45469655,9582.0,4,80255929.8187862,38328.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",18389984.579970382,9473.0,1021.0,19224740.13092288,9362.0,1080.0,21211146.02211202,9760.0,1143.0,21430059.08578092,9733.0,1158.0,0.256912358397404,0.011826821541710775
2018-7-15,15962912.86393162,9470.0,4,63851651.45572648,37880.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",14741015.9484721,9431.0,1021.0,15257215.14885533,9228.0,1080.0,16840142.95374416,9624.0,1143.0,17013277.404654898,9597.0,1158.0,-0.021965121278333055,0.003895794132457109
2018-6-15,16321414.71763852,9433.25,4,65285658.87055408,37733.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",15068083.09902695,9392.0,1021.0,15597704.999129152,9191.0,1080.0,17222402.296680156,9589.0,1143.0,17397468.47571782,9561.0,1158.0,-0.02733559090316695,0.010497844192710382
2018-5-15,16780108.91011604,9335.25,4,67120435.64046416,37341.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",15487351.00369018,9292.0,1021.0,16033225.597552892,9094.0,1080.0,17711125.399751164,9492.0,1143.0,17888733.63946992,9463.0,1158.0,-0.19765244742304122,0.04170618758020428
2018-4-15,20913765.93126274,8961.5,4,83655063.72505096,35846.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",19295943.98344319,8917.0,1021.0,19985235.244677067,8731.0,1080.0,22076444.08397496,9113.0,1143.0,22297440.412955746,9085.0,1158.0,0.11424132867048864,0.016792420718216405
2018-3-15,18769511.947844386,8813.5,4,75078047.79137754,35254.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",17310045.446162283,8766.0,1021.0,17940616.2984417,8589.0,1080.0,19816140.733692694,8964.0,1143.0,20011245.313080866,8935.0,1158.0,0.15481784234505302,0.006451981272125096
2018-2-15,16253223.027563997,8757.0,4,65012892.11025599,35028.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",15079872.133239325,8760.0,1021.0,15638086.175550882,8588.0,1080.0,17076418.02844828,8861.0,1143.0,17218515.773017492,8819.0,1158.0,-0.22631164614101884,-0.011513714866237756
2018-1-15,21007454.676675208,8859.0,4,84029818.70670083,35436.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",19479558.728237443,8857.0,1021.0,20216699.682224162,8690.0,1080.0,22075558.13919675,8966.0,1143.0,22258002.157042474,8923.0,1158.0,0.056338456748275645,-0.23818123186069007
2017-12-15,19887049.02531184,11628.75,4,79548196.10124736,46515.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",18430670.435333543,11620.0,1021.0,19140026.347931635,11408.0,1080.0,20902861.698893394,11772.0,1143.0,21074637.619088788,11715.0,1158.0,0.27546247880049957,0.5997730086669417
2017-11-15,15592029.836906284,7269.0,4,62368119.34762514,29076.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",14442989.108692646,7260.0,1021.0,15008241.553958016,7132.0,1080.0,16391502.553416101,7360.0,1143.0,16525386.131558377,7324.0,1158.0,0.28482764204420485,-0.3382794720072827
2017-10-15,12135503.103045657,10985.0,4,48542012.41218263,43940.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",11143009.057060186,9388.0,1021.0,11987109.647828368,15552.0,1080.0,12653878.939708503,9523.0,1143.0,12758014.767585577,9477.0,1158.0,-0.28350475362273364,0.22191323692992215
2017-9-15,16937311.397954173,8990.0,4,67749245.5918167,35960.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",15545516.205325773,7751.0,1021.0,16717781.265166895,12507.0,1080.0,17670247.462120086,7870.0,1143.0,17815700.659203947,7832.0,1158.0,-0.25132852137394,-0.07621959051558047
2017-8-15,22623155.658389755,9731.75,4,90492622.63355902,38927.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",20753857.978401218,9639.0,1021.0,22312041.44125301,9740.0,1080.0,23617002.93828815,9798.0,1143.0,23809720.275616653,9750.0,1158.0,0.6546197958047053,0.10553520206753575
2017-7-15,13672721.501187675,8802.75,4,54690886.0047507,35211.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",12617968.199638875,7506.0,1021.0,13206602.939803535,12466.0,1080.0,14374111.548163505,7638.0,1143.0,14492203.317144781,7601.0,1158.0,-0.12573778949226166,-0.13840017618127098
2017-6-15,15639154.176922591,10216.75,4,62556616.707690366,40867.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",14425622.614777924,9470.0,1021.0,15104217.21919534,12156.0,1080.0,16446075.419358993,9644.0,1143.0,16580701.454358108,9597.0,1158.0,-0.26555370790559363,-0.04265835832083953
2017-5-15,21293802.34506286,10672.0,4,85175209.38025144,42688.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",19630410.871635474,9448.0,1021.0,20562810.756237216,14027.0,1080.0,22399394.59341447,9630.0,1143.0,22582593.15896427,9583.0,1158.0,0.2003459053527239,0.4675972083748754
2017-4-15,17739721.733632803,7271.75,4,70958886.93453121,29087.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",16020887.718863193,5485.0,1021.0,16788241.82946541,12008.0,1080.0,19707504.054215282,6027.0,1143.0,18442253.331987314,5567.0,1158.0,-0.05604056700586857,-0.3317481103682771
2017-3-15,18792885.704171028,10881.75,4,75171542.81668411,43527.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",17179528.23991084,8091.0,1021.0,18009172.49343971,13216.0,1080.0,20194694.68072526,14003.0,1143.0,19788147.402608294,8217.0,1158.0,inf,0.2249394945685823
2017-2-15,0.0,8883.5,4,0.0,35534.0,4402,"HILLVIEW COURT(Block 1),KA SHUE RD|曉嵐閣1座,嘉澍路",0.0,7063.0,1021.0,0.0,10340.0,1080.0,0.0,10955.0,1143.0,0.0,7176.0,1158.0,-1.0,-0.184345231263629
