,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_1A,npsf_1A,nfa_1A,lumpSum_1B,npsf_1B,nfa_1B,lumpSum_1C,npsf_1C,nfa_1C,lumpSum_1D,npsf_1D,nfa_1D,lumpSum_1E,npsf_1E,nfa_1E,lumpSum_1F,npsf_1F,nfa_1F,lumpSum_1H,npsf_1H,nfa_1H,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,5016093.933333334,14352.733333333334,15,75241409.0,215291.0,5242,"SHEUNG SHUI CTR(Block 1),CHI CHEONG RD|上水中心1座,智昌路",5044195.0,14209.0,355.0,4355806.0,12887.0,338.0,4939194.0,14613.0,338.0,4753094.999999999,13389.0,355.0,5093895.0,14349.0,355.0,4815650.0,13759.0,350.0,5003725.0,14095.0,355.0,5191520.0,14624.0,355.0,4969614.0,14703.0,338.0,4995640.0,14780.0,338.0,5230215.0,14733.0,355.0,5200040.0,14648.0,355.0,5136250.0,14675.0,350.0,5321050.0,15203.0,350.0,5191520.0,14624.0,355.0,0.01842796270360325,0.018449224422988575
2019-11-15,4925330.133333334,14092.733333333334,15,73879952.0,211391.0,5242,"SHEUNG SHUI CTR(Block 1),CHI CHEONG RD|上水中心1座,智昌路",4972130.0,14006.0,355.0,4294628.0,12706.0,338.0,4817176.000000001,14252.0,338.0,4677125.0,13175.0,355.0,5022184.999999999,14147.0,355.0,4683700.0,13382.0,350.0,4931305.0,13891.0,355.0,5118035.0,14417.0,355.0,4845230.0,14335.0,338.0,4924998.0,14571.0,338.0,5098510.0,14362.0,355.0,5069045.0,14279.0,355.0,5063450.0,14467.0,350.0,5244400.0,14984.0,350.0,5118035.0,14417.0,355.0,-0.00022189188264221116,-0.00022228738448148988
2019-10-15,4926423.266666667,14095.866666666667,15,73896349.0,211438.0,5242,"SHEUNG SHUI CTR(Block 1),CHI CHEONG RD|上水中心1座,智昌路",4972485.0,14007.0,355.0,4295642.0,12709.0,338.0,4818528.0,14256.0,338.0,4678190.0,13178.0,355.0,5023605.0,14151.0,355.0,4685800.0,13388.0,350.0,4930949.999999999,13890.0,355.0,5119455.0,14421.0,355.0,4846582.0,14339.0,338.0,4926012.0,14574.0,338.0,5099930.0,14366.0,355.0,5070465.0,14283.0,355.0,5064850.0,14471.0,350.0,5244400.0,14984.0,350.0,5119455.0,14421.0,355.0,-0.012765954320067108,-0.012770050379833142
2019-9-15,4990127.0,14278.2,15,74851905.0,214173.0,5242,"SHEUNG SHUI CTR(Block 1),CHI CHEONG RD|上水中心1座,智昌路",5050585.0,14227.0,355.0,4364256.0,12912.0,338.0,4892888.0,14476.0,338.0,4752740.0,13388.0,355.0,5104190.0,14378.0,355.0,4760000.0,13600.0,350.0,5007275.0,14105.0,355.0,5211400.0,14680.0,355.0,4921618.0,14561.0,338.0,5014568.0,14836.0,338.0,5179805.0,14591.0,355.0,5149630.0,14506.0,355.0,5155500.0,14730.0,350.0,5076050.0,14503.0,350.0,5211400.0,14680.0,355.0,0.025993180670347282,0.02634719060740398
2019-8-15,4863703.866666666,13911.666666666666,15,72955558.0,208675.0,5242,"SHEUNG SHUI CTR(Block 1),CHI CHEONG RD|上水中心1座,智昌路",5091765.0,14343.0,355.0,4400760.0,13020.0,338.0,4563000.0,13500.0,338.0,4792145.0,13499.0,355.0,5147855.0,14501.0,355.0,4799200.0,13712.0,350.0,5047390.000000001,14218.0,355.0,4993785.0,14067.0,355.0,4579224.0,13548.0,338.0,4587674.0,13573.0,338.0,4967160.0,13992.0,355.0,4939115.0,13913.0,355.0,4937100.0,14106.0,350.0,5115600.0,14616.0,350.0,4993785.0,14067.0,355.0,-0.02366558703057753,-0.023623926185173394
2019-7-15,4981596.266666667,14248.266666666666,15,74723944.0,213724.0,5242,"SHEUNG SHUI CTR(Block 1),CHI CHEONG RD|上水中心1座,智昌路",5204300.0,14660.0,355.0,4470388.0,13226.0,338.0,4663048.0,13796.0,338.0,4897580.0,13796.0,355.0,5261810.0,14822.0,355.0,4985050.0,14243.0,350.0,5157795.0,14529.0,355.0,5104190.0,14378.0,355.0,4679947.999999999,13846.0,338.0,4686370.0,13865.0,338.0,5148565.0,14503.0,355.0,5118745.0,14419.0,355.0,5046300.0,14418.0,350.0,5201700.0,14862.0,350.0,5098155.0,14361.0,355.0,-0.013140740058099287,-0.013246042115857892
2019-6-15,5047929.8,14439.533333333333,15,75718947.0,216593.0,5242,"SHEUNG SHUI CTR(Block 1),CHI CHEONG RD|上水中心1座,智昌路",5230925.0,14735.0,355.0,4517708.0,13366.0,338.0,4712058.0,13941.0,338.0,4949410.0,13942.0,355.0,5318255.0,14981.0,355.0,5040000.0,14400.0,350.0,5212465.0,14683.0,355.0,5159214.999999999,14533.0,355.0,4957108.0,14666.0,338.0,4734028.0,14006.0,338.0,5205010.0,14662.0,355.0,5174480.0,14576.0,355.0,5100550.0,14573.0,350.0,5254200.0,15012.0,350.0,5153535.0,14517.0,355.0,0.035549349953301945,0.03549283115566837
2019-5-15,4874639.533333333,13944.6,15,73119593.0,209169.0,5242,"SHEUNG SHUI CTR(Block 1),CHI CHEONG RD|上水中心1座,智昌路",5041710.000000001,14202.0,355.0,4355806.0,12887.0,338.0,4542720.0,13440.0,338.0,4769780.0,13436.0,355.0,5127975.0,14445.0,355.0,4860800.0,13888.0,350.0,5025380.0,14156.0,355.0,4974614.999999999,14013.0,355.0,4897958.0,14491.0,338.0,4562324.0,13498.0,338.0,5019700.0,14140.0,355.0,4989880.0,14056.0,355.0,4918200.0,14052.0,350.0,5063100.0,14466.0,350.0,4969645.0,13999.0,355.0,-0.007795322776480984,-0.007765433621433893
2019-4-15,4912937.466666667,14053.733333333334,15,73694062.0,210806.0,5242,"SHEUNG SHUI CTR(Block 1),CHI CHEONG RD|上水中心1座,智昌路",5078630.0,14306.0,355.0,4388592.0,12984.0,338.0,4576858.0,13541.0,338.0,4804215.0,13533.0,355.0,5167735.0,14557.0,355.0,4899300.0,13998.0,350.0,5063010.0,14262.0,355.0,5070465.0,14283.0,355.0,4935476.0,14602.0,338.0,4558606.0,13487.0,338.0,5059105.0,14251.0,355.0,5028929.999999999,14166.0,355.0,4956000.0,14160.0,350.0,5098800.0,14568.0,350.0,5008340.0,14108.0,355.0,0.025362271453100327,0.025171424403054088
2019-3-15,4791416.266666667,13708.666666666666,15,71871244.0,205630.0,5242,"SHEUNG SHUI CTR(Block 1),CHI CHEONG RD|上水中心1座,智昌路",4919590.0,13858.0,355.0,4251026.0,12577.0,338.0,4630600.0,13700.0,338.0,4651920.0,13104.0,355.0,5006565.0,14103.0,355.0,4747750.0,13565.0,350.0,4904325.0,13815.0,355.0,4914975.0,13845.0,355.0,4782700.0,14150.0,338.0,4636008.0,13716.0,338.0,4903260.0,13812.0,355.0,4928465.0,13883.0,355.0,4802350.0,13721.0,350.0,4938150.0,14109.0,350.0,4853560.0,13672.0,355.0,0.023062754881381764,0.02308572565799283
