,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,8379714.5,15411.0,8,67037716.0,123288.0,4351,"OCEAN SHORES(Phase 2),Block 9,O KING RD|維景灣畔2期,9座,澳景路",10129575.0,15465.0,655.0,7867703.999999999,15704.0,501.0,7623396.0,15066.0,506.0,7633515.999999999,15086.0,506.0,7611826.0,14809.0,514.0,10119249.0,15309.0,661.0,7924572.0,15786.0,502.0,8127878.0,16063.0,506.0,-0.051710379370784154,-0.0513899682227027
2019-11-15,8836661.625,16245.875,8,70693293.0,129967.0,4351,"OCEAN SHORES(Phase 2),Block 9,O KING RD|維景灣畔2期,9座,澳景路",10666675.0,16285.0,655.0,8281029.0,16529.0,501.0,8024654.0,15859.0,506.0,8035786.0,15881.0,506.0,8012746.0,15589.0,514.0,10780249.0,16309.0,661.0,8337717.999999999,16609.0,502.0,8554436.0,16906.0,506.0,0.04245740519708874,0.0421120153951009
2019-10-15,8476760.375,15589.375,8,67814083.0,124715.0,4351,"OCEAN SHORES(Phase 2),Block 9,O KING RD|維景灣畔2期,9座,澳景路",10188525.0,15555.0,655.0,7906281.0,15781.0,501.0,7661852.0,15142.0,506.0,7829338.0,15473.0,506.0,7650890.0,14885.0,514.0,10299041.0,15581.0,661.0,8111316.0,16158.0,502.0,8166840.0,16140.0,506.0,-0.014211392829330594,-0.013923590246370798
2019-9-15,8598963.625,15809.5,8,68791709.0,126476.0,4351,"OCEAN SHORES(Phase 2),Block 9,O KING RD|維景灣畔2期,9座,澳景路",10371269.999999998,15834.0,655.0,7894257.0,15757.0,501.0,7795941.999999999,15407.0,506.0,7967476.000000001,15746.0,506.0,7785558.0,15147.0,514.0,10486104.0,15864.0,661.0,8248362.0,16431.0,502.0,8242740.0,16290.0,506.0,-0.03860346528232361,-0.03843931514764465
2019-8-15,8944242.375,16441.5,8,71553939.0,131532.0,4351,"OCEAN SHORES(Phase 2),Block 9,O KING RD|維景灣畔2期,9座,澳景路",10782610.0,16462.0,655.0,8199366.0,16366.0,501.0,8102578.0,16013.0,506.0,8281702.0,16367.0,506.0,8091902.0,15743.0,514.0,10960041.0,16581.0,661.0,8566630.0,17065.0,502.0,8569110.0,16935.0,506.0,0.003964973302736707,0.004007419450869021
2019-7-15,8908918.75,16375.875,8,71271350.0,131007.0,4351,"OCEAN SHORES(Phase 2),Block 9,O KING RD|維景灣畔2期,9座,澳景路",10745930.000000002,16406.0,655.0,8162793.0,16293.0,501.0,8068676.0,15946.0,506.0,8248812.0,16302.0,506.0,8093958.0,15747.0,514.0,10920381.0,16521.0,661.0,8527976.0,16988.0,502.0,8502824.0,16804.0,506.0,0.004767232041359426,0.004801313074757729
2019-6-15,8866649.375,16297.625,8,70933195.0,130381.0,4351,"OCEAN SHORES(Phase 2),Block 9,O KING RD|維景灣畔2期,9座,澳景路",10700735.0,16337.0,655.0,8120208.0,16208.0,501.0,8028196.0,15866.0,506.0,8209850.0,16225.0,506.0,8056436.000000001,15674.0,514.0,10872128.0,16448.0,661.0,8483298.0,16899.0,502.0,8462344.0,16724.0,506.0,-0.011537043478677678,-0.011508805980333436
2019-5-15,8970138.25,16487.375,8,71761106.0,131899.0,4351,"OCEAN SHORES(Phase 2),Block 9,O KING RD|維景灣畔2期,9座,澳景路",10830425.0,16535.0,655.0,8215398.000000001,16398.0,501.0,8119276.0,16046.0,506.0,8305484.0,16414.0,506.0,8150498.0,15857.0,514.0,11002345.0,16645.0,661.0,8577172.0,17086.0,502.0,8560508.0,16918.0,506.0,0.030683103855478233,0.030621972183153545
2019-4-15,8703100.125,15997.5,8,69624801.0,127980.0,4351,"OCEAN SHORES(Phase 2),Block 9,O KING RD|維景灣畔2期,9座,澳景路",10574320.000000002,16144.0,655.0,8017503.0,16003.0,501.0,7789364.0,15394.0,506.0,7975572.0,15762.0,506.0,7954150.0,15475.0,514.0,10594508.0,16028.0,661.0,8365830.0,16665.0,502.0,8353554.0,16509.0,506.0,0.03507685919215686,0.03510190876738917
2019-3-15,8408168.0,15455.0,8,67265344.0,123640.0,4351,"OCEAN SHORES(Phase 2),Block 9,O KING RD|維景灣畔2期,9座,澳景路",10219965.000000002,15603.0,655.0,7744959.0,15459.0,501.0,7524220.0,14870.0,506.0,7704862.0,15227.0,506.0,7688412.0,14958.0,514.0,10237568.0,15488.0,661.0,8076176.0,16088.0,502.0,8069182.0,15947.0,506.0,-0.0035489415844757177,-0.0035300375570206377
