,lumpSum_avg,npsf_avg,final_address,lumpSum_10,npsf_10,nfa_10,lumpSum_11,npsf_11,nfa_11,lumpSum_12,npsf_12,nfa_12,lumpSum_13,npsf_13,nfa_13,lumpSum_14,npsf_14,nfa_14,lumpSum_15,npsf_15,nfa_15,lumpSum_16,npsf_16,nfa_16,lumpSum_2,npsf_2,nfa_2,lumpSum_20,npsf_20,nfa_20,lumpSum_21,npsf_21,nfa_21,lumpSum_22,npsf_22,nfa_22,lumpSum_5,npsf_5,nfa_5,lumpSum_6,npsf_6,nfa_6,lumpSum_7,npsf_7,nfa_7,lumpSum_8,npsf_8,nfa_8,nfa_avg,lumpSum_change,npsf_change
2022-12-15,2458177.3333333335,5903.666666666667,"PO TAI HSE(Block 2,PO LAM EST),PO LAM RD N|寶林村,2座(寶泰樓),寶琳北路",2277237.0,5977.0,381.0,2314956.0,6076.0,381.0,2811620.0,5738.0,490.0,2811620.0,5738.0,490.0,2277237.0,5977.0,381.0,2218182.0,5822.0,381.0,2286381.0,6001.0,381.0,2271903.0,5963.0,381.0,2826320.0,5768.0,490.0,2850820.0,5818.0,490.0,2277237.0,5977.0,381.0,2784670.0,5683.0,490.0,2311527.0,6067.0,381.0,2277237.0,5977.0,381.0,2275713.0,5973.0,381.0,,0.0031826373502001903,0.003183270272107297
2022-11-15,2450378.6666666665,5884.933333333333,"PO TAI HSE(Block 2,PO LAM EST),PO LAM RD N|寶林村,2座(寶泰樓),寶琳北路",2269998.0,5958.0,381.0,2307717.0,6057.0,381.0,2802800.0,5720.0,490.0,2802800.0,5720.0,490.0,2269998.0,5958.0,381.0,2210943.0,5803.0,381.0,2279142.0,5982.0,381.0,2264664.0,5944.0,381.0,2817500.0,5750.0,490.0,2841999.9999999995,5800.0,490.0,2269998.0,5958.0,381.0,2775360.0,5664.0,490.0,2304288.0,6048.0,381.0,2269998.0,5958.0,381.0,2268474.0,5954.0,381.0,,-0.029931323681000932,-0.029934723840084443
2022-10-15,2525984.7333333334,6066.533333333334,"PO TAI HSE(Block 2,PO LAM EST),PO LAM RD N|寶林村,2座(寶泰樓),寶琳北路",2340102.0,6142.0,381.0,2379345.0,6245.0,381.0,2889039.9999999995,5896.0,490.0,2889039.9999999995,5896.0,490.0,2340102.0,6142.0,381.0,2279142.0,5982.0,381.0,2349627.0,6167.0,381.0,2334387.0,6127.0,381.0,2904229.9999999995,5927.0,490.0,2929710.0,5979.0,490.0,2340102.0,6142.0,381.0,2861110.0,5839.0,490.0,2375154.0,6234.0,381.0,2340102.0,6142.0,381.0,2338578.0,6138.0,381.0,,-0.04806174124453322,-0.048187856283667174
2022-9-15,2653517.4,6373.666666666667,"PO TAI HSE(Block 2,PO LAM EST),PO LAM RD N|寶林村,2座(寶泰樓),寶琳北路",2454783.0,6443.0,381.0,2495931.0,6551.0,381.0,3030650.0,6185.0,490.0,3030650.0,6185.0,490.0,2454783.0,6443.0,381.0,2390775.0,6275.0,381.0,2464689.0,6469.0,381.0,2449067.9999999995,6428.0,381.0,3046329.9999999995,6217.0,490.0,3073280.0,6272.0,490.0,2510789.9999999995,6590.0,381.0,3001250.0,6125.0,490.0,2491740.0,6540.0,381.0,2454783.0,6443.0,381.0,2453259.0,6439.0,381.0,,-0.01920557959389302,-0.019023384192326964
2022-8-15,2705477.6666666665,6497.266666666666,"PO TAI HSE(Block 2,PO LAM EST),PO LAM RD N|寶林村,2座(寶泰樓),寶琳北路",2499741.0,6561.0,381.0,2542032.0,6672.0,381.0,3086020.0,6298.0,490.0,3086020.0,6298.0,490.0,2499741.0,6561.0,381.0,2434590.0,6390.0,381.0,2510028.0,6588.0,381.0,2493645.0,6545.0,381.0,3102190.0,6331.0,490.0,3179610.0000000005,6489.0,490.0,2556510.0,6710.0,381.0,3056620.0,6238.0,490.0,2537460.0,6660.0,381.0,2499741.0,6561.0,381.0,2498217.0,6557.0,381.0,,-0.02544485840682953,-0.025487960963123002
2022-7-15,2776115.533333333,6667.2,"PO TAI HSE(Block 2,PO LAM EST),PO LAM RD N|寶林村,2座(寶泰樓),寶琳北路",2563749.0,6729.0,381.0,2607183.0000000005,6843.0,381.0,3165400.0,6460.0,490.0,3165400.0,6460.0,490.0,2563749.0,6729.0,381.0,2496693.0000000005,6553.0,381.0,2574036.0,6756.0,381.0,2557653.0,6713.0,381.0,3181570.0,6493.0,490.0,3260950.0,6655.0,490.0,2642235.0,6935.0,381.0,3134530.0,6397.0,490.0,2602611.0,6831.0,381.0,2563749.0,6729.0,381.0,2562225.0,6725.0,381.0,,-0.03343735828719052,-0.03344029071790311
2022-6-15,2872152.7333333334,6897.866666666667,"PO TAI HSE(Block 2,PO LAM EST),PO LAM RD N|寶林村,2座(寶泰樓),寶琳北路",2652522.0,6962.0,381.0,2697480.0,7080.0,381.0,3274670.0,6683.0,490.0,3274670.0,6683.0,490.0,2652522.0,6962.0,381.0,2583180.0,6780.0,381.0,2663190.0,6990.0,381.0,2646045.0,6945.0,381.0,3291330.0,6717.0,490.0,3373650.0,6885.0,490.0,2733294.0,7174.0,381.0,3243310.0000000005,6619.0,490.0,2692908.0,7068.0,381.0,2652522.0,6962.0,381.0,2650998.0000000005,6958.0,381.0,,0.005903508396921442,0.005998969382893682
2022-5-15,2855296.466666667,6856.733333333334,"PO TAI HSE(Block 2,PO LAM EST),PO LAM RD N|寶林村,2座(寶泰樓),寶琳北路",2639568.0,6928.0,381.0,2684526.0,7046.0,381.0,3258990.0,6651.0,490.0,3258990.0,6651.0,490.0,2639568.0,6928.0,381.0,2527173.0,6633.0,381.0,2650236.0,6956.0,381.0,2633472.0,6912.0,381.0,3275160.0,6684.0,490.0,3357480.0,6852.0,490.0,2719578.0,7138.0,381.0,3227140.0,6586.0,490.0,2679954.0,7034.0,381.0,2639568.0,6928.0,381.0,2638044.0,6924.0,381.0,,0.003461342025393499,0.0034537596222328215
2022-4-15,2845447.4,6833.133333333333,"PO TAI HSE(Block 2,PO LAM EST),PO LAM RD N|寶林村,2座(寶泰樓),寶琳北路",2630424.0,6904.0,381.0,2675763.0,7023.0,381.0,3247230.0,6627.0,490.0,3247230.0,6627.0,490.0,2630424.0,6904.0,381.0,2518410.0,6610.0,381.0,2641473.0,6933.0,381.0,2624328.0,6888.0,381.0,3263890.0,6661.0,490.0,3345720.0,6828.0,490.0,2710053.0,7113.0,381.0,3215870.0000000005,6563.0,490.0,2671191.0,7011.0,381.0,2630424.0,6904.0,381.0,2629281.0,6901.0,381.0,,0.02832720686422796,0.028033539949048114
2022-3-15,2767064.2,6646.8,"PO TAI HSE(Block 2,PO LAM EST),PO LAM RD N|寶林村,2座(寶泰樓),寶琳北路",2562987.0,6727.0,381.0,2607183.0,6843.0,381.0,3162950.0,6455.0,490.0,3162950.0,6455.0,490.0,2562987.0,6727.0,381.0,2453640.0,6440.0,381.0,2573655.0,6755.0,381.0,2556891.0,6711.0,381.0,3104150.0,6335.0,490.0,3259480.0,6652.0,490.0,2639949.0,6929.0,381.0,3132080.0,6392.0,490.0,2602611.0,6831.0,381.0,2562987.0,6727.0,381.0,2561463.0,6723.0,381.0,,-0.010068187439818077,-0.010077742585660743
2022-2-15,2795206.8666666667,6714.466666666666,"PO TAI HSE(Block 2,PO LAM EST),PO LAM RD N|寶林村,2座(寶泰樓),寶琳北路",2589276.0,6796.0,381.0,2634234.0,6914.0,381.0,3194800.0,6520.0,490.0,3194800.0,6520.0,490.0,2589276.0,6796.0,381.0,2478024.0,6504.0,381.0,2599944.0,6824.0,381.0,2583180.0,6780.0,381.0,3136000.0,6400.0,490.0,3291820.0,6718.0,490.0,2667000.0000000005,7000.0,381.0,3163440.0,6456.0,490.0,2629280.9999999995,6901.0,381.0,2589276.0,6796.0,381.0,2587751.9999999995,6792.0,381.0,,-0.03421420453472257,-0.034223193909057814
2022-1-15,2894230.6666666665,6952.4,"PO TAI HSE(Block 2,PO LAM EST),PO LAM RD N|寶林村,2座(寶泰樓),寶琳北路",2681097.0,7037.0,381.0,2727960.0,7160.0,381.0,3307500.0,6750.0,490.0,3307500.0,6750.0,490.0,2681097.0,7037.0,381.0,2565273.0,6733.0,381.0,2692146.0,7066.0,381.0,2675001.0,7021.0,381.0,3247720.0000000005,6628.0,490.0,3407460.0,6954.0,490.0,2761869.0,7249.0,381.0,3275160.0,6684.0,490.0,2723007.0,7147.0,381.0,2681097.0,7037.0,381.0,2679573.0,7033.0,381.0,,0.005858327631181881,0.005854608937200245
2021-12-15,2877374.066666667,6911.933333333333,"PO TAI HSE(Block 2,PO LAM EST),PO LAM RD N|寶林村,2座(寶泰樓),寶琳北路",2665476.0,6996.0,381.0,2712720.0,7120.0,381.0,3288390.0,6711.0,490.0,3288390.0,6711.0,490.0,2665476.0,6996.0,381.0,2549652.0,6692.0,381.0,2676525.0,7025.0,381.0,2659380.0,6980.0,381.0,3229100.0,6590.0,490.0,3386880.0,6912.0,490.0,2746248.0,7208.0,381.0,3255560.0,6644.0,490.0,2707386.0,7106.0,381.0,2665476.0,6996.0,381.0,2663952.0,6992.0,381.0,,-0.028091233558822926,-0.02809441673853541
2021-11-15,2960539.2666666666,7111.733333333334,"PO TAI HSE(Block 2,PO LAM EST),PO LAM RD N|寶林村,2座(寶泰樓),寶琳北路",2742438.0,7198.0,381.0,2791587.0,7327.0,381.0,3383449.9999999995,6905.0,490.0,3383449.9999999995,6905.0,490.0,2742438.0,7198.0,381.0,2622804.0,6884.0,381.0,2753868.0,7228.0,381.0,2736342.0,7182.0,381.0,3323180.0,6782.0,490.0,3483900.0,7110.0,490.0,2825877.0,7417.0,381.0,3349150.0,6835.0,490.0,2786253.0,7313.0,381.0,2742438.0,7198.0,381.0,2740914.0,7194.0,381.0,,0.030254501444286097,0.030257960460871258
2021-10-15,2873599.933333333,6902.866666666667,"PO TAI HSE(Block 2,PO LAM EST),PO LAM RD N|寶林村,2座(寶泰樓),寶琳北路",2661666.0,6986.0,381.0,2710053.0,7113.0,381.0,3284470.0,6703.0,490.0,3284470.0,6703.0,490.0,2661666.0,6986.0,381.0,2545461.0,6681.0,381.0,2672715.0,7015.0,381.0,2655951.0,6971.0,381.0,3226160.0,6584.0,490.0,3381000.0,6900.0,490.0,2743199.9999999995,7200.0,381.0,3250660.0,6634.0,490.0,2704719.0,7099.0,381.0,2661666.0,6986.0,381.0,2660142.0,6982.0,381.0,,-0.014719231890602424,-0.015198638019421451
