,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,6561406.0,9099.0,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",8030772.0,8418.0,954.0,8067978.0,8457.0,954.0,6237798.0,9093.0,686.0,5464102.0,9863.0,554.0,5471304.0,9876.0,554.0,6096482.0,8887.0,686.0,,-0.036991560511377086,-0.03680310515172891
2022-11-15,6813446.0,9446.666666666666,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",8368488.000000001,8772.0,954.0,8406648.0,8812.0,954.0,6499850.0,9475.0,686.0,5692350.0,10275.0,554.0,5699552.0,10288.0,554.0,6213788.0,9058.0,686.0,,-0.019274723428290175,-0.019258387694011336
2022-10-15,6947354.333333333,9632.166666666666,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",8534484.0,8946.0,954.0,8571690.0,8985.0,954.0,6627446.0,9661.0,686.0,5803704.0,10476.0,554.0,5810906.0,10489.0,554.0,6335896.0,9236.0,686.0,,-0.05356586668051977,-0.053551250348001234
2022-9-15,7340557.666666667,10177.166666666666,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9018162.0,9453.0,954.0,9057276.0,9494.0,954.0,7002688.0,10208.0,686.0,6131118.0,11067.0,554.0,6139428.0,11082.0,554.0,6694674.0,9759.0,686.0,,-0.022442647666976012,-0.022428919057377095
2022-8-15,7509081.333333333,10410.666666666666,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9226134.0,9671.0,954.0,9265248.0,9712.0,954.0,7163212.0,10442.0,686.0,6271280.0,11320.0,554.0,6279590.0,11335.0,554.0,6849024.0,9984.0,686.0,,-0.012851589209783243,-0.012832669574562305
2022-7-15,7606841.333333333,10546.0,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9347292.0,9798.0,954.0,9386406.0,9839.0,954.0,7256508.0,10578.0,686.0,6352164.0,11466.0,554.0,6360474.0,11481.0,554.0,6938204.0,10114.0,686.0,,-0.01334653798729657,-0.013516673682241187
2022-6-15,7709739.666666667,10690.5,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9481806.0,9939.0,954.0,9485622.0,9943.0,954.0,7360094.000000001,10729.0,686.0,6442466.0,11629.0,554.0,6450776.0,11644.0,554.0,7037674.0,10259.0,686.0,,-0.02206003477237284,-0.021912168344007332
2022-5-15,7883653.333333333,10930.0,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9717444.0,10186.0,954.0,9694548.0,10162.0,954.0,7521990.0,10965.0,686.0,6583182.0,11883.0,554.0,6592046.0,11899.0,554.0,7192710.0,10485.0,686.0,,0.01020970888731898,0.010119680236587936
2022-4-15,7803977.0,10820.5,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9603918.0,10067.0,954.0,9580068.0,10042.0,954.0,7508956.0,10946.0,686.0,6506176.0,11744.0,554.0,6515040.0,11760.0,554.0,7109704.0,10364.0,686.0,,-0.0030231330230908737,-0.002826117007387774
2022-3-15,7827641.0,10851.166666666666,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9673560.0,10140.0,954.0,9648756.0,10114.0,954.0,7361466.0,10731.0,686.0,6554374.0,11831.0,554.0,6563792.0,11848.0,554.0,7163898.0,10443.0,686.0,,0.022889308709162393,0.021879365278671514
2022-2-15,7652481.0,10618.833333333334,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9311040.0,9760.0,954.0,9468450.0,9925.0,954.0,7227010.000000001,10535.0,686.0,6433048.0,11612.0,554.0,6442466.0,11629.0,554.0,7032872.0,10252.0,686.0,,-0.04308621561385395,-0.04308972394941568
2022-1-15,7997043.333333333,11097.0,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9731754.0,10201.0,954.0,9892026.0,10369.0,954.0,7553546.0,11011.0,686.0,6721682.0,12133.0,554.0,6732762.0,12153.0,554.0,7350489.999999999,10715.0,686.0,,0.00715470158307685,0.006043939439726698
2021-12-15,7940233.333333333,11030.333333333334,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9706950.0,10175.0,954.0,9649710.0,10115.0,954.0,7534337.999999999,10983.0,686.0,6703400.0,12100.0,554.0,6715034.0,12121.0,554.0,7331968.0,10688.0,686.0,,-0.020449912803276904,-0.0204401817562867
2021-11-15,8106000.333333333,11260.5,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9910152.0,10388.0,954.0,9851004.0,10326.0,954.0,7692118.0,11213.0,686.0,6842454.000000001,12351.0,554.0,6854642.0,12373.0,554.0,7485632.0,10912.0,686.0,,0.02169159821498501,0.02074331470010571
2021-10-15,7933901.333333333,11031.666666666666,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9669744.0,10136.0,954.0,9611550.0,10075.0,954.0,7505526.0,10941.0,686.0,6675146.0,12049.0,554.0,6836914.0,12341.0,554.0,7304527.999999999,10648.0,686.0,,-0.020598990869467704,-0.020582708157618312
2021-9-15,8100769.0,11263.5,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9873900.0,10350.0,954.0,9813798.0,10287.0,954.0,7663992.0,11172.0,686.0,6814754.0,12301.0,554.0,6979292.0,12598.0,554.0,7458878.0,10873.0,686.0,,-0.00921146100610204,-0.009192470091484828
2021-8-15,8176082.666666667,11368.0,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9966438.0,10447.0,954.0,9905382.0,10383.0,954.0,7736022.0,11277.0,686.0,6876801.999999999,12413.0,554.0,7043002.0,12713.0,554.0,7528849.999999999,10975.0,686.0,,0.009625800519008632,0.00963630711843333
2021-7-15,8098131.666666667,11259.5,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9871992.0,10348.0,954.0,9810936.0,10284.0,954.0,7662619.999999999,11170.0,686.0,6810876.0,12294.0,554.0,6974859.999999999,12590.0,554.0,7457506.0,10871.0,686.0,,0.041703077514929854,0.04254629629629636
2021-6-15,7773934.666666667,10800.0,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9446508.0,9902.0,954.0,9538092.0,9998.0,954.0,7332654.0,10689.0,686.0,6515594.0,11761.0,554.0,6672930.0,12045.0,554.0,7137830.0,10405.0,686.0,,-0.015947132262635555,-0.015930386186578493
2021-5-15,7899915.666666667,10974.833333333334,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9599148.0,10062.0,954.0,9693594.0,10161.0,954.0,7452018.0,10863.0,686.0,6620300.0,11950.0,554.0,6779298.0,12237.0,554.0,7255135.999999999,10576.0,686.0,,0.0027662257452272243,0.0020391082705624175
2021-4-15,7878123.0,10952.5,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9548586.0,10009.0,954.0,9643986.0,10109.0,954.0,7413602.0,10807.0,686.0,6702292.0,12098.0,554.0,6742180.0,12170.0,554.0,7218091.999999999,10522.0,686.0,,0.015035510227115578,0.015436677174114566
2021-3-15,7761426.0,10786.0,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9466542.0,9923.0,954.0,9485622.0,9943.0,954.0,7292180.0,10630.0,686.0,6594262.0,11903.0,554.0,6629164.0,11966.0,554.0,7100785.999999999,10351.0,686.0,,0.014475889210133763,0.014436868093110844
2021-2-15,7650675.666666667,10632.5,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9329166.0,9779.0,954.0,9349200.0,9800.0,954.0,7187908.0,10478.0,686.0,6502852.0,11738.0,554.0,6534984.0,11796.0,554.0,6999944.0,10204.0,686.0,,-0.005774532003738786,-0.005812866226156288
2021-1-15,7695111.333333333,10694.666666666666,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9381636.0,9834.0,954.0,9401670.0,9855.0,954.0,7229068.0,10538.0,686.0,6542740.0,11810.0,554.0,6573764.0,11866.0,554.0,7041790.0,10265.0,686.0,,0.027541862989902022,0.027493554947078502
2020-12-15,7488854.333333333,10408.5,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9127872.0,9568.0,954.0,9147906.0,9589.0,954.0,7034930.0,10255.0,686.0,6369892.0,11498.0,554.0,6398700.0,11550.0,554.0,6853826.0,9991.0,686.0,,0.011526092856182446,0.011647119808203321
2020-11-15,7403520.666666667,10288.666666666666,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",8994312.0,9428.0,954.0,9086850.0,9525.0,954.0,6949866.0,10131.0,686.0,6295102.0,11363.0,554.0,6322802.0,11413.0,554.0,6772192.0,9872.0,686.0,,-0.026203708469691334,-0.024986574849164556
2020-10-15,7602740.666666667,10552.333333333334,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9187974.0,9631.0,954.0,9518058.0,9977.0,954.0,7099414.0,10349.0,686.0,6433048.0,11612.0,554.0,6459640.0,11660.0,554.0,6918310.0,10085.0,686.0,,-0.01784779855017693,-0.018874356908200607
2020-9-15,7740898.666666667,10755.333333333334,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9332028.0,9782.0,954.0,9625860.0,10090.0,954.0,7241416.0,10556.0,686.0,6536646.0,11799.0,554.0,6680686.0,12059.0,554.0,7028756.0,10246.0,686.0,,0.0346625168536403,0.0346309241326237
2020-8-15,7481568.666666667,10395.333333333334,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9020070.0,9455.0,954.0,9299592.0,9748.0,954.0,6998572.0,10202.0,686.0,6320032.0,11408.0,554.0,6456316.0,11654.0,554.0,6794830.0,9905.0,686.0,,-0.051005617426919336,-0.05103003377658766
2020-7-15,7883680.666666667,10954.333333333334,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9506610.0,9965.0,954.0,9794718.0,10267.0,954.0,7374500.0,10750.0,686.0,6660742.0,12023.0,554.0,6803674.0,12281.0,554.0,7161840.0,10440.0,686.0,,0.03531834001613188,0.03531598513011169
2020-6-15,7614740.666666667,10580.666666666666,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9181296.0,9624.0,954.0,9460818.0,9917.0,954.0,7122738.0,10383.0,686.0,6433602.0,11613.0,554.0,6570994.0,11861.0,554.0,6918996.0,10086.0,686.0,,0.0021787656509943965,0.0021785116660877346
2020-5-15,7598186.0,10557.666666666666,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9160308.0,9602.0,954.0,9440784.0,9896.0,954.0,7106960.0,10360.0,686.0,6419752.0,11588.0,554.0,6556036.0,11834.0,554.0,6905276.0,10066.0,686.0,,0.011358941376159892,0.011270753512132803
2020-4-15,7512848.0,10440.0,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9048690.0,9485.0,954.0,9333936.0,9784.0,954.0,7028756.0,10246.0,686.0,6350502.0,11463.0,554.0,6484016.0,11704.0,554.0,6831188.0,9958.0,686.0,,0.007993944132150377,0.007965242577842035
2020-3-15,7453267.0,10357.5,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",8977140.0,9410.0,954.0,9256662.0,9703.0,954.0,6973190.0,10165.0,686.0,6300642.0,11373.0,554.0,6433602.0,11613.0,554.0,6778366.0,9881.0,686.0,,-0.028577370612718145,-0.028604923798358772
2020-2-15,7672527.666666667,10662.5,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9240444.0,9686.0,954.0,9526644.0,9986.0,954.0,7178990.0,10465.0,686.0,6486786.0,11709.0,554.0,6623624.0,11956.0,554.0,6978678.0,10173.0,686.0,,0.003252325930846345,0.003230409760228481
2020-1-15,7647655.0,10628.166666666666,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9210870.0,9655.0,954.0,9493254.0,9951.0,954.0,7155666.0,10431.0,686.0,6466288.0,11672.0,554.0,6603126.0,11919.0,554.0,6956726.0,10141.0,686.0,,0.01800233586700628,0.017568775132444037
2019-12-15,7512414.0,10444.666666666666,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",8971416.0,9404.0,954.0,9246168.0,9692.0,954.0,7133714.0,10399.0,686.0,6298980.0,11370.0,554.0,6432494.0,11611.0,554.0,6991712.0,10192.0,686.0,,-0.03274930536334897,-0.032766896636878595
2019-11-15,7766770.333333333,10798.5,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9273834.0,9721.0,954.0,9557172.0,10018.0,954.0,7377244.000000001,10754.0,686.0,6511716.0,11754.0,554.0,6650216.0,12004.0,554.0,7230439.999999999,10540.0,686.0,,-0.003387709428006036,-0.0032460539675701616
2019-10-15,7793171.333333333,10833.666666666666,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9327258.0,9777.0,954.0,9581976.0,10044.0,954.0,7400567.999999999,10788.0,686.0,6528890.0,11785.0,554.0,6667944.0,12036.0,554.0,7252392.0,10572.0,686.0,,0.0010974191231993835,0.0023593270520747556
2019-9-15,7784628.333333333,10808.166666666666,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9356832.0,9808.0,954.0,9609642.0,10073.0,954.0,7425950.0,10825.0,686.0,6548834.0,11821.0,554.0,6490110.0,11715.0,554.0,7276402.0,10607.0,686.0,,-0.044587630183963056,-0.044919660083359125
2019-8-15,8147925.0,11316.5,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9808074.0,10281.0,954.0,9999828.0,10482.0,954.0,7786100.0,11350.0,686.0,6864060.000000001,12390.0,554.0,6799796.0,12274.0,554.0,7629692.0,11122.0,686.0,,0.04714209057305552,0.04714536874248165
2019-7-15,7781107.333333333,10807.0,"AVIGNON(Block 9),KWUN CHUI RD|星堤9座,管翠路",9367326.0,9819.0,954.0,9546678.0,10007.0,954.0,7438984.0,10844.0,686.0,6554928.0,11832.0,554.0,6490664.0,11716.0,554.0,7288064.0,10624.0,686.0,,-0.022040014069894753,-0.02231537046530563
