,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2020-12-15,10760441.0,9990.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11703088.0,10412.0,1124.0,9817794.0,9569.0,1026.0,,0.010114341008135463,0.010110712299681524
2020-11-15,10652696.0,9890.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11585068.0,10307.0,1124.0,9720324.0,9474.0,1026.0,,-0.025181204064139484,-0.025182337867139748
2020-10-15,10927873.0,10146.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11884052.0,10573.0,1124.0,9971694.0,9719.0,1026.0,,-0.013443612022802642,-0.01346686761631577
2020-9-15,11076785.0,10284.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",12040288.0,10712.0,1124.0,10113282.0,9857.0,1026.0,,0.03802747897712244,0.03799959628582972
2020-8-15,10670994.0,9908.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11592936.0,10314.0,1124.0,9749052.0,9502.0,1026.0,,-0.052245706437938355,-0.05227414032234923
2020-7-15,11259241.0,10454.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",12224624.0,10876.0,1124.0,10293858.0,10033.0,1026.0,,0.034718905542818757,0.03468923198733176
2020-6-15,10881449.0,10104.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11807620.0,10505.0,1124.0,9955278.0,9703.0,1026.0,,0.0038565838641395622,0.003824946599771506
2020-5-15,10839645.0,10065.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11754792.0,10458.0,1124.0,9924498.0,9673.0,1026.0,,0.01067019231800237,0.010643104573522688
2020-4-15,10725205.0,9959.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11624408.0,10342.0,1124.0,9826002.0,9577.0,1026.0,,0.004266247476624407,0.004386849536103243
2020-3-15,10679643.0,9916.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11603052.0,10323.0,1124.0,9756234.0,9509.0,1026.0,,-0.031190714577883027,-0.031214889355673847
2020-2-15,11023473.0,10235.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11970600.0,10650.0,1124.0,10076346.0,9821.0,1026.0,,0.007309465122709469,0.0072823894110121135
2020-1-15,10943482.0,10161.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11877308.0,10567.0,1124.0,10009656.0,9756.0,1026.0,,-0.006728047800570902,-0.00829551554189234
2019-12-15,11017609.0,10246.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11577200.0,10300.0,1124.0,10458018.0,10193.0,1026.0,,-0.02304205776741497,-0.023072889355007842
2019-11-15,11277465.0,10488.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11842464.0,10536.0,1124.0,10712466.0,10441.0,1026.0,,-0.012909805628186555,-0.012939958592132483
2019-10-15,11424959.0,10626.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11989708.0,10667.0,1124.0,10860210.0,10585.0,1026.0,,-0.0036752089869603877,-0.0037035300736018018
2019-9-15,11467103.0,10665.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",12026800.0,10700.0,1124.0,10907406.0,10631.0,1026.0,,-0.04526408364367318,-0.04529382804457771
2019-8-15,12010759.0,11171.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",12588800.0,11200.0,1124.0,11432718.0,11143.0,1026.0,,0.025690164304155827,0.025661035622475126
2019-7-15,11709929.0,10892.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",12266212.0,10913.0,1124.0,11153646.0,10871.0,1026.0,,0.03579869364736643,0.03423064140910603
2019-6-15,11305217.0,10531.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11467048.0,10202.0,1124.0,11143386.0,10861.0,1026.0,,-0.008695602612503905,-0.008706701807228878
2019-5-15,11404385.0,10624.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11564836.0,10289.0,1124.0,11243934.0,10959.0,1026.0,,0.040864319008485195,0.04085431566571951
2019-4-15,10956649.0,10207.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11108492.0,9883.0,1124.0,10804806.0,10531.0,1026.0,,0.009690277699063499,0.009694331783559162
2019-3-15,10851495.0,10109.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11002836.0,9789.0,1124.0,10700154.0,10429.0,1026.0,,0.04237501580157299,0.042379872138585295
2019-2-15,10410356.0,9698.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",10556608.0,9392.0,1124.0,10264104.0,10004.0,1026.0,,-0.0048298991260870006,-0.0048229861467419255
2019-1-15,10460881.0,9745.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",10609436.0,9439.0,1124.0,10312326.0,10051.0,1026.0,,0.01711309082511936,0.017117211147061884
2018-12-15,10284875.0,9581.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",10431844.0,9281.0,1124.0,10137906.0,9881.0,1026.0,,-0.04936714441670409,-0.04936250434092371
2018-11-15,10818977.0,10078.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",10974736.0,9764.0,1124.0,10663218.0,10393.0,1026.0,,-0.009402864323338034,-0.009921901861584592
2018-10-15,10921672.0,10179.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",10953380.0,9745.0,1124.0,10889964.0,10614.0,1026.0,,-0.07916221986408423,-0.0791532859921299
2018-9-15,11860582.0,11054.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11897540.0,10585.0,1124.0,11823624.0,11524.0,1026.0,,0.021945768533576437,0.021956180086900146
2018-8-15,11605882.0,10817.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11644640.0,10360.0,1124.0,11567124.0,11274.0,1026.0,,0.0030977418316839866,0.0031065980433069296
2018-7-15,11570041.0,10783.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11610920.0,10330.0,1124.0,11529162.0,11237.0,1026.0,,-0.004988028079017992,-0.004982698961937704
2018-6-15,11628042.0,10837.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11670492.0,10383.0,1124.0,11585592.0,11292.0,1026.0,,0.025111888689542727,0.02511350737797957
2018-5-15,11343193.0,10572.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11384996.0,10129.0,1124.0,11301390.0,11015.0,1026.0,,0.03126311444707497,0.03136432369152731
2018-4-15,10999320.0,10250.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",11063532.0,9843.0,1124.0,10935108.0,10658.0,1026.0,,0.026084780925285322,0.026076076076076093
2018-3-15,10719699.0,9990.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",10780284.0,9591.0,1124.0,10659114.0,10389.0,1026.0,,0.026990095877774012,0.02698535080956055
2018-2-15,10437977.0,9727.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",10495912.0,9338.0,1124.0,10380042.0,10117.0,1026.0,,0.025949462392647504,0.025945261825660593
2018-1-15,10173968.0,9481.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",10229524.0,9101.0,1124.0,10118412.0,9862.0,1026.0,,-0.008110433708830467,-0.008107542629982256
2017-12-15,10257158.0,9559.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",10313824.0,9176.0,1124.0,10200492.0,9942.0,1026.0,,0.01772280860577191,0.017726909768432275
2017-11-15,10078538.0,9392.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",10135108.0,9017.0,1124.0,10021968.0,9768.0,1026.0,,0.03945199732137272,0.039453297919433306
2017-10-15,9696011.0,9036.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",9750700.0,8675.0,1124.0,9641322.0,9397.0,1026.0,,-0.00044833387626852517,-0.0004424778761061843
2017-9-15,9700360.0,9040.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",9756320.0,8680.0,1124.0,9644400.0,9400.0,1026.0,,0.01601664613411624,0.01601573475695428
2017-8-15,9547442.0,8897.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",9602332.0,8543.0,1124.0,9492552.0,9252.0,1026.0,,-0.0035316784396239864,-0.0035278306641280954
2017-7-15,9581280.0,8929.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",9637176.0,8574.0,1124.0,9525384.0,9284.0,1026.0,,-0.006286627265698286,-0.006287908296700229
2017-6-15,9641895.0,8985.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",9697872.0,8628.0,1124.0,9585918.0,9343.0,1026.0,,0.022531355795685437,0.022532005689900325
2017-5-15,9429437.0,8787.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",9484312.0,8438.0,1124.0,9374562.0,9137.0,1026.0,,0.022040209440790326,0.02204000930448946
2017-4-15,9226092.0,8598.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",9279744.0,8256.0,1124.0,9172440.0,8940.0,1026.0,,-0.0051503926737702654,-0.005148973098061949
2017-3-15,9273856.0,8642.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",9328076.0,8299.0,1124.0,9219636.0,8986.0,1026.0,,0.07306861428057343,0.07306928234417676
2017-2-15,8642370.0,8054.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",8693016.0,7734.0,1124.0,8591724.0,8374.0,1026.0,,-0.018819980020751248,-0.018821952853749213
2017-1-15,8808139.0,8208.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",8859368.0,7882.0,1124.0,8756910.0,8535.0,1026.0,,0.025804372596827996,0.02580604848787793
2016-12-15,8586568.0,8002.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",8636816.0,7684.0,1124.0,8536320.0,8320.0,1026.0,,0.0069825031652295255,0.006984206883533739
2016-11-15,8527028.0,7946.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",8577244.0,7631.0,1124.0,8476812.0,8262.0,1026.0,,0.03201474225858347,0.03201298701298705
2016-10-15,8262506.0,7700.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",8310856.0,7394.0,1124.0,8214156.0,8006.0,1026.0,,0.021694405211682533,0.02169442048696335
2016-9-15,8087062.0,7536.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",8134388.000000001,7237.0,1124.0,8039736.0,7836.0,1026.0,,0.032331238050158584,0.03268018635242531
2016-8-15,7833786.0,7298.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",7937688.0,7062.0,1124.0,7729884.0,7534.0,1026.0,,0.004193526223062571,0.004196766425868637
2016-7-15,7801072.0,7267.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",7905092.0,7033.0,1124.0,7697052.0,7502.0,1026.0,,0.025685418703512042,0.025686260673205785
2016-6-15,7605716.0,7085.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",7707268.0,6857.0,1124.0,7504164.0,7314.0,1026.0,,-0.007225491057320843,-0.007563554870789302
2016-5-15,7661071.0,7139.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",7706144.0,6856.0,1124.0,7615997.999999999,7423.0,1026.0,,0.030708949244949713,0.031272569695218744
2016-4-15,7432817.0,6923.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",7565644.000000001,6731.0,1124.0,7299989.999999999,7115.0,1026.0,,0.01168550710198124,0.011690778898144183
2016-3-15,7346964.0,6843.0,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",7479096.0,6654.0,1124.0,7214831.999999999,7032.0,1026.0,,0.007340030685150989,0.007138126425785485
2016-2-15,7293430.0,6794.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",7392548.000000001,6577.0,1124.0,7194312.0,7012.0,1026.0,,-0.49204359275593645,-0.34946622624347745
2016-1-15,14358377.7977539,10444.5,"CROWN BY THE SEA,TSING YUNG ST|海譽,青榕街",15124620.73208305,10526.0,1124.0,13592134.863424752,10363.0,1026.0,1075.0,,
