,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2020-12-15,6194124.333333333,10326.5,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7684142.000000001,10838.0,709.0,6810512.0,9899.0,688.0,6022322.0,10277.0,586.0,5038670.0,10283.0,490.0,6261792.0,10299.0,608.0,5347308.0,10363.0,516.0,,0.008236779725330656,0.008266749117182837
2020-11-15,6143521.5,10241.833333333334,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7606861.0,10729.0,709.0,6742400.0,9800.0,688.0,5962550.0,10175.0,586.0,4987710.0,10179.0,490.0,6268480.0,10310.0,608.0,5293128.0,10258.0,516.0,,-0.025957902481765216,-0.02587067831269918
2020-10-15,6307244.333333333,10513.833333333334,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7803254.0,11006.0,709.0,6943984.0,10093.0,688.0,6117840.0,10440.0,586.0,5116580.0,10442.0,490.0,6431424.0,10578.0,608.0,5430384.0,10524.0,516.0,,-0.013927339406626826,-0.013927533060305697
2020-9-15,6396328.166666667,10662.333333333334,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7913148.999999999,11161.0,709.0,7041680.0,10235.0,688.0,6205154.0,10589.0,586.0,5188610.0,10589.0,490.0,6522624.0,10728.0,608.0,5506752.0,10672.0,516.0,,0.03543431321683954,0.03507750056628822
2020-8-15,6177435.0,10301.0,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7626004.000000001,10756.0,709.0,6785744.0,9863.0,688.0,5980716.0,10206.0,586.0,5000450.0,10205.0,490.0,6286720.0,10340.0,608.0,5384976.0,10436.0,516.0,,-0.049795690464709,-0.049723247232472345
2020-7-15,6501165.0,10840.0,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",8048568.0,11352.0,709.0,7163456.0,10412.0,688.0,6198122.0,10577.0,586.0,5277300.0,10770.0,490.0,6636320.0,10915.0,608.0,5683224.0,11014.0,516.0,,0.039690730909674565,0.03964194373401542
2020-6-15,6252979.666666667,10426.666666666666,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7780565.999999999,10974.0,709.0,6924720.0,10065.0,688.0,5993022.0,10227.0,586.0,5099430.0,10407.0,490.0,6228352.0,10244.0,608.0,5491788.0,10643.0,516.0,,0.0039585821183687475,0.004060538944259839
2020-5-15,6228324.333333333,10384.5,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7753624.0,10936.0,709.0,6899952.0,10029.0,688.0,5973098.0,10193.0,586.0,5066600.0,10340.0,490.0,6207072.0,10209.0,608.0,5469600.0,10600.0,516.0,,0.012872168381933946,0.012512797178933166
2020-4-15,6149171.166666667,10256.166666666666,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7673506.999999999,10823.0,709.0,6728640.0,9780.0,688.0,5915670.0,10095.0,586.0,5015150.0,10235.0,490.0,6148704.0,10113.0,608.0,5413356.0,10491.0,516.0,,0.007220973309168821,0.0072181484876261415
2020-3-15,6105086.5,10182.666666666666,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7613951.0,10739.0,709.0,6681856.0,9712.0,688.0,5875236.0,10026.0,586.0,4978400.0,10160.0,490.0,6107968.0,10046.0,608.0,5373108.0,10413.0,516.0,,-0.03170956879701192,-0.03172842245396057
2020-2-15,6305015.833333333,10516.333333333334,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7857847.000000001,11083.0,709.0,6901328.0,10031.0,688.0,6069788.0,10358.0,586.0,5142060.0,10494.0,490.0,6311040.0,10380.0,608.0,5548032.0,10752.0,516.0,,-0.014237676314666436,-0.018693623639191137
2020-1-15,6396081.166666667,10716.666666666666,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7799709.0,11001.0,709.0,6857296.0,9967.0,688.0,6031698.0,10293.0,586.0,5832960.0,11904.0,490.0,6272736.0,10317.0,608.0,5582088.0,10818.0,516.0,,0.02172909267183054,0.021040095275903115
2019-12-15,6260055.833333333,10495.833333333334,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7605442.999999999,10727.0,709.0,6692176.0,9727.0,688.0,5887542.0,10047.0,586.0,5806990.0,11851.0,490.0,6124384.0,10073.0,608.0,5443800.0,10550.0,516.0,,-0.023414113807433745,-0.02340115377457974
2019-11-15,6410143.666666667,10747.333333333334,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7783402.0,10978.0,709.0,6854544.0,9963.0,688.0,6031698.0,10293.0,586.0,5944190.0,12131.0,490.0,6275776.0,10322.0,608.0,5571252.0,10797.0,516.0,,-0.013203634695454602,-0.0131913200501943
2019-10-15,6495913.333333333,10891.0,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7882662.0,11118.0,709.0,6948800.0,10100.0,688.0,6115496.0,10436.0,586.0,6021610.0,12289.0,490.0,6363936.0,10467.0,608.0,5642976.0,10936.0,516.0,,-0.0139673629367002,-0.013749490619859084
2019-9-15,6587929.333333333,11042.833333333334,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7909604.0,11156.0,709.0,7082272.000000001,10294.0,688.0,6431350.0,10975.0,586.0,6044150.0,12335.0,490.0,6395552.0,10519.0,608.0,5664648.0,10978.0,516.0,,-0.044344020404760376,-0.0441588043509622
2019-8-15,6893620.166666667,11553.0,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",8281829.0,11681.0,709.0,7419392.0,10784.0,688.0,6742516.000000001,11506.0,586.0,6330800.0,12920.0,490.0,6706848.0,11031.0,608.0,5880336.0,11396.0,516.0,,0.025318792458727257,0.025323196166020745
2019-7-15,6723392.0,11267.666666666666,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",8072674.000000001,11386.0,709.0,7235696.000000001,10517.0,688.0,6580780.0,11230.0,586.0,6172530.0,12597.0,490.0,6546944.0,10768.0,608.0,5731728.0,11108.0,516.0,,0.001319476357673377,0.0013181865307996254
2019-6-15,6714532.333333333,11252.833333333334,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",8057076.0,11364.0,709.0,7225375.999999999,10502.0,688.0,6576092.0,11222.0,586.0,6162730.0,12577.0,490.0,6544512.0,10764.0,608.0,5721408.0,11088.0,516.0,,-0.008597014898928279,-0.008604613599988209
2019-5-15,6772757.833333333,11350.5,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",8121595.000000001,11455.0,709.0,7287295.999999999,10592.0,688.0,6637036.0,11326.0,586.0,6214180.0,12682.0,490.0,6606528.0,10866.0,608.0,5769912.0,11182.0,516.0,,0.03406621624472339,0.0330218730091314
2019-4-15,6549636.5,10987.666666666666,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7798291.0,10999.0,709.0,7001088.0,10176.0,688.0,6380954.0,10889.0,586.0,5968690.0,12181.0,490.0,6353600.0,10450.0,608.0,5795196.0,11231.0,516.0,,0.007375396897173037,0.007411255940465322
2019-3-15,6501684.0,10906.833333333334,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7721010.000000001,10890.0,709.0,6935040.0,10080.0,688.0,6324698.0,10793.0,586.0,5911360.0,12064.0,490.0,6378528.0,10491.0,608.0,5739468.0,11123.0,516.0,,0.04227199192047659,0.04228649698977471
2019-2-15,6237991.666666667,10464.333333333334,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7407632.0,10448.0,709.0,6654336.0,9672.0,688.0,6069788.0,10358.0,586.0,5670770.0,11573.0,490.0,6120736.0,10067.0,608.0,5504688.0,10668.0,516.0,,-0.005074504277071457,-0.0050708332012803226
2019-1-15,6269807.833333333,10517.666666666666,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7445209.0,10501.0,709.0,6687360.0,9720.0,688.0,6103190.0,10415.0,586.0,5698700.0,11630.0,490.0,6152352.0,10119.0,608.0,5532036.0,10721.0,516.0,,0.019775356825915136,0.020307194826192365
2018-12-15,6148224.5,10308.333333333334,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7321843.0,10327.0,709.0,6574528.0,9556.0,688.0,6004156.0,10246.0,586.0,5602660.0,11434.0,490.0,6067232.0,9979.0,608.0,5318928.0,10308.0,516.0,,-0.053335080763828646,-0.05393416544297591
2018-11-15,6494615.333333333,10896.0,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7702575.999999999,10864.0,709.0,6915088.0,10051.0,688.0,6319424.0,10784.0,586.0,5893720.0,12028.0,490.0,6384000.0,10500.0,608.0,5752884.0,11149.0,516.0,,0.003689013845598499,0.003715417447109015
2018-10-15,6470744.666666667,10855.666666666666,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7688396.000000001,10844.0,709.0,6900640.0,10030.0,688.0,6236212.0,10642.0,586.0,5881960.0,12004.0,490.0,6373664.0,10483.0,608.0,5743596.0,11131.0,516.0,,-0.07195185911087199,-0.07266721717588775
2018-9-15,6972423.5,11706.333333333334,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",8080473.0,11397.0,709.0,7494384.0,10893.0,688.0,6778261.999999999,11567.0,586.0,6388130.0,13037.0,490.0,6924512.0,11389.0,608.0,6168780.0,11955.0,516.0,,0.02167516122301305,0.02164363636363631
2018-8-15,6824501.333333333,11458.333333333334,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7903931.999999999,11148.0,709.0,7333392.0,10659.0,688.0,6638794.0,11329.0,586.0,6251910.0,12759.0,490.0,6779200.0,11150.0,608.0,6039780.0,11705.0,516.0,,-0.0032511721843767605,-0.0037098223342897363
2018-7-15,6846761.333333333,11501.0,"MARINA GARDEN(Block 4),WU CHUI RD|慧豐園4座,湖翠路",7713920.0,10880.0,709.0,7311375.999999999,10627.0,688.0,6625316.0,11306.0,586.0,6233780.0,12722.0,490.0,7171360.0,11795.0,608.0,6024816.0,11676.0,516.0,,-0.00522660469646663,-0.005247225025227009
