,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,9595250.145503,8224.5,"PARC VERSAILLES(Block 9),MUI SHU HANG RD|帝欣苑9座,梅樹坑路",9964926.547667008,8370.0,932.0,10011680.014171205,8320.0,942.0,9574938.0,9378.0,1021.0,8829456.020173782,6830.0,1012.0,,-0.12925425160014437,-0.03118650057425565
2022-11-15,11019577.37162187,8489.25,"PARC VERSAILLES(Block 9),MUI SHU HANG RD|帝欣苑9座,梅樹坑路",10920620.635435399,7946.0,932.0,10972506.94064557,7899.0,942.0,10492817.0,10277.0,1021.0,11692364.910406508,7835.0,1012.0,,-0.012086954414184281,-0.03209531682011235
2022-10-15,11154400.09711325,8770.75,"PARC VERSAILLES(Block 9),MUI SHU HANG RD|帝欣苑9座,梅樹坑路",11054627.331836637,8282.0,932.0,11107133.354417251,8233.0,942.0,10620442.0,10402.0,1021.0,11835397.702199107,8166.0,1012.0,,-0.005516186716424509,0.003374803374803337
2022-9-15,11216271.143000083,8741.25,"PARC VERSAILLES(Block 9),MUI SHU HANG RD|帝欣苑9座,梅樹坑路",11115916.79212139,8223.0,932.0,11168236.98145287,8174.0,942.0,10679660.0,10460.0,1021.0,11901270.798426071,8108.0,1012.0,,0.0020114684687038142,-0.016068212516884284
2022-8-15,11193755.257253729,8884.0,"PARC VERSAILLES(Block 9),MUI SHU HANG RD|帝欣苑9座,梅樹坑路",11092734.634182047,8421.0,932.0,11146516.582629431,8372.0,942.0,10658219.0,10439.0,1021.0,11877550.812203433,8304.0,1012.0,,-0.06623587158486377,-0.00014068259193611432
2022-7-15,11987776.052452048,8885.25,"PARC VERSAILLES(Block 9),MUI SHU HANG RD|帝欣苑9座,梅樹坑路",11879516.311571017,8174.0,932.0,11936470.615251878,8126.0,942.0,11415801.0,11181.0,1021.0,12719316.2829853,8060.0,1012.0,,0.06986402753010723,0.03657362848893175
2022-6-15,11204952.913621258,8571.75,"PARC VERSAILLES(Block 9),MUI SHU HANG RD|帝欣苑9座,梅樹坑路",11103622.651639633,7998.0,932.0,11156810.029814573,7951.0,942.0,10671492.0,10452.0,1021.0,11887886.973030826,7886.0,1012.0,,-0.07567907650413197,-0.0025600000000000067
2022-5-15,12122362.080956774,8593.75,"PARC VERSAILLES(Block 9),MUI SHU HANG RD|帝欣苑9座,梅樹坑路",12012197.085704993,7740.0,932.0,12070495.626806142,7695.0,942.0,11545468.0,11308.0,1021.0,12861287.61131596,7632.0,1012.0,,0.04294409046946579,0.02410176964785804
2022-4-15,11623213.738619559,8391.5,"PARC VERSAILLES(Block 9),MUI SHU HANG RD|帝欣苑9座,梅樹坑路",11516683.272241183,7624.0,932.0,11573074.041340545,7580.0,942.0,11071724.0,10844.0,1021.0,12331373.64089651,7518.0,1012.0,,0.017427890771863686,-0.034238692599838916
2022-3-15,11424115.501494361,8689.0,"PARC VERSAILLES(Block 9),MUI SHU HANG RD|帝欣苑9座,梅樹坑路",11318654.311368138,8085.0,932.0,11375010.100907648,8039.0,942.0,10882839.0,10659.0,1021.0,12119958.59370166,7973.0,1012.0,,0.023384557718015397,-0.24004023264966978
2022-2-15,11163072.0,11433.5,"PARC VERSAILLES(Block 9),MUI SHU HANG RD|帝欣苑9座,梅樹坑路",10806540.0,11595.0,932.0,10825464.0,11492.0,942.0,11516880.0,11280.0,1021.0,11503404.0,11367.0,1012.0,,0.03515073537721669,0.03515085670310758
2022-1-15,10784006.25,11045.25,"PARC VERSAILLES(Block 9),MUI SHU HANG RD|帝欣苑9座,梅樹坑路",10439332.0,11201.0,932.0,10458084.0,11102.0,942.0,11125837.0,10897.0,1021.0,11112772.0,10981.0,1012.0,,-0.05357625037685465,-0.05357525384516515
2021-12-15,11394479.75,11670.5,"PARC VERSAILLES(Block 9),MUI SHU HANG RD|帝欣苑9座,梅樹坑路",11030220.0,11835.0,932.0,11049660.0,11730.0,942.0,11756815.0,11515.0,1021.0,11741224.0,11602.0,1012.0,,-0.026221726104856735,-0.02622082229499989
2021-11-15,11701308.25,11984.75,"PARC VERSAILLES(Block 9),MUI SHU HANG RD|帝欣苑9座,梅樹坑路",11326596.0,12153.0,932.0,11347332.0,12046.0,942.0,12073325.0,11825.0,1021.0,12057980.0,11915.0,1012.0,,0.03249994975949311,0.03250053844497103
2021-10-15,11332986.75,11607.5,"PARC VERSAILLES(Block 9),MUI SHU HANG RD|帝欣苑9座,梅樹坑路",10969640.0,11770.0,932.0,10990314.0,11667.0,942.0,11693513.0,11453.0,1021.0,11678480.0,11540.0,1012.0,,0.010423881248798228,0.010424147461426392
2021-9-15,11216071.75,11487.75,"PARC VERSAILLES(Block 9),MUI SHU HANG RD|帝欣苑9座,梅樹坑路",10856868.0,11649.0,932.0,10876332.0,11546.0,942.0,11573035.0,11335.0,1021.0,11558052.0,11421.0,1012.0,,-0.04989101262452633,-0.0498924820114135
