,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2022-12-15,3003324.154782479,9333.2,"WING CHEUNG BLDG,FU SHIN ST|永祥大廈,富善街",3280050.0,8865.0,370.0,3472840.0,8792.0,395.0,3281160.0,8868.0,370.0,2504676.4520795033,8003.0,245.0,2477894.321832894,12138.0,245.0,,-0.0876820329933824,-0.056642678094930066
2022-11-15,3291970.8516062736,9893.6,"WING CHEUNG BLDG,FU SHIN ST|永祥大廈,富善街",3594550.0,9715.0,370.0,3805430.0,9634.0,395.0,3596030.0,9719.0,370.0,2747566.106554425,7605.0,245.0,2716278.1514769434,12795.0,245.0,,-0.00928387580594836,0.00018196890353627815
2022-10-15,3322819.4951245943,9891.8,"WING CHEUNG BLDG,FU SHIN ST|永祥大廈,富善街",3638580.0,9834.0,370.0,3851645.0,9751.0,395.0,3589370.0,9701.0,370.0,2784235.6076703276,7935.0,245.0,2750266.8679526434,12238.0,245.0,,-0.006505542950725918,-0.018553796086835717
2022-9-15,3344577.789586795,10078.8,"WING CHEUNG BLDG,FU SHIN ST|永祥大廈,富善街",3658930.0,9889.0,370.0,3886800.0,9840.0,395.0,3608980.0,9754.0,370.0,2801991.8428499647,7885.0,245.0,2766187.105084011,13026.0,245.0,,0.0017369405410747607,0.004965599760693884
2022-8-15,3338778.5298007145,10029.0,"WING CHEUNG BLDG,FU SHIN ST|永祥大廈,富善街",3651900.0,9870.0,370.0,3879295.0,9821.0,395.0,3601950.0,9735.0,370.0,2798966.542587801,8083.0,245.0,2761781.1064157714,12636.0,245.0,,-0.06644240916154498,-0.04254100395241822
2022-7-15,3576403.38696412,10474.6,"WING CHEUNG BLDG,FU SHIN ST|永祥大廈,富善街",3911270.0,10571.0,370.0,4154610.0,10518.0,395.0,3857250.0,10425.0,370.0,3000197.841622548,7853.0,245.0,2958689.093198053,13006.0,245.0,,0.06952286796365503,0.06453514370502855
2022-6-15,3343924.1872158404,9839.6,"WING CHEUNG BLDG,FU SHIN ST|永祥大廈,富善街",3656710.0,9883.0,370.0,3883245.0,9831.0,395.0,3605650.0,9745.0,370.0,2807196.0361228925,7692.0,245.0,2766819.8999563106,12047.0,245.0,,-0.07593582182063419,-0.06426764554843367
2022-5-15,3618714.225893049,10515.4,"WING CHEUNG BLDG,FU SHIN ST|永祥大廈,富善街",3956410.0,10693.0,370.0,4201615.0,10637.0,395.0,3901280.0,10544.0,370.0,3039808.491500737,7451.0,245.0,2994457.637964509,13252.0,245.0,,0.03879753249558293,0.1206863476500053
2022-4-15,3483560.6676880857,9383.0,"WING CHEUNG BLDG,FU SHIN ST|永祥大廈,富善街",3793610.0,10253.0,370.0,4028605.0,10199.0,395.0,3739960.0,10108.0,370.0,2917458.9055066695,7347.0,245.0,2938169.43293376,9008.0,245.0,,0.012810805989050822,0.004819019061897523
2022-3-15,3439497.9270449704,9338.0,"WING CHEUNG BLDG,FU SHIN ST|永祥大廈,富善街",3728490.0,10077.0,370.0,3959480.0,10024.0,395.0,3751430.0,10139.0,370.0,2870513.188602922,7800.0,245.0,2887576.446621931,8650.0,245.0,,-0.051850501302460605,-0.01272942569567792
