,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,5505242.125,10004.75,8,44041937.0,80038.0,4435,"SHERWOOD COURT(Block 6,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,6座(賞湖居),天湖路",5719637.0,8813.0,649.0,6096640.0,9526.0,640.0,5525997.0,9921.0,557.0,5638590.0,10105.0,558.0,4882280.0,10660.0,458.0,5064150.0,11130.0,455.0,5531010.0,9930.0,557.0,5583633.0,9953.0,561.0,-0.0005391722395579057,-0.0005494368272520589
2019-11-15,5508212.0,10010.25,8,44065696.0,80082.0,4435,"SHERWOOD COURT(Block 6,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,6座(賞湖居),天湖路",5720935.0,8815.0,649.0,6097920.0,9528.0,640.0,5532124.0,9932.0,557.0,5641938.0,10111.0,558.0,4883654.0,10663.0,458.0,5067790.0,11138.0,455.0,5536580.0,9940.0,557.0,5584755.0,9955.0,561.0,0.02227702840720669,0.021923332142310237
2019-10-15,5388179.375,9795.5,8,43105435.0,78364.0,4435,"SHERWOOD COURT(Block 6,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,6座(賞湖居),天湖路",5606711.0,8639.0,649.0,5875200.0,9180.0,640.0,5426851.0,9743.0,557.0,5533128.0,9916.0,558.0,4787474.0,10453.0,458.0,4969965.0,10923.0,455.0,5431307.0,9751.0,557.0,5474799.0,9759.0,561.0,0.022075032994515853,0.024432969475129074
2019-9-15,5271804.125,9561.875,8,42174433.0,76495.0,4435,"SHERWOOD COURT(Block 6,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,6座(賞湖居),天湖路",5546354.0,8546.0,649.0,5813120.0,9083.0,640.0,5373379.0,9647.0,557.0,5476770.0,9815.0,558.0,4252072.0,9284.0,458.0,4919005.0,10811.0,455.0,5377277.999999999,9654.0,557.0,5416455.0,9655.0,561.0,-0.057478009666260044,-0.057281589292976554
2019-8-15,5593295.625,10142.875,8,44746365.0,81143.0,4435,"SHERWOOD COURT(Block 6,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,6座(賞湖居),天湖路",5861768.0,9032.0,649.0,6145280.0,9602.0,640.0,5684185.0,10205.0,557.0,5791482.0,10379.0,558.0,4462294.0,9743.0,458.0,5202015.0,11433.0,455.0,5688084.0,10212.0,557.0,5911257.0,10537.0,561.0,0.036221152327990946,0.036838742652696155
2019-7-15,5397781.75,9782.5,8,43182254.0,78260.0,4435,"SHERWOOD COURT(Block 6,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,6座(賞湖居),天湖路",5629426.0,8674.0,649.0,6092160.0,9519.0,640.0,5464170.0,9810.0,557.0,5565492.0,9974.0,558.0,4286422.0,9359.0,458.0,4998630.0,10986.0,455.0,5467512.0,9816.0,557.0,5678442.0,10122.0,561.0,-0.04449388024522083,-0.04450277760820465
2019-6-15,5649133.625,10238.125,8,45193069.0,81905.0,4435,"SHERWOOD COURT(Block 6,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,6座(賞湖居),天湖路",5888377.0,9073.0,649.0,6375040.0,9961.0,640.0,5720947.0,10271.0,557.0,5825520.0,10440.0,558.0,4485194.0,9793.0,458.0,5231590.0,11498.0,455.0,5724289.0,10277.0,557.0,5942112.0,10592.0,561.0,-0.005368379139182422,-0.005295053497042734
2019-5-15,5679624.0,10292.625,8,45436992.0,82341.0,4435,"SHERWOOD COURT(Block 6,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,6座(賞湖居),天湖路",5873450.0,9050.0,649.0,6360960.0,9939.0,640.0,5711478.0,10254.0,557.0,5925960.0,10620.0,558.0,4474660.0,9770.0,458.0,5219760.0,11472.0,455.0,5942076.0,10668.0,557.0,5928648.0,10568.0,561.0,-0.0035177231960487054,-0.0032441985740052637
2019-4-15,5699673.875,10326.125,8,45597391.0,82609.0,4435,"SHERWOOD COURT(Block 6,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,6座(賞湖居),天湖路",5894218.0,9082.0,649.0,6484480.0,10132.0,640.0,5618459.0,10087.0,557.0,5951070.0,10665.0,558.0,4491606.0,9807.0,458.0,5239325.0,11515.0,455.0,5966584.0,10712.0,557.0,5951649.0,10609.0,561.0,0.04431435065066691,0.04440117830006196
2019-3-15,5457814.375,9887.125,8,43662515.0,79097.0,4435,"SHERWOOD COURT(Block 6,KINGSWOOD VILLAS),TIN WU RD|嘉湖山莊,6座(賞湖居),天湖路",5686538.0,8762.0,649.0,6115840.0,9556.0,640.0,5547720.0,9960.0,557.0,5800968.0,10396.0,558.0,4235584.0,9248.0,458.0,5034575.0,11065.0,455.0,5628485.0,10105.0,557.0,5612805.0,10005.0,561.0,0.03552679236848855,0.03593833903055543
