,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2022-12-15,7404207.666666667,13590.333333333334,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",8174504.0,12311.0,664.0,7325283.0,14739.0,497.0,6660276.0,13818.0,482.0,6525812.999999999,13511.0,483.0,6809652.0,13674.0,498.0,8929718.0,13489.0,662.0,,0.05175480974221891,0.05174771056365279
2022-11-15,7039861.0,12921.666666666666,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",7772784.0,11706.0,664.0,6964461.0,14013.0,497.0,6332998.0,13139.0,482.0,6205101.0,12847.0,483.0,6474996.0,13002.0,498.0,8488826.0,12823.0,662.0,,-0.07045981128245082,-0.07057314456285901
2022-10-15,7573487.5,13902.833333333334,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",8355111.999999999,12583.0,664.0,7485316.999999999,15061.0,497.0,6807286.0,14123.0,482.0,6710802.0,13894.0,483.0,6960048.0,13976.0,498.0,9122360.0,13780.0,662.0,,-0.018374514427689115,-0.018381011779380674
2022-9-15,7715251.5,14163.166666666666,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",8511816.0,12819.0,664.0,7624974.0,15342.0,497.0,6935498.0,14389.0,482.0,6836865.0,14155.0,483.0,7090524.0,14238.0,498.0,9291832.0,14036.0,662.0,,-0.04292254264262363,-0.04293227917243869
2022-8-15,8061261.333333333,14798.5,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",8893616.0,13394.0,664.0,7966413.0,16029.0,497.0,7247834.0,15037.0,482.0,7144053.0,14791.0,483.0,7408746.0,14877.0,498.0,9706906.0,14663.0,662.0,,0.004628648502142063,0.005253206833697455
2022-7-15,8024120.5,14721.166666666666,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",8821240.0,13285.0,664.0,7900809.0,15897.0,497.0,7189512.0,14916.0,482.0,7086576.0,14672.0,483.0,7348986.0,14757.0,498.0,9797600.0,14800.0,662.0,,-0.04729992619376522,-0.04770786613765743
2022-6-15,8422504.333333334,15458.666666666666,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",9228936.0,13899.0,664.0,8265110.0,16630.0,497.0,7687900.0,15950.0,482.0,7414050.0,15350.0,483.0,7688622.0,15439.0,498.0,10250408.0,15484.0,662.0,,0.009474251058783967,0.008755043666460072
2022-5-15,8343456.333333333,15324.5,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",9106096.0,13714.0,664.0,8150800.0,16400.0,497.0,7825752.0,16236.0,482.0,7312619.999999999,15140.0,483.0,7582548.0,15226.0,498.0,10082922.0,15231.0,662.0,,6.0330357048998806e-05,-0.0005326318535587848
2022-4-15,8342953.0,15332.666666666666,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",9145936.0,13774.0,664.0,8176147.0,16451.0,497.0,7849370.0,16285.0,482.0,7338219.0,15193.0,483.0,7609440.0,15280.0,498.0,9938606.0,15013.0,662.0,,0.015456290099267633,0.015498057223595874
2022-3-15,8215964.666666667,15098.666666666666,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",9015128.0,13577.0,664.0,8048418.0,16194.0,497.0,7725978.0,16029.0,482.0,7225680.0,14960.0,483.0,7494900.0,15050.0,498.0,9785684.0,14782.0,662.0,,-0.03467980961554373,-0.033963551830406224
2022-2-15,8511129.0,15629.5,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",9398256.0,14154.0,664.0,8379420.0,16860.0,497.0,7765984.0,16112.0,482.0,7525140.0,15580.0,483.0,7807146.0,15677.0,498.0,10190828.0,15394.0,662.0,,0.03495610258455217,0.035454806439502606
2022-1-15,8223661.833333333,15094.333333333334,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",9120704.0,13736.0,664.0,8120483.0,16339.0,497.0,7526912.0,15616.0,482.0,7124250.0,14750.0,483.0,7570596.0,15202.0,498.0,9879026.0,14923.0,662.0,,-0.0025813191226592425,-0.0022034682590396093
2021-12-15,8244944.666666667,15127.666666666666,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",9176480.0,13820.0,664.0,8158752.0,16416.0,497.0,7435332.0,15426.0,482.0,7159992.0,14824.0,483.0,7610436.0,15282.0,498.0,9928676.0,14998.0,662.0,,-0.04333049618102203,-0.04329953411893672
2021-11-15,8618383.5,15812.333333333334,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",9600112.0,14458.0,664.0,8524047.0,17151.0,497.0,7771768.0,16124.0,482.0,7482636.0,15492.0,483.0,7955550.0,15975.0,498.0,10376188.0,15674.0,662.0,,0.03291017221434678,0.032945736434108586
2021-10-15,8343788.0,15308.0,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",9302640.0,14010.0,664.0,8247715.0,16595.0,497.0,7524020.0,15610.0,482.0,7242585.0,14995.0,483.0,7702566.0,15467.0,498.0,10043202.0,15171.0,662.0,,-0.016036725027420706,-0.016005656617599784
2021-9-15,8479775.833333334,15557.0,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",9461999.999999998,14250.0,664.0,8377929.0,16857.0,497.0,7646448.0,15864.0,482.0,7358988.0,15236.0,483.0,7828560.0,15720.0,498.0,10204730.0,15415.0,662.0,,0.0019203981951172455,0.001953628166595056
2021-8-15,8463522.5,15526.666666666666,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",9452040.0,14235.0,664.0,8357055.000000001,16815.0,497.0,7631506.0,15833.0,482.0,7343532.0,15204.0,483.0,7814118.0,15691.0,498.0,10182884.0,15382.0,662.0,,-0.008579113208480704,-0.008313728829797529
2021-7-15,8536760.333333334,15656.833333333334,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",9558944.0,14396.0,664.0,8440054.0,16982.0,497.0,7711518.0,15999.0,482.0,7327110.0,15170.0,483.0,7894794.0,15853.0,498.0,10288142.0,15541.0,662.0,,0.010030068277046889,0.01006397505510459
2021-6-15,8451986.333333334,15500.833333333334,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",9469304.0,14261.0,664.0,8352085.0,16805.0,497.0,7634880.0,15840.0,482.0,7254177.0,15019.0,483.0,7814616.0,15692.0,498.0,10186856.0,15388.0,662.0,,0.014434267545748503,0.015061391541609792
2021-5-15,8331724.0,15270.833333333334,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",9396264.0,14151.0,664.0,7978838.0,16054.0,497.0,7570774.0,15707.0,482.0,7193802.0,14894.0,483.0,7747884.0,15558.0,498.0,10102782.0,15261.0,662.0,,-0.01064739135794679,-0.008741466792162922
2021-4-15,8421389.833333334,15405.5,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",9938752.0,14968.0,664.0,7975359.0,16047.0,497.0,7572220.0,15710.0,482.0,7192836.0,14892.0,483.0,7746390.0,15555.0,498.0,10102782.0,15261.0,662.0,,0.0009153337841463216,0.0011155637387632034
2021-3-15,8413688.5,15388.333333333334,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",9950704.0,14986.0,664.0,7981323.0,16059.0,497.0,7581378.0,15729.0,482.0,7199598.0,14906.0,483.0,7655754.0,15373.0,498.0,10113374.0,15277.0,662.0,,0.029072056118426115,0.02907903389396016
2021-2-15,8175995.5,14953.5,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",9670496.0,14564.0,664.0,7753697.0,15601.0,497.0,7368334.0,15287.0,482.0,6995771.999999999,14484.0,483.0,7439622.0,14939.0,498.0,9828052.0,14846.0,662.0,,0.008488631266207358,0.008497723823975623
2021-1-15,8107176.666666667,14827.5,"CITY POINT(Block 7),WING SHUN ST|環宇海灣7座,永順街",9590152.0,14443.0,664.0,7686105.0,15465.0,497.0,7307602.0,15161.0,482.0,6936363.0,14361.0,483.0,7376874.0,14813.0,498.0,9745964.0,14722.0,662.0,,0.012365841087500495,0.011770726714432023
