,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,nfa_avg,lumpSum_change,npsf_change
2022-12-15,9376140.4,16966.0,"PARC CITY(Block 8),TAI HO RD|全．城匯8座,大河道",8838264.0,16428.0,538.0,8256472.0,19336.0,427.0,7706608.0,16432.0,469.0,8953203.0,16989.0,527.0,13126154.999999998,15645.0,839.0,,0.05171344279858192,0.05168544897782068
2022-11-15,8915109.4,16132.2,"PARC CITY(Block 8),TAI HO RD|全．城匯8座,大河道",8406788.0,15626.0,538.0,7850395.0,18385.0,427.0,7328125.0,15625.0,469.0,8512631.0,16153.0,527.0,12477608.0,14872.0,839.0,,-0.06969118195980628,-0.06970762931780172
2022-10-15,9582957.0,17341.0,"PARC CITY(Block 8),TAI HO RD|全．城匯8座,大河道",9039476.0,16802.0,538.0,8437947.0,19761.0,427.0,7877323.999999999,16796.0,469.0,9150301.0,17363.0,527.0,13409737.0,15983.0,839.0,,-0.0204073484069226,-0.019739742908503
2022-9-15,9782593.8,17690.2,"PARC CITY(Block 8),TAI HO RD|全．城匯8座,大河道",9211636.0,17122.0,538.0,8595937.0,20131.0,427.0,8025059.0,17111.0,469.0,9321576.0,17688.0,527.0,13758761.0,16399.0,839.0,,0.01748727932074834,0.029098312972658524
2022-8-15,9614463.0,17190.0,"PARC CITY(Block 8),TAI HO RD|全．城匯8座,大河道",9292874.0,17273.0,538.0,7118944.000000001,16672.0,427.0,8080401.0,17229.0,469.0,9453853.000000002,17939.0,527.0,14126243.0,16837.0,839.0,,0.00818488419214769,0.008140189546776755
2022-7-15,9536408.6,17051.2,"PARC CITY(Block 8),TAI HO RD|全．城匯8座,大河道",9218630.0,17135.0,538.0,7061725.999999999,16538.0,427.0,8016617.0,17093.0,469.0,9377965.0,17795.0,527.0,14007105.0,16695.0,839.0,,-0.044136930418575804,-0.04418310032848638
2022-6-15,9976751.8,17839.4,"PARC CITY(Block 8),TAI HO RD|全．城匯8座,大河道",9645264.0,17928.0,538.0,7388808.0,17304.0,427.0,8388534.0,17886.0,469.0,9812213.0,18619.0,527.0,14648940.0,17460.0,839.0,,0.013969033710933942,0.01392488519074253
2022-5-15,9839306.2,17594.4,"PARC CITY(Block 8),TAI HO RD|全．城匯8座,大河道",9513454.0,17683.0,538.0,7287609.0,17067.0,427.0,8274567.0,17643.0,469.0,9678355.0,18365.0,527.0,14442546.0,17214.0,839.0,,-0.0035383163090434433,-0.003579195360637777
2022-4-15,9874244.4,17657.6,"PARC CITY(Block 8),TAI HO RD|全．城匯8座,大河道",9548424.0,17748.0,538.0,7314083.000000001,17129.0,427.0,8305521.0,17709.0,469.0,9713664.0,18432.0,527.0,14489530.0,17270.0,839.0,,0.015318070281221896,0.015271389144434044
2022-3-15,9725272.0,17392.0,"PARC CITY(Block 8),TAI HO RD|全．城匯8座,大河道",9405315.999999998,17482.0,538.0,7204771.0,16873.0,427.0,8181705.0,17445.0,469.0,9568212.0,18156.0,527.0,14266356.0,17004.0,839.0,,-0.044182271711458276,-0.04438510313300137
