,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,nfa_avg,lumpSum_change,npsf_change
2020-12-15,11706325.82867012,7007.0,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",12157894.494852439,6381.0,1396.0,11254757.162487801,7633.0,1384.0,,-0.01964754147865333,0.1399983730578378
2020-11-15,11940935.86129893,6146.5,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",11995393.493768126,6148.0,1396.0,11886478.228829732,6145.0,1384.0,,-0.010757420954364605,0.008118746924717035
2020-10-15,12070786.391765365,6097.0,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",12126850.008521013,6099.0,1396.0,12014722.775009718,6095.0,1384.0,,-0.027265703759966398,-0.002698944957880145
2020-9-15,12409130.055785302,6113.5,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",12467769.021082135,6116.0,1396.0,12350491.090488471,6111.0,1384.0,,0.04234988778948989,0.042369991474850766
2020-8-15,11904956.48452683,5865.0,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",11962434.150798885,5868.0,1396.0,11847478.818254774,5862.0,1384.0,,-0.01074373444849408,-0.0008517887563883608
2020-7-15,12034249.262894353,5870.0,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",12092345.917353146,5873.0,1396.0,11976152.60843556,5867.0,1384.0,,0.005547855951805403,0.0052230499186574075
2020-6-15,11967853.336530944,5839.5,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",12026686.111874007,5843.0,1396.0,11909020.561187882,5836.0,1384.0,,-0.06497516667903658,0.014330380406461618
2020-5-15,12799503.189689906,5757.0,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",13366012.753364565,5987.0,1396.0,12232993.626015248,5527.0,1384.0,,0.0262321808279542,-0.0038068870046721326
2020-4-15,12472326.85625137,5779.0,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",13020301.837036852,6008.0,1396.0,11924351.875465887,5550.0,1384.0,,0.014715804979124725,-0.1043781480046494
2020-3-15,12291448.30015529,6452.5,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",13097897.29440663,5905.0,1396.0,11484999.305903949,7000.0,1384.0,,0.021104191641021064,-0.003859513701273687
2020-2-15,12037408.523807593,6477.5,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",12915962.305608746,6190.0,1396.0,11158854.742006438,6765.0,1384.0,,-0.04527310787891625,0.015441291738516938
2020-1-15,12608221.914713744,6379.0,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",13530977.326310052,5925.0,1396.0,11685466.503117435,6833.0,1384.0,,-0.00037479687188068933,-0.002033792240300425
2019-12-15,12612949.208622325,6392.0,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",13538718.022760428,5821.0,1396.0,11687180.394484222,6963.0,1384.0,,0.0033762442713296537,0.0032961858420970103
2019-11-15,12570508.10265304,6371.0,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",13495506.41243166,6066.0,1396.0,11645509.79287442,6676.0,1384.0,,0.010482718466697127,0.002596585097175197
2019-10-15,12440102.015527274,6354.5,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",13357493.342045162,6240.0,1396.0,11522710.689009389,6469.0,1384.0,,-0.017492266592466166,-0.009585411471321748
2019-9-15,12661581.77949654,6416.0,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",13505161.040590882,6390.0,1396.0,11818002.518402198,6442.0,1384.0,,-0.027473232716479834,0.053270951325617766
2019-8-15,13019263.022305395,6091.5,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",13889293.131056074,6006.0,1396.0,12149232.913554715,6177.0,1384.0,,0.010127070549173833,-0.009834200260077974
2019-7-15,12888737.864660174,6152.0,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",13752214.563417278,6156.0,1396.0,12025261.165903067,6148.0,1384.0,,0.025650589547664193,0.006297538235053635
2019-6-15,12566402.23874332,6113.5,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",13409867.657930026,6103.0,1396.0,11722936.819556616,6124.0,1384.0,,-0.026924562150799414,0.03759334691106586
2019-5-15,12914108.968282025,5892.0,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",13783503.34130904,5938.0,1396.0,12044714.595255012,5846.0,1384.0,,0.015934682991149085,-0.010662412895642737
2019-4-15,12711554.378929038,5955.5,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",13569354.358809816,5976.0,1396.0,11853754.39904826,5935.0,1384.0,,0.08437698656604731,-0.004845851783774724
2019-3-15,11722449.42156452,5984.5,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",11734853.461867837,5965.0,1396.0,11710045.381261203,6004.0,1384.0,,0.031572078465355036,-0.02029958254890729
2019-2-15,11363674.595578164,6108.5,"TRIUMPHANT HEIGHTS(Block 25,Phase 3,HONG KONG GARDEN),100 CASTLE PEAK RD TSING LUNG TAU|豪景花園,3期,25座(凱旋閣),100 青山公路青龍頭段",11566189.804874545,6191.0,1396.0,11161159.38628178,6026.0,1384.0,,-0.015697464785101034,0.0003275198558911896
