,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,nfa_avg,lumpSum_change,npsf_change
2022-12-15,10772517.422991259,3438.5,"CASA DE ORO(Block 6),HUNG SHUI KIU MAIN ST|金閣豪園6座,洪水橋大街",12374966.32315962,4090.0,942.0,10598740.876450343,3008.0,1097.0,10950045.536106296,3326.0,1025.0,9166316.956248773,3330.0,857.0,,-0.053904937273475007,-0.1119576446280992
2022-11-15,11386294.937367331,3872.0,"CASA DE ORO(Block 6),HUNG SHUI KIU MAIN ST|金閣豪園6座,洪水橋大街",12533846.107504431,3953.0,942.0,11215541.968413401,3146.0,1097.0,12523829.063818635,3630.0,1025.0,9271962.609732857,4759.0,857.0,,-0.04076250094272715,0.018411362440820644
2022-10-15,11870152.020284493,3802.0,"CASA DE ORO(Block 6),HUNG SHUI KIU MAIN ST|金閣豪園6座,洪水橋大街",13069032.251087645,3874.0,942.0,11690195.028175551,3144.0,1097.0,13053246.16392734,3556.0,1025.0,9668134.63794743,4634.0,857.0,,-0.04398908340084284,-0.01008917529128428
2022-9-15,12416335.226077227,3840.75,"CASA DE ORO(Block 6),HUNG SHUI KIU MAIN ST|金閣豪園6座,洪水橋大街",13671940.39887597,4024.0,942.0,12227284.990989376,3120.0,1097.0,13652885.708671324,3693.0,1025.0,10113229.805772237,4526.0,857.0,,0.013331646995190738,0.014126344973265592
2022-8-15,12252982.784950124,3787.25,"CASA DE ORO(Block 6),HUNG SHUI KIU MAIN ST|金閣豪園6座,洪水橋大街",13492819.2026401,3907.0,942.0,12065620.963109495,3181.0,1097.0,13471669.273045596,3585.0,1025.0,9981821.701005302,4476.0,857.0,,-0.05032387795322579,0.012498329100387728
2022-7-15,12902275.313126838,3740.5,"CASA DE ORO(Block 6),HUNG SHUI KIU MAIN ST|金閣豪園6座,洪水橋大街",14212585.097499363,3824.0,942.0,12709343.093417564,3122.0,1097.0,14174775.175643284,3505.0,1025.0,10512397.885947147,4511.0,857.0,,-0.026574181844274625,0.028881859441617364
2022-6-15,13254502.88299501,3635.5,"CASA DE ORO(Block 6),HUNG SHUI KIU MAIN ST|金閣豪園6座,洪水橋大街",14534999.327457603,3729.0,942.0,13255647.274726141,3015.0,1097.0,14475443.665625343,3413.0,1025.0,10751921.26417095,4385.0,857.0,,0.020553254727531778,-0.015836491608013037
2022-5-15,12987566.128074039,3694.0,"CASA DE ORO(Block 6),HUNG SHUI KIU MAIN ST|金閣豪園6座,洪水橋大街",14247764.022525622,3783.0,942.0,12987785.625346826,3139.0,1097.0,14175353.463551609,3459.0,1025.0,10539361.400872096,4395.0,857.0,,-0.05024333634439826,-0.017683818641138105
2022-4-15,13674624.906641936,3760.5,"CASA DE ORO(Block 6),HUNG SHUI KIU MAIN ST|金閣豪園6座,洪水橋大街",13863061.578604396,3672.0,942.0,15590173.0500948,3546.0,1097.0,14472450.925451478,3523.0,1025.0,10772814.072417064,4301.0,857.0,,0.23539841857557886,-0.12101910828025475
2022-3-15,11068999.847360056,4278.25,"CASA DE ORO(Block 6),HUNG SHUI KIU MAIN ST|金閣豪園6座,洪水橋大街",10538150.76105184,4222.0,942.0,11853568.796827968,4078.0,1097.0,11420500.605205813,4205.0,1025.0,10463779.226354606,4608.0,857.0,,-0.026135606043870774,-0.04252224025065743
