,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_FG,npsf_FG,nfa_FG,lumpSum_G,npsf_G,nfa_G,lumpSum_change,npsf_change
2019-12-15,14153845.875,17290.25,8,113230767.0,138322.0,6412,"GRAND YOHO(Block 5),LONG YAT RD|GRAND YOHO5座,朗日路",8486170.0,15862.0,535.0,10996112.0,15188.0,724.0,21190194.0,18819.0,1126.0,14998890.0,19010.0,789.0,17206578.0,19161.0,898.0,10078332.0,15972.0,631.0,21845070.0,18671.0,1170.0,8429421.0,15639.0,539.0,0.008471656727800259,0.008471857684456019
2019-11-15,14034946.625,17145.0,8,112279573.0,137160.0,6412,"GRAND YOHO(Block 5),LONG YAT RD|GRAND YOHO5座,朗日路",8415015.0,15729.0,535.0,10904888.0,15062.0,724.0,21012286.0,18661.0,1126.0,14871861.0,18849.0,789.0,17062000.0,19000.0,898.0,9994409.0,15839.0,631.0,21661380.0,18514.0,1170.0,8357734.000000001,15506.0,539.0,0.011343729460380203,0.011347800119450469
2019-10-15,13877523.75,16952.625,8,111020190.0,135621.0,6412,"GRAND YOHO(Block 5),LONG YAT RD|GRAND YOHO5座,朗日路",8320855.000000001,15553.0,535.0,10782532.0,14893.0,724.0,20776952.0,18452.0,1126.0,14703804.0,18636.0,789.0,16870726.0,18787.0,898.0,9882722.0,15662.0,631.0,21419190.0,18307.0,1170.0,8263409.000000001,15331.0,539.0,-0.02589517509385808,-0.025045828690557492
2019-9-15,14246437.75,17388.125,8,113971502.0,139105.0,6412,"GRAND YOHO(Block 5),LONG YAT RD|GRAND YOHO5座,朗日路",8556790.0,15994.0,535.0,11088784.0,15316.0,724.0,21365850.0,18975.0,1126.0,15118029.000000002,19161.0,789.0,17348462.0,19319.0,898.0,10162886.0,16106.0,631.0,22025250.0,18825.0,1170.0,8305451.0,15409.0,539.0,-0.027200172867076322,-0.027285377638856856
2019-8-15,14644778.25,17875.875,8,117158226.0,143007.0,6412,"GRAND YOHO(Block 5),LONG YAT RD|GRAND YOHO5座,朗日路",8775605.0,16403.0,535.0,11371868.0,15707.0,724.0,21911960.0,19460.0,1126.0,15780000.0,20000.0,789.0,17791176.0,19812.0,898.0,10422858.0,16518.0,631.0,22588020.0,19306.0,1170.0,8516739.0,15801.0,539.0,-0.010509283617467946,-0.010510219614463856
2019-7-15,14800319.0,18065.75,8,118402552.0,144526.0,6412,"GRAND YOHO(Block 5),LONG YAT RD|GRAND YOHO5座,朗日路",8868695.0,16577.0,535.0,11492776.0,15874.0,724.0,22143916.0,19666.0,1126.0,15951213.0,20217.0,789.0,17979756.0,20022.0,898.0,10533283.0,16693.0,631.0,22826700.0,19510.0,1170.0,8606213.0,15967.0,539.0,0.014724857243330947,0.014651886070528475
2019-6-15,14585548.875,17804.875,8,116684391.0,142439.0,6412,"GRAND YOHO(Block 5),LONG YAT RD|GRAND YOHO5座,朗日路",8737620.0,16332.0,535.0,11323360.0,15640.0,724.0,21816250.0,19375.0,1126.0,15721614.0,19926.0,789.0,17713948.0,19726.0,898.0,10404559.0,16489.0,631.0,22488570.0,19221.0,1170.0,8478470.0,15730.0,539.0,-0.027033094939284963,-0.027202196391252653
2019-5-15,14990796.5,18302.75,8,119926372.0,146422.0,6412,"GRAND YOHO(Block 5),LONG YAT RD|GRAND YOHO5座,朗日路",8978370.0,16782.0,535.0,11634680.0,16070.0,724.0,22411904.0,19904.0,1126.0,16161087.0,20483.0,789.0,18200664.0,20268.0,898.0,10691033.0,16943.0,631.0,23102820.0,19746.0,1170.0,8745814.0,16226.0,539.0,0.01049822549525814,0.010489848311272532
2019-4-15,14835054.75,18112.75,8,118680438.0,144902.0,6412,"GRAND YOHO(Block 5),LONG YAT RD|GRAND YOHO5座,朗日路",8887420.0,16612.0,535.0,11517392.0,15908.0,724.0,22181074.0,19699.0,1126.0,15974094.0,20246.0,789.0,18015676.0,20062.0,898.0,10583132.0,16772.0,631.0,22865310.0,19543.0,1170.0,8656340.0,16060.0,539.0,0.01247423715577356,0.012429868015622958
2019-3-15,14652278.75,17890.375,8,117218230.0,143123.0,6412,"GRAND YOHO(Block 5),LONG YAT RD|GRAND YOHO5座,朗日路",8779350.0,16410.0,535.0,11377660.0,15715.0,724.0,21906330.0,19455.0,1126.0,15785522.999999998,20007.0,789.0,17788482.0,19809.0,898.0,10454408.0,16568.0,631.0,22576320.0,19296.0,1170.0,8550157.0,15863.0,539.0,0.03954080229994372,0.03950350076987896
