,lumpSum_avg,npsf_avg,final_address,lumpSum_A1,npsf_A1,nfa_A1,lumpSum_A4,npsf_A4,nfa_A4,lumpSum_B1,npsf_B1,nfa_B1,lumpSum_B2,npsf_B2,nfa_B2,lumpSum_B4,npsf_B4,nfa_B4,lumpSum_C2,npsf_C2,nfa_C2,lumpSum_C3,npsf_C3,nfa_C3,lumpSum_C4,npsf_C4,nfa_C4,nfa_avg,lumpSum_change,npsf_change
2022-12-15,2372712.6328543816,9905.75,"HING FUK HSE,MAN HOP PATH|幸福樓,民合徑",2532700.0,8170.0,310.0,2299619.49578695,10807.0,235.0,2617043.038189764,9634.0,300.0,1994605.6741087888,8991.0,245.0,2271531.24063345,10675.0,235.0,2381661.286830886,10521.0,250.0,2556855.2135587786,9737.0,290.0,2327685.1137264324,10711.0,240.0,,0.13576474082651813,0.253020049332743
2022-11-15,2089088.125,7905.5,"HING FUK HSE,MAN HOP PATH|幸福樓,民合徑",2621980.0,8458.0,310.0,1830180.0,7788.0,235.0,2705100.0,9017.0,300.0,1869105.0,7629.0,245.0,1830180.0,7788.0,235.0,1887499.9999999998,7550.0,250.0,2118740.0,7306.0,290.0,1849920.0,7708.0,240.0,,-0.04091739107480208,-0.04091474325922784
2022-10-15,2178215.0,8242.75,"HING FUK HSE,MAN HOP PATH|幸福樓,民合徑",2733890.0,8819.0,310.0,1908199.9999999998,8120.0,235.0,2820600.0,9402.0,300.0,1948730.0000000002,7954.0,245.0,1908199.9999999998,8120.0,235.0,1968000.0,7872.0,250.0,2209220.0,7618.0,290.0,1928880.0,8037.0,240.0,,-0.044030912321644355,-0.04402789254700701
2022-9-15,2278541.25,8622.375,"HING FUK HSE,MAN HOP PATH|幸福樓,民合徑",2860060.0,9226.0,310.0,1996090.0,8494.0,235.0,2950500.0,9835.0,300.0,2038399.9999999998,8320.0,245.0,1996090.0,8494.0,235.0,2058500.0,8234.0,250.0,2311010.0,7969.0,290.0,2017680.0,8407.0,240.0,,0.0132034224178037,0.013205052878966006
2022-8-15,2248848.75,8510.0,"HING FUK HSE,MAN HOP PATH|幸福樓,民合徑",2822860.0,9106.0,310.0,1970004.9999999998,8383.0,235.0,2912100.0,9707.0,300.0,2011940.0,8212.0,245.0,1970004.9999999998,8383.0,235.0,2031750.0,8127.0,250.0,2280850.0,7865.0,290.0,1991280.0,8297.0,240.0,,-0.05049618499892072,-0.05048814504881449
2022-7-15,2368446.25,8962.5,"HING FUK HSE,MAN HOP PATH|幸福樓,民合徑",2973520.0,9592.0,310.0,2074580.0,8828.0,235.0,3066900.0,10223.0,300.0,2118760.0,8648.0,245.0,2074580.0,8828.0,235.0,2139750.0,8559.0,250.0,2402360.0,8284.0,290.0,2097119.9999999998,8738.0,240.0,,-0.022030365335278912,-0.022001554976607163
2022-6-15,2421799.375,9164.125,"HING FUK HSE,MAN HOP PATH|幸福樓,民合徑",3042340.0,9814.0,310.0,2120875.0,9025.0,235.0,3136500.0,10455.0,300.0,2166045.0,8841.0,245.0,2120875.0,9025.0,235.0,2187250.0,8749.0,250.0,2456590.0,8471.0,290.0,2143920.0,8933.0,240.0,,0.020377912381165153,0.02044707978397642
2022-5-15,2373433.75,8980.5,"HING FUK HSE,MAN HOP PATH|幸福樓,民合徑",2985610.0,9631.0,310.0,2077400.0000000002,8840.0,235.0,3074700.0,10249.0,300.0,2121700.0,8660.0,245.0,2077400.0000000002,8840.0,235.0,2142500.0,8570.0,250.0,2408160.0,8304.0,290.0,2100000.0,8750.0,240.0,,-0.021420551721258896,-0.021358905900942582
2022-4-15,2425386.875,9176.5,"HING FUK HSE,MAN HOP PATH|幸福樓,民合徑",3054740.0,9854.0,310.0,2121815.0,9029.0,235.0,3142800.0,10476.0,300.0,2167025.0,8845.0,245.0,2121815.0,9029.0,235.0,2188500.0,8754.0,250.0,2461520.0,8488.0,290.0,2144880.0,8937.0,240.0,,0.029857111541742087,0.029924662242736266
2022-3-15,2355071.25,8909.875,"HING FUK HSE,MAN HOP PATH|幸福樓,民合徑",2970110.0,9581.0,310.0,2059305.0,8763.0,235.0,3052500.0,10175.0,300.0,2103080.0,8584.0,245.0,2059305.0,8763.0,235.0,2123750.0,8495.0,250.0,2390760.0,8244.0,290.0,2081760.0000000002,8674.0,240.0,,-0.02511747134299458,-0.02505778884162435
