,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_J,npsf_J,nfa_J,lumpSum_K,npsf_K,nfa_K,nfa_avg,lumpSum_change,npsf_change
2022-12-15,2819441.0,10098.0,"HO KING BLDG,HOP YICK RD|好景洋樓,合益路",2878200.0,9594.0,300.0,2766690.0,10247.0,270.0,2766690.0,10247.0,270.0,2899800.0,9666.0,300.0,2816520.0,10059.0,280.0,2899800.0,9666.0,300.0,2734250.0,10937.0,250.0,2656500.0,10626.0,250.0,2899800.0,9666.0,300.0,2876160.0,10272.0,280.0,,-0.0126441623969068,-0.012565393829756077
2022-11-15,2855547.0,10226.5,"HO KING BLDG,HOP YICK RD|好景洋樓,合益路",2917200.0,9724.0,300.0,2804220.0,10386.0,270.0,2804220.0,10386.0,270.0,2938800.0,9796.0,300.0,2854600.0,10195.0,280.0,2938800.0,9796.0,300.0,2751250.0,11005.0,250.0,2692500.0,10770.0,250.0,2938800.0,9796.0,300.0,2915080.0,10411.0,280.0,,-0.041409552915805836,-0.04141240872491392
2022-10-15,2978902.0,10668.3,"HO KING BLDG,HOP YICK RD|好景洋樓,合益路",3043200.0,10144.0,300.0,2925450.0,10835.0,270.0,2925450.0,10835.0,270.0,3065700.0,10219.0,300.0,2977800.0,10635.0,280.0,3065700.0,10219.0,300.0,2870500.0,11482.0,250.0,2809000.0,11236.0,250.0,3065700.0,10219.0,300.0,3040520.0,10859.0,280.0,,-0.04569995037732777,-0.04570094461142138
2022-9-15,3121557.0,11179.2,"HO KING BLDG,HOP YICK RD|好景洋樓,合益路",3185100.0,10617.0,300.0,3061800.0,11340.0,270.0,3061800.0,11340.0,270.0,3208500.0,10695.0,300.0,3116680.0,11131.0,280.0,3208500.0,10695.0,300.0,3005000.0,12020.0,250.0,2940250.0,11761.0,250.0,3208500.0,10695.0,300.0,3219440.0,11498.0,280.0,,0.012712612234992982,0.012709599688374817
2022-8-15,3082372.0,11038.9,"HO KING BLDG,HOP YICK RD|好景洋樓,合益路",3145200.0,10484.0,300.0,3023460.0,11198.0,270.0,3023460.0,11198.0,270.0,3168300.0,10561.0,300.0,3077480.0,10991.0,280.0,3168300.0,10561.0,300.0,2968000.0,11872.0,250.0,2903500.0,11614.0,250.0,3168300.0,10561.0,300.0,3177720.0,11349.0,280.0,,-0.05102568910095073,-0.05102944336986892
2022-7-15,3248109.0,11632.5,"HO KING BLDG,HOP YICK RD|好景洋樓,合益路",3314100.0,11047.0,300.0,3186000.0,11800.0,270.0,3186000.0,11800.0,270.0,3338700.0,11129.0,300.0,3242960.0,11582.0,280.0,3338700.0,11129.0,300.0,3128750.0,12515.0,250.0,3059500.0,12238.0,250.0,3338700.0,11129.0,300.0,3347680.0,11956.0,280.0,,-0.025368962583885768,-0.025688488340927407
2022-6-15,3332655.0,11939.2,"HO KING BLDG,HOP YICK RD|好景洋樓,合益路",3390900.0000000005,11303.0,300.0,3259710.0,12073.0,270.0,3259710.0,12073.0,270.0,3416100.0000000005,11387.0,300.0,3318280.0000000005,11851.0,280.0,3416100.0000000005,11387.0,300.0,3294750.0,13179.0,250.0,3130500.0,12522.0,250.0,3416100.0000000005,11387.0,300.0,3424400.0000000005,12230.0,280.0,,0.0195842859463613,0.01958172144937209
2022-5-15,3268641.0,11709.9,"HO KING BLDG,HOP YICK RD|好景洋樓,合益路",3325800.0,11086.0,300.0,3197340.0,11842.0,270.0,3197340.0,11842.0,270.0,3350400.0,11168.0,300.0,3254720.0,11624.0,280.0,3350400.0,11168.0,300.0,3231750.0,12927.0,250.0,3070500.0,12282.0,250.0,3350400.0,11168.0,300.0,3357760.0,11992.0,280.0,,-0.022721456086701175,-0.022782465012643027
2022-4-15,3344636.0,11982.9,"HO KING BLDG,HOP YICK RD|好景洋樓,合益路",3401400.0,11338.0,300.0,3269969.9999999995,12111.0,270.0,3269969.9999999995,12111.0,270.0,3426600.0,11422.0,300.0,3328640.0,11888.0,280.0,3426600.0,11422.0,300.0,3323250.0,13293.0,250.0,3140250.0,12561.0,250.0,3426600.0,11422.0,300.0,3433080.0,12261.0,280.0,,0.011687854431765787,0.011821428872995643
2022-3-15,3305996.0,11842.9,"HO KING BLDG,HOP YICK RD|好景洋樓,合益路",3368100.0,11227.0,300.0,3251070.0,12041.0,270.0,3251070.0,12041.0,270.0,3396599.9999999995,11322.0,300.0,3304840.0,11803.0,280.0,3396599.9999999995,11322.0,300.0,3229250.0,12917.0,250.0,3130750.0,12523.0,250.0,3396599.9999999995,11322.0,300.0,3335080.0000000005,11911.0,280.0,,-0.030670547507609336,-0.030653003093948028
2022-2-15,3410601.0,12217.4,"HO KING BLDG,HOP YICK RD|好景洋樓,合益路",3458399.9999999995,11528.0,300.0,3338010.0,12363.0,270.0,3338010.0,12363.0,270.0,3487499.9999999995,11625.0,300.0,3557120.0,12704.0,280.0,3487499.9999999995,11625.0,300.0,3314749.9999999995,13259.0,250.0,3214500.0,12858.0,250.0,3487499.9999999995,11625.0,300.0,3422720.0,12224.0,280.0,,-0.006361081855883688,-0.006497361209371166
