,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,nfa_avg,lumpSum_change,npsf_change
2020-12-15,3946686.6666666665,10127.333333333334,"MAN YU BLDG,TAI FUNG ST|文裕大廈,泰豐街",3966820.0000000005,10439.0,380.0,3973660.0,10457.0,380.0,3868760.0,9436.0,410.0,4191840.0000000005,10224.0,410.0,3797719.9999999995,9994.0,380.0,3881320.0000000005,10214.0,380.0,,-0.005058713002909276,-0.004847690795938275
2020-11-15,3966753.3333333335,10176.666666666666,"MAN YU BLDG,TAI FUNG ST|文裕大廈,泰豐街",3980120.0,10474.0,380.0,3978599.9999999995,10470.0,380.0,3951170.0,9637.0,410.0,4217670.0,10287.0,410.0,3726660.0000000005,9807.0,380.0,3946300.0,10385.0,380.0,,0.019755838081735533,0.019757168862835517
2020-10-15,3889905.0,9979.5,"MAN YU BLDG,TAI FUNG ST|文裕大廈,泰豐街",3902979.9999999995,10271.0,380.0,3901460.0,10267.0,380.0,3874910.0,9451.0,410.0,4136080.0,10088.0,410.0,3654460.0,9617.0,380.0,3869540.0,10183.0,380.0,,-0.0073941162636108615,-0.0073935314888186054
2020-9-15,3918881.6666666665,10053.833333333334,"MAN YU BLDG,TAI FUNG ST|文裕大廈,泰豐街",3928439.9999999995,10338.0,380.0,3925780.0,10331.0,380.0,3906890.0,9529.0,410.0,4163960.0000000005,10156.0,410.0,3686000.0,9700.0,380.0,3902220.0000000005,10269.0,380.0,,0.018108185812735877,0.01810970464135031
2020-8-15,3849180.0,9875.0,"MAN YU BLDG,TAI FUNG ST|文裕大廈,泰豐街",3858520.0,10154.0,380.0,3855860.0000000005,10147.0,380.0,3837600.0,9360.0,410.0,4090160.0,9976.0,410.0,3620260.0,9527.0,380.0,3832680.0,10086.0,380.0,,-0.006948968232366681,-0.0069887877721352964
2020-7-15,3876115.0,9944.5,"MAN YU BLDG,TAI FUNG ST|文裕大廈,泰豐街",3879420.0,10209.0,380.0,3877139.9999999995,10203.0,380.0,3858510.0,9411.0,410.0,4112300.0,10030.0,410.0,3640400.0,9580.0,380.0,3888920.0,10234.0,380.0,,-0.002197965326807383,-0.002174022108132445
2020-6-15,3884653.3333333335,9966.166666666666,"MAN YU BLDG,TAI FUNG ST|文裕大廈,泰豐街",3891580.0,10241.0,380.0,3888920.0,10234.0,380.0,3870810.0000000005,9441.0,410.0,4125010.0,10061.0,410.0,3651420.0000000005,9609.0,380.0,3880180.0,10211.0,380.0,,-0.00484301716169222,-0.004842897084276432
2020-5-15,3903558.3333333335,10014.666666666666,"MAN YU BLDG,TAI FUNG ST|文裕大廈,泰豐街",3910200.0000000005,10290.0,380.0,3907540.0,10283.0,380.0,3889670.0,9487.0,410.0,4145100.0,10110.0,410.0,3669280.0,9656.0,380.0,3899559.9999999995,10262.0,380.0,,0.016563562159799705,0.01656262159738775
2020-4-15,3839955.0,9851.5,"MAN YU BLDG,TAI FUNG ST|文裕大廈,泰豐街",3846360.0,10122.0,380.0,3843700.0,10115.0,380.0,3826120.0,9332.0,410.0,4077449.9999999995,9945.0,410.0,3609620.0000000005,9499.0,380.0,3836479.9999999995,10096.0,380.0,,-0.018005154680918234,-0.01792716156044405
2020-3-15,3910361.6666666665,10031.333333333334,"MAN YU BLDG,TAI FUNG ST|文裕大廈,泰豐街",3910199.9999999995,10290.0,380.0,3907920.0,10284.0,380.0,3927800.0000000005,9580.0,410.0,4145510.0000000005,10111.0,410.0,3669660.0000000005,9657.0,380.0,3901080.0,10266.0,380.0,,0.023083084890163974,0.02308346081931001
