,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,lumpSum_5,npsf_5,nfa_5,nfa_avg,lumpSum_change,npsf_change
2020-12-15,3915825.6,11419.6,"NAN TIN MANSION,KAU YUK RD|南天大廈,教育路",3801540.0000000005,11181.0,340.0,3720282.0,11699.0,318.0,4131740.0000000005,10873.0,380.0,3977826.0,11734.0,339.0,3947740.0,11611.0,340.0,,-0.016601243627902496,-0.01660294168302845
2020-11-15,3981930.6,11612.4,"NAN TIN MANSION,KAU YUK RD|南天大廈,教育路",3865460.0000000005,11369.0,340.0,3783246.0000000005,11897.0,318.0,4201280.0,11056.0,380.0,4045287.0,11933.0,339.0,4014379.9999999995,11807.0,340.0,,0.01968904831802143,0.01968704448464198
2020-10-15,3905044.0,11388.2,"NAN TIN MANSION,KAU YUK RD|南天大廈,教育路",3790320.0000000005,11148.0,340.0,3710424.0,11668.0,318.0,4119960.0,10842.0,380.0,3967656.0000000005,11704.0,339.0,3936859.9999999995,11579.0,340.0,,-0.008531761003446992,-0.008531977503438926
2020-9-15,3938647.6,11486.2,"NAN TIN MANSION,KAU YUK RD|南天大廈,教育路",3822620.0000000005,11243.0,340.0,3742224.0,11768.0,318.0,4155299.9999999995,10935.0,380.0,4002234.0,11806.0,339.0,3970860.0000000005,11679.0,340.0,,0.02326322612659304,0.023305952996097945
2020-8-15,3849105.0,11224.6,"NAN TIN MANSION,KAU YUK RD|南天大廈,教育路",3656700.0000000005,10755.0,340.0,3675762.0000000005,11559.0,318.0,4081200.0,10740.0,380.0,3931383.0000000005,11597.0,339.0,3900480.0000000005,11472.0,340.0,,-0.005474880670576332,-0.0054756166713920695
2020-7-15,3870294.4,11286.4,"NAN TIN MANSION,KAU YUK RD|南天大廈,教育路",3676420.0000000005,10813.0,340.0,3696113.9999999995,11623.0,318.0,4103620.0,10799.0,380.0,3953418.0,11662.0,339.0,3921899.9999999995,11535.0,340.0,,-0.00310682466487755,-0.003109101187111385
2020-6-15,3882356.2,11321.6,"NAN TIN MANSION,KAU YUK RD|南天大廈,教育路",3687640.0000000005,10846.0,340.0,3707880.0,11660.0,318.0,4116160.0,10832.0,380.0,3965961.0,11699.0,339.0,3934140.0,11571.0,340.0,,-0.006258410641571066,-0.006371662775798259
2020-5-15,3906806.6,11394.2,"NAN TIN MANSION,KAU YUK RD|南天大廈,教育路",3705320.0,10898.0,340.0,3753990.0,11805.0,318.0,4135919.9999999995,10884.0,380.0,3985623.0,11757.0,339.0,3953180.0,11627.0,340.0,,0.016506943760003612,0.016504300039253517
2020-4-15,3843364.4,11209.2,"NAN TIN MANSION,KAU YUK RD|南天大廈,教育路",3644120.0000000005,10718.0,340.0,3693570.0000000005,11615.0,318.0,4068660.0,10707.0,380.0,3921551.9999999995,11568.0,339.0,3888920.0,11438.0,340.0,,-0.01643817933993319,-0.016443500693189117
2020-3-15,3907598.2,11396.6,"NAN TIN MANSION,KAU YUK RD|南天大廈,教育路",3703280.0000000005,10892.0,340.0,3756216.0,11812.0,318.0,4136299.9999999995,10885.0,380.0,3988334.9999999995,11765.0,339.0,3953860.0000000005,11629.0,340.0,,0.02278757956930355,0.02277703988225599
2020-2-15,3820537.4,11142.8,"NAN TIN MANSION,KAU YUK RD|南天大廈,教育路",3618280.0000000005,10642.0,340.0,3673854.0,11553.0,318.0,4043200.0000000005,10640.0,380.0,3900873.0000000005,11507.0,339.0,3866480.0,11372.0,340.0,,0.01933170807479434,0.01926419201990437
2020-1-15,3748080.6,10932.2,"NAN TIN MANSION,KAU YUK RD|南天大廈,教育路",3650240.0000000005,10736.0,340.0,3580680.0,11260.0,318.0,3938699.9999999995,10365.0,380.0,3802563.0,11217.0,339.0,3768220.0,11083.0,340.0,,-0.03939059716890814,-0.03940038310809624
2019-12-15,3901773.8,11380.6,"NAN TIN MANSION,KAU YUK RD|南天大廈,教育路",3798139.9999999995,11171.0,340.0,3728550.0,11725.0,318.0,4099060.0,10787.0,380.0,3959859.0,11681.0,339.0,3923260.0,11539.0,340.0,,0.009179461598702199,0.009168942645337408
2019-11-15,3866283.4,11277.2,"NAN TIN MANSION,KAU YUK RD|南天大廈,教育路",3761760.0,11064.0,340.0,3695796.0,11622.0,318.0,4060680.0,10686.0,380.0,3925281.0,11579.0,339.0,3887900.0,11435.0,340.0,,-0.023252959799018202,-0.02419354838709664
2019-10-15,3958326.2,11556.8,"NAN TIN MANSION,KAU YUK RD|南天大廈,教育路",3725040.0000000005,10956.0,340.0,3848753.9999999995,12103.0,318.0,4021920.0,10584.0,380.0,4075797.0,12023.0,339.0,4120120.0,12118.0,340.0,,-0.026493811662095523,-0.02650066546489882
2019-9-15,4066051.4,11871.4,"NAN TIN MANSION,KAU YUK RD|南天大廈,教育路",3825000.0,11250.0,340.0,3954329.9999999995,12435.0,318.0,4130600.0,10870.0,380.0,4187667.0,12353.0,339.0,4232660.0,12449.0,340.0,,-0.02493235164015284,-0.024936344969199165
2019-8-15,4170019.8,12175.0,"NAN TIN MANSION,KAU YUK RD|南天大廈,教育路",3921220.0000000005,11533.0,340.0,4056090.0000000005,12755.0,318.0,4235860.0,11147.0,380.0,4295469.0,12671.0,339.0,4341460.0,12769.0,340.0,,0.0034152531773101735,0.0021400938348834497
2019-7-15,4155826.6,12149.0,"NAN TIN MANSION,KAU YUK RD|南天大廈,教育路",3956240.0,11636.0,340.0,4094886.0,12877.0,318.0,4008240.0000000005,10548.0,380.0,4336827.0,12793.0,339.0,4382940.0,12891.0,340.0,,0.005667399718120691,0.005279184457021691
