,lumpSum_avg,npsf_avg,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,nfa_avg,lumpSum_change,npsf_change
2020-12-15,7321832.571428572,10604.57142857143,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9706857.0,10207.0,951.0,6703580.0,11210.0,598.0,6543316.0,10942.0,598.0,9042100.0,9518.0,950.0,6993056.999999999,10453.0,669.0,5553898.0,11842.0,469.0,6710020.0,10060.0,667.0,,-0.01664597004517787,-0.01665143265906277
2020-11-15,7445774.714285715,10784.142857142857,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9871380.0,10380.0,951.0,6817200.0,11400.0,598.0,6653946.0,11127.0,598.0,9195050.0,9679.0,950.0,7110801.000000001,10629.0,669.0,5648636.0,12044.0,469.0,6823410.0,10230.0,667.0,,0.020312431147333054,0.020314654123753106
2020-10-15,7297543.857142857,10569.42857142857,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9681180.0,10180.0,951.0,6685640.0,11180.0,598.0,6525376.0,10912.0,598.0,9014550.0,9489.0,950.0,6944889.000000001,10381.0,669.0,5539828.0,11812.0,469.0,6691344.0,10032.0,667.0,,-0.005870181369874938,-0.005470944846961534
2020-9-15,7340634.714285715,10627.57142857143,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9766770.0,10270.0,951.0,6743048.0,11276.0,598.0,6445842.0,10779.0,598.0,9088650.0,9567.0,950.0,7003760.999999999,10469.0,669.0,5587666.0,11914.0,469.0,6748706.0,10118.0,667.0,,0.01803769972061664,0.018036264112213596
2020-8-15,7210572.571428572,10439.285714285714,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9594639.0,10089.0,951.0,6623448.0,11076.0,598.0,6331624.0,10588.0,598.0,8927150.0,9397.0,950.0,6878658.0,10282.0,669.0,5489176.0,11704.0,469.0,6629313.0,9939.0,667.0,,-0.009772282974603197,-0.008601391960276317
2020-7-15,7281731.714285715,10529.857142857143,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9647895.0,10145.0,951.0,6660524.0,11138.0,598.0,6366308.0,10646.0,598.0,9196950.0,9681.0,950.0,6915453.0,10337.0,669.0,5519661.0,11769.0,469.0,6665331.0,9993.0,667.0,,-0.003081010543920515,-0.0030971895371798563
2020-6-15,7304236.142857143,10562.57142857143,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9677376.0,10176.0,951.0,6681454.0,11173.0,598.0,6386640.0,10680.0,598.0,9224500.0,9710.0,950.0,6936191.999999999,10368.0,669.0,5537483.0,11807.0,469.0,6686008.0,10024.0,667.0,,-0.0006638310970078498,-0.0005271908836529393
2020-5-15,7309088.142857143,10568.142857142857,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9724926.0,10226.0,951.0,6713746.0,11227.0,598.0,6417138.0,10731.0,598.0,9268200.0,9756.0,950.0,6756231.0,10099.0,669.0,5564685.0,11865.0,469.0,6718691.0,10073.0,667.0,,0.016567588799425215,0.01655856648161369
2020-4-15,7189967.714285715,10396.0,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9566109.0,10059.0,951.0,6604910.0,11045.0,598.0,6312488.0,10556.0,598.0,9117150.0,9597.0,950.0,6645177.0,9933.0,669.0,5474637.0,11673.0,469.0,6609303.0,9909.0,667.0,,-0.016419285788603855,-0.016408509718054742
2020-3-15,7309992.571428572,10569.42857142857,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9725877.0,10227.0,951.0,6714942.0,11229.0,598.0,6417736.0,10732.0,598.0,9271050.0,9759.0,950.0,6754893.0,10097.0,669.0,5566092.0,11868.0,469.0,6719358.0,10074.0,667.0,,0.02314237635485794,0.023135535795776763
2020-2-15,7144648.428571428,10330.42857142857,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9505245.0,9995.0,951.0,6563648.0,10976.0,598.0,6272422.0,10489.0,598.0,9062050.0,9539.0,950.0,6601023.0,9867.0,669.0,5440869.0,11601.0,469.0,6567282.0,9846.0,667.0,,0.020712409663323106,0.022337522796997078
2020-1-15,6999668.428571428,10104.714285714286,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9502392.0,9992.0,951.0,6393218.0,10691.0,598.0,6109168.0,10216.0,598.0,8868250.0,9335.0,950.0,6428421.0,9609.0,669.0,5299700.0,11300.0,469.0,6396530.0,9590.0,667.0,,-0.038969231162110374,-0.03896686186328979
2019-12-15,7283500.857142857,10514.42857142857,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9889449.0,10399.0,951.0,6653348.0,11126.0,598.0,6356740.0,10630.0,598.0,9227350.0,9713.0,950.0,6686655.0,9995.0,669.0,5514971.0,11759.0,469.0,6655993.0,9979.0,667.0,,-0.0028888829217881273,0.0004621637418948943
2019-11-15,7304603.0,10509.57142857143,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9796251.0,10301.0,951.0,6592352.0,11024.0,598.0,6296342.0,10529.0,598.0,9772650.0,10287.0,950.0,6619086.0,9894.0,669.0,5462912.0,11648.0,469.0,6592628.0,9884.0,667.0,,0.011638821493745954,0.011174643318580646
2019-10-15,7220564.142857143,10393.42857142857,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9702102.0,10202.0,951.0,6530160.0,10920.0,598.0,6234748.0,10426.0,598.0,9590250.0,10095.0,950.0,6550179.0,9791.0,669.0,5409915.0,11535.0,469.0,6526595.0,9785.0,667.0,,-0.02953576994905638,-0.030114780104781858
2019-9-15,7440319.714285715,10716.142857142857,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9964578.0,10478.0,951.0,6708364.0,11218.0,598.0,6588166.0,11017.0,598.0,9843900.0,10362.0,950.0,6720774.0,10046.0,669.0,5555774.0,11846.0,469.0,6700682.0,10046.0,667.0,,-0.03443758053655155,-0.03604564496646023
2019-8-15,7705684.857142857,11116.857142857143,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",10217544.0,10744.0,951.0,6879989.999999999,11505.0,598.0,7304570.0,12215.0,598.0,10087100.0,10618.0,950.0,6886017.000000001,10293.0,669.0,5696474.0,12146.0,469.0,6868099.0,10297.0,667.0,,-0.01725288921739554,-0.01860189424034908
2019-7-15,7840964.142857143,11327.57142857143,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",10311693.0,10843.0,951.0,7214870.0,12065.0,598.0,7567091.999999999,12654.0,598.0,10173550.0,10709.0,950.0,6942882.0,10378.0,669.0,5748533.0,12257.0,469.0,6928129.0,10387.0,667.0,,0.016680644306591885,0.0173203494861629
2019-6-15,7712317.714285715,11134.714285714286,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",10205181.0,10731.0,951.0,7141316.000000001,11942.0,598.0,7291414.0,12193.0,598.0,10062400.0,10592.0,950.0,6742851.0,10079.0,669.0,5688970.0,12130.0,469.0,6854092.0,10276.0,667.0,,-0.02505623610350627,-0.02556633495024252
2019-5-15,7910525.714285715,11426.857142857143,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",10459098.0,10998.0,951.0,7320716.0,12242.0,598.0,7469618.0,12491.0,598.0,10306550.0,10849.0,950.0,6907425.000000001,10325.0,669.0,5888764.0,12556.0,469.0,7021509.000000001,10527.0,667.0,,0.010248589107463735,0.010242873561766785
2019-4-15,7830276.428571428,11311.0,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",10355439.0,10889.0,951.0,7249554.000000001,12123.0,598.0,7392476.000000001,12362.0,598.0,10200150.0,10737.0,950.0,6835173.0,10217.0,669.0,5829670.0,12430.0,469.0,6949473.0,10419.0,667.0,,0.014053572218480914,0.01408865607028953
2019-3-15,7721758.142857143,11153.857142857143,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",10212789.0,10739.0,951.0,7150884.0,11958.0,598.0,7287826.0,12187.0,598.0,10063350.0,10593.0,950.0,6738168.0,10072.0,669.0,5748533.0,12257.0,469.0,6850757.0,10271.0,667.0,,0.026826204648917384,0.026451061592059455
2019-2-15,7520024.428571428,10866.42857142857,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9837144.0,10344.0,951.0,6889558.0,11521.0,598.0,7016932.0,11734.0,598.0,9696650.0,10207.0,950.0,6931509.0,10361.0,669.0,5537014.0,11806.0,469.0,6731364.0,10092.0,667.0,,0.003610660651834907,0.004344037181789329
2019-1-15,7492969.857142857,10819.42857142857,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9777231.0,10281.0,951.0,6849492.0,11454.0,598.0,6971484.0,11658.0,598.0,9776450.0,10291.0,950.0,6884679.0,10291.0,669.0,5502777.0,11733.0,469.0,6688676.0,10028.0,667.0,,0.01924705922498071,0.01780650710244447
2018-12-15,7351475.571428572,10630.142857142857,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9405390.0,9890.0,951.0,6842914.0,11443.0,598.0,6851884.0,11458.0,598.0,9611150.0,10117.0,950.0,6764259.0,10111.0,669.0,5409446.0,11534.0,469.0,6575286.0,9858.0,667.0,,-0.004993658566974979,-0.004934474458411442
2018-11-15,7388370.571428572,10682.857142857143,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9470058.0,9958.0,951.0,6893146.0,11527.0,598.0,6902116.0,11542.0,598.0,9683350.0,10193.0,950.0,6811089.0,10181.0,669.0,5450249.0,11621.0,469.0,6508586.0,9758.0,667.0,,-0.07182645166601365,-0.07183993645119657
2018-10-15,7960117.571428572,11509.714285714286,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",10199475.0,10725.0,951.0,7427758.0,12421.0,598.0,7436130.0,12435.0,598.0,10435750.0,10985.0,950.0,7335585.0,10965.0,669.0,5873287.0,12523.0,469.0,7012838.000000001,10514.0,667.0,,0.01702029137237493,0.01699022998662003
2018-9-15,7826901.428571428,11317.42857142857,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",10024491.0,10541.0,951.0,7303971.999999999,12214.0,598.0,7315334.000000001,12233.0,598.0,10262850.0,10803.0,950.0,7210482.0,10778.0,669.0,5775735.0,12315.0,469.0,6895446.0,10338.0,667.0,,-0.06072773644774243,-0.06073863299543547
2018-8-15,8332942.142857143,12049.285714285714,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",10669269.0,11219.0,951.0,7777588.000000001,13006.0,598.0,7787754.0,13023.0,598.0,10929750.0,11505.0,950.0,7674099.0,11471.0,669.0,6150466.0,13114.0,469.0,7341669.0,11007.0,667.0,,0.019336883821245765,0.019311878376255365
2018-7-15,8174865.714285715,11821.0,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",10462902.0,11002.0,951.0,7631078.0,12761.0,598.0,7639450.0,12775.0,598.0,10724550.0,11289.0,950.0,7526919.0,11251.0,669.0,6035561.0,12869.0,469.0,7203600.0,10800.0,667.0,,0.011471593115934153,0.011453367558978078
2018-6-15,8082150.571428572,11687.142857142857,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",10340223.0,10873.0,951.0,7545564.0,12618.0,598.0,7553935.999999999,12632.0,598.0,10605800.0,11164.0,950.0,7439280.0,11120.0,669.0,5968025.0,12725.0,469.0,7122226.0,10678.0,667.0,,0.027392071544410257,0.0273895188938702
2018-5-15,7866666.285714285,11375.57142857143,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",10060629.0,10579.0,951.0,7344636.0,12282.0,598.0,7354203.999999999,12298.0,598.0,10327450.0,10871.0,950.0,7238579.999999999,10820.0,669.0,5809034.0,12386.0,469.0,6932131.000000001,10393.0,667.0,,0.03008877613531613,0.030076063334368408
2018-4-15,7636881.857142857,11043.42857142857,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9761064.0,10264.0,951.0,7129954.0,11923.0,598.0,7140120.0,11940.0,598.0,10030100.0,10558.0,950.0,7028514.0,10506.0,669.0,5639725.0,12025.0,469.0,6728696.0,10088.0,667.0,,0.025131656543385228,0.025700903578489198
2018-3-15,7449659.571428572,10766.714285714286,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9441528.0,9928.0,951.0,6987630.0,11685.0,598.0,6998992.0,11704.0,598.0,9835350.0,10353.0,950.0,6892038.0,10302.0,669.0,5396783.0,11507.0,469.0,6595296.0,9888.0,667.0,,0.00892345057295163,0.008929049531459343
2018-2-15,7383770.857142857,10671.42857142857,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9354987.0,9837.0,951.0,6925438.0,11581.0,598.0,6937398.0,11601.0,598.0,9750800.0,10264.0,950.0,6833166.0,10214.0,669.0,5348007.0,11403.0,469.0,6536600.0,9800.0,667.0,,0.023584828967525784,0.023596152265066284
2018-1-15,7213638.428571428,10425.42857142857,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9135306.0,9606.0,951.0,6764576.0,11312.0,598.0,6777732.0,11334.0,598.0,9529450.0,10031.0,950.0,6678627.0,9983.0,669.0,5223253.0,11137.0,469.0,6386525.0,9575.0,667.0,,0.0151476841709981,0.016010469454808662
2017-12-15,7105999.0,10261.142857142857,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",9121041.0,9591.0,951.0,6642584.0,11108.0,598.0,6656338.0,11131.0,598.0,9361300.0,9854.0,950.0,6560883.0,9807.0,669.0,5128046.0,10934.0,469.0,6271801.0,9403.0,667.0,,0.015698985673051613,0.015624337202890137
2017-11-15,6996166.285714285,10103.285714285714,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",8958420.0,9420.0,951.0,6527768.0,10916.0,598.0,6540326.0,10937.0,598.0,9201700.0,9686.0,950.0,6448491.0,9639.0,669.0,5037998.0,10742.0,469.0,6258461.0,9383.0,667.0,,0.03865949683729841,0.03865415399979444
2017-10-15,6735765.0,9727.285714285714,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",8621766.0,9066.0,951.0,6285578.0,10511.0,598.0,6296342.0,10529.0,598.0,8861600.0,9328.0,950.0,6210327.0,9283.0,669.0,4850398.0,10342.0,469.0,6024344.0,9032.0,667.0,,-0.019289137447474958,-0.019299736428972758
2017-9-15,6868247.571428572,9918.714285714286,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",8788191.0,9241.0,951.0,6409364.0,10718.0,598.0,6420726.0,10737.0,598.0,9037350.0,9513.0,950.0,6334761.0,9469.0,669.0,4945605.0,10545.0,469.0,6141736.0,9208.0,667.0,,0.01641668571480759,0.016410481627872953
2017-8-15,6757314.857142857,9758.57142857143,"PARK SIGNATURE(Block 5),KUNG UM RD|溱柏5座,公庵路",8642688.0,9088.0,951.0,6306508.0,10546.0,598.0,6317272.0,10564.0,598.0,8893900.0,9362.0,950.0,6234411.0,9319.0,669.0,4865406.0,10374.0,469.0,6041019.0,9057.0,667.0,,0.00901139430711484,0.009040148896570122
