,lumpSum_avg,npsf_avg,final_address,lumpSum_1,npsf_1,nfa_1,lumpSum_2,npsf_2,nfa_2,lumpSum_3,npsf_3,nfa_3,lumpSum_4,npsf_4,nfa_4,nfa_avg,lumpSum_change,npsf_change
2022-12-15,4176562.25,10398.75,"YEE FUNG BLDG,YAU SAN ST|怡豐大廈,又新街",4665825.0,10485.0,445.0,4608420.0,10356.0,445.0,3590379.0,10229.0,351.0,3841624.9999999995,10525.0,365.0,,-0.013245910090476265,-0.013237491993452477
2022-11-15,4232627.25,10538.25,"YEE FUNG BLDG,YAU SAN ST|怡豐大廈,又新街",4728570.0,10626.0,445.0,4670720.0,10496.0,445.0,3637764.0,10364.0,351.0,3893455.0,10667.0,365.0,,-0.039807379694969613,-0.039948072061402495
2022-10-15,4408102.25,10976.75,"YEE FUNG BLDG,YAU SAN ST|怡豐大廈,又新街",4932380.0,11084.0,445.0,4844715.0,10887.0,445.0,3793958.9999999995,10809.0,351.0,4061355.0,11127.0,365.0,,-0.03874898743070243,-0.03929720149661953
2022-9-15,4585797.25,11425.75,"YEE FUNG BLDG,YAU SAN ST|怡豐大廈,又新街",5053865.0,11357.0,445.0,5069440.0,11392.0,445.0,3969458.9999999995,11309.0,351.0,4250425.0,11645.0,365.0,,0.013850694930754637,0.013954829835381766
2022-8-15,4523148.5,11268.5,"YEE FUNG BLDG,YAU SAN ST|怡豐大廈,又新街",4990675.0,11215.0,445.0,5004470.0,11246.0,445.0,3918564.0,11164.0,351.0,4178884.9999999995,11449.0,365.0,,-0.050821310072258874,-0.050813906964011224
2022-7-15,4765328.75,11871.75,"YEE FUNG BLDG,YAU SAN ST|怡豐大廈,又新街",5259010.0,11818.0,445.0,5271915.0,11847.0,445.0,4127760.0,11760.0,351.0,4402630.0,12062.0,365.0,,-0.022469496331641636,-0.022458726172341348
2022-6-15,4874864.5,12144.5,"YEE FUNG BLDG,YAU SAN ST|怡豐大廈,又新街",5380940.0,12092.0,445.0,5392955.0,12119.0,445.0,4221828.0,12028.0,351.0,4503735.0,12339.0,365.0,,0.018843325703639335,0.018940744625065564
2022-5-15,4784704.75,11918.75,"YEE FUNG BLDG,YAU SAN ST|怡豐大廈,又新街",5295055.0,11899.0,445.0,5287935.0,11883.0,445.0,4139694.0,11794.0,351.0,4416135.0,12099.0,365.0,,-0.021455077696097224,-0.021469181667042925
2022-4-15,4889611.75,12180.25,"YEE FUNG BLDG,YAU SAN ST|怡豐大廈,又新街",5410310.0,12158.0,445.0,5403635.0,12143.0,445.0,4232007.0,12057.0,351.0,4512495.0,12363.0,365.0,,0.02986660746745229,0.02984632945105581
2022-3-15,4747810.75,11827.25,"YEE FUNG BLDG,YAU SAN ST|怡豐大廈,又新街",5252335.0,11803.0,445.0,5246550.0,11790.0,445.0,4111263.0,11713.0,351.0,4381095.0,12003.0,365.0,,-0.025104908580948493,-0.025119518628420656
