,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_whole floor,npsf_whole floor,nfa_whole floor,lumpSum_change,npsf_change
2019-12-15,3543833.6341942106,4798.0,1,3543833.6341942106,4798.0,614,78 TAI NAN ST|78 大南街,3543833.6341942106,4798.0,614.0,-0.030548621306951573,-0.026972216588927234
2019-11-15,3655504.249188626,4931.0,1,3655504.249188626,4931.0,614,78 TAI NAN ST|78 大南街,3655504.249188626,4931.0,614.0,0.07335182729909784,0.06893561673531323
2019-10-15,3405690.6190648256,4613.0,1,3405690.6190648256,4613.0,614,78 TAI NAN ST|78 大南街,3405690.6190648256,4613.0,614.0,-0.062427827944889214,0.03222197359588286
2019-9-15,3632457.0209882874,4469.0,1,3632457.0209882874,4469.0,614,78 TAI NAN ST|78 大南街,3632457.0209882874,4469.0,614.0,-0.041656503561981584,-0.008211273857079426
2019-8-15,3790349.738365673,4506.0,1,3790349.738365673,4506.0,614,78 TAI NAN ST|78 大南街,3790349.738365673,4506.0,614.0,-0.2224575932683508,-0.23171355498721224
2019-7-15,4874782.012595519,5865.0,1,4874782.012595519,5865.0,614,78 TAI NAN ST|78 大南街,4874782.012595519,5865.0,614.0,0.006247224842410137,0.015232819802665665
2019-6-15,4844517.224242747,5777.0,1,4844517.224242747,5777.0,614,78 TAI NAN ST|78 大南街,4844517.224242747,5777.0,614.0,0.0007753704187449806,0.01120252056712756
2019-5-15,4840763.839157733,5713.0,1,4840763.839157733,5713.0,614,78 TAI NAN ST|78 大南街,4840763.839157733,5713.0,614.0,-0.005436538276385128,0.023835125448028682
2019-4-15,4867224.692498267,5580.0,1,4867224.692498267,5580.0,614,78 TAI NAN ST|78 大南街,4867224.692498267,5580.0,614.0,0.38198675844039665,-0.027196652719665315
2019-3-15,3521904.0,5736.0,1,3521904.0,5736.0,614,78 TAI NAN ST|78 大南街,3521904.0,5736.0,614.0,-0.022994379151762945,-0.022994379151762945
2019-2-15,3604794.0,5871.0,1,3604794.0,5871.0,614,78 TAI NAN ST|78 大南街,3604794.0,5871.0,614.0,0.06978862973760935,0.06978862973760935
2019-1-15,3369632.0,5488.0,1,3369632.0,5488.0,614,78 TAI NAN ST|78 大南街,3369632.0,5488.0,614.0,0.05013394565633367,0.05013394565633367
2018-12-15,3208764.0,5226.0,1,3208764.0,5226.0,614,78 TAI NAN ST|78 大南街,3208764.0,5226.0,614.0,-0.07911894273127751,-0.07911894273127751
2018-11-15,3484450.0,5675.0,1,3484450.0,5675.0,614,78 TAI NAN ST|78 大南街,3484450.0,5675.0,614.0,-0.05321988655321985,-0.05321988655321985
2018-10-15,3680316.0,5994.0,1,3680316.0,5994.0,614,78 TAI NAN ST|78 大南街,3680316.0,5994.0,614.0,-0.005475360876057711,-0.005475360876057711
2018-9-15,3700578.0,6027.0,1,3700578.0,6027.0,614,78 TAI NAN ST|78 大南街,3700578.0,6027.0,614.0,-0.001987083954297031,-0.001987083954297031
2018-8-15,3707946.0,6039.0,1,3707946.0,6039.0,614,78 TAI NAN ST|78 大南街,3707946.0,6039.0,614.0,0.012745262451786088,0.012745262451786088
2018-7-15,3661282.0,5963.0,1,3661282.0,5963.0,614,78 TAI NAN ST|78 大南街,3661282.0,5963.0,614.0,0.005564924114671133,0.005564924114671133
2018-6-15,3641020.0,5930.0,1,3641020.0,5930.0,614,78 TAI NAN ST|78 大南街,3641020.0,5930.0,614.0,0.002535925612848766,0.002535925612848766
2018-5-15,3631810.0,5915.0,1,3631810.0,5915.0,614,78 TAI NAN ST|78 大南街,3631810.0,5915.0,614.0,-0.0067170445004197665,-0.0067170445004197665
2018-4-15,3656370.0,5955.0,1,3656370.0,5955.0,614,78 TAI NAN ST|78 大南街,3656370.0,5955.0,614.0,0.047309180443193766,0.047309180443193766
2018-3-15,3491204.0,5686.0,1,3491204.0,5686.0,614,78 TAI NAN ST|78 大南街,3491204.0,5686.0,614.0,0.008871540099361308,0.008871540099361308
2018-2-15,3460504.0,5636.0,1,3460504.0,5636.0,614,78 TAI NAN ST|78 大南街,3460504.0,5636.0,614.0,0.026033133078463555,0.026033133078463555
2018-1-15,3372702.0,5493.0,1,3372702.0,5493.0,614,78 TAI NAN ST|78 大南街,3372702.0,5493.0,614.0,0.005675576711827279,0.005675576711827279
2017-12-15,3353668.0,5462.0,1,3353668.0,5462.0,614,78 TAI NAN ST|78 大南街,3353668.0,5462.0,614.0,0.015430377393567563,0.015430377393567563
2017-11-15,3302706.0,5379.0,1,3302706.0,5379.0,614,78 TAI NAN ST|78 大南街,3302706.0,5379.0,614.0,-0.011758221568987648,-0.011758221568987648
2017-10-15,3342002.0,5443.0,1,3342002.0,5443.0,614,78 TAI NAN ST|78 大南街,3342002.0,5443.0,614.0,0.0405276237813037,0.0405276237813037
2017-9-15,3211834.0,5231.0,1,3211834.0,5231.0,614,78 TAI NAN ST|78 大南街,3211834.0,5231.0,614.0,0.016320186516417312,0.016320186516417312
2017-8-15,3160258.0,5147.0,1,3160258.0,5147.0,614,78 TAI NAN ST|78 大南街,3160258.0,5147.0,614.0,0.044439935064935154,0.044439935064935154
2017-7-15,3025792.0,4928.0,1,3025792.0,4928.0,614,78 TAI NAN ST|78 大南街,3025792.0,4928.0,614.0,0.008595988538681931,0.008595988538681931
2017-6-15,3000004.0,4886.0,1,3000004.0,4886.0,614,78 TAI NAN ST|78 大南街,3000004.0,4886.0,614.0,0.00452302631578938,0.00452302631578938
2017-5-15,2986496.0,4864.0,1,2986496.0,4864.0,614,78 TAI NAN ST|78 大南街,2986496.0,4864.0,614.0,-0.02972272092559347,-0.02972272092559347
2017-4-15,3077982.0,5013.0,1,3077982.0,5013.0,614,78 TAI NAN ST|78 大南街,3077982.0,5013.0,614.0,0.01252272268228638,0.01252272268228638
2017-3-15,3039914.0,4951.0,1,3039914.0,4951.0,614,78 TAI NAN ST|78 大南街,3039914.0,4951.0,614.0,0.03124349093938772,0.03124349093938772
2017-2-15,2947814.0,4801.0,1,2947814.0,4801.0,614,78 TAI NAN ST|78 大南街,2947814.0,4801.0,614.0,-0.010511129431162392,-0.010511129431162392
