,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C,lumpSum_D,npsf_D,nfa_D,lumpSum_E,npsf_E,nfa_E,lumpSum_F,npsf_F,nfa_F,lumpSum_G,npsf_G,nfa_G,lumpSum_H,npsf_H,nfa_H,lumpSum_change,npsf_change
2019-12-15,5009170.625,12307.125,8,40073365.0,98457.0,3260,"AMBER COURT,FANLING TOWN CTR,FANLING STATION RD|雅碧閣(粉嶺名都),粉嶺車站路",5133933.0,12867.0,399.0,5130741.0,12859.0,399.0,4339792.0,11542.0,376.0,5445096.0,11941.0,456.0,4979919.0,12481.0,399.0,5156676.0,12924.0,399.0,5256768.000000001,11528.0,456.0,4630440.0,12315.0,376.0,0.015430073656715448,0.015554569928519113
2019-11-15,4933053.25,12118.625,8,39464426.0,96949.0,3260,"AMBER COURT,FANLING TOWN CTR,FANLING STATION RD|雅碧閣(粉嶺名都),粉嶺車站路",5061714.0,12686.0,399.0,5059719.0,12681.0,399.0,4280008.0,11383.0,376.0,5370768.0,11778.0,456.0,4909694.999999999,12305.0,399.0,5084058.0,12742.0,399.0,5186088.0,11373.0,456.0,4512376.0,12001.0,376.0,0.0005159456775194471,0.0004230816857224706
2019-10-15,4930509.375,12113.5,8,39444075.0,96908.0,3260,"AMBER COURT,FANLING TOWN CTR,FANLING STATION RD|雅碧閣(粉嶺名都),粉嶺車站路",5063310.0,12690.0,399.0,5062911.0,12689.0,399.0,4282264.0,11389.0,376.0,5335656.0,11701.0,456.0,4910492.999999999,12307.0,399.0,5084457.0,12743.0,399.0,5191104.0,11384.0,456.0,4513880.0,12005.0,376.0,-0.015916062919279272,-0.015902674817718343
2019-9-15,5010252.875,12309.25,8,40082023.0,98474.0,3260,"AMBER COURT,FANLING TOWN CTR,FANLING STATION RD|雅碧閣(粉嶺名都),粉嶺車站路",5144307.0,12893.0,399.0,5145105.0,12895.0,399.0,4352576.0,11576.0,376.0,5424120.0,11895.0,456.0,4988298.0,12502.0,399.0,5164257.0,12943.0,399.0,5277288.0,11573.0,456.0,4586072.0,12197.0,376.0,-0.008495071420372868,-0.008497956060331435
2019-8-15,5053180.0,12414.75,8,40425440.0,99318.0,3260,"AMBER COURT,FANLING TOWN CTR,FANLING STATION RD|雅碧閣(粉嶺名都),粉嶺車站路",5188197.0,13003.0,399.0,5189394.0,13006.0,399.0,4393560.0,11685.0,376.0,5472000.0,12000.0,456.0,5029794.0,12606.0,399.0,5206551.0,13049.0,399.0,5321520.0,11670.0,456.0,4624424.0,12299.0,376.0,-0.027039300421313306,-0.026475460453444954
2019-7-15,5193611.625,12752.375,8,41548893.0,102019.0,3260,"AMBER COURT,FANLING TOWN CTR,FANLING STATION RD|雅碧閣(粉嶺名都),粉嶺車站路",5302710.0,13290.0,399.0,5305104.000000001,13296.0,399.0,4495080.0,11955.0,376.0,5819928.0,12763.0,456.0,5140317.0,12883.0,399.0,5320266.0,13334.0,399.0,5439168.0,11928.0,456.0,4726320.0,12570.0,376.0,-0.01064891587805783,-0.010657693128260814
2019-6-15,5249513.25,12889.75,8,41996106.0,103118.0,3260,"AMBER COURT,FANLING TOWN CTR,FANLING STATION RD|雅碧閣(粉嶺名都),粉嶺車站路",5359766.999999999,13433.0,399.0,5362959.0,13441.0,399.0,4547344.0,12094.0,376.0,5881944.0,12899.0,456.0,5194581.0,13019.0,399.0,5375727.0,13473.0,399.0,5497080.0,12055.0,456.0,4776704.0,12704.0,376.0,0.025320313520265314,0.024347601498008187
2019-5-15,5119876.375,12583.375,8,40959011.0,100667.0,3260,"AMBER COURT,FANLING TOWN CTR,FANLING STATION RD|雅碧閣(粉嶺名都),粉嶺車站路",5167848.0,12952.0,399.0,5172237.0,12963.0,399.0,4852656.0,12906.0,376.0,5670816.0,12436.0,456.0,5007849.000000001,12551.0,399.0,5181813.0,12987.0,399.0,5300544.0,11624.0,456.0,4605248.0,12248.0,376.0,-0.00754230331925998,-0.007541998580329667
2019-4-15,5158785.5,12679.0,8,41270284.0,101432.0,3260,"AMBER COURT,FANLING TOWN CTR,FANLING STATION RD|雅碧閣(粉嶺名都),粉嶺車站路",5207748.0,13052.0,399.0,5212536.0,13064.0,399.0,4889128.0,13003.0,376.0,5714136.0,12531.0,456.0,5045355.0,12645.0,399.0,5220117.0,13083.0,399.0,5340672.0,11712.0,456.0,4640592.0,12342.0,376.0,0.03199051045370194,0.032029628423751566
2019-3-15,4998869.125,12285.5,8,39990953.0,98284.0,3260,"AMBER COURT,FANLING TOWN CTR,FANLING STATION RD|雅碧閣(粉嶺名都),粉嶺車站路",5045355.0,12645.0,399.0,5050941.0,12659.0,399.0,4734968.0,12593.0,376.0,5548152.0,12167.0,456.0,4886952.0,12248.0,399.0,5055729.0,12671.0,399.0,5173776.0,11346.0,456.0,4495080.0,11955.0,376.0,0.048268151035615325,0.04872062997503157
2019-2-15,4768693.125,11714.75,8,38149545.0,93718.0,3260,"AMBER COURT,FANLING TOWN CTR,FANLING STATION RD|雅碧閣(粉嶺名都),粉嶺車站路",4092543.0,10257.0,399.0,4923660.0,12340.0,399.0,4613520.0,12270.0,376.0,5407704.0,11859.0,456.0,4762464.0,11936.0,399.0,4926054.0,12346.0,399.0,5042448.0,11058.0,456.0,4381152.0,11652.0,376.0,0.04026931925872601,0.04022465425000554
2019-1-15,4584094.75,11261.75,8,36672758.0,90094.0,3260,"AMBER COURT,FANLING TOWN CTR,FANLING STATION RD|雅碧閣(粉嶺名都),粉嶺車站路",4012743.0,10057.0,399.0,4722963.0,11837.0,399.0,4422888.0,11763.0,376.0,5186088.000000001,11373.0,456.0,4566954.0,11446.0,399.0,4723362.0,11838.0,399.0,4836336.0,10606.0,456.0,4201424.0,11174.0,376.0,-0.03863033869675392,-0.038412688247787985
2018-12-15,4768295.625,11711.625,8,38146365.0,93693.0,3260,"AMBER COURT,FANLING TOWN CTR,FANLING STATION RD|雅碧閣(粉嶺名都),粉嶺車站路",4167156.0,10444.0,399.0,4903710.0,12290.0,399.0,4589456.0,12206.0,376.0,5462880.0,11980.0,456.0,4740120.0,11880.0,399.0,4901715.0,12285.0,399.0,5020104.0,11009.0,456.0,4361224.0,11599.0,376.0,0.03022400824603433,0.03022739268121044
2018-11-15,4628406.625,11368.0,8,37027253.0,90944.0,3260,"AMBER COURT,FANLING TOWN CTR,FANLING STATION RD|雅碧閣(粉嶺名都),粉嶺車站路",4045860.0,10140.0,399.0,4760868.0,11932.0,399.0,4452968.0,11843.0,376.0,5303736.0,11631.0,456.0,4600470.0,11530.0,399.0,4756479.0,11921.0,399.0,4872360.0,10685.0,456.0,4234512.0,11262.0,376.0,-0.06708579113869828,-0.06721232448177894
