,lumpSum_avg,npsf_avg,unit_count,lumpSum_total,npsf_total,nfa_total,final_address,lumpSum_A,npsf_A,nfa_A,lumpSum_B,npsf_B,nfa_B,lumpSum_C,npsf_C,nfa_C
2018-1-15,10455527.0,15345.333333333334,3,31366581,46036,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",8268799.0,15341.0,539.0,11520366.0,15279.0,754.0,11577416.0,15416.0,751.0
2018-2-15,10676171.0,15669.0,3,32028513,47007,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",8442357.0,15663.0,539.0,11765416.0,15604.0,754.0,11820740.0,15740.0,751.0
2018-3-15,11173904.0,16393.333333333332,3,33521712,49180,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",8800792.0,16328.0,539.0,12332424.0,16356.0,754.0,12388496.0,16496.0,751.0
2018-4-15,10942684.666666666,16054.0,3,32828054,48162,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",8618071.0,15989.0,539.0,12079080.0,16020.0,754.0,12130903.0,16153.0,751.0
2018-5-15,11001254.666666666,16148.666666666666,3,33003764,48446,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",8714013.0,16167.0,539.0,12119796.0,16074.0,754.0,12169955.0,16205.0,751.0
2018-6-15,11674371.666666666,17136.333333333332,3,35023115,51409,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",9244928.0,17152.0,539.0,12863240.0,17060.0,754.0,12914947.0,17197.0,751.0
2018-7-15,11390505.0,16719.0,3,34171515,50157,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",9016392.0,16728.0,539.0,12552592.0,16648.0,754.0,12602531.0,16781.0,751.0
2018-8-15,10595569.666666666,15551.666666666666,3,31786709,46655,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",8384145.0,15555.0,539.0,11677952.0,15488.0,754.0,11724612.0,15612.0,751.0
2018-9-15,9336899.666666666,13703.666666666666,3,28010699,41111,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",7384839.0,13701.0,539.0,10292100.0,13650.0,754.0,10333760.0,13760.0,751.0
2018-10-15,11041762.333333334,16205.333333333334,3,33125287,48616,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",8730183.0,16197.0,539.0,12173330.0,16145.0,754.0,12221774.0,16274.0,751.0
2018-11-15,10020375.0,14705.666666666666,3,30061125,44117,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",7918988.0,14692.0,539.0,11049116.0,14654.0,754.0,11093021.0,14771.0,751.0
2018-12-15,10462232.333333334,15353.666666666666,3,31386697,46061,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",8265565.0,15335.0,539.0,11537708.0,15302.0,754.0,11583424.0,15424.0,751.0
2019-1-15,10093382.666666666,14812.333333333334,3,30280148,44437,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",7973966.0,14794.0,539.0,11131302.0,14763.0,754.0,11174880.0,14880.0,751.0
2019-2-15,10990225.333333334,16128.333333333334,3,32970676,48385,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",8681673.0,16107.0,539.0,12120550.0,16075.0,754.0,12168453.0,16203.0,751.0
2019-3-15,11110892.0,16305.333333333334,3,33332676,48916,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",8776537.0,16283.0,539.0,12254008.0,16252.0,754.0,12302131.0,16381.0,751.0
2019-4-15,11178845.666666666,16405.0,3,33536537,49215,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",8829898.0,16382.0,539.0,12329408.0,16352.0,754.0,12377231.0,16481.0,751.0
2019-5-15,11164188.666666666,16385.666666666668,3,33492566,49157,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",8830437.0,16383.0,539.0,12278890.0,16285.0,754.0,12383239.0,16489.0,751.0
2019-6-15,11978625.333333334,17581.0,3,35935876,52743,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",9474542.0,17578.0,539.0,13174642.0,17473.0,754.0,13286692.0,17692.0,751.0
2019-7-15,10894024.333333334,15989.0,3,32682073,47967,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",8615915.0,15985.0,539.0,11982568.0,15892.0,754.0,12083590.0,16090.0,751.0
2019-8-15,11064677.666666666,16239.333333333334,3,33194033,48718,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",8750126.0,16234.0,539.0,12170314.0,16141.0,754.0,12273593.0,16343.0,751.0
2019-9-15,10517142.0,15435.666666666666,3,31551426,46307,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",8316770.0,15430.0,539.0,11568622.0,15343.0,754.0,11666034.0,15534.0,751.0
2019-10-15,9947372.666666666,14599.333333333334,3,29842118,43798,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",7865627.0,14593.0,539.0,10942048.0,14512.0,754.0,11034443.0,14693.0,751.0
2019-11-15,10852317.666666666,15927.333333333334,3,32556953,47782,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",8580341.0,15919.0,539.0,11938082.0,15833.0,754.0,12038530.0,16030.0,751.0
2019-12-15,10370749.0,15224.666666666666,3,31112247,45674,2044,"CARBLE GDN,SEYMOUR TERR|嘉寶園,西摩臺",8222984.0,15256.0,539.0,11396710.0,15115.0,754.0,11492553.0,15303.0,751.0
